time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,A1805,3583,3668,3583,3639,46121.0,1676498350.0,3638,6,3639,7,116559.0,3635,3626.0,0.8448204467091828,0.023358065402583127
2018-01-03,A1805,3639,3675,3631,3659,67214.0,2454655280.0,3659,3,3661,230,116887.0,3652,3639.0,0.8448204467091828,0.012025143481825635
2018-01-04,A1805,3666,3670,3642,3669,44935.0,1642823600.0,3668,95,3669,27,118522.0,3656,3659.0,0.8448204467091828,0.007631507222676479
2018-01-05,A1805,3670,3700,3658,3672,83778.0,3079679280.0,3672,8,3673,15,117683.0,3676,3669.0,0.8448204467091828,0.011437908496732025
2018-01-08,A1805,3677,3690,3652,3688,47317.0,1737953410.0,3685,28,3689,12,116634.0,3673,3672.0,0.8448204467091828,0.010303687635574838
2018-01-09,A1805,3693,3707,3672,3676,64715.0,2387336350.0,3674,4,3675,4,117687.0,3689,3688.0,0.8448204467091828,0.009521218715995648
2018-01-10,A1805,3679,3713,3662,3696,56275.0,2072608250.0,3696,50,3698,150,118742.0,3683,3676.0,0.8448204467091828,0.013798701298701298
2018-01-11,A1805,3695,3698,3656,3662,47142.0,1730111400.0,3662,51,3663,39,118389.0,3670,3696.0,0.8448204467091828,0.011469142545057346
2018-01-12,A1805,3662,3674,3638,3644,53946.0,1969029000.0,3643,10,3644,3,119403.0,3650,3662.0,0.8448204467091828,0.009879253567508232
2018-01-15,A1805,3648,3687,3638,3673,61674.0,2263435800.0,3672,17,3673,55,117840.0,3670,3644.0,0.8448204467091828,0.013340593520283148
2018-01-16,A1805,3676,3678,3601,3603,80657.0,2932688520.0,3603,114,3604,44,122410.0,3636,3673.0,0.8448204467091828,0.021371079655842354
2018-01-17,A1805,3607,3618,3593,3599,55490.0,2001524300.0,3598,15,3599,49,128746.0,3607,3603.0,0.8448204467091828,0.006946373992775771
2018-01-18,A1805,3599,3609,3581,3605,40114.0,1443702860.0,3603,32,3605,37,128794.0,3599,3599.0,0.8448204467091828,0.007766990291262136
2018-01-19,A1805,3600,3600,3522,3536,125655.0,4467035250.0,3536,53,3537,5,142963.0,3555,3605.0,0.8448204467091828,0.022058823529411766
2018-01-22,A1805,3539,3545,3511,3523,64003.0,2259945930.0,3522,3,3523,160,145795.0,3531,3536.0,0.8448204467091828,0.009650865739426626
2018-01-23,A1805,3524,3539,3515,3533,51560.0,1819036800.0,3532,53,3533,11,146936.0,3528,3523.0,0.8448204467091828,0.006793093688083782
2018-01-24,A1805,3537,3547,3516,3521,61122.0,2159440260.0,3520,115,3521,14,150908.0,3533,3533.0,0.8448204467091828,0.008804316955410394
2018-01-25,A1805,3525,3556,3510,3536,74391.0,2628977940.0,3535,95,3536,32,147334.0,3534,3521.0,0.8448204467091828,0.013009049773755657
2018-01-26,A1805,3535,3546,3496,3527,69047.0,2432525810.0,3527,47,3529,49,148758.0,3523,3536.0,0.8448204467091828,0.01417635384179189
2018-01-29,A1805,3527,3544,3521,3528,44702.0,1578874640.0,3528,32,3529,38,148036.0,3532,3527.0,0.8448204467091828,0.006519274376417234
