time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,AG1806,3899,3910,3891,3902,68511.0,4007893500.0,3902,4,3903,134,301372.0,3900,3883.0,0.8093317209891737,0.004869297796002051
2018-01-03,AG1806,3908,3928,3897,3897,161803.0,9492172995.0,3897,422,3898,190,291905.0,3911,3902.0,0.8093317209891737,0.007954837054144213
2018-01-04,AG1806,3902,3915,3871,3885,189724.0,11070395400.0,3884,203,3885,10,297983.0,3890,3897.0,0.8093317209891737,0.011325611325611325
2018-01-05,AG1806,3889,3910,3875,3890,165151.0,9648947175.0,3890,176,3891,225,292089.0,3895,3885.0,0.8093317209891737,0.008997429305912597
2018-01-08,AG1806,3888,3912,3881,3891,174037.0,10170722280.0,3891,280,3892,28,297801.0,3896,3890.0,0.8093317209891737,0.00796710357234644
2018-01-09,AG1806,3892,3901,3884,3896,117266.0,6847748070.0,3896,103,3897,589,303338.0,3893,3891.0,0.8093317209891737,0.004363449691991786
2018-01-10,AG1806,3891,3892,3868,3873,138037.0,8031682845.0,3872,277,3873,11,316226.0,3879,3896.0,0.8093317209891737,0.006196746707978312
2018-01-11,AG1806,3895,3898,3876,3885,125335.0,7307657175.0,3885,42,3886,458,318145.0,3887,3873.0,0.8093317209891737,0.005662805662805663
2018-01-12,AG1806,3882,3893,3836,3890,207779.0,12086504430.0,3890,36,3891,131,321255.0,3878,3885.0,0.8093317209891737,0.014652956298200515
2018-01-15,AG1806,3892,3939,3875,3926,235552.0,13793925120.0,3925,34,3926,51,335082.0,3904,3890.0,0.8093317209891737,0.0163015792154865
2018-01-16,AG1806,3925,3928,3903,3907,118117.0,6941736090.0,3907,7,3908,153,330429.0,3918,3926.0,0.8093317209891737,0.0063987714358843106
2018-01-17,AG1806,3889,3898,3869,3876,201480.0,11729158200.0,3876,119,3878,423,319152.0,3881,3907.0,0.8093317209891737,0.007481940144478844
2018-01-18,AG1806,3884,3884,3846,3852,163523.0,9475340235.0,3852,384,3853,21,325138.0,3863,3876.0,0.8093317209891737,0.009865005192107996
2018-01-19,AG1806,3850,3860,3831,3834,158699.0,9150584340.0,3834,541,3836,347,331162.0,3844,3852.0,0.8093317209891737,0.007563901930099113
2018-01-22,AG1806,3841,3848,3835,3838,103843.0,5982914445.0,3837,38,3838,389,334390.0,3841,3834.0,0.8093317209891737,0.0033871808233454925
2018-01-23,AG1806,3841,3853,3835,3847,120255.0,6932099475.0,3847,605,3848,441,338362.0,3843,3838.0,0.8093317209891737,0.004678970626462178
2018-01-24,AG1806,3840,3844,3806,3836,218805.0,12553936875.0,3836,84,3837,514,348120.0,3825,3847.0,0.8093317209891737,0.009906152241918665
2018-01-25,AG1806,3863,3926,3861,3916,310804.0,18144737520.0,3915,28,3916,63,343029.0,3892,3836.0,0.8093317209891737,0.016598569969356484
2018-01-26,AG1806,3899,3915,3870,3889,209531.0,12238705710.0,3888,7,3889,419,346026.0,3894,3916.0,0.8093317209891737,0.011571097968629467
2018-01-29,AG1806,3878,3891,3873,3875,145069.0,8445191835.0,3875,20,3876,139,350844.0,3881,3889.0,0.8093317209891737,0.00464516129032258
2018-01-30,AG1806,3859,3866,3820,3823,186855.0,10771256475.0,3821,224,3822,4,359023.0,3843,3875.0,0.8093317209891737,0.012032435260266806
2018-01-31,AG1806,3843,3851,3821,3832,139965.0,8049387150.0,3831,47,3832,266,360746.0,3834,3823.0,0.8093317209891737,0.007828810020876827
2018-02-01,AG1806,3837,3845,3827,3830,117691.0,6770174775.0,3829,13,3830,53,360960.0,3835,3832.0,0.8093317209891737,0.004699738903394256
2018-02-02,AG1806,3830,3836,3813,3824,142428.0,8167533660.0,3823,65,3825,740,368475.0,3823,3830.0,0.8093317209891737,0.006014644351464435
2018-02-05,AG1806,3818,3825,3724,3729,367821.0,20734069770.0,3729,190,3730,153,388712.0,3758,3824.0,0.8093317209891737,0.02708500938589434
2018-02-06,AG1806,3739,3797,3725,3767,259759.0,14638718445.0,3766,56,3767,52,382736.0,3757,3729.0,0.8093317209891737,0.019113352800637112
2018-02-07,AG1806,3736,3744,3708,3731,212570.0,11893291500.0,3730,226,3731,79,399590.0,3730,3767.0,0.8093317209891737,0.009648887697668185
2018-02-08,AG1806,3702,3710,3651,3674,316044.0,17421925500.0,3673,131,3674,1,406159.0,3675,3731.0,0.8093317209891737,0.016058791507893303
2018-02-09,AG1806,3674,3717,3673,3687,203920.0,11299207200.0,3687,9,3688,125,398463.0,3694,3674.0,0.8093317209891737,0.011933821535123406
2018-02-12,AG1806,3676,3697,3656,3690,238140.0,13131039600.0,3689,34,3690,9,399144.0,3676,3687.0,0.8093317209891737,0.011111111111111112
2018-02-13,AG1806,3687,3720,3681,3712,149919.0,8327250855.0,3712,168,3713,198,385176.0,3703,3690.0,0.8093317209891737,0.01050646551724138
2018-02-14,AG1806,3711,3721,3686,3718,151935.0,8448345675.0,3717,30,3718,14,380453.0,3707,3712.0,0.8093317209891737,0.009413663259817106
2018-02-22,AG1806,3690,3691,3663,3675,72423.0,3994490565.0,3674,71,3675,13,381822.0,3677,3718.0,0.8093317209891737,0.007619047619047619
2018-02-23,AG1806,3683,3709,3680,3696,155548.0,8625914340.0,3696,9,3697,112,396815.0,3697,3675.0,0.8093317209891737,0.007846320346320346
2018-02-26,AG1806,3701,3738,3691,3726,224235.0,12488768325.0,3725,393,3726,221,409533.0,3713,3696.0,0.8093317209891737,0.01261406333870102
2018-02-27,AG1806,3721,3733,3709,3719,181134.0,10109994210.0,3718,80,3719,319,424094.0,3721,3726.0,0.8093317209891737,0.006453347674105943
