time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,AL1803,15340,15470,15110,15175,81087.0,6186938100.0,15175,71,15180,5,160197.0,15260,15340.0,0.7766406613078118,0.02372322899505766
2018-01-03,AL1803,15190,15255,15135,15165,64211.0,4873614900.0,15160,47,15165,128,161219.0,15180,15175.0,0.7766406613078118,0.00791295746785361
2018-01-04,AL1803,15175,15245,15015,15140,89007.0,6731154375.0,15135,29,15140,5,164062.0,15125,15165.0,0.7766406613078118,0.015191545574636724
2018-01-05,AL1803,15170,15230,15095,15210,66427.0,5036827275.0,15205,378,15210,6,167702.0,15165,15140.0,0.7766406613078118,0.008875739644970414
2018-01-08,AL1803,15150,15220,14925,15040,100992.0,7614796800.0,15035,5,15040,3,163191.0,15080,15210.0,0.7766406613078118,0.01961436170212766
2018-01-09,AL1803,15020,15130,15000,15075,77401.0,5822490225.0,15075,11,15080,84,167213.0,15045,15040.0,0.7766406613078118,0.008623548922056384
2018-01-10,AL1803,15040,15100,14970,15060,87335.0,6563225250.0,15060,2,15065,79,170248.0,15030,15075.0,0.7766406613078118,0.008632138114209827
2018-01-11,AL1803,15100,15260,15085,15210,118463.0,8982456975.0,15210,14,15215,52,180373.0,15165,15060.0,0.7766406613078118,0.011505588428665352
2018-01-12,AL1803,15215,15235,15020,15090,110435.0,8343364250.0,15090,4,15095,31,173421.0,15110,15210.0,0.7766406613078118,0.014247846255798542
2018-01-15,AL1803,15125,15265,15110,15130,120381.0,9142936950.0,15130,91,15135,12,176409.0,15190,15090.0,0.7766406613078118,0.010244547257105089
2018-01-16,AL1803,15140,15145,14725,14745,191318.0,14248408050.0,14740,7,14745,14,172572.0,14895,15130.0,0.7766406613078118,0.028484231943031537
2018-01-17,AL1803,14695,14735,14560,14630,126071.0,9225245425.0,14630,81,14635,34,169724.0,14635,14745.0,0.7766406613078118,0.011961722488038277
2018-01-18,AL1803,14635,14700,14505,14620,114409.0,8363297900.0,14620,197,14625,3,170531.0,14620,14630.0,0.7766406613078118,0.013337893296853625
2018-01-19,AL1803,14685,14835,14625,14765,134379.0,9897013350.0,14765,21,14770,4,169609.0,14730,14620.0,0.7766406613078118,0.014222824246528954
2018-01-22,AL1803,14760,14785,14610,14660,110959.0,8141616625.0,14660,70,14665,16,167287.0,14675,14765.0,0.7766406613078118,0.011937244201909959
2018-01-23,AL1803,14705,14750,14595,14650,108601.0,7963168325.0,14650,48,14655,9,166535.0,14665,14660.0,0.7766406613078118,0.010580204778156996
2018-01-24,AL1803,14560,14725,14530,14640,88019.0,6440790325.0,14640,9,14650,12,161454.0,14635,14650.0,0.7766406613078118,0.01331967213114754
2018-01-25,AL1803,14660,14855,14585,14790,140296.0,10336307800.0,14785,2,14790,59,157178.0,14735,14640.0,0.7766406613078118,0.018255578093306288
2018-01-26,AL1803,14760,14820,14610,14625,123486.0,9076221000.0,14625,6,14630,8,158152.0,14700,14790.0,0.7766406613078118,0.014358974358974359
2018-01-29,AL1803,14655,14770,14610,14670,109055.0,8010089750.0,14665,41,14675,2,151665.0,14690,14625.0,0.7766406613078118,0.010906612133605999
2018-01-30,AL1803,14685,14730,14415,14470,147877.0,10761748675.0,14465,69,14470,13,149931.0,14555,14670.0,0.7766406613078118,0.021769177608845888
2018-01-31,AL1803,14500,14600,14410,14440,136165.0,9865154250.0,14440,102,14445,22,135249.0,14490,14470.0,0.7766406613078118,0.013157894736842105
2018-02-01,AL1803,14445,14500,14290,14335,112768.0,8102380800.0,14335,1,14340,4,133680.0,14370,14440.0,0.7766406613078118,0.014649459365190094
2018-02-02,AL1803,14340,14460,14310,14390,91421.0,6580026475.0,14390,82,14395,17,130067.0,14395,14335.0,0.7766406613078118,0.010423905489923557
2018-02-05,AL1803,14360,14475,14260,14320,100083.0,7183457325.0,14315,1,14320,31,126606.0,14355,14390.0,0.7766406613078118,0.015013966480446927
2018-02-06,AL1804,14405,14485,14215,14225,77900.0,5587377500.0,14225,20,14230,27,140433.0,14345,14405.0,0.7720579153021775,0.01898066783831283
2018-02-07,AL1804,14230,14365,14180,14290,83210.0,5930792750.0,14290,28,14300,23,143093.0,14255,14225.0,0.7720579153021775,0.012946116165150455
2018-02-08,AL1804,14295,14465,14260,14290,106880.0,7660624000.0,14290,24,14295,24,146310.0,14335,14290.0,0.7720579153021775,0.014345696291112667
2018-02-09,AL1804,14335,14370,14240,14270,58730.0,4196258500.0,14270,13,14275,3,149059.0,14290,14290.0,0.7720579153021775,0.009110021023125438
2018-02-12,AL1804,14215,14565,14105,14405,136456.0,9746369800.0,14405,15,14410,78,149921.0,14285,14270.0,0.7720579153021775,0.03193335647344672
2018-02-13,AL1804,14365,14495,14315,14380,77761.0,5592959925.0,14375,5,14380,16,145635.0,14385,14405.0,0.7720579153021775,0.012517385257301807
2018-02-14,AL1804,14370,14440,14075,14105,113875.0,8124981250.0,14100,7,14105,52,143404.0,14270,14380.0,0.7720579153021775,0.02587734845799362
2018-02-22,AL1804,14275,14280,14030,14125,65754.0,4652095500.0,14120,16,14125,2,149482.0,14150,14105.0,0.7720579153021775,0.017699115044247787
2018-02-23,AL1804,14140,14390,14130,14365,126569.0,9037026600.0,14365,118,14370,32,146079.0,14280,14125.0,0.7720579153021775,0.01809954751131222
2018-02-26,AL1804,14305,14375,14195,14295,155921.0,11140555450.0,14295,17,14300,20,138664.0,14290,14365.0,0.7720579153021775,0.012591815320041973
2018-02-27,AL1804,14315,14320,14160,14285,134112.0,9552127200.0,14285,34,14290,34,140014.0,14245,14295.0,0.7720579153021775,0.0112005600280014
2018-02-28,AL1804,14285,14350,14190,14325,133587.0,9534772125.0,14320,76,14325,44,135279.0,14275,14285.0,0.7720579153021775,0.011169284467713788
2018-03-01,AL1805,14365,14500,14365,14460,73859.0,5332619800.0,14460,32,14465,1,151364.0,14440,14415.0,0.7672375745198537,0.00933609958506224
2018-03-02,AL1805,14450,14560,14355,14425,101728.0,7360020800.0,14420,1,14425,44,156778.0,14470,14460.0,0.7672375745198537,0.014211438474870018
2018-03-05,AL1805,14450,14465,14270,14295,99004.0,7103537000.0,14290,20,14295,9,161359.0,14350,14425.0,0.7672375745198537,0.013641133263378805
2018-03-06,AL1805,14300,14515,14290,14440,144748.0,10410999900.0,14435,6,14440,8,165172.0,14385,14295.0,0.7672375745198537,0.015581717451523546
2018-03-07,AL1805,14430,14470,14220,14260,136541.0,9796816750.0,14260,28,14265,2,172379.0,14350,14440.0,0.7672375745198537,0.01753155680224404
2018-03-08,AL1805,14250,14305,14130,14230,136096.0,9676425600.0,14230,4,14235,13,175276.0,14220,14260.0,0.7672375745198537,0.012297962052002811
2018-03-09,AL1805,14245,14300,14020,14075,150024.0,10655454600.0,14075,10,14080,7,176285.0,14205,14230.0,0.7672375745198537,0.01989342806394316
2018-03-12,AL1805,14115,14275,14035,14065,159755.0,11282696875.0,14055,82,14065,3,186551.0,14125,14075.0,0.7672375745198537,0.017063633131887666
2018-03-13,AL1805,14075,14110,13820,13860,203085.0,14155024500.0,13855,86,13860,1,202791.0,13940,14065.0,0.7672375745198537,0.020923520923520924
2018-03-14,AL1805,13910,13985,13860,13960,129942.0,9047211750.0,13955,2,13965,11,188734.0,13925,13860.0,0.7672375745198537,0.008954154727793696
2018-03-15,AL1805,13985,14040,13870,13995,115815.0,8092573125.0,13990,66,13995,17,180778.0,13975,13960.0,0.7672375745198537,0.012147195426938193
2018-03-16,AL1805,13970,14050,13915,13995,101023.0,7051405400.0,13990,87,13995,1,175836.0,13960,13995.0,0.7672375745198537,0.00964630225080386
2018-03-19,AL1805,14000,14130,13910,13960,111995.0,7839650000.0,13960,8,13965,28,174780.0,14000,13995.0,0.7672375745198537,0.015759312320916905
2018-03-20,AL1805,13995,14050,13930,13990,103814.0,7264384650.0,13990,41,13995,27,173817.0,13995,13960.0,0.7672375745198537,0.008577555396711936
2018-03-21,AL1805,14030,14030,13855,13935,122129.0,8500178400.0,13925,47,13935,123,176266.0,13920,13990.0,0.7672375745198537,0.012558306422676713
2018-03-22,AL1805,13935,14010,13850,13970,112856.0,7860420400.0,13970,4,13975,152,169802.0,13930,13935.0,0.7672375745198537,0.01145311381531854
2018-03-23,AL1805,13940,13965,13640,13765,193483.0,13340652850.0,13755,22,13760,2,164500.0,13790,13970.0,0.7672375745198537,0.02361060661096985
2018-03-26,AL1805,13785,13790,13660,13715,104967.0,7203360375.0,13705,83,13715,59,160674.0,13725,13765.0,0.7672375745198537,0.009478672985781991
2018-03-27,AL1805,13720,13890,13665,13825,119708.0,8259852000.0,13820,15,13825,19,152958.0,13800,13715.0,0.7672375745198537,0.0162748643761302
2018-03-28,AL1805,13800,13865,13730,13740,86629.0,5973069550.0,13735,27,13740,18,152652.0,13790,13825.0,0.7672375745198537,0.009825327510917031
2018-03-29,AL1805,13730,13925,13675,13820,194157.0,13391979075.0,13815,3,13820,5,161356.0,13795,13740.0,0.7672375745198537,0.01808972503617945
2018-03-30,AL1805,13785,13830,13630,13770,144897.0,9947179050.0,13765,3,13770,135,157830.0,13730,13820.0,0.7672375745198537,0.014524328249818447
2018-04-02,AL1805,13765,13995,13705,13990,155823.0,10798533900.0,13985,15,13990,314,146294.0,13860,13770.0,0.7672375745198537,0.020729092208720514
2018-04-03,AL1805,13980,14125,13960,14080,110531.0,7764802750.0,14080,2,14085,29,137987.0,14050,13990.0,0.7672375745198537,0.01171875
2018-04-04,AL1805,14115,14125,13935,14010,106794.0,7478249850.0,14005,5,14010,110,130497.0,14005,14080.0,0.7672375745198537,0.013561741613133477
2018-04-09,AL1806,14295,14375,14140,14270,91548.0,6502196700.0,14265,72,14270,61,137042.0,14205,14060.0,0.7645091336431828,0.016468114926419062
2018-04-10,AL1806,14320,14425,14285,14350,119141.0,8542409700.0,14345,1,14355,72,146770.0,14340,14270.0,0.7645091336431828,0.00975609756097561
2018-04-11,AL1806,14410,14475,14300,14375,155674.0,11196852450.0,14370,20,14375,11,153225.0,14385,14350.0,0.7645091336431828,0.01217391304347826
2018-04-12,AL1806,14405,14410,14240,14325,152688.0,10928643600.0,14320,162,14325,18,159723.0,14315,14375.0,0.7645091336431828,0.0118673647469459
2018-04-13,AL1806,14325,14630,14260,14580,268555.0,19463523625.0,14570,18,14580,169,168923.0,14495,14325.0,0.7645091336431828,0.025377229080932786
2018-04-16,AL1806,14650,14670,14490,14625,170684.0,12434329400.0,14620,8,14625,44,165370.0,14570,14580.0,0.7645091336431828,0.012307692307692308
2018-04-17,AL1806,14750,14985,14730,14920,236998.0,17608951400.0,14920,51,14925,18,173385.0,14860,14625.0,0.7645091336431828,0.017091152815013406
2018-04-18,AL1806,14830,14965,14810,14930,146569.0,10904733600.0,14930,17,14935,32,169333.0,14880,14920.0,0.7645091336431828,0.010381781647689216
2018-04-19,AL1806,15210,15565,15145,15380,275147.0,21028109475.0,15380,16,15385,48,172105.0,15285,14930.0,0.7645091336431828,0.027308192457737322
2018-04-20,AL1806,15280,15285,14870,14955,273890.0,20582833500.0,14955,21,14960,48,156406.0,15030,15380.0,0.7645091336431828,0.02774991641591441
2018-04-23,AL1806,14960,15055,14825,15035,162050.0,12101083750.0,15040,6,15045,9,150759.0,14935,14955.0,0.7645091336431828,0.015297638842700367
2018-04-24,AL1806,14335,14545,14220,14385,283939.0,20472001900.0,14380,114,14385,5,127999.0,14420,15035.0,0.7645091336431828,0.02259297879735836
2018-04-25,AL1806,14365,14515,14360,14405,127838.0,9226707650.0,14405,11,14410,6,120632.0,14435,14385.0,0.7645091336431828,0.010760152724748352
2018-04-26,AL1806,14475,14485,14340,14365,112423.0,8100077150.0,14360,74,14370,7,119129.0,14410,14405.0,0.7645091336431828,0.010093978419770276
2018-04-27,AL1806,14355,14555,14305,14480,149259.0,10802620125.0,14475,35,14480,114,113644.0,14475,14365.0,0.7645091336431828,0.017265193370165747
2018-05-02,AL1807,14520,14595,14460,14505,29744.0,2158670800.0,14505,10,14515,254,126544.0,14515,14560.0,0.7603085340077808,0.009307135470527405
2018-05-03,AL1807,14600,14670,14560,14645,61862.0,4519019100.0,14645,140,14650,49,132757.0,14610,14505.0,0.7603085340077808,0.0075110959371799246
2018-05-04,AL1807,14615,14735,14560,14650,84714.0,6201064800.0,14650,15,14655,59,135781.0,14640,14645.0,0.7603085340077808,0.011945392491467578
2018-05-07,AL1807,14690,14770,14660,14735,77337.0,5686202925.0,14730,135,14740,5,144474.0,14705,14650.0,0.7603085340077808,0.007465218866644045
2018-05-08,AL1807,14715,14790,14695,14755,47883.0,3530174175.0,14755,12,14760,199,147833.0,14745,14735.0,0.7603085340077808,0.006438495425279567
2018-05-09,AL1807,14745,14765,14575,14630,106249.0,7782739250.0,14630,237,14635,4,145271.0,14650,14755.0,0.7603085340077808,0.012987012987012988
2018-05-10,AL1807,14570,14670,14570,14625,89506.0,6547363900.0,14620,121,14625,3,145609.0,14630,14630.0,0.7603085340077808,0.006837606837606838
2018-05-11,AL1807,14640,14755,14605,14670,99497.0,7308054650.0,14670,34,14675,3,144681.0,14690,14625.0,0.7603085340077808,0.010224948875255624
2018-05-14,AL1807,14670,14715,14625,14635,80111.0,5872136300.0,14635,139,14640,1,144330.0,14660,14670.0,0.7603085340077808,0.0061496412709258624
2018-05-15,AL1807,14660,14750,14635,14720,83681.0,6152645525.0,14715,4,14720,240,143752.0,14705,14635.0,0.7603085340077808,0.0078125
2018-05-16,AL1807,14725,14825,14640,14790,102730.0,7571201000.0,14790,68,14795,59,148069.0,14740,14720.0,0.7603085340077808,0.012508451656524679
2018-05-17,AL1807,14780,14925,14755,14885,102371.0,7608724575.0,14885,8,14890,73,150719.0,14865,14790.0,0.7603085340077808,0.011420893516963387
2018-05-18,AL1807,14815,14900,14770,14840,94556.0,7008963500.0,14835,5,14840,38,146296.0,14825,14885.0,0.7603085340077808,0.00876010781671159
2018-05-21,AL1807,14860,14860,14750,14765,86146.0,6370496700.0,14765,40,14770,23,142764.0,14790,14840.0,0.7603085340077808,0.007450050795800881
2018-05-22,AL1807,14805,14805,14595,14610,78507.0,5774189850.0,14595,158,14610,64,139194.0,14710,14765.0,0.7603085340077808,0.014373716632443531
2018-05-23,AL1807,14610,14685,14580,14600,74531.0,5451942650.0,14600,9,14605,13,133345.0,14630,14610.0,0.7603085340077808,0.007191780821917808
2018-05-24,AL1807,14600,14795,14500,14745,106420.0,7808567500.0,14740,90,14745,21,134227.0,14675,14600.0,0.7603085340077808,0.020006781959986435
2018-05-25,AL1807,14755,14875,14730,14825,88328.0,6531855600.0,14820,17,14825,16,133772.0,14790,14745.0,0.7603085340077808,0.009780775716694773
2018-05-28,AL1807,14810,14850,14735,14800,63907.0,4725922650.0,14795,174,14800,41,129930.0,14790,14825.0,0.7603085340077808,0.007770270270270271
2018-05-29,AL1807,14800,14815,14715,14725,73695.0,5438691000.0,14725,88,14730,12,126367.0,14760,14800.0,0.7603085340077808,0.006791171477079796
2018-05-30,AL1807,14755,14780,14650,14690,79179.0,5821635975.0,14685,25,14700,236,123225.0,14705,14725.0,0.7603085340077808,0.008849557522123894
2018-05-31,AL1807,14700,14745,14585,14590,94959.0,6960494700.0,14590,19,14595,1,121644.0,14660,14690.0,0.7603085340077808,0.010966415352981495
