time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,AP1805,8088,8106,8086,8101,8213.0,665088740.0,8101,6,8103,210,6180.0,8098,8088.0,1.0,0.002468831008517467
2018-01-03,AP1805,8103,8122,8088,8094,10077.0,816237000.0,8094,11,8095,14,5926.0,8100,8101.0,1.0,0.004200642451198419
2018-01-04,AP1805,8098,8114,8076,8092,8326.0,673906440.0,8091,10,8095,1,5626.0,8094,8094.0,1.0,0.0046959960454770145
2018-01-05,AP1805,8098,8111,8082,8099,4769.0,386145930.0,8099,36,8100,8,5045.0,8097,8092.0,1.0,0.003580688973947401
2018-01-08,AP1805,8103,8103,8080,8084,3466.0,280295420.0,8084,3,8085,1,4897.0,8087,8099.0,1.0,0.0028451261751608115
2018-01-09,AP1805,8086,8090,7933,7966,35564.0,2840852320.0,7966,12,7967,91,7967.0,7988,8084.0,1.0,0.019708762239517952
2018-01-10,AP1805,7956,7980,7933,7938,15096.0,1201339680.0,7938,9,7940,13,8002.0,7958,7966.0,1.0,0.0059208868732678254
2018-01-11,AP1805,7931,7953,7854,7865,21620.0,1707547600.0,7865,4,7866,9,10119.0,7898,7938.0,1.0,0.012587412587412588
2018-01-12,AP1805,7821,7855,7784,7787,19426.0,1518530420.0,7786,31,7788,2,12035.0,7817,7865.0,1.0,0.009117760369847181
2018-01-15,AP1805,7763,7795,7758,7777,13082.0,1017256320.0,7776,4,7777,4,12512.0,7776,7787.0,1.0,0.004757618619004758
2018-01-16,AP1805,7764,7815,7711,7723,22356.0,1737284760.0,7722,21,7723,6,14365.0,7771,7777.0,1.0,0.01346626958435841
2018-01-17,AP1805,7736,7744,7658,7670,44078.0,3389157420.0,7670,3,7672,9,15657.0,7689,7723.0,1.0,0.01121251629726206
2018-01-18,AP1805,7668,7708,7666,7671,24043.0,1848185410.0,7670,1,7671,11,16257.0,7687,7670.0,1.0,0.005475166210402816
2018-01-19,AP1805,7670,7701,7641,7657,28971.0,2222944830.0,7656,1,7658,3,15811.0,7673,7671.0,1.0,0.007835967088938226
2018-01-22,AP1805,7682,7708,7667,7697,20703.0,1591232580.0,7696,13,7697,25,15244.0,7686,7657.0,1.0,0.005326750682083929
2018-01-23,AP1805,7714,7740,7681,7699,27070.0,2087367700.0,7698,1,7699,1,14221.0,7711,7697.0,1.0,0.007663332900376673
2018-01-24,AP1805,7706,7708,7664,7677,13688.0,1052196560.0,7677,1,7678,18,14450.0,7687,7699.0,1.0,0.005731405496938909
2018-01-25,AP1805,7687,7701,7657,7661,13662.0,1049104980.0,7662,7,7664,4,14846.0,7679,7677.0,1.0,0.005743375538441457
2018-01-26,AP1805,7668,7699,7660,7683,15127.0,1162207410.0,7680,7,7683,20,13751.0,7683,7661.0,1.0,0.005076142131979695
2018-01-29,AP1805,7691,7697,7554,7560,28279.0,2148638420.0,7560,39,7561,16,16230.0,7598,7683.0,1.0,0.018915343915343916
2018-01-30,AP1805,7551,7568,7510,7512,25342.0,1910786800.0,7512,39,7514,12,18170.0,7540,7560.0,1.0,0.0077209797657082
2018-01-31,AP1805,7510,7543,7461,7487,44407.0,3330525000.0,7487,31,7488,13,18286.0,7500,7512.0,1.0,0.010952317350073461
2018-02-01,AP1805,7492,7515,7434,7434,31624.0,2367056400.0,7434,18,7437,5,19067.0,7485,7487.0,1.0,0.010895883777239709
2018-02-02,AP1805,7448,7462,7367,7372,50611.0,3755336200.0,7371,3,7372,4,21466.0,7420,7434.0,1.0,0.01288659793814433
2018-02-05,AP1805,7360,7382,7321,7334,52688.0,3873094880.0,7334,9,7335,29,24141.0,7351,7372.0,1.0,0.008317425688573766
2018-02-06,AP1805,7329,7372,7275,7278,57215.0,4189854450.0,7275,32,7278,72,25929.0,7323,7334.0,1.0,0.01332783731794449
2018-02-07,AP1805,7278,7293,6956,6956,147897.0,10519913610.0,0,0,6956,5006,35304.0,7113,7278.0,1.0,0.04844738355376653
2018-02-08,AP1805,6890,6890,6662,6754,215217.0,14580951750.0,6754,1,6755,2,26411.0,6775,6956.0,1.0,0.03375777317145395
2018-02-09,AP1805,6762,6828,6697,6745,134154.0,9067468860.0,6744,53,6745,18,27922.0,6759,6754.0,1.0,0.019421793921423278
2018-02-12,AP1805,6751,6941,6731,6803,136420.0,9295658800.0,6803,2,6804,33,26828.0,6814,6745.0,1.0,0.030868734381890344
2018-02-13,AP1805,6805,6848,6740,6765,98002.0,6643555580.0,6764,9,6765,35,26652.0,6779,6803.0,1.0,0.015964523281596452
2018-02-14,AP1805,6796,6821,6553,6621,117578.0,7867143980.0,6619,24,6621,30,26300.0,6691,6765.0,1.0,0.04047726929466848
2018-02-22,AP1805,6591,6623,6480,6481,114797.0,7484764400.0,6481,15,6482,18,35854.0,6520,6621.0,1.0,0.02206449621971918
2018-02-23,AP1805,6480,6846,6471,6846,254518.0,16938172900.0,6846,7457,0,0,35554.0,6655,6481.0,1.0,0.054776511831726556
2018-02-26,AP1805,6955,7064,6883,6956,300616.0,20922873600.0,6955,12,6956,1,27462.0,6960,6846.0,1.0,0.026020701552616446
2018-02-27,AP1805,6945,7150,6889,7083,466457.0,32726623120.0,7082,7,7083,3,32064.0,7016,6956.0,1.0,0.036848792884371026
2018-02-28,AP1805,7082,7124,7036,7098,439055.0,31093875100.0,7098,4,7099,55,33280.0,7082,7083.0,1.0,0.012397858551704706
2018-03-01,AP1805,7090,7188,7050,7131,400682.0,28560612960.0,7129,23,7131,51,34418.0,7128,7098.0,1.0,0.019352124526714348
2018-03-02,AP1805,7115,7168,6976,7016,413426.0,29349111740.0,7015,5,7016,28,31242.0,7099,7131.0,1.0,0.027366020524515394
2018-03-05,AP1805,7005,7052,6944,7026,477803.0,33436653940.0,7025,4,7026,15,30584.0,6998,7016.0,1.0,0.015371477369769428
2018-03-06,AP1805,7030,7310,7018,7218,833811.0,59976025230.0,7218,43,7219,79,38240.0,7193,7026.0,1.0,0.04045441950678858
2018-03-07,AP1805,7216,7238,7149,7185,459376.0,33065884480.0,7184,47,7185,1,34132.0,7198,7218.0,1.0,0.012386917188587334
