time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,AU1806,279.55,279.9,278.95,279.4,27380.0,7644496000.0,279.4,2,279.45,1,127986.0,279.2,277.8,0.8863303772032924,0.003400143163922651
2018-01-03,AU1806,279.8,281.45,279.45,280.35,60249.0,16893819599.999998,280.3,15,280.35,255,134879.0,280.4,279.4,0.8863303772032924,0.007133939718209381
2018-01-04,AU1806,280.25,280.5,278.35,279.0,57803.0,16144377900.0,279.0,125,279.05,87,134039.0,279.3,280.35,0.8863303772032924,0.007706093189964076
2018-01-05,AU1806,279.3,280.5,278.4,279.85,65984.0,18455724800.0,279.85,64,279.9,83,135709.0,279.7,279.0,0.8863303772032924,0.007504020010720109
2018-01-08,AU1806,279.55,280.8,279.05,280.2,61335.0,17170733250.0,280.1,63,280.2,56,132666.0,279.95,279.85,0.8863303772032924,0.006245538900785154
2018-01-09,AU1806,280.35,281.0,280.0,280.55,48573.0,13624726500.0,280.55,110,280.6,78,134875.0,280.5,280.2,0.8863303772032924,0.003564427018356799
2018-01-10,AU1806,280.6,280.85,279.75,279.95,50315.0,14095747249.999998,279.9,11,279.95,343,137568.0,280.15,280.55,0.8863303772032924,0.003929273084479453
2018-01-11,AU1806,281.7,281.85,280.5,280.85,53993.0,15177432300.0,280.85,22,280.9,106,138820.0,281.1,279.95,0.8863303772032924,0.004806836389531859
2018-01-12,AU1806,280.95,281.8,280.55,281.55,53575.0,15062611249.999998,281.5,106,281.6,79,140756.0,281.15,280.85,0.8863303772032924,0.004439708755105665
2018-01-15,AU1806,281.7,282.6,280.05,282.05,77050.0,21708837500.0,282.05,105,282.1,52,140600.0,281.75,281.55,0.8863303772032924,0.00904095018613725
2018-01-16,AU1806,282.25,282.35,281.5,281.65,36843.0,10386041700.0,281.6,28,281.65,1,139457.0,281.9,282.05,0.8863303772032924,0.0030179300550329234
2018-01-17,AU1806,281.05,281.9,280.55,280.8,60018.0,16871059800.0,280.75,103,280.8,33,138939.0,281.1,281.65,0.8863303772032924,0.004807692307692186
2018-01-18,AU1806,280.95,281.0,278.65,279.25,60352.0,16877436799.999996,279.2,10,279.25,205,137980.0,279.65,280.8,0.8863303772032924,0.008415398388540815
2018-01-19,AU1806,278.8,279.4,277.9,278.35,61999.0,17276021349.999996,278.35,4,278.4,85,137533.0,278.65,279.25,0.8863303772032924,0.005388898868331237
2018-01-22,AU1806,278.9,279.15,278.45,278.5,45892.0,12796984200.000002,278.5,3,278.55,116,137354.0,278.85,278.35,0.8863303772032924,0.0025134649910232986
2018-01-23,AU1806,278.9,279.6,278.6,279.4,53192.0,14845887200.000002,279.35,100,279.4,46,141447.0,279.1,278.5,0.8863303772032924,0.003579098067287044
2018-01-24,AU1806,279.65,280.7,279.15,280.7,64997.0,18186160600.0,280.65,5,280.7,91,144571.0,279.8,279.4,0.8863303772032924,0.005521909511934491
2018-01-25,AU1806,281.25,282.1,280.75,281.75,73803.0,20768164200.0,281.75,38,281.8,21,144875.0,281.4,280.7,0.8863303772032924,0.0047914818101154315
2018-01-26,AU1806,280.65,281.25,279.15,279.95,80316.0,22504543200.0,279.95,61,280.0,29,144718.0,280.2,281.75,0.8863303772032924,0.007501339524915245
2018-01-29,AU1806,279.4,280.0,278.55,278.7,58263.0,16269942750.0,278.65,6,278.7,96,147898.0,279.25,279.95,0.8863303772032924,0.005202726946537455
2018-01-30,AU1806,278.25,278.75,276.2,276.35,71081.0,19721423450.0,276.35,51,276.4,4,149336.0,277.45,278.7,0.8863303772032924,0.009227428984982852
2018-01-31,AU1806,277.55,278.05,276.45,276.6,65110.0,18041981000.0,276.6,30,276.65,96,147400.0,277.1,276.35,0.8863303772032924,0.0057845263919017445
2018-02-01,AU1806,276.1,276.8,275.6,276.05,53996.0,14910995399.999998,276.05,246,276.1,57,145872.0,276.15,276.6,0.8863303772032924,0.0043470385799673555
2018-02-02,AU1806,275.85,276.85,275.6,276.4,47557.0,13137621250.0,276.35,85,276.4,20,147627.0,276.25,276.05,0.8863303772032924,0.004522431259044863
2018-02-05,AU1806,276.15,276.5,273.75,274.0,89835.0,24673182750.0,273.95,64,274.0,58,151155.0,274.65,276.4,0.8863303772032924,0.010036496350364963
2018-02-06,AU1806,274.3,277.4,273.8,276.0,82569.0,22764273300.0,276.0,3,276.05,32,154113.0,275.7,274.0,0.8863303772032924,0.013043478260869441
2018-02-07,AU1806,274.95,274.95,271.65,272.3,86853.0,23715211650.000004,272.3,83,272.35,20,154038.0,273.05,276.0,0.8863303772032924,0.01211898641204558
2018-02-08,AU1806,271.65,272.15,270.35,271.7,84607.0,22949648750.0,271.7,126,271.75,43,156389.0,271.25,272.3,0.8863303772032924,0.006624953993374879
2018-02-09,AU1806,272.3,274.5,271.8,273.05,76919.0,20995041050.0,273.0,2,273.05,214,157105.0,272.95,271.7,0.8863303772032924,0.009888298846365093
2018-02-12,AU1806,271.85,273.1,270.85,272.9,82817.0,22526224000.0,272.8,98,272.9,85,159909.0,272.0,273.05,0.8863303772032924,0.008244778307072188
2018-02-13,AU1806,272.7,274.35,272.65,274.25,53102.0,14523397000.0,274.2,69,274.25,73,157615.0,273.5,272.9,0.8863303772032924,0.006198723792160603
2018-02-14,AU1806,274.65,276.15,273.55,276.1,50798.0,13969450000.0,276.1,3,276.15,58,153712.0,275.0,274.25,0.8863303772032924,0.009416877942774233
2018-02-22,AU1806,274.7,274.8,273.3,273.65,34561.0,9464529850.000002,273.65,32,273.7,15,156884.0,273.85,276.1,0.8863303772032924,0.005481454412570802
2018-02-23,AU1806,274.0,275.0,274.0,274.6,44929.0,12330764049.999998,274.55,37,274.6,41,160610.0,274.45,273.65,0.8863303772032924,0.0036416605972323375
2018-02-26,AU1806,275.05,275.95,274.1,275.85,52545.0,14452502250.0,275.85,20,275.9,178,164217.0,275.05,274.6,0.8863303772032924,0.006706543411274119
2018-02-27,AU1806,275.25,275.6,274.05,274.4,54974.0,15101357799.999998,274.4,135,274.45,4,162071.0,274.7,275.85,0.8863303772032924,0.005648688046647273
2018-02-28,AU1806,274.35,274.4,271.7,272.05,82190.0,22417322500.0,272.0,115,272.05,7,164097.0,272.75,274.4,0.8863303772032924,0.009924646204741733
2018-03-01,AU1806,272.35,272.75,271.35,271.7,48325.0,13146816250.0,271.7,36,271.75,129,165113.0,272.05,272.05,0.8863303772032924,0.005152741994847175
2018-03-02,AU1806,270.95,273.05,270.7,272.7,88477.0,24056896300.0,272.65,91,272.7,1,168237.0,271.9,271.7,0.8863303772032924,0.008617528419508701
2018-03-05,AU1806,273.3,273.9,272.45,273.65,64002.0,17494946700.000004,273.65,167,273.7,120,166954.0,273.35,272.7,0.8863303772032924,0.005298739265485067
2018-03-06,AU1806,273.35,273.5,272.35,273.3,40690.0,11108370000.0,273.3,21,273.35,12,167133.0,273.0,273.65,0.8863303772032924,0.004207830223197867
