time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,B1805,3286,3286,3273,3273,5136.0,168255360.0,3272,1,3275,19,4537.0,3276,3266.0,1.9327230191969136,0.003971891231286282
2018-01-03,B1805,3266,3283,3250,3267,7063.0,231948920.0,3260,2,3271,1,8320.0,3284,3273.0,1.9327230191969136,0.010101010101010102
2018-01-04,B1805,3257,3280,3257,3268,10234.0,335061160.0,3259,1,3267,2,10223.0,3274,3267.0,1.9327230191969136,0.007037943696450428
2018-01-05,B1805,3274,3328,3252,3273,8041.0,263744800.0,3267,1,3274,1,9827.0,3280,3268.0,1.9327230191969136,0.02322028719828903
2018-01-08,B1805,3280,3284,3257,3268,6107.0,200004250.0,3261,1,3269,1,9602.0,3275,3273.0,1.9327230191969136,0.008261933904528763
2018-01-09,B1805,3278,3279,3251,3256,10080.0,329515200.0,3255,1,3260,2,8421.0,3269,3268.0,1.9327230191969136,0.0085995085995086
2018-01-10,B1805,3249,3264,3171,3185,8302.0,270064060.0,3185,4,3186,2,7508.0,3253,3256.0,1.9327230191969136,0.029199372056514912
2018-01-11,B1805,3204,3226,3190,3213,15232.0,488947200.0,3208,1,3213,3,8988.0,3210,3185.0,1.9327230191969136,0.011204481792717087
2018-01-12,B1805,3222,3224,3180,3190,13313.0,425616610.0,3190,1,3195,2,8538.0,3197,3213.0,1.9327230191969136,0.013793103448275862
2018-01-15,B1805,3187,3196,3105,3177,11726.0,372417760.0,3165,1,3177,2,8274.0,3176,3190.0,1.9327230191969136,0.02864337425243941
2018-01-16,B1805,3181,3185,3148,3152,7503.0,236794680.0,3151,20,3162,2,9315.0,3156,3177.0,1.9327230191969136,0.011738578680203046
2018-01-17,B1805,3149,3168,3147,3159,11191.0,353635600.0,3151,10,3160,16,10418.0,3160,3152.0,1.9327230191969136,0.006647673314339981
2018-01-18,B1805,3157,3215,3146,3172,17578.0,555464800.0,3167,1,3198,1,10998.0,3160,3159.0,1.9327230191969136,0.021752837326607818
2018-01-19,B1805,3168,3208,3156,3189,13906.0,441098320.0,3188,2,3194,1,9471.0,3172,3172.0,1.9327230191969136,0.016306052053935403
2018-01-22,B1805,3176,3226,3176,3210,9321.0,298272000.0,3206,1,3213,1,10112.0,3200,3189.0,1.9327230191969136,0.01557632398753894
2018-01-23,B1805,3226,3303,3207,3275,7334.0,236888200.0,3273,1,3282,2,9531.0,3230,3210.0,1.9327230191969136,0.02931297709923664
2018-01-24,B1805,3267,3289,3243,3276,4599.0,149651460.0,3276,9,3281,1,8844.0,3254,3275.0,1.9327230191969136,0.014041514041514042
2018-01-25,B1805,3273,3301,3250,3280,8976.0,293245920.0,3280,7,3293,1,10602.0,3267,3276.0,1.9327230191969136,0.015548780487804878
