time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,BU1806,2626,2686,2618,2682,220335.0,5852097600.0,2678,317,2682,546,191948.0,2656,2622.0,0.6067833561607732,0.02535421327367636
2018-01-03,BU1806,2678,2684,2660,2662,116617.0,3113673900.0,2662,74,2664,274,194814.0,2670,2682.0,0.6067833561607732,0.009015777610818933
2018-01-04,BU1806,2666,2702,2646,2696,184991.0,4950359160.0,2694,287,2698,234,201763.0,2676,2662.0,0.6067833561607732,0.020771513353115726
2018-01-05,BU1806,2694,2712,2660,2698,228773.0,6144842780.0,2698,6,2700,377,211640.0,2686,2696.0,0.6067833561607732,0.01927353595255745
2018-01-08,BU1806,2690,2712,2676,2690,166866.0,4492032720.0,2688,17,2690,193,217308.0,2692,2698.0,0.6067833561607732,0.013382899628252789
2018-01-09,BU1806,2690,2730,2688,2712,162265.0,4400626800.0,2712,390,2714,62,221063.0,2712,2690.0,0.6067833561607732,0.015486725663716814
2018-01-10,BU1806,2718,2762,2700,2758,236973.0,6474102360.0,2756,247,2758,32,230530.0,2732,2712.0,0.6067833561607732,0.022480058013052938
2018-01-11,BU1806,2768,2768,2740,2750,106329.0,2924047500.0,2750,47,2752,172,226921.0,2750,2758.0,0.6067833561607732,0.010181818181818183
2018-01-12,BU1806,2758,2766,2738,2752,134901.0,3712475520.0,2752,30,2754,79,229718.0,2752,2750.0,0.6067833561607732,0.010174418604651164
2018-01-15,BU1806,2746,2814,2736,2808,200770.0,5585421400.0,2806,83,2808,39,253025.0,2782,2752.0,0.6067833561607732,0.027777777777777776
2018-01-16,BU1806,2806,2808,2762,2766,157319.0,4379760960.0,2766,217,2768,225,229183.0,2784,2808.0,0.6067833561607732,0.016630513376717282
2018-01-17,BU1806,2762,2790,2744,2766,172486.0,4767513040.0,2764,216,2766,3,227319.0,2764,2766.0,0.6067833561607732,0.016630513376717282
2018-01-18,BU1806,2760,2786,2750,2764,146946.0,4064526360.0,2762,39,2764,341,228860.0,2766,2766.0,0.6067833561607732,0.013024602026049204
2018-01-19,BU1806,2766,2772,2724,2746,235565.0,6459192300.0,2746,161,2748,56,221616.0,2742,2764.0,0.6067833561607732,0.01747997086671522
2018-01-22,BU1806,2752,2794,2734,2784,176445.0,4880468700.0,2782,326,2784,43,225782.0,2766,2746.0,0.6067833561607732,0.021551724137931036
2018-01-23,BU1806,2782,2798,2752,2770,209300.0,5810168000.0,2768,174,2770,81,214918.0,2776,2784.0,0.6067833561607732,0.01660649819494585
2018-01-24,BU1806,2764,2866,2764,2862,420529.0,11850507220.0,2860,147,2864,423,277292.0,2818,2770.0,0.6067833561607732,0.03563941299790356
2018-01-25,BU1806,2864,2946,2852,2916,338254.0,9809366000.0,2916,13,2918,162,291303.0,2900,2862.0,0.6067833561607732,0.03223593964334705
2018-01-26,BU1806,2916,2934,2888,2914,231022.0,6722740200.0,2914,516,2916,3,299791.0,2910,2916.0,0.6067833561607732,0.015785861358956762
2018-01-29,BU1806,2912,2962,2908,2928,201036.0,5902416960.0,2928,259,2930,37,306440.0,2936,2914.0,0.6067833561607732,0.018442622950819672
2018-01-30,BU1806,2916,2926,2872,2894,256394.0,7425170240.0,2892,121,2894,183,285735.0,2896,2928.0,0.6067833561607732,0.018659295093296474
2018-01-31,BU1806,2890,2902,2864,2898,205201.0,5913892820.0,2898,370,2900,392,285286.0,2882,2894.0,0.6067833561607732,0.013112491373360938
2018-02-01,BU1806,2898,2914,2862,2876,264518.0,7628699120.0,2874,237,2876,239,284496.0,2884,2898.0,0.6067833561607732,0.01808066759388039
2018-02-02,BU1806,2884,2934,2874,2890,258071.0,7484059000.0,2888,103,2890,275,283249.0,2900,2876.0,0.6067833561607732,0.020761245674740483
2018-02-05,BU1806,2878,2886,2830,2864,304358.0,8686377320.0,2862,363,2864,15,257316.0,2854,2890.0,0.6067833561607732,0.019553072625698324
2018-02-06,BU1806,2862,2874,2796,2808,276925.0,7820362000.0,2808,333,2810,298,246424.0,2824,2864.0,0.6067833561607732,0.027777777777777776
2018-02-07,BU1806,2806,2832,2804,2814,136900.0,3855104000.0,2812,235,2814,21,242427.0,2816,2808.0,0.6067833561607732,0.009950248756218905
2018-02-08,BU1806,2800,2824,2762,2766,217211.0,6047154240.0,2766,582,2768,21,235051.0,2784,2814.0,0.6067833561607732,0.022415039768618944
2018-02-09,BU1806,2766,2788,2740,2742,163889.0,4523336400.0,2742,73,2744,176,225053.0,2760,2766.0,0.6067833561607732,0.0175054704595186
2018-02-12,BU1806,2740,2750,2700,2706,177388.0,4828501360.0,2706,1,2708,42,224014.0,2722,2742.0,0.6067833561607732,0.018477457501847747
2018-02-13,BU1806,2708,2720,2678,2698,131747.0,3554534060.0,2696,8,2698,53,214995.0,2698,2706.0,0.6067833561607732,0.015567086730911787
2018-02-14,BU1806,2696,2724,2652,2684,153400.0,4129528000.0,2684,4,2686,132,203985.0,2692,2698.0,0.6067833561607732,0.026825633383010434
2018-02-22,BU1806,2702,2740,2700,2730,107255.0,2923771300.0,2728,40,2730,130,206837.0,2726,2684.0,0.6067833561607732,0.014652014652014652
2018-02-23,BU1806,2734,2786,2732,2778,165590.0,4576907600.0,2778,158,2780,512,214200.0,2764,2730.0,0.6067833561607732,0.019438444924406047
2018-02-26,BU1806,2776,2810,2766,2794,158321.0,4417155900.0,2792,383,2794,19,208701.0,2790,2778.0,0.6067833561607732,0.015748031496062992
2018-02-27,BU1806,2790,2794,2772,2780,114811.0,3191745800.0,2780,159,2782,794,208837.0,2780,2794.0,0.6067833561607732,0.007913669064748202
2018-02-28,BU1806,2780,2832,2776,2796,265818.0,7453536720.0,2796,45,2798,228,214022.0,2804,2780.0,0.6067833561607732,0.020028612303290415
2018-03-01,BU1806,2800,2814,2756,2780,215368.0,5991537760.0,2778,295,2780,633,213848.0,2782,2796.0,0.6067833561607732,0.020863309352517987
2018-03-02,BU1806,2768,2778,2748,2770,164500.0,4550070000.0,2770,10,2772,264,213194.0,2766,2780.0,0.6067833561607732,0.010830324909747292
2018-03-05,BU1806,2766,2804,2716,2718,312403.0,8622322800.0,2718,15,2720,26,226497.0,2760,2770.0,0.6067833561607732,0.03237674760853569
2018-03-06,BU1806,2716,2738,2698,2728,166786.0,4536579200.0,2724,270,2728,347,218298.0,2720,2718.0,0.6067833561607732,0.01466275659824047
2018-03-07,BU1806,2738,2748,2704,2710,181318.0,4931849600.0,2708,288,2710,2,225277.0,2720,2728.0,0.6067833561607732,0.016236162361623615
2018-03-08,BU1806,2716,2726,2690,2708,170704.0,4622664320.0,2706,281,2708,215,221801.0,2708,2710.0,0.6067833561607732,0.013293943870014771
2018-03-09,BU1806,2708,2736,2676,2696,236888.0,6414927040.0,2696,122,2698,172,214740.0,2708,2708.0,0.6067833561607732,0.02225519287833828
2018-03-12,BU1806,2706,2746,2700,2730,198370.0,5403598800.0,2728,25,2730,265,204611.0,2724,2696.0,0.6067833561607732,0.01684981684981685
2018-03-13,BU1806,2724,2730,2660,2664,277293.0,7475819280.0,2662,280,2664,662,222476.0,2696,2730.0,0.6067833561607732,0.026276276276276277
2018-03-14,BU1806,2668,2688,2654,2674,189685.0,5068383200.0,2672,284,2674,29,217820.0,2672,2664.0,0.6067833561607732,0.012715033657442034
2018-03-15,BU1806,2686,2696,2672,2686,146145.0,3919608900.0,2686,595,2688,797,213147.0,2682,2674.0,0.6067833561607732,0.008935219657483246
2018-03-16,BU1806,2690,2726,2672,2716,173716.0,4672960400.0,2718,1,2720,126,203803.0,2690,2686.0,0.6067833561607732,0.019882179675994108
2018-03-19,BU1806,2714,2766,2710,2760,233378.0,6385222080.0,2758,5,2760,314,203297.0,2736,2716.0,0.6067833561607732,0.020289855072463767
2018-03-20,BU1806,2760,2788,2740,2780,193810.0,5353032200.0,2778,72,2780,120,206369.0,2762,2760.0,0.6067833561607732,0.017266187050359712
2018-03-21,BU1806,2788,2816,2774,2786,245502.0,6849505800.0,2786,49,2788,460,199757.0,2790,2780.0,0.6067833561607732,0.01507537688442211
2018-03-22,BU1806,2792,2816,2776,2800,199025.0,5564739000.0,2800,378,2802,42,206751.0,2796,2786.0,0.6067833561607732,0.014285714285714285
2018-03-23,BU1806,2792,2824,2752,2784,430523.0,11985760320.0,2784,100,2786,495,192717.0,2784,2800.0,0.6067833561607732,0.02586206896551724
2018-03-26,BU1806,2780,2892,2760,2844,492514.0,13938146200.0,2844,482,2846,295,187177.0,2830,2784.0,0.6067833561607732,0.046413502109704644
