time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,C1805,1818,1834,1815,1829,186335.0,3404340450.0,1829,336,1830,25,499846.0,1827,1816.0,0.7689034827742233,0.01038819026790596
2018-01-03,C1805,1837,1856,1837,1853,270152.0,4992408960.0,1852,366,1853,149,530321.0,1848,1829.0,0.7689034827742233,0.01025364274150027
2018-01-04,C1805,1852,1853,1838,1848,174154.0,3211399760.0,1847,958,1848,175,526789.0,1844,1853.0,0.7689034827742233,0.008116883116883116
2018-01-05,C1805,1850,1861,1848,1853,190073.0,3525854150.0,1853,115,1854,213,543781.0,1855,1848.0,0.7689034827742233,0.007015650296815974
2018-01-08,C1805,1855,1855,1824,1825,312566.0,5741837420.0,1825,75,1826,75,558041.0,1837,1853.0,0.7689034827742233,0.016986301369863014
2018-01-09,C1805,1824,1828,1816,1826,258746.0,4711764660.0,1825,65,1826,10,511182.0,1821,1825.0,0.7689034827742233,0.0065717415115005475
2018-01-10,C1805,1824,1832,1823,1829,142799.0,2608937730.0,1828,514,1829,1439,529442.0,1827,1826.0,0.7689034827742233,0.004920721705850191
2018-01-11,C1805,1828,1834,1816,1821,170946.0,3114636120.0,1820,2294,1821,327,521026.0,1822,1829.0,0.7689034827742233,0.009884678747940691
2018-01-12,C1805,1823,1827,1814,1827,152088.0,2768001600.0,1826,622,1827,1457,522333.0,1820,1821.0,0.7689034827742233,0.0071154898741105635
2018-01-15,C1805,1830,1844,1823,1825,281815.0,5162850800.0,1825,46,1826,669,551098.0,1832,1827.0,0.7689034827742233,0.011506849315068493
2018-01-16,C1805,1825,1827,1820,1822,157547.0,2872081810.0,1822,125,1823,353,526494.0,1823,1825.0,0.7689034827742233,0.0038419319429198683
2018-01-17,C1805,1822,1823,1815,1816,152333.0,2769413940.0,1815,4845,1817,64,534637.0,1818,1822.0,0.7689034827742233,0.004405286343612335
2018-01-18,C1805,1818,1819,1803,1809,220133.0,3984407300.0,1808,1039,1809,13,514133.0,1810,1816.0,0.7689034827742233,0.008844665561083471
2018-01-19,C1805,1812,1812,1799,1801,190485.0,3434444550.0,1800,1875,1801,57,503280.0,1803,1809.0,0.7689034827742233,0.007218212104386452
2018-01-22,C1805,1802,1806,1795,1797,182544.0,3283966560.0,1797,241,1798,436,489535.0,1799,1801.0,0.7689034827742233,0.006121313299944352
2018-01-23,C1805,1797,1802,1783,1783,229316.0,4111635880.0,1783,460,1784,92,491007.0,1793,1797.0,0.7689034827742233,0.01065619742007852
2018-01-24,C1805,1785,1793,1785,1788,148497.0,2655126360.0,1788,100,1789,362,465613.0,1788,1783.0,0.7689034827742233,0.0044742729306487695
2018-01-25,C1805,1792,1797,1786,1787,141359.0,2531739690.0,1787,654,1788,267,464094.0,1791,1788.0,0.7689034827742233,0.006155567991046447
2018-01-26,C1805,1786,1797,1785,1796,127508.0,2283668280.0,1795,1323,1796,863,442330.0,1791,1787.0,0.7689034827742233,0.0066815144766146995
2018-01-29,C1805,1797,1799,1792,1795,115304.0,2069706800.0,1794,1113,1795,547,438201.0,1795,1796.0,0.7689034827742233,0.0038997214484679664
2018-01-30,C1805,1793,1799,1790,1792,95811.0,1717891230.0,1792,175,1793,210,429557.0,1793,1795.0,0.7689034827742233,0.005022321428571429
2018-01-31,C1805,1791,1797,1785,1788,147818.0,2647420380.0,1788,92,1789,287,423167.0,1791,1792.0,0.7689034827742233,0.006711409395973154
2018-02-01,C1805,1790,1807,1787,1805,246228.0,4427179440.0,1804,110,1805,1073,428401.0,1798,1788.0,0.7689034827742233,0.0110803324099723
2018-02-02,C1805,1806,1809,1800,1804,135238.0,2439693520.0,1803,855,1804,82,408985.0,1804,1805.0,0.7689034827742233,0.004988913525498891
2018-02-05,C1805,1810,1824,1809,1816,217316.0,3948631720.0,1816,1544,1817,218,441213.0,1817,1804.0,0.7689034827742233,0.008259911894273128
2018-02-06,C1805,1816,1819,1808,1815,150474.0,2728093620.0,1815,1838,1816,81,407097.0,1813,1816.0,0.7689034827742233,0.006060606060606061
2018-02-07,C1805,1820,1828,1816,1825,177575.0,3235416500.0,1824,727,1825,377,408065.0,1822,1815.0,0.7689034827742233,0.006575342465753425
2018-02-08,C1805,1825,1830,1820,1826,123625.0,2254920000.0,1826,196,1827,781,389018.0,1824,1825.0,0.7689034827742233,0.00547645125958379
2018-02-09,C1805,1828,1832,1817,1824,183828.0,3351184440.0,1823,847,1824,600,404195.0,1823,1826.0,0.7689034827742233,0.008223684210526315
2018-02-12,C1805,1823,1826,1814,1818,149761.0,2724152590.0,1817,332,1818,544,383757.0,1819,1824.0,0.7689034827742233,0.006600660066006601
2018-02-13,C1805,1820,1820,1797,1800,204253.0,3686766650.0,1799,626,1800,168,356145.0,1805,1818.0,0.7689034827742233,0.012777777777777779
2018-02-14,C1805,1798,1813,1796,1812,100032.0,1802576640.0,1811,175,1812,42,358716.0,1802,1800.0,0.7689034827742233,0.009381898454746136
2018-02-22,C1805,1815,1822,1809,1819,123081.0,2235150960.0,1818,261,1819,321,367297.0,1816,1812.0,0.7689034827742233,0.007146783947223749
2018-02-23,C1805,1817,1822,1808,1813,146875.0,2662843750.0,1812,125,1813,933,380804.0,1813,1819.0,0.7689034827742233,0.007722007722007722
2018-02-26,C1805,1819,1837,1815,1829,287470.0,5249202200.0,1828,1317,1829,121,431476.0,1826,1813.0,0.7689034827742233,0.01202843083652269
2018-02-27,C1805,1830,1831,1824,1828,124693.0,2278141110.0,1827,327,1828,477,417669.0,1827,1829.0,0.7689034827742233,0.0038293216630196935
2018-02-28,C1805,1823,1833,1823,1830,137071.0,2505657880.0,1830,9,1831,99,433836.0,1828,1828.0,0.7689034827742233,0.00546448087431694
2018-03-01,C1805,1836,1839,1827,1828,197239.0,3613418480.0,1828,87,1829,105,421472.0,1832,1830.0,0.7689034827742233,0.006564551422319475
2018-03-02,C1805,1831,1854,1827,1840,299204.0,5505353600.0,1839,289,1840,324,449992.0,1840,1828.0,0.7689034827742233,0.014673913043478261
