time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,CF1805,14910,15045,14910,15040,34802.0,2611890100.0,15035,19,15040,12,143747.0,15010,14945.0,0.7868838078114232,0.008976063829787235
2018-01-03,CF1805,15060,15075,14930,14960,47503.0,3557974700.0,14960,214,14965,1,147847.0,14980,15040.0,0.7868838078114232,0.009692513368983958
2018-01-04,CF1805,14970,15035,14935,15010,44210.0,3312434250.0,15005,14,15010,3,149523.0,14985,14960.0,0.7868838078114232,0.006662225183211193
2018-01-05,CF1805,15010,15180,15010,15170,93140.0,7027413000.0,15165,42,15170,567,152409.0,15090,15010.0,0.7868838078114232,0.01120632827949901
2018-01-08,CF1805,15170,15190,15090,15175,74621.0,5650675225.0,15170,2,15175,158,151683.0,15145,15170.0,0.7868838078114232,0.006589785831960461
2018-01-09,CF1805,15180,15250,15155,15245,67297.0,5119619275.0,15245,114,15250,819,155920.0,15215,15175.0,0.7868838078114232,0.006231551328304362
2018-01-10,CF1805,15255,15280,15185,15250,49247.0,3748927875.0,15245,1,15250,429,153459.0,15225,15245.0,0.7868838078114232,0.006229508196721312
2018-01-11,CF1805,15245,15285,15200,15285,46484.0,3546729200.0,15280,74,15285,98,158276.0,15260,15250.0,0.7868838078114232,0.005561007523716062
2018-01-12,CF1805,15295,15510,15270,15450,169395.0,13047649875.0,15450,104,15455,30,191834.0,15405,15285.0,0.7868838078114232,0.015533980582524271
2018-01-15,CF1805,15410,15455,15215,15280,114240.0,8747928000.0,15280,36,15285,220,182007.0,15315,15450.0,0.7868838078114232,0.015706806282722512
2018-01-16,CF1805,15265,15300,15200,15230,52624.0,4011264400.0,15225,61,15235,28,177626.0,15245,15280.0,0.7868838078114232,0.006565988181221274
2018-01-17,CF1805,15220,15295,15135,15150,55607.0,4227522175.0,15150,16,15155,129,173423.0,15205,15230.0,0.7868838078114232,0.010561056105610561
2018-01-18,CF1805,15185,15560,15165,15515,223867.0,17299322425.0,15510,124,15515,34,216153.0,15455,15150.0,0.7868838078114232,0.025459233000322268
2018-01-19,CF1805,15500,15520,15260,15290,141791.0,10900183125.0,15285,3,15290,76,192583.0,15375,15515.0,0.7868838078114232,0.017004578155657292
2018-01-22,CF1805,15315,15545,15300,15520,130724.0,10101697100.0,15520,115,15525,152,211123.0,15455,15290.0,0.7868838078114232,0.015786082474226804
2018-01-23,CF1805,15505,15630,15440,15570,226995.0,17648861250.0,15570,80,15575,2,243105.0,15550,15520.0,0.7868838078114232,0.012202954399486191
