time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2019-05-06,CJ1912,8820,8900,8620,8665,174602.0,7634472450.0,8665,113,8670,9,28642.0,8745,8840.0,1.0,0.03231390652048471
2019-05-07,CJ1912,8710,8720,8545,8615,150838.0,6501117800.0,8605,18,8610,1,35452.0,8620,8665.0,1.0,0.020313406848520024
2019-05-08,CJ1912,8620,8710,8595,8635,117221.0,5069808250.0,8635,18,8640,187,35982.0,8650,8615.0,1.0,0.013317892298784018
2019-05-09,CJ1912,8635,8690,8580,8620,101511.0,4385275200.0,8620,34,8625,47,35355.0,8640,8635.0,1.0,0.012761020881670533
2019-05-10,CJ1912,8655,8750,8620,8670,94233.0,4089712200.0,8665,197,8670,23,32783.0,8680,8620.0,1.0,0.014994232987312572
2019-05-13,CJ1912,8690,9115,8670,9115,308736.0,13869964800.0,9115,5996,0,0,51931.0,8985,8670.0,1.0,0.04882062534284147
2019-05-14,CJ1912,9125,9575,9125,9505,621179.0,29273060375.0,9505,1,9510,37,44469.0,9425,9115.0,1.0,0.04734350341925302
2019-05-15,CJ1912,9505,9865,9385,9660,600125.0,28760990625.0,9660,47,9665,41,55821.0,9585,9505.0,1.0,0.049689440993788817
2019-05-16,CJ1912,9680,9890,9620,9715,655301.0,31945923750.0,9715,37,9720,64,64167.0,9750,9660.0,1.0,0.027792074112197633
2019-05-17,CJ1912,9750,9795,9625,9755,416237.0,20218712275.0,9755,19,9765,284,60155.0,9715,9715.0,1.0,0.01742696053305997
2019-05-20,CJ1912,9790,9915,9655,9755,423001.0,20674173875.0,9750,45,9755,32,60801.0,9775,9755.0,1.0,0.02665299846232701
2019-05-21,CJ1912,9775,9905,9700,9840,377595.0,18521034750.0,9835,159,9840,20,60534.0,9810,9755.0,1.0,0.020833333333333332
