time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,CY1809,23235,23235,23235,23235,0.0,0.0,23010,1,23500,1,30.0,23235,23235.0,0.9754201680672268,0.0
2018-01-03,CY1809,23305,23305,23305,23305,2.0,233050.0,23010,1,23335,2,30.0,23305,23235.0,0.9754201680672268,0.0
2018-01-04,CY1809,23305,23305,23305,23305,0.0,0.0,23000,3,23435,1,30.0,23305,23305.0,0.9754201680672268,0.0
2018-01-05,CY1809,23305,23305,23305,23305,0.0,0.0,22950,1,23460,2,30.0,23305,23305.0,0.9754201680672268,0.0
2018-01-08,CY1809,23305,23305,23305,23305,0.0,0.0,23090,2,23485,1,30.0,23305,23305.0,0.9754201680672268,0.0
2018-01-09,CY1809,23125,23480,23125,23450,9.0,1054575.0,23335,1,23460,1,30.0,23435,23305.0,0.9754201680672268,0.015138592750533048
2018-01-10,CY1809,23220,23220,23220,23220,2.0,232200.0,23130,1,23400,1,29.0,23220,23450.0,0.9754201680672268,0.0
2018-01-11,CY1809,23220,23220,23220,23220,0.0,0.0,23130,1,23400,2,29.0,23220,23220.0,0.9754201680672268,0.0
2018-01-12,CY1809,23125,23495,23095,23495,6.0,695550.0,23090,2,23450,1,26.0,23185,23220.0,0.9754201680672268,0.017024898914662693
2018-01-15,CY1809,23495,23495,23495,23495,0.0,0.0,23015,1,23300,1,26.0,23185,23495.0,0.9754201680672268,0.0
2018-01-16,CY1809,23185,23185,23185,23185,0.0,0.0,23020,3,23395,1,26.0,23185,23495.0,0.9754201680672268,0.0
2018-01-17,CY1809,23015,23015,22900,23015,16.0,1838800.0,22930,1,23195,1,16.0,22985,23185.0,0.9754201680672268,0.0049967412557028025
2018-01-18,CY1809,23015,23015,23015,23015,0.0,0.0,22945,1,23335,1,16.0,22985,23015.0,0.9754201680672268,0.0
2018-01-19,CY1809,22985,22985,22985,22985,0.0,0.0,22910,1,23335,2,16.0,22985,23015.0,0.9754201680672268,0.0
2018-01-22,CY1809,22985,22985,22985,22985,0.0,0.0,22820,1,23315,1,16.0,22985,22985.0,0.9754201680672268,0.0
2018-01-23,CY1809,22985,22985,22985,22985,0.0,0.0,22965,1,23440,1,16.0,22985,22985.0,0.9754201680672268,0.0
2018-01-24,CY1809,23000,23000,23000,23000,1.0,115000.0,23075,1,23435,2,17.0,23000,22985.0,0.9754201680672268,0.0
2018-01-25,CY1809,23000,23000,23000,23000,0.0,0.0,23085,1,23350,1,17.0,23085,23000.0,0.9754201680672268,0.0
2018-01-26,CY1809,23250,23250,23250,23250,1.0,116250.0,23285,1,23420,1,17.0,23250,23000.0,0.9754201680672268,0.0
2018-01-29,CY1809,23250,23250,23250,23250,0.0,0.0,23010,2,23380,1,17.0,23250,23250.0,0.9754201680672268,0.0
2018-01-30,CY1809,23005,23235,22915,23235,6.0,690300.0,22930,1,23245,1,16.0,23010,23250.0,0.9754201680672268,0.01377232623197762
2018-01-31,CY1809,22265,22955,22265,22955,3.0,340575.0,22860,1,23020,1,17.0,22705,23235.0,0.9754201680672268,0.030058810716619474
2018-02-01,CY1809,23120,23120,23120,23120,1.0,115600.0,22875,1,23080,1,17.0,23120,22955.0,0.9754201680672268,0.0
2018-02-02,CY1809,22995,22995,22995,22995,1.0,114975.0,22810,1,23130,1,16.0,22995,23120.0,0.9754201680672268,0.0
2018-02-05,CY1809,22995,22995,22995,22995,0.0,0.0,22805,1,23140,1,16.0,22995,22995.0,0.9754201680672268,0.0
2018-02-06,CY1809,22995,22995,22995,22995,0.0,0.0,22805,2,23175,1,16.0,22995,22995.0,0.9754201680672268,0.0
2018-02-07,CY1809,22995,22995,22995,22995,0.0,0.0,22805,1,23185,2,16.0,22995,22995.0,0.9754201680672268,0.0
2018-02-08,CY1809,22995,22995,22995,22995,0.0,0.0,22805,1,23100,1,16.0,22995,22995.0,0.9754201680672268,0.0
2018-02-09,CY1809,22995,22995,22995,22995,0.0,0.0,22800,16,23085,1,16.0,22995,22995.0,0.9754201680672268,0.0
2018-02-12,CY1809,22995,22995,22995,22995,0.0,0.0,23000,8,23140,1,16.0,23000,22995.0,0.9754201680672268,0.0
2018-02-13,CY1809,23000,23000,23000,23000,0.0,0.0,22455,1,23125,1,16.0,23000,22995.0,0.9754201680672268,0.0
2018-02-14,CY1809,23120,23120,23045,23045,2.0,230850.0,23000,7,23165,1,15.0,23085,23000.0,0.9754201680672268,0.0032545020611846388
2018-02-22,CY1809,23045,23045,23045,23045,0.0,0.0,23010,1,24000,1,15.0,23085,23045.0,0.9754201680672268,0.0
2018-02-23,CY1809,23085,23085,23085,23085,0.0,0.0,22860,1,23220,1,15.0,23085,23045.0,0.9754201680672268,0.0
2018-02-26,CY1809,23215,23220,23200,23200,6.0,696450.0,23065,1,23230,3,10.0,23215,23085.0,0.9754201680672268,0.0008620689655172414
2018-02-27,CY1809,23200,23200,23200,23200,0.0,0.0,22975,1,23360,1,10.0,23215,23200.0,0.9754201680672268,0.0
2018-02-28,CY1809,23215,23215,23215,23215,0.0,0.0,23010,1,23365,1,10.0,23215,23200.0,0.9754201680672268,0.0
2018-03-01,CY1809,23215,23215,23215,23215,0.0,0.0,23040,1,23330,1,10.0,23215,23215.0,0.9754201680672268,0.0
2018-03-02,CY1809,23305,24145,23075,23095,26.0,3048500.0,23155,1,23835,1,8.0,23450,23215.0,0.9754201680672268,0.04633037453994371
2018-03-05,CY1809,23095,23450,22520,23350,13.0,1502475.0,23135,1,23350,1,10.0,23115,23095.0,0.9754201680672268,0.039828693790149895
2018-03-06,CY1809,23280,23280,23280,23280,1.0,116400.0,23230,1,23580,1,10.0,23280,23350.0,0.9754201680672268,0.0
2018-03-07,CY1809,23280,23280,23280,23280,0.0,0.0,23300,2,23535,1,10.0,23300,23280.0,0.9754201680672268,0.0
2018-03-08,CY1809,23300,23315,23300,23300,4.0,466100.0,23340,1,23465,1,8.0,23305,23280.0,0.9754201680672268,0.0006437768240343348
2018-03-09,CY1809,23300,23300,23300,23300,0.0,0.0,23320,1,23485,1,8.0,23320,23300.0,0.9754201680672268,0.0
2018-03-12,CY1809,22505,23655,22505,23300,3.0,347325.0,23350,1,23405,1,7.0,23155,23300.0,0.9754201680672268,0.04935622317596566
2018-03-13,CY1809,23345,23385,23345,23350,3.0,350400.0,23300,2,23480,1,4.0,23360,23300.0,0.9754201680672268,0.0017130620985010706
2018-03-14,CY1809,23350,23525,23275,23275,4.0,467500.0,23185,1,23405,1,5.0,23375,23350.0,0.9754201680672268,0.010741138560687433
2018-03-15,CY1809,23275,23275,23275,23275,0.0,0.0,23155,1,23345,1,5.0,23345,23275.0,0.9754201680672268,0.0
2018-03-16,CY1809,23345,23345,23345,23345,0.0,0.0,23140,1,23295,2,5.0,23295,23275.0,0.9754201680672268,0.0
2018-03-19,CY1809,23295,23295,23295,23295,0.0,0.0,22845,2,23275,1,5.0,23275,23345.0,0.9754201680672268,0.0
2018-03-20,CY1809,23515,23515,23515,23515,1.0,117575.0,22860,2,23445,2,4.0,23515,23295.0,0.9754201680672268,0.0
2018-03-21,CY1809,23515,23515,23515,23515,0.0,0.0,23250,2,23505,2,4.0,23505,23515.0,0.9754201680672268,0.0
2018-03-22,CY1809,23505,23505,23505,23505,0.0,0.0,23225,2,23545,1,4.0,23505,23515.0,0.9754201680672268,0.0
2018-03-23,CY1809,23505,23505,23505,23505,0.0,0.0,23165,2,23405,2,4.0,23405,23505.0,0.9754201680672268,0.0
2018-03-26,CY1809,23425,23540,23250,23540,61.0,7140050.0,23210,1,23525,1,3.0,23410,23505.0,0.9754201680672268,0.01231945624468989
2018-03-27,CY1809,24065,24065,23900,23900,2.0,239850.0,23245,2,23650,2,3.0,23985,23540.0,0.9754201680672268,0.006903765690376569
2018-03-28,CY1809,23045,23330,23045,23330,2.0,231900.0,23040,2,23295,2,4.0,23190,23900.0,0.9754201680672268,0.01221603086155165
2018-03-29,CY1809,23160,23160,23120,23120,2.0,231400.0,22710,1,23195,1,3.0,23140,23330.0,0.9754201680672268,0.0017301038062283738
2018-03-30,CY1809,23120,23120,23120,23120,0.0,0.0,23175,1,23740,1,3.0,23175,23120.0,0.9754201680672268,0.0
2018-04-02,CY1809,23175,23175,23175,23175,0.0,0.0,23070,2,23300,2,3.0,23175,23120.0,0.9754201680672268,0.0
2018-04-03,CY1809,23085,23845,23085,23495,3.0,352125.0,22885,1,23405,1,3.0,23475,23175.0,0.9754201680672268,0.032347307937859116
2018-04-04,CY1809,23495,23495,23495,23495,0.0,0.0,23080,1,23305,2,3.0,23305,23495.0,0.9754201680672268,0.0
