time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,FG1805,1487,1487,1455,1462,123211.0,3610082300.0,1461,420,1462,3,195203.0,1465,1483.0,1.325670150892332,0.02188782489740082
2018-01-03,FG1805,1464,1467,1441,1454,144872.0,4209980320.0,1453,81,1454,144,198688.0,1453,1462.0,1.325670150892332,0.017881705639614855
2018-01-04,FG1805,1455,1474,1444,1471,131167.0,3819583040.0,1471,220,1472,756,194850.0,1456,1454.0,1.325670150892332,0.020394289598912305
2018-01-05,FG1805,1470,1472,1452,1460,92518.0,2705226320.0,1460,94,1461,17,196468.0,1462,1471.0,1.325670150892332,0.0136986301369863
2018-01-08,FG1805,1457,1515,1455,1512,177361.0,5253432820.0,1512,158,1513,96,234686.0,1481,1460.0,1.325670150892332,0.03968253968253968
2018-01-09,FG1805,1512,1515,1501,1507,124576.0,3754720640.0,1507,106,1508,70,238482.0,1507,1512.0,1.325670150892332,0.0092899800928998
2018-01-10,FG1805,1510,1517,1500,1508,129057.0,3892359120.0,1507,366,1508,242,245159.0,1508,1507.0,1.325670150892332,0.011273209549071617
2018-01-11,FG1805,1515,1515,1482,1492,139389.0,4170518880.0,1492,90,1493,76,224605.0,1496,1508.0,1.325670150892332,0.022117962466487937
2018-01-12,FG1805,1493,1500,1487,1496,85554.0,2556353520.0,1496,108,1497,85,228877.0,1494,1492.0,1.325670150892332,0.008689839572192513
2018-01-15,FG1805,1494,1495,1478,1482,97617.0,2899224900.0,1481,1,1482,48,219420.0,1485,1496.0,1.325670150892332,0.011470985155195682
2018-01-16,FG1805,1481,1489,1464,1467,98250.0,2896410000.0,1467,77,1468,44,214024.0,1474,1482.0,1.325670150892332,0.017041581458759374
2018-01-17,FG1805,1466,1480,1465,1475,74561.0,2196567060.0,1475,180,1476,5,210497.0,1473,1467.0,1.325670150892332,0.010169491525423728
2018-01-18,FG1805,1474,1497,1467,1492,130676.0,3881077200.0,1492,161,1493,578,227980.0,1485,1475.0,1.325670150892332,0.020107238605898123
2018-01-19,FG1805,1492,1495,1482,1486,87670.0,2609059200.0,1485,221,1486,110,206743.0,1488,1492.0,1.325670150892332,0.008748317631224764
2018-01-22,FG1805,1484,1489,1450,1457,199831.0,5855048300.0,1456,275,1457,5,220129.0,1465,1486.0,1.325670150892332,0.026767330130404943
2018-01-23,FG1805,1458,1475,1451,1467,123638.0,3617647880.0,1465,327,1467,41,188868.0,1463,1457.0,1.325670150892332,0.016359918200409
2018-01-24,FG1805,1465,1474,1453,1459,86715.0,2537280900.0,1459,40,1460,119,192721.0,1463,1467.0,1.325670150892332,0.01439342015078821
2018-01-25,FG1805,1460,1493,1451,1488,173520.0,5136192000.0,1487,71,1488,20,212134.0,1480,1459.0,1.325670150892332,0.028225806451612902
2018-01-26,FG1805,1488,1492,1473,1485,83798.0,2485448680.0,1485,133,1486,54,193644.0,1483,1488.0,1.325670150892332,0.012794612794612794
2018-01-29,FG1805,1484,1505,1483,1497,119733.0,3580016700.0,1497,109,1498,2,223014.0,1495,1485.0,1.325670150892332,0.014696058784235137
2018-01-30,FG1805,1495,1501,1483,1494,87219.0,2600870580.0,1494,3,1495,753,208658.0,1491,1497.0,1.325670150892332,0.012048192771084338
2018-01-31,FG1805,1492,1498,1466,1478,139622.0,4135603640.0,1477,42,1478,92,203216.0,1481,1494.0,1.325670150892332,0.02165087956698241
2018-02-01,FG1805,1480,1480,1462,1463,84554.0,2487578680.0,1463,34,1464,33,181563.0,1471,1478.0,1.325670150892332,0.012303485987696514
2018-02-02,FG1805,1462,1492,1461,1487,99523.0,2939909420.0,1486,466,1487,50,186638.0,1477,1463.0,1.325670150892332,0.020847343644922665
2018-02-05,FG1805,1484,1495,1480,1486,86328.0,2569121280.0,1486,314,1487,219,188771.0,1488,1487.0,1.325670150892332,0.010094212651413189
2018-02-06,FG1805,1485,1498,1478,1482,93864.0,2791515360.0,1482,29,1483,67,189819.0,1487,1486.0,1.325670150892332,0.01349527665317139
2018-02-07,FG1805,1485,1493,1474,1488,94407.0,2801999760.0,1488,1,1489,302,190734.0,1484,1482.0,1.325670150892332,0.012768817204301076
2018-02-08,FG1805,1485,1518,1465,1466,316235.0,9442777100.0,1466,496,1467,18,232529.0,1493,1488.0,1.325670150892332,0.03615279672578445
2018-02-09,FG1805,1467,1477,1450,1451,226961.0,6640878860.0,1451,59,1452,93,220492.0,1463,1466.0,1.325670150892332,0.018607856650585803
2018-02-12,FG1805,1450,1459,1435,1442,140815.0,4078002400.0,1441,13,1442,13,208766.0,1448,1451.0,1.325670150892332,0.016643550624133148
2018-02-13,FG1805,1446,1454,1440,1446,77214.0,2233028880.0,1445,249,1446,50,188585.0,1446,1442.0,1.325670150892332,0.009681881051175657
2018-02-14,FG1805,1448,1465,1444,1461,67485.0,1963813500.0,1461,36,1462,42,166733.0,1455,1446.0,1.325670150892332,0.014373716632443531
2018-02-22,FG1805,1467,1467,1440,1446,63299.0,1838202960.0,1444,222,1446,17,178265.0,1452,1461.0,1.325670150892332,0.01867219917012448
2018-02-23,FG1805,1445,1494,1442,1488,174245.0,5129772800.0,1488,117,1489,196,196623.0,1472,1446.0,1.325670150892332,0.03494623655913978
2018-02-26,FG1805,1488,1498,1478,1489,91687.0,2726771380.0,1488,288,1489,12,181892.0,1487,1488.0,1.325670150892332,0.013431833445265278
2018-02-27,FG1805,1489,1495,1483,1492,66000.0,1964160000.0,1491,843,1492,313,185446.0,1488,1489.0,1.325670150892332,0.00804289544235925
2018-02-28,FG1805,1490,1503,1484,1496,113434.0,3387139240.0,1495,6,1496,15,202205.0,1493,1492.0,1.325670150892332,0.01270053475935829
2018-03-01,FG1805,1495,1505,1483,1497,111856.0,3344494400.0,1496,728,1497,83,205137.0,1495,1496.0,1.325670150892332,0.014696058784235137
2018-03-02,FG1805,1494,1502,1488,1498,98678.0,2950472200.0,1498,10,1499,1065,204721.0,1495,1497.0,1.325670150892332,0.009345794392523364
2018-03-05,FG1805,1498,1508,1481,1484,142494.0,4246321200.0,1484,4,1485,304,200553.0,1490,1498.0,1.325670150892332,0.018194070080862535
2018-03-06,FG1805,1483,1491,1473,1484,87056.0,2580339840.0,1483,30,1484,65,191012.0,1482,1484.0,1.325670150892332,0.012129380053908356
2018-03-07,FG1805,1488,1495,1475,1480,119691.0,3552428880.0,1480,1,1481,250,209366.0,1484,1484.0,1.325670150892332,0.013513513513513514
2018-03-08,FG1805,1481,1490,1465,1466,157391.0,4649330140.0,1466,17,1468,66,209698.0,1477,1480.0,1.325670150892332,0.017053206002728513
2018-03-09,FG1805,1465,1476,1455,1461,171540.0,5029552800.0,1460,194,1461,6,205304.0,1466,1466.0,1.325670150892332,0.014373716632443531
2018-03-12,FG1805,1463,1490,1460,1473,145944.0,4293672480.0,1473,40,1474,182,196469.0,1471,1461.0,1.325670150892332,0.020366598778004074
2018-03-13,FG1805,1473,1478,1463,1471,107254.0,3155412680.0,1471,68,1472,133,182665.0,1471,1473.0,1.325670150892332,0.010197144799456152
2018-03-14,FG1805,1475,1486,1463,1468,146837.0,4325818020.0,1468,75,1469,147,189917.0,1473,1471.0,1.325670150892332,0.015667574931880108
2018-03-15,FG1805,1470,1472,1451,1457,153545.0,4480443100.0,1457,9,1458,122,189452.0,1459,1468.0,1.325670150892332,0.014413177762525738
2018-03-16,FG1805,1459,1475,1448,1471,123492.0,3615845760.0,1471,32,1472,276,180419.0,1464,1457.0,1.325670150892332,0.018354860639021073
2018-03-19,FG1805,1474,1497,1468,1483,148810.0,4404776000.0,1482,78,1483,91,190191.0,1480,1471.0,1.325670150892332,0.019554956169925825
2018-03-20,FG1805,1480,1487,1457,1463,130281.0,3832867020.0,1463,205,1464,9,170449.0,1471,1483.0,1.325670150892332,0.02050580997949419
2018-03-21,FG1805,1463,1477,1444,1460,147178.0,4300541160.0,1458,217,1460,425,183413.0,1461,1463.0,1.325670150892332,0.022602739726027398
