time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,HC1805,3850,3940,3842,3927,285375.0,11109648750.0,3927,2,3929,10,317617.0,3893,3846.0,1.2251795774844134,0.024955436720142603
2018-01-03,HC1805,3931,3934,3861,3864,250151.0,9753387490.0,3861,174,3867,3,316082.0,3899,3927.0,1.2251795774844134,0.018892339544513456
2018-01-04,HC1805,3857,3897,3845,3877,284224.0,10993784320.0,3877,11,3878,247,324026.0,3868,3864.0,1.2251795774844134,0.013412432293010059
2018-01-05,HC1805,3878,3878,3791,3842,434935.0,16666709200.0,3842,36,3843,491,355652.0,3832,3877.0,1.2251795774844134,0.022644456012493493
2018-01-08,HC1805,3839,3865,3770,3864,384831.0,14662061100.0,3864,106,3865,11,357118.0,3810,3842.0,1.2251795774844134,0.02458592132505176
2018-01-09,HC1805,3860,3894,3852,3862,297900.0,11525751000.0,3862,5,3863,6,340902.0,3869,3864.0,1.2251795774844134,0.010875194199896427
2018-01-10,HC1805,3860,3906,3830,3880,348134.0,13476267140.0,3880,50,3881,39,339545.0,3871,3862.0,1.2251795774844134,0.01958762886597938
2018-01-11,HC1805,3888,3908,3857,3874,258273.0,10033906050.0,3873,52,3874,278,327767.0,3885,3880.0,1.2251795774844134,0.013164687661331956
2018-01-12,HC1805,3877,3886,3814,3831,253004.0,9725473760.0,3831,1,3833,69,334140.0,3844,3874.0,1.2251795774844134,0.018794048551292093
2018-01-15,HC1805,3820,3848,3791,3837,214601.0,8208488250.0,3837,24,3838,145,330327.0,3825,3831.0,1.2251795774844134,0.014855355746677092
2018-01-16,HC1805,3836,3879,3820,3822,296015.0,11387697050.0,3821,346,3822,3,331497.0,3847,3837.0,1.2251795774844134,0.01543694400837258
2018-01-17,HC1805,3820,3865,3812,3843,314940.0,12093696000.0,3840,382,3842,6,331077.0,3840,3822.0,1.2251795774844134,0.013791308873276087
2018-01-18,HC1805,3837,3873,3829,3861,268895.0,10357835400.0,3860,60,3861,8,340140.0,3852,3843.0,1.2251795774844134,0.011396011396011397
2018-01-19,HC1805,3863,3928,3818,3923,466034.0,17984252060.0,3923,6,3925,26,345527.0,3859,3861.0,1.2251795774844134,0.028039765485597758
2018-01-22,HC1805,3923,3945,3883,3898,305275.0,11930147000.0,3897,169,3898,2,354827.0,3908,3923.0,1.2251795774844134,0.01590559261159569
2018-01-23,HC1805,3901,3920,3871,3903,322484.0,12567201480.0,3903,43,3904,3,342537.0,3897,3898.0,1.2251795774844134,0.012554445298488343
2018-01-24,HC1805,3903,3943,3883,3939,254960.0,9986783200.0,3936,5,3939,287,355947.0,3917,3903.0,1.2251795774844134,0.015232292460015232
2018-01-25,HC1805,3936,4009,3920,3973,351402.0,13922547240.0,3973,6,3975,163,349278.0,3962,3939.0,1.2251795774844134,0.022401208155046565
