time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,I1805,531.5,546.5,531.0,543.5,1018488.0,54998352000.0,543.5,1775,544.0,459,899754.0,540.0,531.5,1.897994888976144,0.028518859245630176
2018-01-03,I1805,544.0,547.0,535.0,536.0,1126429.0,60939808900.0,536.0,636,536.5,1988,883415.0,541.0,543.5,1.897994888976144,0.022388059701492536
2018-01-04,I1805,536.5,546.0,533.5,543.5,1256228.0,67710689200.0,543.5,597,544.0,5801,931846.0,539.0,536.0,1.897994888976144,0.022999080036798528
2018-01-05,I1805,543.0,551.0,528.0,538.5,1605749.0,86630158550.0,538.0,42,538.5,1251,935450.0,539.5,543.5,1.897994888976144,0.04271123491179202
2018-01-08,I1805,538.0,556.0,534.0,555.5,1438600.0,77900190000.0,555.0,813,555.5,19,987718.0,541.5,538.5,1.897994888976144,0.039603960396039604
2018-01-09,I1805,555.0,562.5,554.5,560.5,1077873.0,60145313400.0,560.5,3594,561.0,66,996960.0,558.0,555.5,1.897994888976144,0.014272970561998216
2018-01-10,I1805,561.0,565.0,552.0,557.5,1102830.0,61537914000.0,557.0,869,557.5,893,1004604.0,558.0,560.5,1.897994888976144,0.023318385650224215
2018-01-11,I1805,558.5,560.5,549.0,556.0,1054127.0,58556754850.0,556.0,1316,556.5,231,976772.0,555.5,557.5,1.897994888976144,0.02068345323741007
2018-01-12,I1805,556.0,558.0,539.5,544.0,1306862.0,71550694500.0,543.5,574,544.0,1194,954869.0,547.5,556.0,1.897994888976144,0.03400735294117647
2018-01-15,I1805,542.0,544.0,531.0,536.5,1139053.0,61281051400.0,536.5,1147,537.0,395,934235.0,538.0,544.0,1.897994888976144,0.024231127679403542
2018-01-16,I1805,538.0,542.5,527.0,529.5,1149701.0,61623973600.0,529.0,255,529.5,2929,929960.0,536.0,536.5,1.897994888976144,0.02927289896128423
2018-01-17,I1805,527.0,534.5,525.5,531.5,1071121.0,56715856950.0,531.0,2972,531.5,71,894734.0,529.5,529.5,1.897994888976144,0.016933207902163686
2018-01-18,I1805,531.0,539.5,529.5,537.0,928023.0,49649230500.0,536.5,1850,537.0,99,885254.0,535.0,531.5,1.897994888976144,0.0186219739292365
2018-01-19,I1805,538.0,544.5,531.0,543.5,1161057.0,62348760900.0,543.0,1675,543.5,370,920015.0,537.0,537.0,1.897994888976144,0.02483900643974241
2018-01-22,I1805,544.5,547.5,538.0,540.5,1003515.0,54490864500.0,540.0,1447,540.5,130,849521.0,543.0,543.5,1.897994888976144,0.01757631822386679
2018-01-23,I1805,540.5,541.0,517.0,521.5,1486178.0,78470198400.0,521.5,1160,522.0,353,957096.0,528.0,540.5,1.897994888976144,0.046021093000958774
2018-01-24,I1805,518.5,525.5,518.0,522.0,739289.0,38553921350.0,521.5,1478,522.0,863,884050.0,521.5,521.5,1.897994888976144,0.014367816091954023
2018-01-25,I1805,523.0,536.0,518.5,529.5,1156599.0,60952767300.0,529.0,880,529.5,850,882053.0,527.0,522.0,1.897994888976144,0.033050047214353166
2018-01-26,I1805,529.5,530.5,515.0,519.0,1150131.0,59979331650.0,518.5,517,519.0,649,909064.0,521.5,529.5,1.897994888976144,0.029865125240847785
2018-01-29,I1805,519.5,522.0,511.0,514.5,914764.0,47201822400.0,514.0,135,514.5,831,891416.0,516.0,519.0,1.897994888976144,0.021379980563654033
2018-01-30,I1805,514.0,521.5,513.5,517.5,835392.0,43189766400.0,517.5,254,518.0,2853,874136.0,517.0,514.5,1.897994888976144,0.015458937198067632
2018-01-31,I1805,517.0,520.0,504.5,510.0,1053061.0,53864070150.0,510.0,340,510.5,1131,922878.0,511.5,517.5,1.897994888976144,0.030392156862745098
2018-02-01,I1805,510.5,512.0,503.5,506.5,829841.0,42155922800.0,506.0,2427,506.5,393,900060.0,508.0,510.0,1.897994888976144,0.01678183613030602
2018-02-02,I1805,508.0,518.5,507.0,513.5,968773.0,49746493550.0,513.5,323,514.0,1243,862207.0,513.5,506.5,1.897994888976144,0.022395326192794548
2018-02-05,I1805,514.0,527.5,513.5,526.5,1155769.0,60042199550.0,526.0,1855,526.5,23,886222.0,519.5,513.5,1.897994888976144,0.026590693257359924
2018-02-06,I1805,527.5,529.0,516.0,521.0,977211.0,51010414200.0,521.0,86,521.5,950,844818.0,522.0,526.5,1.897994888976144,0.02495201535508637
2018-02-07,I1805,521.5,527.5,518.0,526.5,845397.0,44214263100.0,526.0,1707,526.5,1247,801184.0,523.0,521.0,1.897994888976144,0.018043684710351376
2018-02-08,I1805,527.0,528.5,521.0,524.0,770405.0,40369222000.0,523.5,25,524.0,1104,788207.0,524.0,526.5,1.897994888976144,0.01431297709923664
2018-02-09,I1805,524.5,535.5,519.0,523.5,1323140.0,69861792000.0,523.5,562,524.0,1447,807445.0,528.0,524.0,1.897994888976144,0.03151862464183381
2018-02-12,I1805,523.0,526.0,518.0,523.0,687278.0,35875911600.0,522.5,2002,523.0,49,724922.0,522.0,523.5,1.897994888976144,0.015296367112810707
2018-02-13,I1805,523.0,531.0,521.5,529.0,590289.0,31049201400.0,528.5,1736,529.0,93,715151.0,526.0,523.0,1.897994888976144,0.017958412098298678
2018-02-14,I1805,530.0,541.0,529.0,539.5,605938.0,32447979900.0,539.0,118,539.5,17,673018.0,535.5,529.0,1.897994888976144,0.022242817423540315
2018-02-22,I1805,539.5,545.0,532.5,538.5,522467.0,28082601250.0,538.5,816,539.0,42,700729.0,537.5,539.5,1.897994888976144,0.02321262766945218
2018-02-23,I1805,536.0,549.0,536.0,548.5,782623.0,42418166600.0,548.0,848,548.5,496,784337.0,542.0,538.5,1.897994888976144,0.023701002734731084
2018-02-26,I1805,548.0,556.5,545.0,549.0,741600.0,40788000000.0,549.0,101,549.5,2192,769966.0,550.0,548.5,1.897994888976144,0.020947176684881604
2018-02-27,I1805,549.0,552.0,540.0,546.5,782260.0,42711396000.0,546.5,715,547.0,1364,781366.0,546.0,549.0,1.897994888976144,0.021957913998170174
2018-02-28,I1805,546.0,546.5,540.5,543.0,639845.0,34743583500.0,543.0,1099,543.5,306,757974.0,543.0,546.5,1.897994888976144,0.011049723756906077
2018-03-01,I1805,542.5,548.0,540.5,544.5,777107.0,42274620800.0,544.0,1259,544.5,26,795453.0,544.0,543.0,1.897994888976144,0.013774104683195593
2018-03-02,I1805,542.5,546.0,534.5,539.0,876939.0,47310859050.0,538.5,111,539.0,1209,767193.0,539.5,544.5,1.897994888976144,0.021335807050092765
2018-03-05,I1805,538.0,539.5,519.0,520.0,1033707.0,54734785650.0,519.5,915,520.0,153,822410.0,529.5,539.0,1.897994888976144,0.03942307692307692
2018-03-06,I1805,520.0,524.5,516.5,520.5,781120.0,40618240000.0,520.0,3306,520.5,312,778697.0,520.0,520.0,1.897994888976144,0.01536983669548511
2018-03-07,I1805,521.5,525.0,515.5,517.5,854192.0,44417984000.0,517.0,315,517.5,508,808466.0,520.0,520.5,1.897994888976144,0.018357487922705314
2018-03-08,I1805,515.0,515.5,500.5,500.5,965126.0,49221426000.0,500.5,413,501.0,175,824686.0,510.0,517.5,1.897994888976144,0.029970029970029972
2018-03-09,I1805,498.5,502.0,479.5,483.5,1405093.0,69130575600.0,483.5,106,484.0,1669,847330.0,492.0,500.5,1.897994888976144,0.04653567735263702
2018-03-12,I1805,486.5,489.5,475.5,479.0,1163247.0,56010343050.0,478.5,1388,479.0,409,848100.0,481.5,483.5,1.897994888976144,0.029227557411273485
2018-03-13,I1805,478.0,484.0,476.5,479.0,842275.0,40429200000.0,478.5,954,479.0,2158,836046.0,480.0,479.0,1.897994888976144,0.015657620041753653
2018-03-14,I1805,480.0,493.5,478.5,490.0,1189592.0,57695212000.0,489.5,5177,490.0,1308,828364.0,485.0,479.0,1.897994888976144,0.030612244897959183
2018-03-15,I1805,490.0,494.5,486.5,490.0,928905.0,45469899750.0,489.5,1563,490.0,3444,767260.0,489.5,490.0,1.897994888976144,0.0163265306122449
2018-03-16,I1805,489.5,490.0,481.0,483.5,969970.0,46995046500.0,483.5,826,484.0,521,778370.0,484.5,490.0,1.897994888976144,0.01861427094105481
2018-03-19,I1805,482.0,482.5,461.5,462.5,1372208.0,64562386400.0,462.0,1405,462.5,844,852719.0,470.5,483.5,1.897994888976144,0.04540540540540541
2018-03-20,I1805,462.5,465.5,453.5,459.0,1082719.0,49696802100.0,459.0,606,459.5,1341,839631.0,459.0,462.5,1.897994888976144,0.026143790849673203
2018-03-21,I1805,461.0,467.5,457.5,463.0,1190675.0,55068718750.0,462.5,1667,463.0,294,828561.0,462.5,459.0,1.897994888976144,0.02159827213822894
2018-03-22,I1805,464.5,473.5,462.5,466.5,1319115.0,61668626250.0,465.5,1594,466.5,770,796512.0,467.5,463.0,1.897994888976144,0.023579849946409433
2018-03-23,I1805,465.5,467.5,430.5,437.5,1862363.0,83340744250.0,437.0,1366,437.5,377,696987.0,447.5,466.5,1.897994888976144,0.08457142857142858
2018-03-26,I1805,437.5,443.5,434.5,439.0,1040892.0,45643114200.0,438.5,905,439.0,903,696492.0,438.5,437.5,1.897994888976144,0.02050113895216401
2018-03-27,I1805,438.0,448.5,437.5,444.0,944741.0,41899263350.0,443.5,692,444.0,2628,642502.0,443.5,439.0,1.897994888976144,0.024774774774774775
2018-03-28,I1805,443.5,445.5,427.5,438.5,1266824.0,55296867600.0,438.5,675,439.0,949,703049.0,436.5,444.0,1.897994888976144,0.04104903078677309
2018-03-29,I1805,439.0,441.5,430.5,441.0,919039.0,40116052350.0,440.5,974,441.0,645,657942.0,436.5,438.5,1.897994888976144,0.024943310657596373
2018-03-30,I1805,441.0,444.0,431.0,443.5,1076166.0,47136070800.0,443.0,843,443.5,155,624705.0,438.0,441.0,1.897994888976144,0.029312288613303268
2018-04-02,I1805,443.0,463.0,441.0,446.5,1258073.0,56361670400.0,446.0,673,446.5,32,571485.0,448.0,443.5,1.897994888976144,0.04927211646136618
2018-04-03,I1805,447.0,454.5,436.0,441.0,789190.0,35276793000.0,440.5,532,441.0,208,466029.0,447.0,446.5,1.897994888976144,0.04195011337868481
