time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,IC1801,6293.0,6355.0,6266.6,6345.0,8880,11266944000.0,6346.6,1,6347.6,1,18840,6344.0,6280.8,1.8705830213699224,0.013932230102442811
2018-01-03,IC1801,6350.0,6411.4,6336.4,6388.2,8896,11373713920.0,6387.4,1,6388.2,2,18664,6392.6,6345.0,1.8705830213699224,0.01174039635578097
2018-01-04,IC1801,6375.0,6414.8,6375.0,6406.8,7374,9445209119.999998,6407.6,1,6408.2,1,18100,6404.4,6388.2,1.8705830213699224,0.006212149591059528
2018-01-05,IC1801,6407.2,6429.2,6383.6,6400.8,7585,9719419000.0,6399.8,2,6401.8,1,17964,6407.0,6406.8,1.8705830213699224,0.007124109486314125
2018-01-08,IC1801,6400.8,6443.6,6378.6,6433.0,7945,10218223400.0,6430.8,1,6433.0,1,17838,6430.6,6400.8,1.8705830213699224,0.01010415047411783
2018-01-09,IC1801,6433.0,6437.6,6402.2,6435.0,7365,9461079000.0,6433.4,1,6435.0,1,17130,6423.0,6433.0,1.8705830213699224,0.005501165501165586
2018-01-10,IC1801,6427.0,6436.2,6360.0,6406.6,8377,10714518080.0,6406.8,1,6407.4,1,17019,6395.2,6435.0,1.8705830213699224,0.01189398432866104
2018-01-11,IC1801,6384.8,6443.0,6372.2,6423.2,8463,10881386880.0,6423.0,3,6424.6,1,16480,6428.8,6406.6,1.8705830213699224,0.011022543280607826
2018-01-12,IC1801,6419.8,6428.2,6372.8,6401.2,8205,10494195000.0,6399.0,1,6402.0,1,15211,6395.0,6423.2,1.8705830213699224,0.008654627257389183
2018-01-15,IC1801,6393.2,6396.0,6242.2,6273.0,9382,11761650480.0,6272.0,1,6272.8,2,14451,6268.2,6401.2,1.8705830213699224,0.02451777458951063
2018-01-16,IC1801,6261.2,6317.8,6261.2,6285.6,9437,11852872000.0,6284.4,1,6285.6,1,11651,6280.0,6273.0,1.8705830213699224,0.00900470917653054
2018-01-17,IC1801,6279.6,6299.2,6193.2,6250.0,10326,12950869200.0,6250.0,3,6250.2,4,8817,6271.0,6285.6,1.8705830213699224,0.01696
2018-01-18,IC1801,6252.0,6316.8,6246.2,6285.6,6976,8769948160.0,6285.2,1,6286.0,1,4475,6285.8,6250.0,1.8705830213699224,0.011232022400407337
2018-01-19,IC1802,6268.0,6304.2,6223.0,6232.0,8889,11097027600.0,6232.4,1,6232.8,1,15446,6242.0,6259.8,1.878292699307132,0.013029525032092397
2018-01-22,IC1802,6234.8,6359.8,6200.8,6348.6,10788,13700328480.000002,6348.6,1,6349.8,1,16348,6349.8,6232.0,1.878292699307132,0.025044891787165673
2018-01-23,IC1802,6346.8,6377.0,6323.6,6345.8,8050,10209332000.0,6345.6,1,6349.0,1,16189,6341.2,6348.6,1.878292699307132,0.008415014655362544
2018-01-24,IC1802,6350.0,6430.0,6326.6,6409.6,10524,13505238719.999998,6406.8,1,6409.8,1,17308,6416.4,6345.8,1.878292699307132,0.016132051922116766
2018-01-25,IC1802,6395.0,6449.6,6382.0,6387.0,9106,11659686640.0,6386.4,2,6388.6,1,16545,6402.2,6409.6,1.878292699307132,0.010583998747455827
2018-01-26,IC1802,6387.0,6413.8,6377.0,6397.0,7311,9353400960.0,6395.6,1,6396.6,1,16182,6396.8,6387.0,1.878292699307132,0.005752696576520272
2018-01-29,IC1802,6396.8,6430.4,6287.2,6312.2,9592,12100116160.0,6308.4,1,6312.6,1,16111,6307.4,6397.0,1.878292699307132,0.02268622667215865
2018-01-30,IC1802,6307.8,6346.0,6291.4,6302.8,7853,9905774200.0,6302.8,4,6304.8,1,15163,6307.0,6312.2,1.878292699307132,0.008662816525988506
2018-01-31,IC1802,6280.0,6285.0,6156.6,6186.6,9923,12258874200.0,6181.6,8,6187.0,1,15486,6177.0,6302.8,1.878292699307132,0.02075453399282314
2018-02-01,IC1802,6189.8,6212.0,5961.4,5970.0,11166,13381781040.0,5966.8,1,5970.0,1,16135,5992.2,6186.6,1.878292699307132,0.0419765494137354
2018-02-02,IC1802,5959.4,6018.6,5832.6,5986.2,11551,13821464560.0,5984.0,2,5986.4,1,15578,5982.8,5970.0,1.878292699307132,0.031071464368046506
