time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,IF1801,4051.6,4105.0,4051.6,4104.0,14290,17557837200.0,4103.8,1,4104.2,2,24471,4095.6,4039.8,1.1925724112795626,0.013011695906432771
2018-01-03,IF1801,4107.8,4153.8,4097.2,4121.6,16132,19972061280.0,4121.6,2,4121.8,1,24465,4126.8,4104.0,1.1925724112795626,0.013732531055900709
2018-01-04,IF1801,4122.0,4146.6,4115.8,4135.8,13158,16301183040.000002,4135.0,9,4136.0,4,24097,4129.6,4121.6,1.1925724112795626,0.007447168625175343
2018-01-05,IF1801,4138.4,4157.8,4125.2,4148.2,12629,15707950200.0,4148.2,1,4149.0,1,23720,4146.0,4135.8,1.1925724112795626,0.007858830336049458
2018-01-08,IF1801,4148.0,4173.0,4135.2,4163.8,13194,16458987240.0,4163.4,3,4164.6,1,24043,4158.2,4148.2,1.1925724112795626,0.009078245833133238
2018-01-09,IF1801,4162.2,4200.0,4157.0,4197.4,13392,16832136960.0,4197.2,1,4197.8,2,23372,4189.6,4163.8,1.1925724112795626,0.01024443703244866
2018-01-10,IF1801,4196.8,4215.0,4180.2,4212.2,14317,18056600400.0,4212.0,3,4212.6,1,23717,4204.0,4197.4,1.1925724112795626,0.008261715967902802
2018-01-11,IF1801,4206.0,4214.2,4190.0,4208.4,12802,16168926000.0,4208.2,2,4208.8,1,22539,4210.0,4212.2,1.1925724112795626,0.005750403953996726
2018-01-12,IF1801,4209.0,4232.0,4201.0,4229.0,13165,16680318299.999998,4229.0,1,4229.2,2,22494,4223.4,4208.4,1.1925724112795626,0.007330338141404587
2018-01-15,IF1801,4233.0,4266.0,4217.0,4223.4,16457,20903681400.0,4223.4,2,4223.6,1,20405,4234.0,4229.0,1.1925724112795626,0.011602026803049677
2018-01-16,IF1801,4220.0,4269.2,4219.2,4269.2,15653,19952879100.0,4268.0,6,4269.4,1,17846,4249.0,4223.4,1.1925724112795626,0.011711796121053126
