time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,IH1801,2873.2,2920.0,2873.2,2918.4,9954,8701786800.0,2918.4,1,2918.6,1,14162,2914.0,2869.2,1.231327797275771,0.016036184210526376
2018-01-03,IH1801,2920.8,2951.2,2914.4,2923.0,11252,9870929520.0,2921.8,1,2922.0,1,14714,2924.2,2918.4,1.231327797275771,0.012589804994868193
2018-01-04,IH1801,2928.0,2941.0,2918.0,2929.2,9763,8564103600.0,2928.8,1,2929.6,2,13876,2924.0,2923.0,1.231327797275771,0.007851973235012973
2018-01-05,IH1801,2929.2,2947.0,2924.2,2942.8,8995,7933590000.0,2942.6,1,2943.0,3,13552,2940.0,2929.2,1.231327797275771,0.007747723256762328
2018-01-08,IH1801,2946.0,2959.4,2935.0,2950.2,9043,7998171779.999999,2950.2,2,2950.6,1,13602,2948.2,2942.8,1.231327797275771,0.008270625720290182
2018-01-09,IH1801,2950.2,2979.8,2949.2,2979.8,8449,7537183920.0,2979.6,7,2979.8,4,13323,2973.6,2950.2,1.231327797275771,0.010269145580240406
2018-01-10,IH1801,2979.0,3003.4,2968.2,3000.4,10191,9156002040.0,3000.0,1,3000.4,10,13633,2994.8,2979.8,1.231327797275771,0.011731769097453763
2018-01-11,IH1801,2995.6,3011.2,2987.2,2999.0,9443,8498133420.000001,2998.4,3,2999.0,3,12565,2999.8,3000.4,1.231327797275771,0.008002667555851951
2018-01-12,IH1801,3002.6,3026.6,2998.8,3026.6,9367,8483691900.0,3026.4,1,3026.6,6,12803,3019.0,2999.0,1.231327797275771,0.00918522434414846
2018-01-15,IH1801,3035.2,3071.6,3025.2,3049.2,11325,10386837000.0,3049.2,2,3051.0,2,12444,3057.2,3026.6,1.231327797275771,0.015217106126197066
2018-01-16,IH1801,3045.6,3074.2,3040.2,3073.8,10790,9896156399.999998,3073.2,1,3074.0,6,10567,3057.2,3049.2,1.231327797275771,0.011061227145552735
2018-01-17,IH1801,3077.0,3133.4,3065.0,3079.0,12257,11323997159.999998,3076.6,5,3078.4,1,8635,3079.6,3073.8,1.231327797275771,0.022215004871711623
2018-01-18,IH1801,3100.0,3127.6,3089.6,3114.6,8170,7604962800.0,3114.0,1,3114.6,1,4428,3102.8,3079.0,1.231327797275771,0.012200603608810121
2018-01-19,IH1802,3148.8,3155.4,3117.0,3133.8,12271,11525414040.000002,3131.8,1,3134.0,5,12877,3130.8,3126.4,1.2266803855537092,0.012253494160444217
2018-01-22,IH1802,3125.0,3153.4,3123.0,3145.6,11730,11041918200.0,3145.2,2,3147.2,1,12817,3137.8,3133.8,1.2266803855537092,0.009664292980671443
2018-01-23,IH1802,3156.8,3196.0,3156.8,3195.0,12746,12159684000.0,3194.8,2,3195.0,2,13783,3180.0,3145.6,1.2266803855537092,0.012269170579029678
2018-01-24,IH1802,3200.4,3213.0,3163.0,3188.0,14310,13695528600.0,3188.0,3,3188.6,2,14649,3190.2,3195.0,1.2266803855537092,0.015683814303638646
2018-01-25,IH1802,3188.2,3188.4,3140.0,3164.8,13495,12847509900.0,3164.4,1,3166.0,1,14354,3173.4,3188.0,1.2266803855537092,0.015293225480283142
2018-01-26,IH1802,3163.0,3212.8,3160.8,3189.0,12791,12266313180.0,3189.0,7,3189.4,1,14365,3196.6,3164.8,1.2266803855537092,0.016306052053935403
2018-01-29,IH1802,3199.6,3211.6,3117.8,3127.0,14934,14055283440.0,3127.0,1,3127.8,1,14994,3137.2,3189.0,1.2266803855537092,0.02999680204669003
2018-01-30,IH1802,3129.0,3138.8,3086.6,3087.2,12005,11143761300.0,3087.2,1,3087.8,2,14398,3094.2,3127.0,1.2266803855537092,0.016908525524747434
2018-01-31,IH1802,3079.6,3127.8,3075.4,3125.0,13673,12775777740.0,3125.0,1,3125.4,1,14329,3114.6,3087.2,1.2266803855537092,0.01676800000000003
2018-02-01,IH1802,3125.8,3146.2,3107.8,3140.6,13794,12959187120.0,3140.2,1,3141.8,7,14350,3131.6,3125.0,1.2266803855537092,0.012226963000700388
2018-02-02,IH1802,3120.8,3163.4,3089.8,3158.0,14326,13549244280.0,3157.8,5,3158.0,1,14304,3152.6,3140.6,1.2266803855537092,0.023305889803673183
2018-02-05,IH1802,3119.6,3194.8,3117.2,3193.2,13078,12489751560.0,3192.6,1,3193.0,1,14050,3183.4,3158.0,1.2266803855537092,0.024301640987097698
2018-02-06,IH1802,3145.0,3166.4,3096.2,3110.0,17741,16556610840.000002,3104.0,1,3110.2,1,15318,3110.8,3193.2,1.2266803855537092,0.022572347266881117
2018-02-07,IH1802,3148.0,3171.6,3012.4,3018.4,19449,17681474880.0,3018.2,1,3018.4,1,13940,3030.4,3110.0,1.2266803855537092,0.05274317519215472
2018-02-08,IH1802,3008.0,3025.2,2910.6,2936.0,16555,14592570300.0,2935.2,1,2936.2,4,13011,2938.2,3018.4,1.2266803855537092,0.03903269754768389
2018-02-09,IH1802,2885.0,2885.0,2674.0,2773.6,18733,15500808179.999998,2773.2,1,2774.6,1,11947,2758.2,2936.0,1.2266803855537092,0.07607441592154601
2018-02-12,IH1802,2785.2,2818.8,2768.6,2792.2,12860,10817060400.0,2792.0,2,2793.8,1,8837,2803.8,2773.6,1.2266803855537092,0.017978654824153097
2018-02-13,IH1803,2818.4,2882.0,2818.4,2837.2,9058,7721220360.0,2837.0,1,2837.4,1,12862,2841.4,2788.6,1.228263993596452,0.022416466939235834
2018-02-14,IH1803,2847.0,2877.4,2838.0,2867.2,8982,7730807400.0,2866.6,3,2867.2,1,14136,2869.0,2837.2,1.228263993596452,0.013741629464285747
2018-02-22,IH1803,2913.8,2926.0,2891.6,2916.0,10529,9217086600.0,2915.4,2,2916.0,1,15789,2918.0,2867.2,1.228263993596452,0.011796982167352569
2018-02-23,IH1803,2929.4,2958.8,2920.6,2953.8,12641,11176666559.999998,2953.8,7,2954.0,1,16850,2947.2,2916.0,1.228263993596452,0.012932493736881398
2018-02-26,IH1803,2974.2,2987.8,2930.8,2972.0,14405,12850412400.0,2971.0,3,2972.2,1,17352,2973.6,2953.8,1.228263993596452,0.01917900403768506
2018-02-27,IH1803,2982.4,2984.2,2914.0,2917.6,14510,12722077800.0,2916.0,3,2918.0,1,17405,2922.6,2972.0,1.228263993596452,0.02406087194954751
2018-02-28,IH1803,2900.6,2906.6,2860.4,2868.8,14894,12884501520.0,2868.0,6,2868.8,2,17485,2883.6,2917.6,1.228263993596452,0.016104294478527542
2018-03-01,IH1803,2855.2,2909.6,2849.0,2886.2,14777,12789493500.0,2886.2,1,2886.6,1,17437,2885.0,2868.8,1.228263993596452,0.020996465941376174
2018-03-02,IH1803,2861.2,2889.4,2850.6,2861.2,13225,11369268000.0,2861.0,1,2861.6,1,17352,2865.6,2886.2,1.228263993596452,0.01356074374388375
2018-03-05,IH1803,2871.4,2899.0,2838.8,2856.2,13492,11564802720.0,2856.0,1,2856.6,1,17308,2857.2,2861.2,1.228263993596452,0.02107695539528038
2018-03-06,IH1803,2882.0,2897.4,2833.8,2895.8,15625,13534687500.0,2895.8,3,2896.0,1,18057,2887.4,2856.2,1.228263993596452,0.0219628427377581
2018-03-07,IH1803,2891.0,2926.0,2858.8,2873.0,15494,13365434280.0,2872.6,1,2873.2,4,17025,2875.4,2895.8,1.228263993596452,0.023390184476157264
2018-03-08,IH1803,2885.0,2905.0,2866.0,2899.8,13482,11711543759.999998,2899.2,6,2900.0,1,16581,2895.6,2873.0,1.228263993596452,0.01344920339333747
2018-03-09,IH1803,2910.0,2920.8,2888.4,2908.4,12400,10811808000.0,2908.4,1,2908.8,1,15890,2906.4,2899.8,1.228263993596452,0.011140145784623879
2018-03-12,IH1803,2930.2,2934.0,2901.0,2910.0,11936,10428005759.999998,2909.8,1,2910.2,3,14257,2912.2,2908.4,1.228263993596452,0.01134020618556701
2018-03-13,IH1803,2914.8,2923.8,2870.4,2874.8,12502,10810729440.000002,2873.2,3,2875.0,9,12625,2882.4,2910.0,1.228263993596452,0.01857520523166832
2018-03-14,IH1803,2870.0,2881.2,2857.2,2868.2,10898,9395601720.0,2868.0,7,2868.8,1,9194,2873.8,2874.8,1.228263993596452,0.008367617320967856
2018-03-15,IH1803,2856.6,2899.6,2856.4,2899.2,8618,7482147600.0,2898.6,1,2899.6,6,5411,2894.0,2868.2,1.228263993596452,0.014900662251655568
2018-03-16,IH1804,2900.0,2915.2,2861.8,2864.6,11121,9605874960.0,2864.8,2,2865.0,2,14033,2879.2,2899.0,1.2283487306777627,0.018641346086713553
2018-03-19,IH1804,2869.8,2897.6,2855.2,2897.4,11822,10248964680.0,2897.0,2,2897.4,1,14372,2889.8,2864.6,1.2283487306777627,0.014633809622420132
2018-03-20,IH1804,2882.2,2908.8,2874.8,2900.0,12068,10502056320.0,2899.6,1,2900.8,2,14905,2900.8,2897.4,1.2283487306777627,0.011724137931034483
2018-03-21,IH1804,2931.8,2932.4,2874.2,2884.0,13553,11748824640.0,2883.6,1,2884.0,1,15235,2889.6,2900.0,1.2283487306777627,0.020180305131761538
2018-03-22,IH1804,2894.6,2903.8,2845.2,2859.0,14244,12237590160.0,2858.6,2,2858.8,1,15770,2863.8,2884.0,1.2283487306777627,0.020496677159846228
2018-03-23,IH1804,2785.8,2792.0,2723.4,2734.4,17151,14094005759.999998,2734.4,1,2734.6,1,17249,2739.2,2859.0,1.2283487306777627,0.0250877706260971
2018-03-26,IH1804,2750.0,2759.0,2696.2,2729.6,15686,12815775720.0,2729.0,2,2729.8,3,16852,2723.4,2734.4,1.2283487306777627,0.023007033997655402
2018-03-27,IH1804,2765.0,2769.8,2716.0,2738.2,14276,11686048080.0,2738.0,2,2738.2,1,17014,2728.6,2729.6,1.2283487306777627,0.019647943904755015
2018-03-28,IH1804,2710.2,2743.0,2668.4,2669.4,16160,12981004800.0,2669.0,2,2669.4,1,18494,2677.6,2738.2,1.2283487306777627,0.027946354986139173
2018-03-29,IH1804,2685.0,2748.0,2645.0,2733.6,18690,15295896000.0,2733.6,2,2734.2,1,19080,2728.0,2669.4,1.2283487306777627,0.03767925080479953
2018-03-30,IH1804,2733.0,2738.4,2707.0,2712.4,13521,11019344580.0,2711.4,1,2712.2,1,17890,2716.6,2733.6,1.2283487306777627,0.011576463648429468
2018-04-02,IH1804,2716.6,2753.8,2692.4,2696.0,14365,11647716600.0,2695.2,3,2695.8,1,18622,2702.8,2712.4,1.2283487306777627,0.022774480712166204
2018-04-03,IH1804,2680.4,2711.2,2674.2,2702.0,14644,11837038080.0,2701.0,1,2702.0,6,18038,2694.4,2696.0,1.2283487306777627,0.013693560325684678
2018-04-04,IH1804,2709.6,2731.6,2692.2,2698.0,13029,10563652620.0,2698.0,1,2698.6,3,17487,2702.6,2702.0,1.2283487306777627,0.014603409933283948
2018-04-09,IH1804,2708.4,2725.4,2687.8,2717.8,12391,10075369920.0,2717.2,3,2718.4,3,17385,2710.4,2698.0,1.2283487306777627,0.013834719258223528
2018-04-10,IH1804,2718.0,2784.2,2710.2,2781.8,15554,12907642440.0,2781.8,1,2782.0,1,17357,2766.2,2717.8,1.2283487306777627,0.026601481055431732
2018-04-11,IH1804,2785.2,2801.8,2767.2,2780.0,13741,11463291840.000002,2779.2,2,2779.8,1,15696,2780.8,2781.8,1.2283487306777627,0.012446043165467756
2018-04-12,IH1804,2786.0,2786.0,2745.0,2747.2,12505,10321877100.0,2747.0,1,2748.0,2,15437,2751.4,2780.0,1.2283487306777627,0.01492428654630169
2018-04-13,IH1804,2762.8,2769.2,2715.2,2720.8,12714,10400560560.0,2720.2,1,2720.8,2,14579,2726.8,2747.2,1.2283487306777627,0.019847103793002058
2018-04-16,IH1804,2719.2,2723.6,2653.6,2653.6,13142,10500720840.000002,2654.2,1,2655.4,1,13884,2663.4,2720.8,1.2283487306777627,0.026379258365993367
2018-04-17,IH1804,2663.2,2687.6,2625.0,2633.2,14510,11526744000.0,2632.4,2,2633.6,2,12086,2648.0,2653.6,1.2283487306777627,0.023773355612942394
2018-04-18,IH1804,2666.0,2666.0,2626.8,2649.2,14428,11491036320.000002,2649.2,5,2650.0,6,9776,2654.8,2633.2,1.2283487306777627,0.014796919824852718
2018-04-19,IH1804,2662.6,2697.2,2654.0,2684.4,9609,7722176760.000001,2684.4,2,2686.2,1,4599,2678.8,2649.2,1.2283487306777627,0.016092981671881917
2018-04-20,IH1805,2676.4,2681.0,2625.0,2636.2,13903,10993658220.000002,2635.0,4,2636.0,1,14508,2635.8,2687.8,1.226794900153057,0.021242697822623474
2018-04-23,IH1805,2637.6,2675.0,2632.6,2665.0,15605,12441554400.0,2664.8,1,2665.4,2,15611,2657.6,2636.2,1.226794900153057,0.0159099437148218
2018-04-24,IH1805,2676.8,2743.0,2674.0,2729.0,15858,12967720920.000002,2728.4,1,2729.2,3,16004,2725.8,2665.0,1.226794900153057,0.025283986808354707
2018-04-25,IH1805,2717.0,2725.2,2700.6,2707.2,12117,9842396760.0,2706.4,2,2707.4,1,15093,2707.6,2729.0,1.226794900153057,0.00908687943262408
2018-04-26,IH1805,2720.0,2727.0,2653.2,2666.6,13850,11061441000.0,2665.8,1,2667.0,9,15916,2662.2,2707.2,1.226794900153057,0.027675691892297377
2018-04-27,IH1805,2679.2,2680.0,2614.6,2654.0,16104,12830700960.0,2653.2,4,2653.8,2,16014,2655.8,2666.6,1.226794900153057,0.024642049736247208
2018-05-02,IH1805,2671.0,2677.0,2640.0,2659.6,11626,9252435840.0,2660.0,1,2660.2,3,14837,2652.8,2654.0,1.226794900153057,0.013911866446082118
2018-05-03,IH1805,2649.4,2680.0,2629.2,2665.0,13364,10708573200.0,2665.2,1,2666.6,2,15259,2671.0,2659.6,1.226794900153057,0.019061913696060105
2018-05-04,IH1805,2666.8,2674.4,2642.2,2643.0,10910,8667558599.999998,2643.0,1,2643.2,1,14126,2648.2,2665.0,1.226794900153057,0.012183125236473807
2018-05-07,IH1805,2653.6,2686.8,2635.2,2682.0,12572,10116939840.000002,2681.4,2,2682.2,3,14496,2682.4,2643.0,1.226794900153057,0.019239373601789844
2018-05-08,IH1805,2687.0,2737.2,2683.2,2724.2,13464,11002780800.0,2724.2,4,2724.6,3,14060,2724.0,2682.0,1.226794900153057,0.01982233316202922
2018-05-09,IH1805,2726.2,2728.6,2706.6,2718.6,10421,8483527679.999999,2718.6,1,2719.6,1,13051,2713.6,2724.2,1.226794900153057,0.008092400500257486
2018-05-10,IH1805,2731.2,2747.2,2713.4,2734.2,11000,9002400000.0,2734.2,1,2734.4,1,13267,2728.0,2718.6,1.226794900153057,0.012361934020920097
2018-05-11,IH1805,2743.2,2746.0,2723.6,2728.6,10371,8495715779.999999,2727.2,1,2728.6,4,12579,2730.6,2734.2,1.226794900153057,0.008209338122113939
2018-05-14,IH1805,2744.4,2765.0,2737.2,2756.0,10859,8961932700.0,2755.4,4,2755.6,1,12187,2751.0,2728.6,1.226794900153057,0.010087082728592229
2018-05-15,IH1805,2761.8,2762.8,2730.4,2750.0,10380,8544193200.000001,2749.2,2,2750.4,1,10501,2743.8,2756.0,1.226794900153057,0.011781818181818214
2018-05-16,IH1805,2739.6,2746.2,2708.4,2713.8,9370,7645920000.0,2713.8,4,2714.2,1,8630,2720.0,2750.0,1.226794900153057,0.013928808313066447
2018-05-17,IH1806,2715.0,2715.4,2685.0,2687.2,8196,6612696720.000001,2685.4,2,2687.6,3,15488,2689.4,2704.8,1.2308769594925193,0.011312890741292086
2018-05-18,IH1806,2694.8,2736.6,2681.6,2735.2,12817,10480973580.0,2735.2,4,2736.4,1,18903,2725.8,2687.2,1.2308769594925193,0.0201082187774203
2018-05-21,IH1806,2752.0,2762.6,2726.8,2734.2,13084,10732281840.0,2734.2,1,2734.4,5,18722,2734.2,2735.2,1.2308769594925193,0.013093409406773364
2018-05-22,IH1806,2734.8,2737.0,2697.4,2714.6,11614,9444272520.0,2714.6,1,2715.0,7,19011,2710.6,2734.2,1.2308769594925193,0.014587784572312646
2018-05-23,IH1806,2704.4,2707.4,2663.2,2664.6,12595,10105976100.0,2664.0,2,2664.6,1,19103,2674.6,2714.6,1.2308769594925193,0.016587855588080864
2018-05-24,IH1806,2667.0,2681.0,2647.0,2649.0,11282,8984759160.0,2649.0,1,2649.4,1,18897,2654.6,2664.6,1.2308769594925193,0.012835032087580219
2018-05-25,IH1806,2652.4,2671.6,2636.4,2646.8,11809,9369732960.0,2646.0,2,2646.8,1,19561,2644.8,2649.0,1.2308769594925193,0.013299078132083956
2018-05-28,IH1806,2651.4,2679.6,2645.4,2664.0,13092,10456842240.000002,2663.2,1,2664.2,9,19489,2662.4,2646.8,1.2308769594925193,0.01283783783783777
2018-05-29,IH1806,2655.8,2666.0,2628.2,2645.4,13945,11077071300.0,2644.6,1,2645.8,1,19876,2647.8,2664.0,1.2308769594925193,0.014288954411431232
2018-05-30,IH1806,2618.0,2626.8,2586.4,2588.4,14743,11508385800.0,2588.2,2,2588.6,1,19482,2602.0,2645.4,1.2308769594925193,0.015608097666512166
2018-05-31,IH1806,2605.0,2647.6,2603.8,2642.0,14864,11772288000.0,2640.6,1,2642.0,2,18557,2640.0,2588.4,1.2308769594925193,0.0165783497350491
2018-06-01,IH1806,2637.2,2646.0,2618.6,2631.6,13207,10409229120.0,2631.0,1,2631.8,4,17731,2627.2,2642.0,1.2308769594925193,0.010411916704666398
2018-06-04,IH1806,2645.8,2681.4,2643.0,2676.2,12903,10355431679.999998,2675.6,3,2676.2,1,17609,2675.2,2631.6,1.2308769594925193,0.01434870338539724
2018-06-05,IH1806,2675.0,2694.6,2664.0,2685.4,12173,9812655300.0,2684.4,2,2685.4,1,16374,2687.0,2676.2,1.2308769594925193,0.01139495047292765
2018-06-06,IH1806,2685.4,2685.8,2672.0,2677.6,9587,7701620580.0,2677.0,6,2677.4,1,15632,2677.8,2685.4,1.2308769594925193,0.005153869136540253
2018-06-07,IH1806,2685.0,2710.8,2681.0,2685.0,11858,9560156760.0,2684.6,4,2685.2,1,15635,2687.4,2677.6,1.2308769594925193,0.01109869646182502
2018-06-08,IH1806,2675.2,2675.2,2627.0,2636.6,11299,8933215380.0,2636.6,1,2636.8,4,15104,2635.4,2685.0,1.2308769594925193,0.0182811196237578
2018-06-11,IH1806,2633.0,2659.6,2625.8,2654.0,11895,9434400300.000002,2653.0,4,2654.2,4,14039,2643.8,2636.6,1.2308769594925193,0.012735493594574125
2018-06-12,IH1806,2654.6,2688.6,2644.0,2678.0,12285,9884511000.0,2677.6,3,2678.8,1,12629,2682.0,2654.0,1.2308769594925193,0.01665421956684089
2018-06-13,IH1806,2672.0,2677.4,2655.0,2659.6,10025,8007769500.0,2657.0,3,2660.2,1,9664,2662.6,2678.0,1.2308769594925193,0.008422319145736235
2018-06-14,IH1806,2652.4,2688.2,2650.6,2664.0,8430,6741808200.0,2663.0,1,2664.2,3,6332,2665.8,2659.6,1.2308769594925193,0.01411411411411408
2018-06-15,IH1807,2646.2,2663.4,2639.2,2640.0,12153,9656530740.0,2639.4,1,2640.0,3,14958,2648.6,2645.6,1.2394376398881433,0.00916666666666677
2018-06-19,IH1807,2613.4,2628.0,2538.6,2561.8,16797,12972659040.000002,2561.8,8,2562.2,1,16274,2574.4,2640.0,1.2394376398881433,0.034897337809352835
2018-06-20,IH1807,2560.0,2584.0,2545.4,2573.0,13375,10332187500.0,2572.8,1,2573.2,3,15375,2575.0,2561.8,1.2394376398881433,0.015001943256898527
2018-06-21,IH1807,2574.2,2604.8,2548.0,2553.0,13916,10700012400.0,2551.4,1,2552.8,2,15368,2563.0,2573.0,1.2394376398881433,0.022248335291813623
2018-06-22,IH1807,2548.8,2567.8,2536.0,2559.0,12801,9807358140.0,2559.0,4,2559.4,2,14904,2553.8,2553.0,1.2394376398881433,0.01242672919109034
2018-06-25,IH1807,2563.8,2572.8,2502.0,2503.6,13012,9834729840.0,2503.2,1,2504.4,1,15383,2519.4,2559.0,1.2394376398881433,0.0282792778399106
2018-06-26,IH1807,2494.0,2499.0,2440.0,2481.2,15245,11310265500.0,2480.6,1,2481.4,15,16123,2473.0,2503.6,1.2394376398881433,0.023778816701596005
2018-06-27,IH1807,2478.4,2492.8,2407.0,2415.0,15805,11474430000.0,2413.8,3,2415.0,1,16509,2420.0,2481.2,1.2394376398881433,0.03552795031055908
2018-06-28,IH1807,2402.6,2445.0,2393.4,2405.6,15679,11315220720.0,2405.4,2,2405.8,2,16186,2405.6,2415.0,1.2394376398881433,0.021449950116395042
2018-06-29,IH1807,2415.6,2464.0,2412.4,2457.2,14628,10785809520.000002,2457.2,1,2457.8,1,15876,2457.8,2405.6,1.2394376398881433,0.020999511639264168
2018-07-02,IH1807,2450.0,2451.0,2328.6,2344.4,16479,11635492320.0,2343.2,2,2345.8,2,16120,2353.6,2457.2,1.2394376398881433,0.052209520559631496
2018-07-03,IH1807,2370.0,2375.8,2303.0,2362.6,18669,13217652000.0,2362.6,2,2363.4,1,17421,2360.0,2344.4,1.2394376398881433,0.030813510539236512
2018-07-04,IH1807,2359.6,2383.0,2338.0,2346.0,14731,10369445520.0,2346.0,5,2347.2,1,16043,2346.4,2362.6,1.2394376398881433,0.01918158567774936
2018-07-05,IH1807,2346.2,2379.0,2325.8,2347.6,16737,11767449959.999998,2347.6,5,2348.0,3,16522,2343.6,2346.0,1.2394376398881433,0.022661441472141684
2018-07-06,IH1807,2355.2,2405.2,2327.0,2382.0,19240,13770837600.0,2380.4,1,2382.0,1,16739,2385.8,2347.6,1.2394376398881433,0.03282955499580177
2018-07-09,IH1807,2398.0,2455.0,2396.2,2454.4,14997,11011997159.999998,2454.4,1,2454.6,5,15911,2447.6,2382.0,1.2394376398881433,0.02395697522816174
2018-07-10,IH1807,2461.4,2462.2,2428.0,2449.0,13921,10200195120.0,2448.6,1,2448.8,2,15883,2442.4,2454.4,1.2394376398881433,0.01396488362596971
2018-07-11,IH1807,2398.8,2422.0,2382.0,2410.8,15795,11414098800.0,2410.8,1,2411.2,7,16218,2408.8,2449.0,1.2394376398881433,0.016592002654720425
2018-07-12,IH1807,2411.8,2484.0,2411.8,2464.4,14723,10900025820.000002,2463.4,1,2465.0,3,15623,2467.8,2410.8,1.2394376398881433,0.02929719201428332
2018-07-13,IH1807,2471.2,2473.6,2455.2,2465.2,10966,8110672920.000001,2465.0,3,2465.4,1,14867,2465.4,2464.4,1.2394376398881433,0.007463897452539385
