time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,J1805,1965.0,2035.0,1962.5,2014.5,162277.0,32544652350.0,2014.0,32,2014.5,1,128048.0,2005.5,1979.5,0.9628907251225756,0.03598907917597419
2018-01-03,J1805,2021.0,2053.0,2005.0,2015.0,208354.0,42254191200.0,2014.0,66,2015.0,10,139414.0,2028.0,2014.5,0.9628907251225756,0.02382133995037221
2018-01-04,J1805,2015.0,2100.0,1999.0,2090.0,312297.0,64286337450.0,2089.0,69,2090.0,13,164064.0,2058.5,2015.0,0.9628907251225756,0.04832535885167464
2018-01-05,J1805,2089.0,2095.5,2038.0,2061.5,229305.0,47454669750.0,2061.0,31,2061.5,2,146215.0,2069.5,2090.0,0.9628907251225756,0.027892311423720593
2018-01-08,J1805,2053.0,2089.5,2040.0,2089.5,196638.0,40527091800.0,2089.0,5,2089.5,33,144331.0,2061.0,2061.5,0.9628907251225756,0.023689877961234746
2018-01-09,J1805,2090.0,2095.0,2061.0,2072.0,139490.0,29006945500.0,2072.0,8,2072.5,5,132126.0,2079.5,2089.5,0.9628907251225756,0.016409266409266408
2018-01-10,J1805,2070.5,2072.5,2012.0,2025.0,222050.0,45287097500.0,2024.5,21,2025.0,5,144970.0,2039.5,2072.0,0.9628907251225756,0.02987654320987654
2018-01-11,J1805,2030.5,2039.0,2008.0,2029.5,163853.0,33180232500.0,2028.5,1,2029.0,1,133327.0,2025.0,2025.0,0.9628907251225756,0.01527469820152747
2018-01-12,J1805,2030.0,2032.0,2001.5,2011.0,148627.0,29940909150.0,2010.0,185,2011.0,2,133443.0,2014.5,2029.5,0.9628907251225756,0.015166583789159622
2018-01-15,J1805,2008.0,2019.0,1964.0,1984.0,158867.0,31590702950.0,1983.5,7,1984.0,26,137913.0,1988.5,2011.0,0.9628907251225756,0.027721774193548387
2018-01-16,J1805,1984.0,1997.5,1946.0,1959.5,172130.0,34021494500.0,1959.0,4,1960.0,1,143569.0,1976.5,1984.0,0.9628907251225756,0.026282214850727226
2018-01-17,J1805,1963.5,1969.0,1930.0,1959.0,182593.0,35642153600.0,1958.5,38,1959.0,1,146113.0,1952.0,1959.5,0.9628907251225756,0.019908116385911178
2018-01-18,J1805,1956.5,1980.0,1953.0,1966.5,124261.0,24454564800.0,1965.5,33,1966.5,2,133765.0,1968.0,1959.0,0.9628907251225756,0.013729977116704805
2018-01-19,J1805,1969.0,1996.0,1943.0,1987.0,170226.0,33483454200.0,1986.5,21,1987.0,7,141052.0,1967.0,1966.5,0.9628907251225756,0.026673376950176145
2018-01-22,J1805,1990.0,2038.0,1984.0,1996.5,200485.0,40307509250.0,1996.0,8,1996.5,6,132825.0,2010.5,1987.0,0.9628907251225756,0.027047332832456798
2018-01-23,J1805,1998.0,2010.5,1965.5,1993.0,161140.0,32074917000.0,1993.0,19,1994.0,3,127683.0,1990.5,1996.5,0.9628907251225756,0.022579026593075764
2018-01-24,J1805,1993.0,2009.0,1975.0,2000.5,122856.0,24442201200.0,2000.0,44,2000.5,9,123554.0,1989.5,1993.0,0.9628907251225756,0.01699575106223444
2018-01-25,J1805,1999.5,2078.0,1997.0,2063.5,199031.0,40532663150.0,2063.0,9,2063.5,7,146711.0,2036.5,2000.5,0.9628907251225756,0.03925369517809547
2018-01-26,J1805,2058.5,2066.5,2030.0,2041.0,139218.0,28525768200.0,2040.0,4,2041.5,2,130826.0,2049.0,2063.5,0.9628907251225756,0.017883390494855465
2018-01-29,J1805,2045.0,2065.0,2021.0,2032.5,141684.0,28903536000.0,2032.5,3,2034.0,6,132062.0,2040.0,2041.0,0.9628907251225756,0.021648216482164823
2018-01-30,J1805,2031.0,2047.0,2001.0,2012.5,135156.0,27369090000.0,2011.5,21,2012.0,12,127130.0,2025.0,2032.5,0.9628907251225756,0.022857142857142857
2018-01-31,J1805,2018.0,2024.0,1981.5,2007.0,150339.0,30030215250.0,2006.5,17,2007.0,22,127251.0,1997.5,2012.5,0.9628907251225756,0.021175884404583956
2018-02-01,J1805,2009.0,2032.5,1992.0,1999.5,143828.0,28887853800.0,1999.5,2,2000.0,122,120446.0,2008.5,2007.0,0.9628907251225756,0.020255063765941484
2018-02-02,J1805,2010.0,2050.0,2002.5,2045.0,162987.0,33053763600.0,2045.0,14,2046.0,183,130583.0,2028.0,1999.5,0.9628907251225756,0.023227383863080684
2018-02-05,J1805,2045.0,2124.5,2041.0,2123.5,218535.0,45356939250.0,2123.0,3,2123.5,39,142155.0,2075.5,2045.0,0.9628907251225756,0.039321874264186485
2018-02-06,J1805,2124.0,2140.0,2094.5,2119.5,203219.0,43031623250.0,2119.0,106,2119.5,34,154793.0,2117.5,2123.5,0.9628907251225756,0.021467327199811276
2018-02-07,J1805,2119.0,2167.5,2099.5,2155.5,181493.0,38803203400.0,2155.0,145,2156.0,17,158533.0,2138.0,2119.5,0.9628907251225756,0.03154720482486662
2018-02-08,J1805,2159.0,2160.0,2133.0,2147.0,141975.0,30474933750.0,2146.5,16,2147.5,111,155897.0,2146.5,2155.5,0.9628907251225756,0.012575687005123428
2018-02-09,J1805,2150.0,2167.0,2085.0,2105.5,197042.0,41891129200.0,2105.5,5,2106.0,11,143985.0,2126.0,2147.0,0.9628907251225756,0.038945618617905485
2018-02-12,J1805,2111.0,2129.5,2080.5,2110.5,133738.0,28165222800.0,2109.5,11,2110.5,40,127989.0,2106.0,2105.5,0.9628907251225756,0.02321724709784411
2018-02-13,J1805,2110.0,2122.5,2091.0,2111.5,75915.0,16021860750.0,2111.5,2,2112.0,6,117571.0,2110.5,2110.5,0.9628907251225756,0.014918304522851054
2018-02-14,J1805,2112.0,2151.0,2108.5,2141.5,81455.0,17374351500.0,2141.5,3,2142.5,50,113248.0,2133.0,2111.5,0.9628907251225756,0.019845902404856407
2018-02-22,J1805,2151.0,2188.0,2123.0,2176.0,97674.0,21063398100.0,2176.0,1,2176.5,2,128430.0,2156.5,2141.5,0.9628907251225756,0.029871323529411766
2018-02-23,J1805,2171.0,2223.5,2158.0,2221.0,146587.0,32087894300.0,2219.5,8,2220.0,1,149001.0,2189.0,2176.0,0.9628907251225756,0.029491220171094103
2018-02-26,J1805,2220.0,2293.0,2211.0,2279.0,155393.0,35056660800.0,2278.5,1,2279.0,4,161947.0,2256.0,2221.0,0.9628907251225756,0.035980693286529176
2018-02-27,J1805,2275.0,2284.0,2256.0,2273.5,117841.0,26744014950.0,2273.0,96,2273.5,1,158334.0,2269.5,2279.0,0.9628907251225756,0.01231581262370794
2018-02-28,J1805,2268.5,2271.5,2226.0,2239.5,145310.0,32694750000.0,2237.0,1,2239.5,19,151187.0,2250.0,2273.5,0.9628907251225756,0.02031703505246707
2018-03-01,J1805,2245.5,2267.0,2229.0,2258.5,136566.0,30761491500.0,2258.0,2,2258.5,26,156482.0,2252.5,2239.5,0.9628907251225756,0.01682532654416648
2018-03-02,J1805,2253.0,2253.0,2212.0,2242.0,152421.0,34020367200.0,2242.0,70,2243.5,29,154602.0,2232.0,2258.5,0.9628907251225756,0.018287243532560213
2018-03-05,J1805,2243.0,2251.5,2168.0,2177.0,184772.0,40834612000.0,2176.0,20,2177.0,1,151215.0,2210.0,2242.0,0.9628907251225756,0.03835553514010106
2018-03-06,J1805,2171.5,2208.0,2155.0,2194.0,154011.0,33636002400.0,2193.5,5,2194.0,8,139123.0,2184.0,2177.0,0.9628907251225756,0.02415679124886053
2018-03-07,J1805,2198.5,2211.5,2141.5,2151.0,165487.0,36076166000.0,2151.0,3,2152.0,15,135019.0,2180.0,2194.0,0.9628907251225756,0.032543003254300325
2018-03-08,J1805,2145.0,2160.0,2100.0,2112.0,179309.0,38282471500.0,2112.0,10,2113.0,5,131696.0,2135.0,2151.0,0.9628907251225756,0.028409090909090908
2018-03-09,J1805,2106.0,2126.5,2028.5,2035.0,221285.0,46005151500.0,2035.0,247,2036.5,16,129694.0,2079.0,2112.0,0.9628907251225756,0.04815724815724816
2018-03-12,J1805,2050.0,2079.0,1997.0,2002.0,229095.0,46609377750.0,2000.5,10,2001.5,6,126602.0,2034.5,2035.0,0.9628907251225756,0.04095904095904096
