time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,JD1805,3820,3857,3820,3848,51557.0,1980819940.0,3848,17,3849,28,92956.0,3842,3815.0,0.8696002866635288,0.009615384615384616
2018-01-03,JD1805,3853,3861,3802,3804,59745.0,2284051350.0,3804,21,3807,9,98885.0,3823,3848.0,0.8696002866635288,0.015509989484752892
2018-01-04,JD1805,3814,3814,3767,3797,57628.0,2184677480.0,3796,56,3797,6,96831.0,3791,3804.0,0.8696002866635288,0.012378193310508295
2018-01-05,JD1805,3800,3807,3781,3788,34984.0,1326593280.0,3788,32,3789,12,98547.0,3792,3797.0,0.8696002866635288,0.006863780359028511
2018-01-08,JD1805,3780,3803,3714,3717,100148.0,3746536680.0,3714,13,3717,6,111203.0,3741,3788.0,0.8696002866635288,0.023944040893193436
2018-01-09,JD1805,3717,3732,3715,3720,36123.0,1345220520.0,3719,25,3720,18,109505.0,3724,3717.0,0.8696002866635288,0.00456989247311828
2018-01-10,JD1805,3719,3737,3700,3721,45231.0,1683045510.0,3721,20,3722,103,111354.0,3721,3720.0,0.8696002866635288,0.009943563558183283
2018-01-11,JD1805,3731,3731,3710,3722,30860.0,1147992000.0,3721,5,3723,100,108956.0,3720,3721.0,0.8696002866635288,0.005642127888232133
2018-01-12,JD1805,3719,3742,3676,3722,77778.0,2884786020.0,3721,7,3722,24,108563.0,3709,3722.0,0.8696002866635288,0.017732401934443847
2018-01-15,JD1805,3718,3731,3701,3707,46394.0,1724928920.0,3707,27,3709,2,109481.0,3718,3722.0,0.8696002866635288,0.008092797410304829
2018-01-16,JD1805,3702,3725,3670,3672,54732.0,2025084000.0,3671,121,3672,6,111578.0,3700,3707.0,0.8696002866635288,0.014978213507625272
2018-01-17,JD1805,3678,3693,3663,3672,46342.0,1703531920.0,3671,10,3672,15,111998.0,3676,3672.0,0.8696002866635288,0.008169934640522876
2018-01-18,JD1805,3669,3699,3656,3685,40367.0,1486716610.0,3684,28,3685,10,110814.0,3683,3672.0,0.8696002866635288,0.011668928086838535
2018-01-19,JD1805,3681,3710,3670,3687,47546.0,1753021020.0,3687,83,3688,53,111513.0,3687,3685.0,0.8696002866635288,0.010848928668294006
2018-01-22,JD1805,3700,3715,3648,3680,64964.0,2390675200.0,3680,44,3683,2,112396.0,3680,3687.0,0.8696002866635288,0.018206521739130434
