time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,L1805,9810,10095,9810,9955,408046.0,20371696550.0,9950,691,9955,12,288125.0,9985,9800.0,1.3182316077777276,0.02862882973380211
2018-01-03,L1805,9960,9995,9900,9975,147431.0,7331006475.0,9975,102,9980,246,273565.0,9945,9955.0,1.3182316077777276,0.009523809523809525
2018-01-04,L1805,10000,10035,9885,9990,199450.0,9942582500.0,9990,1,9995,238,269972.0,9970,9975.0,1.3182316077777276,0.015015015015015015
2018-01-05,L1805,9970,10015,9850,9975,221209.0,10994087300.0,9970,130,9975,312,268261.0,9940,9990.0,1.3182316077777276,0.016541353383458645
2018-01-08,L1805,9970,10025,9930,9960,128236.0,6392564600.0,9955,93,9960,77,263697.0,9970,9975.0,1.3182316077777276,0.009538152610441768
2018-01-09,L1805,9990,9995,9895,9930,110501.0,5489137175.0,9930,460,9940,236,265371.0,9935,9960.0,1.3182316077777276,0.010070493454179255
2018-01-10,L1805,9950,10110,9930,10020,250274.0,12551241100.0,10015,78,10020,34,268202.0,10030,9930.0,1.3182316077777276,0.017964071856287425
2018-01-11,L1805,10025,10110,10000,10085,168754.0,8479888500.0,10085,10,10090,193,282314.0,10050,10020.0,1.3182316077777276,0.010907288051561725
2018-01-12,L1805,10060,10165,10035,10150,209870.0,10603681750.0,10150,90,10155,37,308292.0,10105,10085.0,1.3182316077777276,0.012807881773399015
2018-01-15,L1805,10160,10180,10090,10115,133053.0,6732481800.0,10110,40,10115,68,294372.0,10120,10150.0,1.3182316077777276,0.008897676717745922
2018-01-16,L1805,10115,10145,9825,9875,304406.0,15151808650.0,9870,106,9880,36,253424.0,9955,10115.0,1.3182316077777276,0.03240506329113924
2018-01-17,L1805,9885,9910,9810,9820,107929.0,5318201475.0,9815,57,9820,29,237991.0,9855,9875.0,1.3182316077777276,0.010183299389002037
2018-01-18,L1805,9835,9880,9800,9825,94676.0,4658059200.0,9825,167,9830,255,233373.0,9840,9820.0,1.3182316077777276,0.008142493638676845
