time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,M1805,2770,2777,2762,2765,195591.0,5413958880.0,2765,63,2766,787,982480.0,2768,2761.0,1.70468075921367,0.0054249547920434
2018-01-03,M1805,2767,2783,2766,2773,300456.0,8334649440.0,2772,152,2773,1358,1010354.0,2774,2765.0,1.70468075921367,0.006130544536602957
2018-01-04,M1805,2774,2775,2761,2770,247246.0,6841296820.0,2769,345,2770,578,997551.0,2767,2773.0,1.70468075921367,0.005054151624548736
2018-01-05,M1805,2767,2780,2750,2775,394509.0,10912118940.0,2774,196,2775,12,1003637.0,2766,2770.0,1.70468075921367,0.010810810810810811
2018-01-08,M1805,2785,2786,2766,2767,266321.0,7385081330.0,2766,1031,2767,168,982927.0,2773,2775.0,1.70468075921367,0.007228044813877846
2018-01-09,M1805,2771,2789,2768,2776,323903.0,9001264370.0,2774,358,2776,534,991495.0,2779,2767.0,1.70468075921367,0.007564841498559078
2018-01-10,M1805,2771,2777,2764,2768,223025.0,6177792500.0,2767,379,2768,29,992618.0,2770,2776.0,1.70468075921367,0.004696531791907515
2018-01-11,M1805,2768,2771,2745,2754,336517.0,9271043350.0,2753,36,2754,537,999554.0,2755,2768.0,1.70468075921367,0.00944081336238199
2018-01-12,M1805,2759,2759,2725,2729,355061.0,9718019570.0,2729,180,2730,26,986710.0,2737,2754.0,1.70468075921367,0.01245877610846464
2018-01-15,M1805,2730,2769,2720,2757,371505.0,10197812250.0,2756,132,2757,201,976231.0,2745,2729.0,1.70468075921367,0.017772941603191875
2018-01-16,M1805,2759,2765,2748,2754,275736.0,7599284160.0,2754,2,2755,258,966570.0,2756,2757.0,1.70468075921367,0.006172839506172839
2018-01-17,M1805,2731,2770,2731,2770,342047.0,9450758610.0,2769,434,2770,2805,980785.0,2763,2754.0,1.70468075921367,0.01407942238267148
2018-01-18,M1805,2769,2779,2758,2767,291131.0,8061417390.0,2766,1270,2767,25,971784.0,2769,2770.0,1.70468075921367,0.007589447054571739
2018-01-19,M1805,2767,2783,2762,2780,283062.0,7852139880.0,2779,114,2780,566,976987.0,2774,2767.0,1.70468075921367,0.007553956834532374
2018-01-22,M1805,2784,2792,2774,2786,288921.0,8043560640.0,2785,242,2786,18,940518.0,2784,2780.0,1.70468075921367,0.006460875807609476
2018-01-23,M1805,2790,2796,2777,2784,273330.0,7614973800.0,2784,715,2785,10,948220.0,2786,2786.0,1.70468075921367,0.006824712643678161
2018-01-24,M1805,2788,2789,2757,2758,370425.0,10257068250.0,2758,364,2759,40,946510.0,2769,2784.0,1.70468075921367,0.011602610587382161
2018-01-25,M1805,2760,2783,2758,2781,305395.0,8465549400.0,2780,123,2781,50,935246.0,2772,2758.0,1.70468075921367,0.008989572096368213
2018-01-26,M1805,2781,2785,2753,2771,277573.0,7691547830.0,2770,211,2771,244,931111.0,2771,2781.0,1.70468075921367,0.01154817755322988
2018-01-29,M1805,2768,2812,2761,2808,490339.0,13675554710.0,2808,317,2809,6,971331.0,2789,2771.0,1.70468075921367,0.018162393162393164
2018-01-30,M1805,2807,2812,2792,2804,342766.0,9597448000.0,2804,254,2805,387,972292.0,2800,2808.0,1.70468075921367,0.007132667617689016
2018-01-31,M1805,2808,2822,2799,2815,309360.0,8696109600.0,2814,454,2815,1,951753.0,2811,2804.0,1.70468075921367,0.008170515097690942
2018-02-01,M1805,2803,2808,2792,2799,284877.0,7973707230.0,2798,46,2799,295,963340.0,2799,2815.0,1.70468075921367,0.0057163272597356195
2018-02-02,M1805,2794,2796,2762,2767,344314.0,9561599780.0,2764,11,2767,114,953400.0,2777,2799.0,1.70468075921367,0.012287676183592338
2018-02-05,M1805,2770,2778,2763,2769,225005.0,6230388450.0,2769,239,2770,40,932879.0,2769,2767.0,1.70468075921367,0.005417118093174431
2018-02-06,M1805,2764,2776,2757,2764,255330.0,7062427800.0,2764,18,2765,865,944406.0,2766,2769.0,1.70468075921367,0.006874095513748191
2018-02-07,M1805,2773,2810,2771,2805,371653.0,10380268290.0,2805,279,2806,107,937710.0,2793,2764.0,1.70468075921367,0.013903743315508022
