time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,MA1805,2853,2940,2851,2923,413281.0,11997547430.0,2922,13,2924,82,309808.0,2903,2853.0,1.0672505284103302,0.030448169688676016
2018-01-03,MA1805,2923,2929,2891,2909,392740.0,11424806600.0,2908,45,2909,173,307853.0,2909,2923.0,1.0672505284103302,0.013062908215881746
2018-01-04,MA1805,2913,2948,2902,2933,525901.0,15387863260.0,2932,24,2933,102,324271.0,2926,2909.0,1.0672505284103302,0.015683600409137403
2018-01-05,MA1805,2934,2947,2896,2924,462758.0,13535671500.0,2924,1,2925,253,309600.0,2925,2933.0,1.0672505284103302,0.01744186046511628
2018-01-08,MA1805,2916,3000,2916,2992,591730.0,17550711800.0,2991,1,2992,12,375374.0,2966,2924.0,1.0672505284103302,0.02807486631016043
2018-01-09,MA1805,2992,3040,2972,2980,347149.0,10372812120.0,2980,15,2981,16,357190.0,2988,2992.0,1.0672505284103302,0.022818791946308724
2018-01-10,MA1805,2980,3004,2965,2977,410764.0,12253090120.0,2976,25,2977,278,362395.0,2983,2980.0,1.0672505284103302,0.013100436681222707
2018-01-11,MA1805,2985,2985,2955,2975,360452.0,10701819880.0,2975,7,2976,35,359265.0,2969,2977.0,1.0672505284103302,0.010084033613445379
2018-01-12,MA1805,2977,2983,2942,2952,359790.0,10642588200.0,2952,9,2954,265,331778.0,2958,2975.0,1.0672505284103302,0.013888888888888888
2018-01-15,MA1805,2951,2964,2928,2937,327576.0,9650388960.0,2937,52,2938,75,331069.0,2946,2952.0,1.0672505284103302,0.012257405515832482
2018-01-16,MA1805,2938,2942,2822,2827,726112.0,20904764480.0,2825,529,2827,28,397600.0,2879,2937.0,1.0672505284103302,0.04244782454899186
2018-01-17,MA1805,2821,2845,2806,2823,348242.0,9865695860.0,2821,28,2823,1415,362612.0,2833,2827.0,1.0672505284103302,0.01381509032943677
2018-01-18,MA1805,2828,2844,2808,2820,435634.0,12302304160.0,2820,19,2821,201,374712.0,2824,2823.0,1.0672505284103302,0.01276595744680851
2018-01-19,MA1805,2826,2830,2766,2800,611441.0,17059203900.0,2800,21,2801,138,369822.0,2790,2820.0,1.0672505284103302,0.022857142857142857
2018-01-22,MA1805,2801,2838,2793,2813,410529.0,11552286060.0,2812,107,2813,158,359691.0,2814,2800.0,1.0672505284103302,0.015997156061144685
2018-01-23,MA1805,2810,2862,2802,2843,527441.0,14958226760.0,2843,821,2844,143,352887.0,2836,2813.0,1.0672505284103302,0.021104467112205417
2018-01-24,MA1805,2840,2851,2815,2816,411757.0,11669193380.0,2815,1278,2816,1,349002.0,2834,2843.0,1.0672505284103302,0.01278409090909091
2018-01-25,MA1805,2820,2856,2816,2842,528827.0,14997533720.0,2841,195,2842,5,360228.0,2836,2816.0,1.0672505284103302,0.014074595355383532
2018-01-26,MA1805,2843,2869,2803,2827,539810.0,15298215400.0,2827,1,2828,338,349124.0,2834,2842.0,1.0672505284103302,0.023346303501945526
2018-01-29,MA1805,2827,2878,2826,2847,445796.0,12714101920.0,2848,19,2849,3,337713.0,2852,2827.0,1.0672505284103302,0.0182648401826484
2018-01-30,MA1805,2845,2846,2795,2813,487965.0,13745974050.0,2813,142,2814,49,344048.0,2817,2847.0,1.0672505284103302,0.018130110202630643
2018-01-31,MA1805,2815,2819,2758,2784,465744.0,12975627840.0,2785,4,2786,62,353989.0,2786,2813.0,1.0672505284103302,0.021910919540229886
2018-02-01,MA1805,2786,2798,2762,2772,339265.0,9428174350.0,2771,82,2772,3,341229.0,2779,2784.0,1.0672505284103302,0.012987012987012988
2018-02-02,MA1805,2776,2806,2767,2774,366491.0,10206774350.0,2774,8,2775,126,343931.0,2785,2772.0,1.0672505284103302,0.014059120403749098
2018-02-05,MA1805,2768,2811,2750,2803,494945.0,13769369900.0,2803,115,2804,46,336760.0,2782,2774.0,1.0672505284103302,0.02176239743132358
2018-02-06,MA1805,2803,2833,2792,2816,517638.0,14566333320.0,2816,12,2817,12,325020.0,2814,2803.0,1.0672505284103302,0.01455965909090909
2018-02-07,MA1805,2815,2832,2797,2799,411151.0,11569789140.0,2799,67,2800,197,321963.0,2814,2816.0,1.0672505284103302,0.012504465880671669
2018-02-08,MA1805,2795,2795,2763,2787,434740.0,12077077200.0,2786,19,2787,246,316022.0,2778,2799.0,1.0672505284103302,0.011481880157875853
2018-02-09,MA1805,2786,2809,2766,2768,410642.0,11440486120.0,2768,363,2770,21,289472.0,2786,2787.0,1.0672505284103302,0.015534682080924855
2018-02-12,MA1805,2763,2778,2707,2722,440645.0,12082485900.0,2722,204,2723,237,312246.0,2742,2768.0,1.0672505284103302,0.026083761939750184
2018-02-13,MA1805,2724,2729,2699,2717,247959.0,6729607260.0,2717,39,2718,1,292407.0,2714,2722.0,1.0672505284103302,0.01104158998895841
2018-02-14,MA1805,2718,2740,2694,2719,246064.0,6683098240.0,2718,22,2719,60,269500.0,2716,2717.0,1.0672505284103302,0.016917984553144538
2018-02-22,MA1805,2730,2747,2714,2729,155241.0,4238079300.0,2728,6,2729,103,272605.0,2730,2719.0,1.0672505284103302,0.012092341517039208
2018-02-23,MA1805,2728,2766,2724,2765,315274.0,8651118560.0,2765,206,2766,161,277930.0,2744,2729.0,1.0672505284103302,0.015189873417721518
2018-02-26,MA1805,2763,2782,2700,2701,462383.0,12687789520.0,2700,290,2701,37,336774.0,2744,2765.0,1.0672505284103302,0.030359126249537207
2018-02-27,MA1805,2700,2700,2661,2676,472064.0,12641873920.0,2674,565,2676,15,348464.0,2678,2701.0,1.0672505284103302,0.014573991031390135
2018-02-28,MA1805,2680,2694,2671,2678,325355.0,8726021100.0,2677,3,2678,503,336015.0,2682,2676.0,1.0672505284103302,0.008588498879761016
2018-03-01,MA1805,2679,2685,2625,2663,490930.0,13053828700.0,2662,18,2663,658,387020.0,2659,2678.0,1.0672505284103302,0.022530980097634247
2018-03-02,MA1805,2657,2691,2645,2677,424071.0,11322695700.0,2676,52,2677,110,358257.0,2670,2663.0,1.0672505284103302,0.017183414269704895
2018-03-05,MA1805,2672,2693,2655,2678,386255.0,10332321250.0,2676,265,2678,114,362892.0,2675,2677.0,1.0672505284103302,0.014189693801344288
2018-03-06,MA1805,2668,2696,2661,2668,406625.0,10873152500.0,2668,294,2669,111,360553.0,2674,2678.0,1.0672505284103302,0.013118440779610194
2018-03-07,MA1805,2673,2685,2640,2676,458998.0,12223116740.0,2676,49,2677,98,357044.0,2663,2668.0,1.0672505284103302,0.016816143497757848
2018-03-08,MA1805,2675,2700,2638,2642,611344.0,16328998240.0,2642,68,2643,235,369141.0,2671,2676.0,1.0672505284103302,0.023467070401211203
2018-03-09,MA1805,2650,2715,2645,2691,672895.0,18080688650.0,2690,300,2691,21,354131.0,2687,2642.0,1.0672505284103302,0.026012634708286884
2018-03-12,MA1805,2698,2728,2675,2713,569193.0,15390978720.0,2712,2642,2713,38,328456.0,2704,2691.0,1.0672505284103302,0.019535569480280134
2018-03-13,MA1805,2716,2735,2710,2725,392263.0,10685244120.0,2725,19,2726,785,316759.0,2724,2713.0,1.0672505284103302,0.009174311926605505
2018-03-14,MA1805,2735,2760,2727,2758,395433.0,10842772860.0,2757,69,2758,48,321836.0,2742,2725.0,1.0672505284103302,0.011965192168237854
2018-03-15,MA1805,2758,2763,2720,2736,340990.0,9339716100.0,2735,227,2736,2,307100.0,2739,2758.0,1.0672505284103302,0.015716374269005847
2018-03-16,MA1805,2735,2741,2702,2707,389505.0,10602326100.0,2707,11,2709,10,297762.0,2722,2736.0,1.0672505284103302,0.014407092722571112
2018-03-19,MA1805,2710,2798,2704,2789,521549.0,14368674950.0,2789,83,2790,236,311077.0,2755,2707.0,1.0672505284103302,0.03370383650053783
2018-03-20,MA1805,2791,2794,2763,2787,376324.0,10458043960.0,2786,309,2787,8,290032.0,2779,2789.0,1.0672505284103302,0.011123071402942232
2018-03-21,MA1805,2800,2804,2766,2777,329197.0,9158260540.0,2776,28,2777,22,285072.0,2782,2787.0,1.0672505284103302,0.013683831472812387
2018-03-22,MA1805,2785,2827,2771,2818,377377.0,10585424850.0,2818,52,2819,141,304897.0,2805,2777.0,1.0672505284103302,0.0198722498225692
2018-03-23,MA1805,2811,2820,2674,2720,720538.0,19829205760.0,2719,28,2720,27,259562.0,2752,2818.0,1.0672505284103302,0.05367647058823529
2018-03-26,MA1805,2712,2771,2688,2698,508176.0,13852877760.0,2697,275,2698,24,258138.0,2726,2720.0,1.0672505284103302,0.030763528539659007
2018-03-27,MA1805,2698,2715,2661,2684,513020.0,13769456800.0,2683,197,2684,257,255718.0,2684,2698.0,1.0672505284103302,0.020119225037257823
2018-03-28,MA1805,2692,2704,2674,2686,348010.0,9354508800.0,2686,100,2687,63,248363.0,2688,2684.0,1.0672505284103302,0.011169024571854059
2018-03-29,MA1805,2691,2697,2646,2694,445584.0,11923827840.0,2694,29,2695,199,257532.0,2676,2686.0,1.0672505284103302,0.01893095768374165
2018-03-30,MA1805,2689,2723,2674,2719,341134.0,9186738620.0,2719,15,2720,1,225217.0,2693,2694.0,1.0672505284103302,0.01802133137182788
2018-04-02,MA1805,2710,2734,2666,2684,332552.0,8982229520.0,2683,145,2684,104,226904.0,2701,2719.0,1.0672505284103302,0.02533532041728763
2018-04-03,MA1805,2680,2705,2641,2658,358833.0,9595194420.0,2657,232,2658,4,219202.0,2674,2684.0,1.0672505284103302,0.024078254326561323
2018-04-04,MA1805,2658,2678,2632,2670,273514.0,7278207540.0,2668,20,2670,388,198277.0,2661,2658.0,1.0672505284103302,0.017228464419475654
2018-04-09,MA1805,2671,2768,2662,2742,307779.0,8411600070.0,2741,58,2742,313,199888.0,2733,2670.0,1.0672505284103302,0.03865791393143691
2018-04-10,MA1805,2748,2749,2719,2739,222349.0,6079021660.0,2738,150,2739,180,183419.0,2734,2742.0,1.0672505284103302,0.01095290251916758
2018-04-11,MA1805,2746,2758,2704,2729,183216.0,5001796800.0,2727,78,2729,11,140295.0,2730,2739.0,1.0672505284103302,0.01978746793697325
2018-04-12,MA1809,2600,2650,2586,2637,399940.0,10498425000.0,2635,435,2637,110,238956.0,2625,2595.0,1.122360960320536,0.02427000379218809
2018-04-13,MA1809,2631,2665,2620,2658,344618.0,9101361380.0,2657,201,2658,264,260993.0,2641,2637.0,1.122360960320536,0.016930022573363433
2018-04-16,MA1809,2658,2682,2646,2654,367655.0,9786976100.0,2653,171,2654,15,289852.0,2662,2658.0,1.122360960320536,0.013564431047475508
2018-04-17,MA1809,2654,2680,2644,2675,301816.0,8040378240.0,2673,79,2675,213,290608.0,2664,2654.0,1.122360960320536,0.013457943925233645
