time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,NI1805,99000,99470,98080,99170,205025.0,20246218750.0,99170,8,99180,1,264807.0,98750,96870.0,0.906780337559098,0.014016335585358475
2018-01-03,NI1805,99820,99980,98260,98620,310405.0,30776655750.0,98620,4,98630,31,257507.0,99150,99170.0,0.906780337559098,0.017440681403366458
2018-01-04,NI1805,98690,99200,97210,99180,362771.0,35587835100.0,99170,28,99180,8,257494.0,98100,98620.0,0.906780337559098,0.020064529138939302
2018-01-05,NI1805,99540,99640,97870,98580,341247.0,33722028540.0,98560,166,98580,13,249711.0,98820,99180.0,0.906780337559098,0.017954960438222763
2018-01-08,NI1805,98340,98710,97000,98490,329611.0,32311766330.0,98480,7,98490,10,238823.0,98030,98580.0,0.906780337559098,0.017362168748096252
2018-01-09,NI1805,98330,99750,98140,99380,288070.0,28559259800.0,99380,22,99390,2,252012.0,99140,98490.0,0.906780337559098,0.016200442745019118
2018-01-10,NI1805,99240,100900,98910,100420,403292.0,40466319280.0,100410,41,100420,48,266040.0,100340,99380.0,0.906780337559098,0.019816769567815175
2018-01-11,NI1805,102000,102380,100710,101430,299811.0,30385844850.0,101410,1,101440,88,267611.0,101350,100420.0,0.906780337559098,0.016464556837227643
2018-01-12,NI1805,101250,101500,98600,99570,391565.0,39074271350.0,99520,15,99550,1,240886.0,99790,101430.0,0.906780337559098,0.02912523852566034
2018-01-15,NI1805,99250,100660,98500,100210,366663.0,36501301650.0,100200,4,100210,11,250028.0,99550,99570.0,0.906780337559098,0.0215547350563816
2018-01-16,NI1805,100350,100480,97720,97810,401353.0,39810204070.0,97800,41,97810,1,240966.0,99190,100210.0,0.906780337559098,0.028217973622329005
2018-01-17,NI1805,96980,97970,96390,96950,370002.0,35964194400.0,96940,1,96950,14,235456.0,97200,97810.0,0.906780337559098,0.01629706034038164
2018-01-18,NI1805,96880,97440,96500,96780,292077.0,28337310540.0,96780,12,96790,4,235931.0,97020,96950.0,0.906780337559098,0.009712750568299235
2018-01-19,NI1805,97060,97800,95700,96830,396097.0,38330306690.0,96830,7,96840,6,225254.0,96770,96780.0,0.906780337559098,0.021687493545388827
2018-01-22,NI1805,97500,98860,97080,98540,378682.0,37125983280.0,98540,42,98550,42,230256.0,98040,96830.0,0.906780337559098,0.018063730464785873
