time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2019-08-13,NR2002,9780,9980,9775,9855,9478.0,934056900.0,9855,13,9865,1,8932.0,9855,9820.0,1.0,0.020801623541349568
2019-08-14,NR2002,9840,10220,9785,9995,18558.0,1849304700.0,9990,1,10000,9,11507.0,9965,9855.0,1.0,0.04352176088044022
2019-08-15,NR2002,9935,9980,9850,9865,6098.0,604006900.0,9865,1,9870,10,11523.0,9905,9995.0,1.0,0.013177901672579827
2019-08-16,NR2002,9860,9940,9830,9875,5077.0,501607600.0,9875,12,9885,12,11352.0,9880,9865.0,1.0,0.011139240506329114
2019-08-19,NR2002,9885,10080,9885,10030,6610.0,660669500.0,10025,1,10035,5,12748.0,9995,9875.0,1.0,0.019441674975074777
2019-08-20,NR2002,10030,10035,9945,9975,2545.0,254118250.0,9955,2,9970,2,12504.0,9985,10030.0,1.0,0.009022556390977444
2019-08-21,NR2002,9960,9975,9835,9890,4546.0,448917500.0,9880,1,9890,10,11878.0,9875,9975.0,1.0,0.014155712841253791
2019-08-22,NR2002,9890,9925,9815,9910,1828.0,180515000.0,9890,4,9910,2,11574.0,9875,9890.0,1.0,0.011099899091826439
2019-08-23,NR2002,9860,9905,9780,9815,3156.0,309919200.0,9810,11,9820,27,10851.0,9820,9910.0,1.0,0.01273560876209883
2019-08-26,NR2002,9840,9940,9700,9915,5260.0,516795000.0,9910,5,9915,10,10781.0,9825,9815.0,1.0,0.024205748865355523
2019-08-27,NR2002,9915,9980,9860,9900,2362.0,234192300.0,9890,5,9925,11,10983.0,9915,9915.0,1.0,0.012121212121212121
2019-08-28,NR2002,9930,10095,9860,9970,7170.0,717000000.0,9955,1,9970,1,12287.0,10000,9900.0,1.0,0.02357071213640923
2019-08-29,NR2002,9965,10030,9905,9940,2039.0,203186350.0,9935,51,9945,1,12453.0,9965,9970.0,1.0,0.012575452716297788
2019-08-30,NR2002,9925,10080,9925,10065,3655.0,365865500.0,10055,7,10075,2,12369.0,10010,9940.0,1.0,0.015399900645802286
2019-09-02,NR2002,10080,10195,10000,10045,6053.0,609839750.0,10035,4,10045,23,12059.0,10075,10065.0,1.0,0.019412643106022896
2019-09-03,NR2002,10025,10135,10010,10135,2567.0,258496900.0,10130,4,10140,5,12248.0,10070,10045.0,1.0,0.0123334977799704
2019-09-04,NR2002,10110,10475,9900,10395,9723.0,1000496700.0,10395,3,10400,20,13091.0,10290,10135.0,1.0,0.05531505531505532
2019-09-05,NR2002,10405,10455,10210,10310,3706.0,383385700.0,10300,9,10310,1,13305.0,10345,10395.0,1.0,0.02376333656644035
2019-09-06,NR2002,10325,10400,10160,10190,5078.0,523034000.0,10190,42,10200,2,13308.0,10300,10310.0,1.0,0.023552502453385672
2019-09-09,NR2002,10195,10300,10115,10265,2301.0,235277250.0,10255,6,10265,1,13502.0,10225,10190.0,1.0,0.01802240623477837
2019-09-10,NR2002,10280,10315,10155,10270,2282.0,233562700.0,10270,45,10280,2,13418.0,10235,10265.0,1.0,0.01557935735150925
2019-09-11,NR2002,10260,10270,10155,10220,2402.0,245364300.0,10210,1,10225,6,13518.0,10215,10270.0,1.0,0.011252446183953033
2019-09-12,NR2002,10190,10250,10120,10145,2057.0,209299750.0,10145,5,10150,8,13520.0,10175,10220.0,1.0,0.012814194184327254
2019-09-16,NR2002,10225,10380,10200,10255,2501.0,256977750.0,10250,9,10260,1,13375.0,10275,10145.0,1.0,0.017552413456850317
2019-09-17,NR2002,10275,10415,10210,10255,3081.0,317651100.0,10250,44,10275,8,13496.0,10310,10255.0,1.0,0.019990248659190638
2019-09-18,NR2002,10250,10260,10050,10145,3659.0,372303250.0,10140,1,10145,6,12694.0,10175,10255.0,1.0,0.020699852143913258
2019-09-19,NR2002,10145,10195,10080,10105,1438.0,145885100.0,10100,23,10105,1,12502.0,10145,10145.0,1.0,0.011380504700643246
2019-09-20,NR2002,10075,10120,10025,10100,2253.0,226877100.0,10080,1,10100,42,12049.0,10070,10105.0,1.0,0.009405940594059406
2019-09-23,NR2002,10100,10265,10085,10210,2767.0,281818950.0,10210,12,10220,1,12259.0,10185,10100.0,1.0,0.01762977473065622
2019-09-24,NR2002,10210,10240,10100,10100,1076.0,109429200.0,10100,125,10115,8,12021.0,10170,10210.0,1.0,0.013861386138613862
2019-09-25,NR2002,10105,10125,10000,10025,3397.0,341398500.0,10005,3,10025,1,11124.0,10050,10100.0,1.0,0.012468827930174564
2019-09-26,NR2002,9995,10060,9910,9910,2783.0,277743400.0,9910,67,9920,1,10949.0,9980,10025.0,1.0,0.015136226034308779
2019-09-27,NR2002,9910,9930,9700,9785,6451.0,631875450.0,9775,2,9800,2,10466.0,9795,9910.0,1.0,0.02350536535513541
2019-09-30,NR2002,9785,9875,9740,9745,2118.0,207352200.0,9740,1,9745,1,10320.0,9790,9785.0,1.0,0.013853258081067214
2019-10-08,NR2002,9725,9850,9600,9680,2740.0,265780000.0,9680,9,9685,3,10721.0,9700,9745.0,1.0,0.025826446280991736
2019-10-09,NR2002,9665,9790,9665,9770,2545.0,248137500.0,9765,1,9775,11,11138.0,9750,9680.0,1.0,0.0127942681678608
