time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,P1805,5242,5334,5242,5326,137599.0,7287243040.0,5326,17,5328,211,252931.0,5296,5226.0,0.6988947264842817,0.017273751408186256
2018-01-03,P1805,5320,5338,5296,5320,114176.0,6071879680.0,5318,254,5320,3,238186.0,5318,5326.0,0.6988947264842817,0.007894736842105263
2018-01-04,P1805,5366,5384,5342,5356,159721.0,8564240020.0,5352,139,5356,181,240232.0,5362,5320.0,0.6988947264842817,0.00784167289021658
2018-01-05,P1805,5342,5392,5336,5362,114968.0,6164584160.0,5360,122,5364,212,236259.0,5362,5356.0,0.6988947264842817,0.010443864229765013
2018-01-08,P1805,5348,5354,5294,5308,110670.0,5889857400.0,5308,4,5310,64,242667.0,5322,5362.0,0.6988947264842817,0.011303692539562924
2018-01-09,P1805,5344,5368,5324,5366,112180.0,5994899200.0,5364,28,5370,188,246759.0,5344,5308.0,0.6988947264842817,0.008199776369735371
2018-01-10,P1805,5342,5372,5314,5330,148778.0,7944745200.0,5330,55,5332,307,252267.0,5340,5366.0,0.6988947264842817,0.010881801125703566
2018-01-11,P1805,5348,5354,5320,5328,95437.0,5092518320.0,5328,3,5330,569,244304.0,5336,5330.0,0.6988947264842817,0.0063813813813813815
2018-01-12,P1805,5306,5318,5250,5262,148905.0,7862184000.0,5260,320,5262,15,255750.0,5280,5328.0,0.6988947264842817,0.012922843025465602
2018-01-15,P1805,5258,5298,5242,5258,112261.0,5911664260.0,5258,24,5260,173,252054.0,5266,5262.0,0.6988947264842817,0.010650437428680106
2018-01-16,P1805,5274,5280,5192,5228,162234.0,8494572240.0,5226,49,5228,82,266015.0,5236,5258.0,0.6988947264842817,0.016832440703902066
2018-01-17,P1805,5224,5240,5174,5182,155164.0,8077837840.0,5182,12,5184,142,263055.0,5206,5228.0,0.6988947264842817,0.01273639521420301
2018-01-18,P1805,5180,5218,5170,5216,146685.0,7612951500.0,5214,55,5216,13,262892.0,5190,5182.0,0.6988947264842817,0.009202453987730062
2018-01-19,P1805,5194,5200,5146,5150,183598.0,9499360520.0,5150,37,5152,269,263176.0,5174,5216.0,0.6988947264842817,0.010485436893203883
2018-01-22,P1805,5150,5212,5148,5190,143135.0,7408667600.0,5190,240,5192,17,262900.0,5176,5150.0,0.6988947264842817,0.01233140655105973
2018-01-23,P1805,5198,5216,5170,5202,125459.0,6516340460.0,5204,3,5206,264,261018.0,5194,5190.0,0.6988947264842817,0.008842752787389465
2018-01-24,P1805,5220,5244,5214,5230,130994.0,6848366320.0,5228,12,5230,19,260031.0,5228,5202.0,0.6988947264842817,0.0057361376673040155
2018-01-25,P1805,5236,5256,5214,5226,161288.0,8438588160.0,5224,5,5226,197,269314.0,5232,5230.0,0.6988947264842817,0.008036739380022962
2018-01-26,P1805,5206,5258,5202,5228,164988.0,8625572640.0,5228,3,5230,120,276037.0,5228,5226.0,0.6988947264842817,0.010711553175210406
2018-01-29,P1805,5222,5264,5208,5256,129342.0,6774933960.0,5254,5,5256,54,266697.0,5238,5228.0,0.6988947264842817,0.0106544901065449
2018-01-30,P1805,5260,5260,5174,5190,167929.0,8755818060.0,5188,18,5190,27,280813.0,5214,5256.0,0.6988947264842817,0.016570327552986513
2018-01-31,P1805,5198,5208,5180,5192,105925.0,5501744500.0,5192,88,5194,58,272045.0,5194,5190.0,0.6988947264842817,0.00539291217257319
2018-02-01,P1805,5184,5192,5108,5136,169801.0,8720979360.0,5136,2,5138,64,284588.0,5136,5192.0,0.6988947264842817,0.016355140186915886
2018-02-02,P1805,5136,5154,5086,5090,143391.0,7338751380.0,5088,231,5090,9,284413.0,5118,5136.0,0.6988947264842817,0.013359528487229863
2018-02-05,P1805,5082,5098,5050,5098,133988.0,6803910640.0,5096,10,5098,239,282024.0,5078,5090.0,0.6988947264842817,0.009415457041977247
2018-02-06,P1805,5100,5138,5078,5106,174007.0,8881317280.0,5104,13,5106,19,275177.0,5104,5098.0,0.6988947264842817,0.011750881316098707
2018-02-07,P1805,5092,5142,5086,5122,113478.0,5807804040.0,5122,8,5124,100,267815.0,5118,5106.0,0.6988947264842817,0.010933229207340883
2018-02-08,P1805,5106,5146,5062,5130,167945.0,8581989500.0,5130,11,5132,314,274746.0,5110,5122.0,0.6988947264842817,0.016374269005847954
2018-02-09,P1805,5136,5158,5116,5120,129765.0,6664730400.0,5118,256,5120,9,260370.0,5136,5130.0,0.6988947264842817,0.008203125
2018-02-12,P1805,5136,5198,5092,5192,157355.0,8116370900.0,5190,85,5192,7,250873.0,5158,5120.0,0.6988947264842817,0.020416024653312787
2018-02-13,P1805,5190,5198,5160,5174,92683.0,4797272080.0,5174,113,5176,62,232660.0,5176,5192.0,0.6988947264842817,0.007344414379590259
2018-02-14,P1805,5154,5184,5110,5140,88373.0,4544139660.0,5138,49,5140,45,233507.0,5142,5174.0,0.6988947264842817,0.014396887159533073
2018-02-22,P1805,5162,5192,5132,5150,83232.0,4293106560.0,5150,64,5152,148,229052.0,5158,5140.0,0.6988947264842817,0.011650485436893204
2018-02-23,P1805,5148,5260,5142,5256,192333.0,10020549300.0,5256,19,5258,9,238840.0,5210,5150.0,0.6988947264842817,0.022450532724505326
2018-02-26,P1805,5256,5290,5226,5288,143267.0,7541574880.0,5286,83,5288,135,230126.0,5264,5256.0,0.6988947264842817,0.012102874432677761
2018-02-27,P1805,5284,5300,5262,5296,132368.0,6991677760.0,5294,20,5296,811,221625.0,5282,5288.0,0.6988947264842817,0.007175226586102719
2018-02-28,P1805,5278,5334,5264,5330,133744.0,7077732480.0,5328,206,5330,18,222134.0,5292,5296.0,0.6988947264842817,0.013133208255159476
2018-03-01,P1805,5338,5350,5290,5340,130435.0,6941750700.0,5338,10,5340,136,213628.0,5322,5330.0,0.6988947264842817,0.011235955056179775
2018-03-02,P1805,5318,5332,5250,5266,318551.0,16851347900.0,5266,14,5268,54,196441.0,5290,5340.0,0.6988947264842817,0.015571591340676035
2018-03-05,P1805,5252,5280,5210,5254,167681.0,8789838020.0,5254,23,5256,46,187342.0,5242,5266.0,0.6988947264842817,0.013323182337266844
2018-03-06,P1805,5248,5286,5242,5256,146083.0,7689809120.0,5256,62,5260,96,187977.0,5264,5254.0,0.6988947264842817,0.00837138508371385
2018-03-07,P1805,5272,5290,5206,5212,128296.0,6730408160.0,5210,89,5212,40,185185.0,5246,5256.0,0.6988947264842817,0.016116653875671526
2018-03-08,P1805,5190,5198,5130,5134,184877.0,9535955660.0,5132,112,5136,9,181102.0,5158,5212.0,0.6988947264842817,0.013245033112582781
