time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,PB1802,19180,19220,18880,19020,18542.0,1761953550.0,19020,18,19025,3,20490.0,19005,19170.0,0.948961095193944,0.017875920084121977
2018-01-03,PB1802,19180,19390,19095,19310,29543.0,2843513750.0,19310,73,19315,22,21258.0,19250,19020.0,0.948961095193944,0.015277058518902124
2018-01-04,PB1802,19365,19495,19205,19405,24105.0,2332158750.0,19400,3,19405,22,21518.0,19350,19310.0,0.948961095193944,0.01494460190672507
2018-01-05,PB1802,19400,19565,19325,19480,20750.0,2013268750.0,19480,1,19485,2,21326.0,19405,19405.0,0.948961095193944,0.012320328542094456
2018-01-08,PB1802,19425,19590,19345,19405,23720.0,2306177000.0,19405,8,19410,8,20755.0,19445,19480.0,0.948961095193944,0.012625611955681525
2018-01-09,PB1802,19395,19650,19320,19620,20312.0,1981943400.0,19595,2,19620,3,20144.0,19515,19405.0,0.948961095193944,0.016819571865443424
2018-01-10,PB1802,19570,19685,19350,19415,19276.0,1879410000.0,19410,7,19415,2,18366.0,19500,19620.0,0.948961095193944,0.017254699974246716
2018-01-11,PB1802,19490,19515,19325,19390,12603.0,1222806075.0,19385,2,19390,2,17376.0,19405,19415.0,0.948961095193944,0.009798865394533264
2018-01-12,PB1802,19490,19490,19180,19250,16657.0,1605734800.0,19245,3,19255,1,15517.0,19280,19390.0,0.948961095193944,0.016103896103896103
2018-01-15,PB1802,19120,19210,19005,19185,17887.0,1709550025.0,19165,1,19175,1,14825.0,19115,19250.0,0.948961095193944,0.010685431326557205
2018-01-16,PB1802,19155,19205,18745,18820,19617.0,1865576700.0,18800,10,18820,7,12383.0,19020,19185.0,0.948961095193944,0.024442082890541977
2018-01-17,PB1803,18815,19265,18815,19195,22829.0,2180169500.0,19190,2,19195,2,16420.0,19100,18870.0,0.9464466248834144,0.023443605105496222
2018-01-18,PB1803,19195,19340,19080,19330,23492.0,2257581200.0,19325,3,19330,21,18716.0,19220,19195.0,0.9464466248834144,0.013450594930160372
2018-01-19,PB1803,19400,19595,19355,19570,30011.0,2920820575.0,19570,1,19575,1,21478.0,19465,19330.0,0.9464466248834144,0.012263668880940215
2018-01-22,PB1803,19575,19575,19305,19480,26975.0,2621295625.0,19480,17,19490,22,20488.0,19435,19570.0,0.9464466248834144,0.013860369609856264
2018-01-23,PB1803,19490,19815,19425,19800,33899.0,3318712100.0,19785,29,19800,13,24923.0,19580,19480.0,0.9464466248834144,0.019696969696969695
2018-01-24,PB1803,19740,19780,19560,19575,24351.0,2397355950.0,19570,12,19585,1,23756.0,19690,19800.0,0.9464466248834144,0.01123882503192848
2018-01-25,PB1803,19620,19890,19545,19650,35102.0,3453159250.0,19650,60,19655,2,22663.0,19675,19575.0,0.9464466248834144,0.017557251908396947
2018-01-26,PB1803,19540,19630,19395,19470,26718.0,2605005000.0,19470,6,19485,2,21709.0,19500,19650.0,0.9464466248834144,0.012069851052901901
2018-01-29,PB1803,19545,19895,19450,19800,31005.0,3050892000.0,19795,3,19800,3,23200.0,19680,19470.0,0.9464466248834144,0.022474747474747474
2018-01-30,PB1803,19840,19840,19455,19540,30846.0,3022908000.0,19535,7,19540,6,21034.0,19600,19800.0,0.9464466248834144,0.01970317297850563
2018-01-31,PB1803,19650,19650,19350,19400,23162.0,2254241650.0,19400,35,19405,6,20183.0,19465,19540.0,0.9464466248834144,0.015463917525773196
2018-02-01,PB1803,19465,19645,19380,19570,22482.0,2191995000.0,19565,21,19570,8,20366.0,19500,19400.0,0.9464466248834144,0.013541134389371486
2018-02-02,PB1803,19655,19785,19595,19660,23496.0,2313181200.0,19655,13,19660,27,20777.0,19690,19570.0,0.9464466248834144,0.009664292980671414
2018-02-05,PB1803,19595,19780,19505,19535,23452.0,2297709700.0,19535,1,19545,1,20088.0,19595,19660.0,0.9464466248834144,0.014077297158945483
2018-02-06,PB1803,19470,19640,19405,19465,17941.0,1748798975.0,19455,41,19465,2,18841.0,19495,19535.0,0.9464466248834144,0.012072951451322887
