time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,PP1805,9344,9560,9300,9493,337518.0,16010166330.0,9492,55,9496,6,274270.0,9487,9285.0,1.6704149884488513,0.027388602127883705
2018-01-03,PP1805,9515,9515,9454,9490,140324.0,6655567320.0,9489,2,9490,2,258226.0,9486,9493.0,1.6704149884488513,0.00642781875658588
2018-01-04,PP1805,9522,9565,9430,9524,194730.0,9253569600.0,9523,20,9524,51,258240.0,9504,9490.0,1.6704149884488513,0.014174716505669887
2018-01-05,PP1805,9509,9554,9441,9508,198247.0,9415741265.0,9508,3,9509,16,257019.0,9499,9524.0,1.6704149884488513,0.011884728649558267
2018-01-08,PP1805,9465,9604,9465,9529,189314.0,9040690070.0,9529,4,9530,97,260142.0,9551,9508.0,1.6704149884488513,0.014587050057718544
2018-01-09,PP1805,9568,9575,9455,9499,152820.0,7257421800.0,9499,13,9500,29,253690.0,9498,9529.0,1.6704149884488513,0.012632908727234446
2018-01-10,PP1805,9486,9645,9480,9588,233316.0,11178169560.0,9586,6,9588,6,270513.0,9582,9499.0,1.6704149884488513,0.0172090112640801
2018-01-11,PP1805,9605,9640,9562,9632,143770.0,6900960000.0,9631,9,9632,2,274548.0,9600,9588.0,1.6704149884488513,0.008098006644518272
2018-01-12,PP1805,9610,9683,9592,9679,177645.0,8560712550.0,9677,1,9679,1,293393.0,9638,9632.0,1.6704149884488513,0.009401797706374625
2018-01-15,PP1805,9680,9695,9606,9664,159921.0,7717787460.0,9662,2,9663,5,281053.0,9652,9679.0,1.6704149884488513,0.009209437086092715
2018-01-16,PP1805,9671,9679,9381,9416,300743.0,14303337080.0,9415,8,9416,12,265655.0,9512,9664.0,1.6704149884488513,0.0316482582837723
2018-01-17,PP1805,9415,9448,9350,9380,139419.0,6555481380.0,9381,1,9382,58,238608.0,9404,9416.0,1.6704149884488513,0.010447761194029851
2018-01-18,PP1805,9395,9468,9383,9400,132443.0,6240051945.0,9399,87,9400,4,242113.0,9423,9380.0,1.6704149884488513,0.009042553191489361
2018-01-19,PP1805,9357,9509,9315,9468,190619.0,8973389425.0,9466,48,9468,7,246176.0,9415,9400.0,1.6704149884488513,0.0204900718208703
2018-01-22,PP1805,9480,9518,9443,9456,125450.0,5945075500.0,9456,8,9458,10,242125.0,9478,9468.0,1.6704149884488513,0.007931472081218274
2018-01-23,PP1805,9467,9550,9385,9537,213741.0,10130254695.0,9535,38,9537,43,264435.0,9479,9456.0,1.6704149884488513,0.01730103806228374
2018-01-24,PP1805,9542,9562,9480,9497,159978.0,7610153460.0,9497,148,9500,37,253839.0,9514,9537.0,1.6704149884488513,0.008634305570180056
2018-01-25,PP1805,9552,9626,9530,9543,204097.0,9771143875.0,9542,3,9543,23,266516.0,9575,9497.0,1.6704149884488513,0.010059729644765796
2018-01-26,PP1805,9503,9646,9492,9596,199442.0,9532330390.0,9595,19,9596,1,275078.0,9559,9543.0,1.6704149884488513,0.016048353480616923
2018-01-29,PP1805,9582,9668,9545,9564,159137.0,7634597575.0,9564,67,9566,6,275808.0,9595,9596.0,1.6704149884488513,0.012860727728983688
2018-01-30,PP1805,9530,9600,9470,9489,224854.0,10716541640.0,9489,14,9491,7,268178.0,9532,9564.0,1.6704149884488513,0.01370007376962799
2018-01-31,PP1805,9454,9520,9442,9512,158900.0,7531860000.0,9508,29,9510,1,266574.0,9480,9489.0,1.6704149884488513,0.008200168208578638
2018-02-01,PP1805,9518,9528,9402,9408,174399.0,8238608760.0,9405,60,9408,28,264687.0,9448,9512.0,1.6704149884488513,0.013392857142857142
2018-02-02,PP1805,9450,9460,9360,9375,128408.0,6048658840.0,9374,2,9376,73,256981.0,9421,9408.0,1.6704149884488513,0.010666666666666666
2018-02-05,PP1805,9336,9500,9336,9500,168978.0,7963088250.0,9499,1,9500,4,267702.0,9425,9375.0,1.6704149884488513,0.01726315789473684
2018-02-06,PP1805,9461,9489,9390,9416,175138.0,8263010840.0,9414,16,9416,83,252085.0,9436,9500.0,1.6704149884488513,0.010514018691588784
2018-02-07,PP1805,9450,9473,9288,9306,225051.0,10536887820.0,9305,35,9307,5,269500.0,9364,9416.0,1.6704149884488513,0.019879647539222008
2018-02-08,PP1805,9264,9297,9187,9239,196415.0,9069462625.0,9239,11,9240,424,266725.0,9235,9306.0,1.6704149884488513,0.01190605043835913
2018-02-09,PP1805,9219,9267,9205,9238,118691.0,5477589650.0,9238,7,9239,11,260183.0,9230,9239.0,1.6704149884488513,0.006711409395973154
2018-02-12,PP1805,9239,9257,9161,9203,158656.0,7306902080.0,9202,146,9203,4,263575.0,9211,9238.0,1.6704149884488513,0.010431381071389764
2018-02-13,PP1805,9218,9218,9150,9204,90333.0,4147639695.0,9202,33,9204,42,246066.0,9183,9203.0,1.6704149884488513,0.007388092133854845
2018-02-14,PP1805,9210,9375,9207,9326,154388.0,7186761400.0,9316,11,9322,1,232687.0,9310,9204.0,1.6704149884488513,0.01801415397812567
2018-02-22,PP1805,9373,9395,9264,9282,104387.0,4862346460.0,9282,9,9284,2,232153.0,9316,9326.0,1.6704149884488513,0.014113337642749408
2018-02-23,PP1805,9328,9336,9280,9304,120968.0,5631060400.0,9304,10,9305,2,241885.0,9310,9282.0,1.6704149884488513,0.0060189165950128975
2018-02-26,PP1805,9328,9395,9210,9210,225781.0,10476238400.0,9210,431,9211,8,263416.0,9280,9304.0,1.6704149884488513,0.02008686210640608
2018-02-27,PP1805,9210,9238,9115,9174,191627.0,8789930490.0,9174,152,9177,5,258340.0,9174,9210.0,1.6704149884488513,0.013407455853499018
2018-02-28,PP1805,9170,9196,9142,9149,120520.0,5524636800.0,9148,22,9149,30,254078.0,9168,9174.0,1.6704149884488513,0.005902284402666958
2018-03-01,PP1805,9129,9302,9097,9272,252742.0,11647615070.0,9270,2,9273,1,254918.0,9217,9149.0,1.6704149884488513,0.022109577221742883
2018-03-02,PP1805,9264,9284,9204,9262,134987.0,6239774075.0,9261,33,9262,8,232875.0,9245,9272.0,1.6704149884488513,0.008637443316778234
2018-03-05,PP1805,9262,9294,9161,9172,160783.0,7409684555.0,9171,96,9174,26,242254.0,9217,9262.0,1.6704149884488513,0.014500654164849542
2018-03-06,PP1805,9200,9251,9157,9227,155782.0,7169087640.0,9227,11,9228,9,222974.0,9204,9172.0,1.6704149884488513,0.01018749322640078
2018-03-07,PP1805,9200,9229,9114,9150,187956.0,8609324580.0,9150,32,9152,1,229180.0,9161,9227.0,1.6704149884488513,0.012568306010928962
2018-03-08,PP1805,9160,9160,8956,8970,240829.0,10896308105.0,8970,1142,8972,26,228638.0,9049,9150.0,1.6704149884488513,0.02274247491638796
