time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,RB1805,3801,3886,3794,3874,1480718.0,56889185560.0,3874,66,3875,140,1206786.0,3842,3794.0,0.7184260364336841,0.023748064016520392
2018-01-03,RB1805,3866,3877,3803,3809,1761922.0,67745900900.0,3807,73,3809,21,1216818.0,3845,3874.0,0.7184260364336841,0.01942767130480441
2018-01-04,RB1805,3805,3842,3788,3819,1873882.0,71413643020.0,3819,6,3820,196,1290545.0,3811,3809.0,0.7184260364336841,0.014139827179890024
2018-01-05,RB1805,3812,3827,3760,3798,1970580.0,74704687800.0,3797,668,3798,16,1372218.0,3791,3819.0,0.7184260364336841,0.017640863612427594
2018-01-08,RB1805,3795,3820,3733,3818,2164645.0,81650409400.0,3817,216,3818,1,1358606.0,3772,3798.0,0.7184260364336841,0.022786799371398637
2018-01-09,RB1805,3818,3843,3810,3819,1574274.0,60200237760.0,3819,53,3820,512,1282232.0,3824,3818.0,0.7184260364336841,0.00864100549882168
2018-01-10,RB1805,3818,3868,3792,3849,2087000.0,79994710000.0,3848,177,3849,18,1338283.0,3833,3819.0,0.7184260364336841,0.019745388412574696
2018-01-11,RB1805,3858,3876,3824,3838,1815866.0,69910841000.0,3838,11,3839,44,1298575.0,3850,3849.0,0.7184260364336841,0.01354872329338197
2018-01-12,RB1805,3838,3849,3778,3790,1649403.0,62792772210.0,3790,79,3791,70,1366538.0,3807,3838.0,0.7184260364336841,0.018733509234828496
2018-01-15,RB1805,3786,3811,3749,3802,1548607.0,58599288880.0,3802,3,3803,151,1416751.0,3784,3790.0,0.7184260364336841,0.016307206733298264
2018-01-16,RB1805,3803,3844,3788,3790,1835027.0,69987929780.0,3789,2,3790,8,1318512.0,3814,3802.0,0.7184260364336841,0.014775725593667546
2018-01-17,RB1805,3788,3841,3783,3827,2140739.0,81690600240.0,3827,6,3828,94,1368273.0,3816,3790.0,0.7184260364336841,0.015155474261823882
2018-01-18,RB1805,3825,3868,3815,3859,1758157.0,67565973510.0,3858,654,3859,298,1463346.0,3843,3827.0,0.7184260364336841,0.013734128012438455
2018-01-19,RB1805,3867,3927,3855,3926,2170722.0,84289135260.0,3926,155,3927,959,1577233.0,3883,3859.0,0.7184260364336841,0.018339276617422313
2018-01-22,RB1805,3937,3974,3916,3927,1797921.0,70820108190.0,3927,9,3928,486,1617987.0,3939,3926.0,0.7184260364336841,0.014769544181308887
2018-01-23,RB1805,3930,3933,3874,3912,2066208.0,80685422400.0,3911,31,3912,508,1508762.0,3905,3927.0,0.7184260364336841,0.015081799591002046
2018-01-24,RB1805,3904,3948,3896,3937,1404180.0,55100023200.0,3936,1191,3937,154,1566128.0,3924,3912.0,0.7184260364336841,0.013208026416052832
2018-01-25,RB1805,3933,3998,3916,3966,1930415.0,76405825700.0,3966,28,3967,100,1603778.0,3958,3937.0,0.7184260364336841,0.020675743822491176
2018-01-26,RB1805,3965,3976,3920,3945,1492854.0,58937875920.0,3944,297,3945,33,1547338.0,3948,3966.0,0.7184260364336841,0.014195183776932827
