time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,RM1805,2302,2306,2279,2288,138087.0,3163573170.0,2287,93,2288,51,303170.0,2291,2290.0,1.5322659065973363,0.0118006993006993
2018-01-03,RM1805,2290,2303,2288,2294,165816.0,3805477200.0,2293,56,2294,225,304172.0,2295,2288.0,1.5322659065973363,0.006538796861377506
2018-01-04,RM1805,2297,2298,2276,2283,205343.0,4698247840.0,2282,228,2283,178,312824.0,2288,2294.0,1.5322659065973363,0.009636443276390714
2018-01-05,RM1805,2282,2302,2271,2293,247395.0,5657923650.0,2293,41,2294,350,307453.0,2287,2283.0,1.5322659065973363,0.013519406890536415
2018-01-08,RM1805,2299,2301,2280,2280,177295.0,4058282550.0,2280,962,2281,241,306091.0,2289,2293.0,1.5322659065973363,0.009210526315789473
2018-01-09,RM1805,2285,2311,2284,2296,247620.0,5695260000.0,2296,270,2297,1,304502.0,2300,2280.0,1.5322659065973363,0.011759581881533102
2018-01-10,RM1805,2293,2303,2283,2287,191852.0,4397247840.0,2287,43,2288,625,313927.0,2292,2296.0,1.5322659065973363,0.00874508089199825
2018-01-11,RM1805,2286,2293,2263,2270,227084.0,5166161000.0,2269,208,2270,6,326833.0,2275,2287.0,1.5322659065973363,0.013215859030837005
2018-01-12,RM1805,2272,2274,2243,2246,201019.0,4534988640.0,2246,134,2247,236,337112.0,2256,2270.0,1.5322659065973363,0.013802315227070348
2018-01-15,RM1805,2247,2279,2241,2270,190476.0,4310471880.0,2269,216,2270,637,323429.0,2263,2246.0,1.5322659065973363,0.016740088105726872
2018-01-16,RM1805,2271,2275,2262,2269,143426.0,3254335940.0,2269,9,2270,277,324904.0,2269,2270.0,1.5322659065973363,0.0057293962097840455
2018-01-17,RM1805,2272,2285,2267,2280,195876.0,4464014040.0,2279,223,2280,16,324822.0,2279,2269.0,1.5322659065973363,0.007894736842105263
2018-01-18,RM1805,2281,2286,2269,2275,159643.0,3635071110.0,2275,371,2276,91,332214.0,2277,2280.0,1.5322659065973363,0.0074725274725274725
2018-01-19,RM1805,2274,2298,2268,2294,275353.0,6300076640.0,2294,49,2295,28,342471.0,2288,2275.0,1.5322659065973363,0.013077593722755012
2018-01-22,RM1805,2302,2306,2293,2302,173739.0,3995997000.0,2301,280,2302,79,342803.0,2300,2294.0,1.5322659065973363,0.005647263249348393
2018-01-23,RM1805,2308,2314,2297,2305,170635.0,3933136750.0,2305,39,2306,241,336878.0,2305,2302.0,1.5322659065973363,0.00737527114967462
2018-01-24,RM1805,2307,2309,2281,2283,203837.0,4673982410.0,2282,148,2283,142,336336.0,2293,2305.0,1.5322659065973363,0.012264564169951819
2018-01-25,RM1805,2285,2321,2283,2315,244243.0,5627358720.0,2315,241,2317,28,351466.0,2304,2283.0,1.5322659065973363,0.016414686825053995
2018-01-26,RM1805,2315,2317,2287,2298,218234.0,5028111360.0,2298,451,2299,99,343403.0,2304,2315.0,1.5322659065973363,0.013054830287206266
2018-01-29,RM1805,2297,2342,2295,2340,320471.0,7438131910.0,2339,120,2340,172,368388.0,2321,2298.0,1.5322659065973363,0.020085470085470087
2018-01-30,RM1805,2340,2350,2325,2343,262835.0,6139825600.0,2342,242,2343,10,382844.0,2336,2340.0,1.5322659065973363,0.010670081092616303
2018-01-31,RM1805,2346,2353,2332,2345,220323.0,5164371120.0,2344,428,2345,19,375427.0,2344,2343.0,1.5322659065973363,0.008955223880597015
2018-02-01,RM1805,2335,2344,2326,2338,208818.0,4873812120.0,2338,198,2339,162,383950.0,2334,2345.0,1.5322659065973363,0.007698887938408896
2018-02-02,RM1805,2334,2337,2308,2311,240392.0,5581902240.0,2310,307,2311,51,370090.0,2322,2338.0,1.5322659065973363,0.012548680225010819
2018-02-05,RM1805,2313,2324,2304,2313,210062.0,4858734060.0,2313,57,2314,252,363909.0,2313,2311.0,1.5322659065973363,0.00864677907479464
2018-02-06,RM1805,2308,2318,2300,2303,187611.0,4330061880.0,2303,98,2304,464,358349.0,2308,2313.0,1.5322659065973363,0.007815892314372557
2018-02-07,RM1805,2312,2342,2309,2335,296481.0,6902077680.0,2334,461,2335,1,367613.0,2328,2303.0,1.5322659065973363,0.014132762312633832
2018-02-08,RM1805,2327,2340,2324,2338,169076.0,3941161560.0,2338,86,2339,189,357289.0,2331,2335.0,1.5322659065973363,0.006843455945252352
2018-02-09,RM1805,2343,2346,2331,2334,171950.0,4020191000.0,2334,646,2335,314,339235.0,2338,2338.0,1.5322659065973363,0.006426735218508998
