time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2019-08-19,RR2001,3690,3696,3662,3673,26251.0,965774290.0,3673,12,3674,10,12865.0,3679,3685.0,1.0,0.009256738361012797
2019-08-20,RR2001,3679,3679,3655,3662,10884.0,399007440.0,3661,2,3662,1,12121.0,3666,3673.0,1.0,0.006553795740032769
2019-08-21,RR2001,3664,3675,3663,3671,7693.0,282333100.0,3667,5,3671,29,10819.0,3670,3662.0,1.0,0.003268864069735767
2019-08-22,RR2001,3675,3675,3616,3633,11724.0,426636360.0,3631,7,3633,17,10941.0,3639,3671.0,1.0,0.016240022020368842
2019-08-23,RR2001,3630,3639,3625,3635,3595.0,130570400.0,3633,7,3635,15,10453.0,3632,3633.0,1.0,0.0038514442916093533
2019-08-26,RR2001,3640,3664,3623,3632,6560.0,238915200.0,3632,5,3634,16,10796.0,3642,3635.0,1.0,0.011288546255506607
2019-08-27,RR2001,3633,3648,3628,3641,3371.0,122670690.0,3640,18,3641,17,10480.0,3639,3632.0,1.0,0.005492996429552321
2019-08-28,RR2001,3640,3643,3626,3627,3333.0,120954570.0,3627,4,3628,2,11500.0,3629,3641.0,1.0,0.0046870692031982355
2019-08-29,RR2001,3621,3636,3600,3623,3612.0,130898880.0,3622,34,3623,7,11874.0,3624,3627.0,1.0,0.009936516698868341
2019-08-30,RR2001,3624,3640,3611,3619,5514.0,199937640.0,3618,13,3620,1,12427.0,3626,3623.0,1.0,0.00801326333241227
2019-09-02,RR2001,3626,3635,3619,3623,4014.0,145547640.0,3622,1,3624,11,12650.0,3626,3619.0,1.0,0.004416229643941485
2019-09-03,RR2001,3626,3626,3611,3618,2611.0,94465980.0,3618,2,3620,1,12661.0,3618,3623.0,1.0,0.0041459369817578775
2019-09-04,RR2001,3620,3635,3601,3625,7154.0,258831720.0,3624,29,3625,24,13221.0,3618,3618.0,1.0,0.009379310344827587
2019-09-05,RR2001,3635,3635,3616,3618,3810.0,137998200.0,3619,1,3620,4,13025.0,3622,3625.0,1.0,0.005251520176893312
2019-09-06,RR2001,3617,3709,3616,3658,30392.0,1113258960.0,3657,9,3658,2,16452.0,3663,3618.0,1.0,0.025423728813559324
2019-09-09,RR2001,3663,3673,3623,3660,8701.0,317673510.0,3656,9,3660,27,16561.0,3651,3658.0,1.0,0.01366120218579235
2019-09-10,RR2001,3663,3672,3645,3652,3309.0,120910860.0,3652,2,3654,34,16532.0,3654,3660.0,1.0,0.007393209200438116
2019-09-11,RR2001,3653,3664,3630,3637,3348.0,121967640.0,3637,1,3638,12,15995.0,3643,3652.0,1.0,0.009348364036293648
2019-09-12,RR2001,3635,3642,3628,3631,2083.0,75717050.0,3631,10,3637,2,15588.0,3635,3637.0,1.0,0.003855687138529331
2019-09-16,RR2001,3635,3651,3629,3639,2490.0,90735600.0,3639,13,3640,4,15708.0,3644,3631.0,1.0,0.006045616927727398
2019-09-17,RR2001,3642,3685,3639,3673,5979.0,218711820.0,3672,156,3673,14,16128.0,3658,3639.0,1.0,0.012523822488429077
2019-09-18,RR2001,3681,3685,3656,3670,5593.0,205207170.0,3669,1,3670,10,15569.0,3669,3673.0,1.0,0.00790190735694823
2019-09-19,RR2001,3666,3676,3663,3671,2379.0,87309300.0,3671,33,3672,17,14985.0,3670,3670.0,1.0,0.003541269408880414
2019-09-20,RR2001,3668,3692,3645,3667,5701.0,209283710.0,3666,11,3668,6,14178.0,3671,3671.0,1.0,0.012817016634851377
2019-09-23,RR2001,3664,3678,3662,3670,2379.0,87333090.0,3670,14,3672,2,13730.0,3671,3667.0,1.0,0.004359673024523161
2019-09-24,RR2001,3666,3677,3655,3673,1471.0,53941570.0,3670,7,3673,4,13416.0,3667,3670.0,1.0,0.005989654233596515
2019-09-25,RR2001,3666,3674,3645,3655,1805.0,66008850.0,3653,22,3656,7,13015.0,3657,3673.0,1.0,0.007934336525307797
2019-09-26,RR2001,3651,3680,3650,3665,1657.0,60762190.0,3657,8,3665,7,12938.0,3667,3655.0,1.0,0.008185538881309686
2019-09-27,RR2001,3650,3668,3640,3645,1906.0,69530880.0,3645,9,3646,1,12009.0,3648,3665.0,1.0,0.007681755829903978
2019-09-30,RR2001,3642,3654,3638,3639,964.0,35137800.0,3639,28,3648,9,11544.0,3645,3645.0,1.0,0.004396812311074471
2019-10-08,RR2001,3636,3649,3630,3642,727.0,26448260.0,3642,26,3643,3,11357.0,3638,3639.0,1.0,0.005216913783635365
2019-10-09,RR2001,3642,3660,3640,3648,881.0,32138880.0,3648,4,3649,20,11174.0,3648,3642.0,1.0,0.005482456140350877
2019-10-10,RR2001,3655,3655,3643,3648,447.0,16297620.0,3648,28,3650,15,11178.0,3646,3648.0,1.0,0.003289473684210526
2019-10-11,RR2001,3650,3650,3639,3641,554.0,20182220.0,3641,35,3648,3,11136.0,3643,3648.0,1.0,0.0030211480362537764
2019-10-14,RR2001,3641,3648,3631,3641,929.0,33824890.0,3641,5,3644,1,10824.0,3641,3641.0,1.0,0.004669046965119473
2019-10-15,RR2001,3634,3649,3634,3634,503.0,18304170.0,3633,14,3634,3,10860.0,3639,3641.0,1.0,0.004127682993946065
2019-10-16,RR2001,3631,3643,3630,3637,599.0,21773650.0,3635,4,3637,7,10592.0,3635,3634.0,1.0,0.0035743744844652188
2019-10-17,RR2001,3642,3643,3632,3639,334.0,12144240.0,3637,1,3639,116,10491.0,3636,3637.0,1.0,0.003022808463863699
2019-10-18,RR2001,3635,3640,3634,3639,620.0,22549400.0,3638,11,3639,3,10377.0,3637,3639.0,1.0,0.0016488046166529267
2019-10-21,RR2001,3636,3640,3630,3630,504.0,18315360.0,3630,39,3637,7,10197.0,3634,3639.0,1.0,0.0027548209366391185
2019-10-22,RR2001,3630,3635,3609,3618,3264.0,118091520.0,3615,20,3618,5,8396.0,3618,3630.0,1.0,0.007186290768380321
2019-10-23,RR2001,3616,3629,3610,3618,697.0,25217460.0,3618,3,3620,12,8302.0,3618,3618.0,1.0,0.005251520176893312
2019-10-24,RR2001,3629,3640,3609,3624,423.0,15312600.0,3620,7,3624,1,8273.0,3620,3618.0,1.0,0.008554083885209713
2019-10-25,RR2001,3619,3627,3613,3617,355.0,12847450.0,3616,37,3617,14,8131.0,3619,3624.0,1.0,0.003870611003594139
