time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,RU1805,14090,14430,14080,14340,190768.0,27327516000.0,14340,1,14345,140,183617.0,14325,14105.0,0.4250308498011854,0.024407252440725245
2018-01-03,RU1805,14340,14460,14240,14295,163667.0,23437114400.0,14295,21,14300,81,187468.0,14320,14340.0,0.4250308498011854,0.015389996502273523
2018-01-04,RU1805,14280,14280,13990,14115,282203.0,39776512850.0,14110,49,14115,4,202060.0,14095,14295.0,0.4250308498011854,0.020545518951470068
2018-01-05,RU1805,14095,14160,13920,14090,223782.0,31474938300.0,14085,50,14090,8,202505.0,14065,14115.0,0.4250308498011854,0.017033356990773598
2018-01-08,RU1805,14060,14110,13960,14075,159813.0,22429754550.0,14075,1,14080,237,206536.0,14035,14090.0,0.4250308498011854,0.010657193605683837
2018-01-09,RU1805,14090,14200,14010,14075,184033.0,25939451350.0,14075,3,14080,15,206970.0,14095,14075.0,0.4250308498011854,0.01349911190053286
2018-01-10,RU1805,14100,14280,13985,14035,263639.0,37186280950.0,14030,573,14035,13,208384.0,14105,14075.0,0.4250308498011854,0.02101888136800855
2018-01-11,RU1805,14090,14195,14050,14170,168286.0,23761983200.0,14170,9,14175,50,202773.0,14120,14035.0,0.4250308498011854,0.010232886379675371
2018-01-12,RU1805,14220,14405,14185,14295,281549.0,40289661900.0,14290,212,14295,13,203651.0,14310,14170.0,0.4250308498011854,0.015389996502273523
2018-01-15,RU1805,14290,14500,14130,14445,195434.0,28083865800.0,14445,74,14450,3,206871.0,14370,14295.0,0.4250308498011854,0.02561439944617515
2018-01-16,RU1805,14440,14475,14155,14225,218773.0,31306416300.0,14220,120,14225,4,204504.0,14310,14445.0,0.4250308498011854,0.02249560632688928
2018-01-17,RU1805,14185,14285,14070,14145,161028.0,22865976000.0,14145,84,14150,7,204515.0,14200,14225.0,0.4250308498011854,0.01519971721456345
2018-01-18,RU1805,14120,14280,14115,14165,155205.0,22039110000.0,14160,36,14165,2,206157.0,14200,14145.0,0.4250308498011854,0.011648429226967879
2018-01-19,RU1805,14145,14230,13975,14065,247457.0,34879064150.0,14060,18,14065,33,216429.0,14095,14165.0,0.4250308498011854,0.018130110202630643
2018-01-22,RU1805,14095,14150,14000,14075,160763.0,22627392250.0,14075,2,14080,118,219326.0,14075,14065.0,0.4250308498011854,0.010657193605683837
2018-01-23,RU1805,14035,14135,13760,13795,271804.0,37835116800.0,13790,36,13795,66,245838.0,13920,14075.0,0.4250308498011854,0.027183762232693004
2018-01-24,RU1805,13750,13840,13645,13775,133067.0,18336632600.0,13770,63,13775,3,243308.0,13780,13795.0,0.4250308498011854,0.014156079854809437
2018-01-25,RU1805,13785,13900,13700,13755,196965.0,27200866500.0,13750,552,13755,4,244198.0,13810,13775.0,0.4250308498011854,0.014540167211922937
2018-01-26,RU1805,13755,13870,13730,13770,150790.0,20801480500.0,13770,7,13775,14,242576.0,13795,13755.0,0.4250308498011854,0.010167029774872912
2018-01-29,RU1805,13730,13950,13620,13770,209384.0,28915930400.0,13770,13,13775,160,240942.0,13810,13770.0,0.4250308498011854,0.023965141612200435
2018-01-30,RU1805,13770,13825,13330,13395,280021.0,38040852850.0,13385,1,13395,2,254333.0,13585,13770.0,0.4250308498011854,0.036954087346024636
2018-01-31,RU1805,13400,13440,12880,13120,288271.0,37979704250.0,13120,8,13125,156,254619.0,13175,13395.0,0.4250308498011854,0.042682926829268296
2018-02-01,RU1805,13180,13185,12890,12955,173832.0,22641618000.0,12955,78,12960,49,255434.0,13025,13120.0,0.4250308498011854,0.02277113083751447
2018-02-02,RU1805,12990,13075,12965,13005,131958.0,17174333700.0,13000,5,13005,108,254692.0,13015,12955.0,0.4250308498011854,0.008458285274894272
2018-02-05,RU1805,12990,13105,12790,13055,175259.0,22801195900.0,13055,27,13060,166,249525.0,13010,13005.0,0.4250308498011854,0.024128686327077747
