time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,SF1805,6262,6534,6250,6466,154746.0,4970441520.0,6464,14,6466,10,105536.0,6424,6510.0,1.0613261731086134,0.04392205381998144
2018-01-03,SF1805,6480,6610,6428,6468,194153.0,6331329330.0,6468,6,6470,1,103643.0,6522,6466.0,1.0613261731086134,0.02813852813852814
2018-01-04,SF1805,6482,6550,6384,6454,142414.0,4611365320.0,6448,122,6454,33,108335.0,6476,6468.0,1.0613261731086134,0.025720483421134182
2018-01-05,SF1805,6450,6506,6360,6396,152508.0,4897031880.0,6390,35,6396,7,113216.0,6422,6454.0,1.0613261731086134,0.022826766729205753
2018-01-08,SF1805,6400,6428,6360,6418,74410.0,2381120000.0,6418,5,6420,169,106351.0,6400,6396.0,1.0613261731086134,0.010595200997195388
2018-01-09,SF1805,6448,6522,6432,6460,102633.0,3326335530.0,6460,48,6462,9,110762.0,6482,6418.0,1.0613261731086134,0.01393188854489164
2018-01-10,SF1805,6428,6506,6390,6472,83250.0,2694802500.0,6468,22,6472,58,105968.0,6474,6460.0,1.0613261731086134,0.01792336217552534
2018-01-11,SF1805,6486,6534,6410,6440,102994.0,3328766080.0,6438,1,6440,8,115799.0,6464,6472.0,1.0613261731086134,0.019254658385093167
2018-01-12,SF1805,6390,6496,6370,6456,101669.0,3279841940.0,6454,60,6456,7,111084.0,6452,6440.0,1.0613261731086134,0.019516728624535316
2018-01-15,SF1805,6488,6488,6420,6466,83478.0,2698008960.0,6464,18,6466,11,109660.0,6464,6456.0,1.0613261731086134,0.010516548097742036
2018-01-16,SF1805,6466,6758,6464,6692,252526.0,8366186380.0,6690,34,6692,74,118911.0,6626,6466.0,1.0613261731086134,0.043933054393305436
2018-01-17,SF1805,6716,6748,6620,6688,128388.0,4295862480.0,6684,28,6688,53,106648.0,6692,6692.0,1.0613261731086134,0.019138755980861243
2018-01-18,SF1805,6696,6916,6688,6896,195820.0,6663754600.0,6894,6,6896,71,120671.0,6806,6688.0,1.0613261731086134,0.03306264501160093
2018-01-19,SF1805,6900,6952,6866,6914,155489.0,5372144950.0,6914,77,6916,117,110082.0,6910,6896.0,1.0613261731086134,0.012438530517789991
2018-01-22,SF1805,6940,6992,6778,6812,147625.0,5073871250.0,6810,29,6812,82,113384.0,6874,6914.0,1.0613261731086134,0.03141514973576042
2018-01-23,SF1805,6752,6786,6522,6760,267072.0,8917534080.0,6756,12,6758,5,110424.0,6678,6812.0,1.0613261731086134,0.03905325443786982
2018-01-24,SF1805,6750,6788,6682,6740,119785.0,4033160950.0,6738,6,6740,4,97166.0,6734,6760.0,1.0613261731086134,0.01572700296735905
2018-01-25,SF1805,6782,6828,6700,6744,142150.0,4800405500.0,6744,51,6746,5,103474.0,6754,6740.0,1.0613261731086134,0.018979833926453145
2018-01-26,SF1805,6708,6736,6568,6582,146011.0,4843184870.0,6576,227,6582,3,93875.0,6634,6744.0,1.0613261731086134,0.02552415679124886
2018-01-29,SF1805,6578,6678,6562,6650,105623.0,3505627370.0,6648,2,6650,68,91710.0,6638,6582.0,1.0613261731086134,0.01744360902255639
2018-01-30,SF1805,6644,6710,6584,6628,95168.0,3160529280.0,6624,9,6628,35,86530.0,6642,6650.0,1.0613261731086134,0.019010259505129752
2018-01-31,SF1805,6610,6640,6550,6594,74054.0,2440079300.0,6592,87,6594,14,78128.0,6590,6628.0,1.0613261731086134,0.01364877161055505
2018-02-01,SF1805,6606,6688,6602,6624,78900.0,2618691000.0,6622,190,6624,25,82007.0,6638,6594.0,1.0613261731086134,0.012983091787439614
2018-02-02,SF1805,6680,6690,6620,6644,60434.0,2010639180.0,6642,778,6644,60,76222.0,6654,6624.0,1.0613261731086134,0.01053582179409994
