time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,SM1805,7150,7330,7084,7256,59175.0,2146869000.0,7250,48,7256,23,38505.0,7256,7236.0,1.7523957586961034,0.03390297684674752
2018-01-03,SM1805,7274,7350,7090,7120,87372.0,3159371520.0,7118,5,7120,7,40639.0,7232,7256.0,1.7523957586961034,0.03651685393258427
2018-01-04,SM1805,7120,7198,7006,7156,94348.0,3352184440.0,7154,1,7156,56,40174.0,7106,7120.0,1.7523957586961034,0.026830631637786474
2018-01-05,SM1805,7154,7182,7012,7080,71189.0,2525785720.0,7074,50,7080,5,37556.0,7096,7156.0,1.7523957586961034,0.02401129943502825
2018-01-08,SM1805,7098,7168,7050,7154,49565.0,1764018350.0,7152,20,7154,6,37737.0,7118,7080.0,1.7523957586961034,0.016494268940452892
2018-01-09,SM1805,7182,7292,7158,7240,55589.0,2015101250.0,7238,10,7244,1,36036.0,7250,7154.0,1.7523957586961034,0.018508287292817678
2018-01-10,SM1805,7208,7310,7160,7246,51794.0,1879086320.0,7244,11,7246,5,33826.0,7256,7240.0,1.7523957586961034,0.02070107645597571
2018-01-11,SM1805,7246,7276,7114,7178,64117.0,2297312110.0,7178,126,7182,43,38743.0,7166,7246.0,1.7523957586961034,0.02256896071329061
2018-01-12,SM1805,7134,7396,7118,7372,95773.0,3476559900.0,7372,10,7378,35,45084.0,7260,7178.0,1.7523957586961034,0.03771025501899078
2018-01-15,SM1805,7350,7454,7320,7400,84895.0,3135172350.0,7400,31,7402,21,47417.0,7386,7372.0,1.7523957586961034,0.018108108108108107
2018-01-16,SM1805,7388,7500,7358,7430,91041.0,3381262740.0,7430,18,7440,34,48235.0,7428,7400.0,1.7523957586961034,0.01911170928667564
2018-01-17,SM1805,7442,7478,7382,7448,63786.0,2371563480.0,7446,42,7448,13,45032.0,7436,7430.0,1.7523957586961034,0.01288936627282492
2018-01-18,SM1805,7442,7630,7432,7622,92402.0,3488175500.0,7616,6,7628,2,56884.0,7550,7448.0,1.7523957586961034,0.025977433744424034
2018-01-19,SM1805,7620,7770,7590,7768,95829.0,3676000440.0,7760,1,7768,10,59156.0,7672,7622.0,1.7523957586961034,0.023171987641606592
2018-01-22,SM1805,7850,7876,7606,7666,100890.0,3884265000.0,7662,1,7666,14,57816.0,7700,7768.0,1.7523957586961034,0.03522045395251761
2018-01-23,SM1805,7640,7740,7450,7706,135999.0,5165242020.0,7704,4,7706,19,59302.0,7596,7666.0,1.7523957586961034,0.03763301323643914
2018-01-24,SM1805,7702,7748,7626,7680,87775.0,3377582000.0,7680,4,7682,21,53867.0,7696,7706.0,1.7523957586961034,0.015885416666666666
2018-01-25,SM1805,7736,7780,7642,7684,80504.0,3096988880.0,7682,13,7684,6,51714.0,7694,7680.0,1.7523957586961034,0.017959396147839667
2018-01-26,SM1805,7650,7674,7530,7548,77275.0,2933359000.0,7530,66,7548,3,48458.0,7592,7684.0,1.7523957586961034,0.019077901430842606
2018-01-29,SM1805,7538,7730,7514,7668,79000.0,3023330000.0,7662,36,7672,9,49308.0,7654,7548.0,1.7523957586961034,0.028169014084507043
