time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,SN1805,145060,146740,144510,145940,4088.0,596480080.0,145930,1,145990,1,8345.0,145910,144840.0,0.8902867826692016,0.015280252158421269
2018-01-03,SN1805,146150,146350,144590,145050,4705.0,683542400.0,145020,1,145300,1,8612.0,145280,145940.0,0.8902867826692016,0.012133746983798691
2018-01-04,SN1805,145500,145640,144130,145310,4910.0,711606300.0,145310,8,145330,2,8696.0,144930,145050.0,0.8902867826692016,0.010391576629275343
2018-01-05,SN1805,145410,145800,144400,145600,4529.0,656976740.0,145600,7,145670,1,8885.0,145060,145310.0,0.8902867826692016,0.009615384615384616
2018-01-08,SN1805,145490,145670,144340,144610,4287.0,621572130.0,144620,2,144780,1,8854.0,144990,145600.0,0.8902867826692016,0.009197150957748427
2018-01-09,SN1805,144610,144890,143610,144620,5317.0,767455780.0,144610,1,144700,7,9022.0,144340,144610.0,0.8902867826692016,0.008850781358041765
2018-01-10,SN1805,144700,145560,144550,145300,6027.0,874336890.0,145300,2,145310,1,8982.0,145070,144620.0,0.8902867826692016,0.006951135581555403
2018-01-11,SN1805,145500,146350,145100,145150,4816.0,701402240.0,145160,1,145340,1,9037.0,145640,145300.0,0.8902867826692016,0.00861178091629349
2018-01-12,SN1805,145380,145870,144740,145400,6194.0,900174020.0,145310,1,145400,2,9113.0,145330,145150.0,0.8902867826692016,0.007771664374140302
2018-01-15,SN1805,145560,145680,144670,144840,6219.0,902998800.0,144820,1,144840,4,8887.0,145200,145400.0,0.8902867826692016,0.006973211819939243
2018-01-16,SN1805,145080,145790,144750,144970,5760.0,836524800.0,144990,1,145160,1,8742.0,145230,144840.0,0.8902867826692016,0.0071738980478719735
2018-01-17,SN1805,145000,145570,144500,144730,6246.0,905482620.0,144730,2,144820,3,8648.0,144970,144970.0,0.8902867826692016,0.007393076763628826
2018-01-18,SN1805,144730,145140,143630,143770,7097.0,1024948740.0,143640,1,143770,5,9039.0,144420,144730.0,0.8902867826692016,0.010502886554914099
2018-01-19,SN1805,143980,146090,143630,146050,10520.0,1521507600.0,146000,12,146050,12,9316.0,144630,143770.0,0.8902867826692016,0.016843546730571722
2018-01-22,SN1805,145980,146880,145340,146690,7845.0,1146232950.0,146540,1,146690,3,9891.0,146110,146050.0,0.8902867826692016,0.010498329811166406
2018-01-23,SN1805,146560,147060,145900,146900,5860.0,858900200.0,146900,5,146950,7,9776.0,146570,146690.0,0.8902867826692016,0.007896528250510551
2018-01-24,SN1805,146850,146900,146180,146600,3560.0,521646800.0,146410,1,146610,14,9790.0,146530,146900.0,0.8902867826692016,0.0049113233287858115
2018-01-25,SN1805,146970,148030,146800,146890,7774.0,1146665000.0,146880,1,146890,1,10185.0,147500,146600.0,0.8902867826692016,0.008373612907617945
2018-01-26,SN1805,147000,147850,146590,147090,6220.0,916268200.0,147040,1,147090,1,10380.0,147310,146890.0,0.8902867826692016,0.008566183968998572
2018-01-29,SN1805,148060,151470,148050,150950,21196.0,3175372760.0,150930,34,150970,1,12821.0,149810,147090.0,0.8902867826692016,0.022656508777740975
2018-01-30,SN1805,151330,151390,149370,150020,13249.0,1994504460.0,150030,3,150170,1,12910.0,150540,150950.0,0.8902867826692016,0.013464871350486601
2018-01-31,SN1805,150550,150880,148610,150150,10897.0,1632152660.0,150130,1,150230,2,12961.0,149780,150020.0,0.8902867826692016,0.015118215118215119
2018-02-01,SN1805,150020,150200,148900,149270,5855.0,875849450.0,149270,1,149330,1,12356.0,149590,150150.0,0.8902867826692016,0.008709050713472232
2018-02-02,SN1805,149290,149850,148250,148690,6146.0,916122760.0,148690,31,148780,1,12159.0,149060,149270.0,0.8902867826692016,0.010760642948416168
2018-02-05,SN1805,148960,150350,147430,150110,10267.0,1529064310.0,150100,7,150190,1,12808.0,148930,148690.0,0.8902867826692016,0.0194524015721804
2018-02-06,SN1805,150090,150760,149220,150000,8396.0,1259903760.0,149940,2,150000,2,12953.0,150060,150110.0,0.8902867826692016,0.010266666666666667
2018-02-07,SN1805,150200,151940,149440,151250,14020.0,2117440600.0,151230,2,151250,3,14543.0,151030,150000.0,0.8902867826692016,0.01652892561983471
2018-02-08,SN1805,151320,151930,149190,149360,13703.0,2059834960.0,149300,2,149370,1,13071.0,150320,151250.0,0.8902867826692016,0.018344938403856453
2018-02-09,SN1805,149360,149600,147000,147200,12128.0,1801735680.0,147160,2,147220,2,12083.0,148560,149360.0,0.8902867826692016,0.017663043478260868
2018-02-12,SN1805,147000,147390,146030,146340,8728.0,1279612080.0,146300,16,146330,1,11436.0,146610,147200.0,0.8902867826692016,0.00929342626759601
2018-02-13,SN1805,146740,147700,146310,146800,5317.0,780801450.0,146800,11,146950,4,10912.0,146850,146340.0,0.8902867826692016,0.009468664850136239
2018-02-14,SN1805,147180,149350,147010,148880,7826.0,1161456660.0,148800,1,148880,1,10940.0,148410,146800.0,0.8902867826692016,0.015717356260075227
