time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,SR1805,5923,5965,5885,5897,164339.0,9730512190.0,5896,16,5897,42,238231.0,5921,5937.0,0.6158554667512417,0.013566220111921316
2018-01-03,SR1805,5893,5917,5891,5905,115514.0,6818791420.0,5904,52,5905,99,240066.0,5903,5897.0,0.6158554667512417,0.004403048264182896
2018-01-04,SR1805,5898,5898,5829,5858,248267.0,14540998190.0,5858,74,5859,5,246353.0,5857,5905.0,0.6158554667512417,0.011778764083304883
2018-01-05,SR1805,5843,5873,5835,5867,156671.0,9168386920.0,5867,21,5868,1,246034.0,5852,5858.0,0.6158554667512417,0.006476904721322652
2018-01-08,SR1805,5864,5885,5850,5874,112520.0,6603798800.0,5873,2,5874,14,245517.0,5869,5867.0,0.6158554667512417,0.00595846101464079
2018-01-09,SR1805,5868,5888,5848,5864,155923.0,9146443180.0,5864,5,5865,17,251897.0,5866,5874.0,0.6158554667512417,0.0068212824010914054
2018-01-10,SR1805,5864,5885,5859,5877,110923.0,6514507790.0,5877,48,5878,1,245921.0,5873,5864.0,0.6158554667512417,0.004424025863535817
2018-01-11,SR1805,5882,5890,5853,5872,111848.0,6568833040.0,5872,21,5873,28,248319.0,5873,5877.0,0.6158554667512417,0.006301089918256131
2018-01-12,SR1805,5851,5869,5846,5862,93010.0,5450386000.0,5860,72,5862,3,250928.0,5860,5872.0,0.6158554667512417,0.003923575571477311
2018-01-15,SR1805,5870,5876,5805,5815,200225.0,11679124250.0,5817,9,5818,5,274397.0,5833,5862.0,0.6158554667512417,0.012209802235597592
2018-01-16,SR1805,5812,5825,5808,5815,83791.0,4874960380.0,5814,220,5815,95,273543.0,5818,5815.0,0.6158554667512417,0.0029234737747205505
2018-01-17,SR1805,5810,5830,5779,5785,181985.0,10556949850.0,5785,100,5786,5,270297.0,5801,5815.0,0.6158554667512417,0.00881590319792567
2018-01-18,SR1805,5785,5800,5765,5768,132694.0,7676347900.0,5768,82,5769,76,279665.0,5785,5785.0,0.6158554667512417,0.006067961165048544
2018-01-19,SR1805,5772,5774,5721,5759,203126.0,11677713740.0,5758,39,5759,2,278967.0,5749,5768.0,0.6158554667512417,0.009202986629623199
2018-01-22,SR1805,5750,5771,5736,5769,162122.0,9328499880.0,5768,110,5769,2,289364.0,5754,5759.0,0.6158554667512417,0.006066909343040388
2018-01-23,SR1805,5762,5777,5751,5757,114370.0,6591143100.0,5757,8,5758,86,286780.0,5763,5769.0,0.6158554667512417,0.00451624109779399
2018-01-24,SR1805,5778,5828,5776,5792,218417.0,12672554340.0,5792,23,5793,83,276133.0,5802,5757.0,0.6158554667512417,0.008977900552486187
2018-01-25,SR1805,5793,5820,5784,5796,107977.0,6265905310.0,5796,3,5797,68,268691.0,5803,5792.0,0.6158554667512417,0.006211180124223602
2018-01-26,SR1805,5805,5824,5780,5787,122220.0,7092426600.0,5786,302,5787,5,278945.0,5803,5796.0,0.6158554667512417,0.007603248660791429
2018-01-29,SR1805,5791,5805,5745,5764,132146.0,7626145660.0,5764,2,5765,25,286230.0,5771,5787.0,0.6158554667512417,0.010409437890353921
2018-01-30,SR1805,5768,5781,5755,5757,91611.0,5285038590.0,5757,288,5758,2,285919.0,5769,5764.0,0.6158554667512417,0.00451624109779399
