time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,T1803,93.17,93.2,92.63,92.64,40041,37158048000.0,92.63,39,92.64,2,60827,92.8,93.165,1.053416842177348,0.0061528497409327225
2018-01-03,T1803,92.65,92.755,92.555,92.635,28411,26310006550.000004,92.635,2,92.64,22,61147,92.605,92.64,1.053416842177348,0.0021590111728826966
2018-01-04,T1803,92.48,92.545,92.27,92.465,29409,27194502300.0,92.46,2,92.47,1,60601,92.47,92.635,1.053416842177348,0.002974098307467752
2018-01-05,T1803,92.5,92.575,92.4,92.45,20664,19110067200.0,92.45,9,92.47,7,60887,92.48,92.465,1.053416842177348,0.0018929150892373948
2018-01-08,T1803,92.505,92.69,92.35,92.655,30429,28193989950.0,92.66,1,92.665,3,59861,92.655,92.45,1.053416842177348,0.003669526738977966
2018-01-09,T1803,92.635,92.735,92.57,92.645,22677,21013642050.0,92.645,8,92.65,2,59381,92.665,92.655,1.053416842177348,0.0017809919585515274
2018-01-10,T1803,92.48,92.615,92.34,92.34,35541,32838106950.0,92.34,5,92.345,1,60860,92.395,92.645,1.053416842177348,0.0029781243231534705
2018-01-11,T1803,92.34,92.41,92.015,92.13,39029,35951563350.0,92.125,12,92.13,14,62747,92.115,92.34,1.053416842177348,0.00428741995007051
2018-01-12,T1803,92.16,92.325,92.14,92.275,22852,21087825600.0,92.275,1,92.28,48,59456,92.28,92.13,1.053416842177348,0.002004876727174232
2018-01-15,T1803,92.15,92.15,91.855,92.04,39065,35951519500.0,92.03,28,92.04,52,60035,92.03,92.275,1.053416842177348,0.0032051282051282232
2018-01-16,T1803,92.1,92.175,91.92,91.97,25907,23825372550.0,91.965,17,91.97,1,59522,91.965,92.04,1.053416842177348,0.002772643253234701
2018-01-17,T1803,91.905,92.065,91.72,91.75,40029,36738616200.0,91.75,13,91.76,18,60437,91.78,91.97,1.053416842177348,0.0037602179836512136
2018-01-18,T1803,91.7,91.74,91.475,91.495,38472,35215345200.0,91.495,5,91.5,1,60555,91.535,91.75,1.053416842177348,0.0028963331329580912
2018-01-19,T1803,91.5,91.665,91.43,91.505,34971,31996716450.0,91.505,35,91.51,13,56602,91.495,91.495,1.053416842177348,0.002568165674006879
2018-01-22,T1803,91.52,91.82,91.43,91.79,33299,30556827350.0,91.785,22,91.79,2,54177,91.765,91.505,1.053416842177348,0.0042488288484582885
2018-01-23,T1803,91.85,91.925,91.715,91.755,27618,25338134100.0,91.755,14,91.765,18,51248,91.745,91.79,1.053416842177348,0.0022887036128820637
2018-01-24,T1803,91.805,91.95,91.7,91.77,31312,28728760000.0,91.765,2,91.77,48,49397,91.75,91.755,1.053416842177348,0.0027242018088700012
2018-01-25,T1803,91.69,91.89,91.635,91.885,27857,25576904550.0,91.88,4,91.885,8,48618,91.815,91.77,1.053416842177348,0.0027752081406104963
2018-01-26,T1803,91.945,91.975,91.83,91.905,30142,27700498000.000004,91.905,35,91.91,7,46124,91.9,91.885,1.053416842177348,0.0015777161199063818
2018-01-29,T1803,91.835,92.01,91.735,91.865,34080,31326336000.0,91.86,24,91.865,9,43000,91.92,91.905,1.053416842177348,0.00299352310455566
2018-01-30,T1803,91.85,91.885,91.76,91.785,27214,24987894800.0,91.785,46,91.79,1,41107,91.82,91.865,1.053416842177348,0.0013618783025548837
2018-01-31,T1803,91.845,91.995,91.825,91.94,28355,26062498250.0,91.93,10,91.95,37,37962,91.915,91.785,1.053416842177348,0.0018490319773765685
2018-02-01,T1803,91.94,92.195,91.89,92.13,30405,28015167000.0,92.125,2,92.13,8,34201,92.14,91.94,1.053416842177348,0.0033105394551176883
2018-02-02,T1803,92.055,92.11,91.965,91.97,23987,22069239350.0,91.965,9,91.97,4,30600,92.005,92.13,1.053416842177348,0.0015766010655648148
2018-02-05,T1803,91.95,92.0,91.67,91.755,28439,26087094700.000004,91.745,10,91.755,5,28757,91.73,91.97,1.053416842177348,0.0035965342488147602
2018-02-06,T1803,92.03,92.25,91.955,92.095,35934,33105994200.0,92.085,5,92.095,2,25521,92.13,91.755,1.053416842177348,0.003203214072425232
2018-02-07,T1806,92.075,92.15,92.0,92.145,12476,11491643600.000002,92.14,13,92.15,100,29714,92.11,92.155,1.0527309867106815,0.0016278691193228683
2018-02-08,T1806,92.2,92.265,91.825,91.825,20694,19026063600.0,91.82,18,91.825,1,32230,91.94,92.145,1.0527309867106815,0.004791723386877187
2018-02-09,T1806,91.9,92.105,91.74,92.07,31579,29041627350.000004,92.065,1,92.07,7,34069,91.965,91.825,1.0527309867106815,0.003964374932116967
2018-02-12,T1806,92.07,92.13,91.93,92.13,21443,19738281500.0,92.12,1,92.13,9,35718,92.05,92.07,1.0527309867106815,0.002170845544339397
2018-02-13,T1806,92.125,92.2,92.0,92.02,16386,15082493700.000002,92.02,4,92.03,5,36932,92.045,92.13,1.0527309867106815,0.0021734405564008135
2018-02-14,T1806,92.075,92.075,91.905,91.94,10893,10016113500.0,91.945,2,91.95,4,38076,91.95,92.02,1.0527309867106815,0.0018490319773765685
2018-02-22,T1806,91.815,91.83,91.645,91.7,18211,16698576449.999998,91.695,1,91.705,11,39184,91.695,91.94,1.0527309867106815,0.0020174482006543324
