time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,TA1805,5552,5578,5496,5576,330953.0,9167398100.0,5574,225,5576,584,519883.0,5540,5520.0,0.8982316463860509,0.014705882352941176
2018-01-03,TA1805,5574,5586,5528,5552,277836.0,7712727360.0,5550,174,5552,2,523473.0,5552,5576.0,0.8982316463860509,0.010446685878962535
2018-01-04,TA1805,5562,5674,5546,5634,612598.0,17183373900.0,5634,119,5638,273,623023.0,5610,5552.0,0.8982316463860509,0.022719204827831026
2018-01-05,TA1805,5638,5648,5604,5630,290484.0,8171314920.0,5628,218,5630,277,604754.0,5626,5634.0,0.8982316463860509,0.007815275310834813
2018-01-08,TA1805,5628,5704,5614,5688,408788.0,11576876160.0,5688,51,5690,40,679961.0,5664,5630.0,0.8982316463860509,0.015822784810126583
2018-01-09,TA1805,5694,5714,5666,5692,271714.0,7727546160.0,5690,500,5692,4,698042.0,5688,5688.0,0.8982316463860509,0.008432888264230498
2018-01-10,TA1805,5694,5696,5610,5670,436916.0,12355984480.0,5668,58,5670,5,664465.0,5656,5692.0,0.8982316463860509,0.015167548500881834
2018-01-11,TA1805,5670,5684,5634,5678,269769.0,7637160390.0,5676,1636,5678,6,674762.0,5662,5670.0,0.8982316463860509,0.008805917576611482
2018-01-12,TA1805,5678,5702,5624,5640,338297.0,9550124310.0,5640,292,5644,492,665772.0,5646,5678.0,0.8982316463860509,0.013829787234042552
2018-01-15,TA1805,5642,5700,5606,5676,326713.0,9245977900.0,5674,151,5676,10,692855.0,5660,5640.0,0.8982316463860509,0.01656095842142354
2018-01-16,TA1805,5676,5698,5602,5626,463642.0,13102522920.0,5622,68,5624,6,666872.0,5652,5676.0,0.8982316463860509,0.017063633131887666
2018-01-17,TA1805,5610,5626,5558,5592,385028.0,10757682320.0,5592,151,5594,49,643871.0,5588,5626.0,0.8982316463860509,0.012160228898426323
2018-01-18,TA1805,5592,5624,5576,5598,248073.0,6946044000.0,5596,142,5598,42,642301.0,5600,5592.0,0.8982316463860509,0.00857449088960343
2018-01-19,TA1805,5602,5638,5566,5614,329965.0,9232420700.0,5612,2,5614,511,634694.0,5596,5598.0,0.8982316463860509,0.01282508015675098
2018-01-22,TA1805,5614,5704,5596,5668,414364.0,11722357560.0,5666,3,5668,1014,652626.0,5658,5614.0,0.8982316463860509,0.019054340155257588
2018-01-23,TA1805,5668,5706,5646,5674,337718.0,9584436840.0,5674,507,5676,130,660822.0,5676,5668.0,0.8982316463860509,0.010574550581600282
2018-01-24,TA1805,5674,5774,5664,5754,708602.0,20343963420.0,5752,1115,5754,223,719154.0,5742,5674.0,0.8982316463860509,0.019117135905457074
2018-01-25,TA1805,5750,5796,5736,5762,331789.0,9562158980.0,5760,721,5762,394,716728.0,5764,5754.0,0.8982316463860509,0.010413051023950017
2018-01-26,TA1805,5762,5762,5712,5736,262126.0,7512531160.0,5734,951,5736,49,704624.0,5732,5762.0,0.8982316463860509,0.008716875871687587
2018-01-29,TA1805,5736,5788,5722,5740,227580.0,6549752400.0,5740,287,5742,12,703537.0,5756,5736.0,0.8982316463860509,0.011498257839721254
2018-01-30,TA1805,5738,5740,5664,5696,342463.0,9760195500.0,5696,283,5698,627,663166.0,5700,5740.0,0.8982316463860509,0.013342696629213483
2018-01-31,TA1805,5700,5738,5676,5726,409677.0,11700375120.0,5724,460,5726,292,680621.0,5712,5696.0,0.8982316463860509,0.010827803003842123
2018-02-01,TA1805,5730,5738,5644,5660,377083.0,10728011350.0,5660,1468,5662,63,649124.0,5690,5726.0,0.8982316463860509,0.016607773851590107
2018-02-02,TA1805,5670,5706,5654,5668,234587.0,6662270800.0,5666,25,5668,1,631510.0,5680,5660.0,0.8982316463860509,0.009174311926605505
2018-02-05,TA1805,5668,5684,5636,5668,285057.0,8061411960.0,5668,108,5670,644,608701.0,5656,5668.0,0.8982316463860509,0.008468595624558928
