time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,TF1803,96.6,96.625,96.255,96.26,10554,10172472900.0,96.255,1,96.265,1,45947,96.385,96.605,0.9688216886033764,0.0038437564928319604
2018-01-03,TF1803,96.265,96.35,96.25,96.29,9053,8717133700.000002,96.29,32,96.3,9,46389,96.29,96.26,0.9688216886033764,0.0010385294423096304
2018-01-04,TF1803,96.235,96.295,96.095,96.25,10370,9980088000.0,96.245,3,96.26,4,45790,96.24,96.29,0.9688216886033764,0.0020779220779221074
2018-01-05,TF1803,96.25,96.305,96.21,96.26,5787,5570566200.0,96.25,4,96.26,1,45119,96.26,96.25,0.9688216886033764,0.0009869104508623838
2018-01-08,TF1803,96.285,96.425,96.195,96.4,9121,8792187950.0,96.395,5,96.4,7,44748,96.395,96.26,0.9688216886033764,0.0023858921161826136
2018-01-09,TF1803,96.4,96.46,96.355,96.41,7085,6830294250.0,96.41,23,96.415,17,43751,96.405,96.4,0.9688216886033764,0.0010890986412196845
2018-01-10,TF1803,96.3,96.38,96.195,96.2,9812,9443068800.0,96.19,4,96.2,1,43104,96.24,96.41,0.9688216886033764,0.0019230769230769466
2018-01-11,TF1803,96.2,96.24,95.985,96.045,12570,12073485000.0,96.045,3,96.06,1,41639,96.05,96.2,0.9688216886033764,0.002655005466187677
2018-01-12,TF1803,96.05,96.175,96.05,96.145,6210,5970604500.0,96.145,16,96.155,2,40470,96.145,96.045,0.9688216886033764,0.0013001196110042125
2018-01-15,TF1803,96.135,96.135,95.885,96.005,10691,10262290900.0,96.0,11,96.005,1,40844,95.99,96.145,0.9688216886033764,0.0026040310400499973
2018-01-16,TF1803,96.035,96.08,95.935,95.985,6747,6475433250.0,95.98,2,95.985,2,39951,95.975,96.005,0.9688216886033764,0.0015106527061519615
2018-01-17,TF1803,95.97,96.015,95.805,95.84,14091,13505518950.0,95.84,1,95.845,1,40235,95.845,95.985,0.9688216886033764,0.002191151919866379
2018-01-18,TF1803,95.8,95.835,95.64,95.66,14051,13445401900.0,95.66,1,95.67,2,39756,95.69,95.84,0.9688216886033764,0.0020384695797615844
2018-01-19,TF1803,95.645,95.76,95.57,95.635,12942,12373199100.000002,95.615,2,95.64,14,38071,95.605,95.66,0.9688216886033764,0.0019867203429707945
2018-01-22,TF1803,95.625,95.815,95.58,95.795,10199,9768092250.0,95.78,37,95.795,6,37102,95.775,95.635,0.9688216886033764,0.0024531551751135177
2018-01-23,TF1803,95.85,95.905,95.785,95.81,9212,8825556600.0,95.81,1,95.815,6,36047,95.805,95.795,0.9688216886033764,0.0012524788644192103
2018-01-24,TF1803,95.86,96.95,95.815,95.865,10636,10195137800.0,95.86,1,95.875,1,33638,95.855,95.81,0.9688216886033764,0.011839566056433581
2018-01-25,TF1803,95.74,95.965,95.705,95.955,8562,8211814199.999999,95.955,6,95.96,46,31528,95.91,95.865,0.9688216886033764,0.0027096034599552407
2018-01-26,TF1803,95.985,96.02,95.92,95.96,8278,7943982700.0,95.95,2,95.97,7,30001,95.965,95.955,0.9688216886033764,0.0010421008753646762
2018-01-29,TF1803,95.95,96.03,95.87,95.945,8507,8164593250.0,95.94,3,95.955,4,28892,95.975,95.96,0.9688216886033764,0.0016676220751471844
