time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2019-08-12,UR2001,1690,1726,1679,1716,273286.0,9286258280.0,1716,86,1717,126,46940.0,1699,1702.0,1.0,0.027389277389277388
2019-08-13,UR2001,1705,1767,1702,1767,323053.0,11261627580.0,1767,6038,0,0,65184.0,1743,1716.0,1.0,0.03678551216751556
2019-08-14,UR2001,1770,1783,1716,1732,290445.0,10136530500.0,1731,13,1732,110,45871.0,1745,1767.0,1.0,0.03868360277136259
2019-08-15,UR2001,1738,1753,1724,1738,179507.0,6243253460.0,1737,140,1738,12,45735.0,1739,1732.0,1.0,0.01668584579976985
2019-08-16,UR2001,1737,1754,1732,1739,77779.0,2711375940.0,1739,55,1740,21,42512.0,1743,1738.0,1.0,0.012650948821161587
2019-08-19,UR2001,1743,1750,1730,1741,57448.0,2000339360.0,1740,5,1741,230,41096.0,1741,1739.0,1.0,0.011487650775416428
2019-08-20,UR2001,1741,1749,1736,1741,28274.0,983935200.0,1740,151,1741,717,37785.0,1740,1741.0,1.0,0.007466973004020678
2019-08-21,UR2001,1738,1738,1706,1718,93364.0,3206119760.0,1718,9,1719,113,36178.0,1717,1741.0,1.0,0.018626309662398137
2019-08-22,UR2001,1722,1730,1718,1723,30033.0,1035537840.0,1723,11,1724,25,33404.0,1724,1718.0,1.0,0.006964596633778294
2019-08-23,UR2001,1725,1727,1714,1720,19843.0,682599200.0,1719,177,1720,61,33065.0,1720,1723.0,1.0,0.007558139534883721
2019-08-26,UR2001,1715,1748,1712,1736,42046.0,1458996200.0,1736,96,1738,5,31630.0,1735,1720.0,1.0,0.020737327188940093
2019-08-27,UR2001,1734,1758,1731,1738,59580.0,2081725200.0,1738,16,1739,23,32270.0,1747,1736.0,1.0,0.015535097813578827
2019-08-28,UR2001,1744,1758,1738,1750,31912.0,1116281760.0,1749,120,1750,199,32717.0,1749,1738.0,1.0,0.011428571428571429
2019-08-29,UR2001,1749,1815,1749,1786,230619.0,8265384960.0,1786,19,1787,201,44468.0,1792,1750.0,1.0,0.036954087346024636
2019-08-30,UR2001,1795,1804,1781,1789,82202.0,2947763720.0,1788,460,1789,22,44023.0,1793,1786.0,1.0,0.012856344326439352
2019-09-02,UR2001,1793,1826,1781,1796,74814.0,2696296560.0,1795,42,1796,3,47215.0,1802,1789.0,1.0,0.02505567928730512
2019-09-03,UR2001,1798,1806,1785,1791,46397.0,1664724360.0,1791,6,1792,288,46027.0,1794,1796.0,1.0,0.011725293132328308
2019-09-04,UR2001,1796,1843,1793,1813,151475.0,5519749000.0,1812,93,1813,21,48988.0,1822,1791.0,1.0,0.027578599007170437
2019-09-05,UR2001,1814,1830,1807,1812,63608.0,2314059040.0,1811,49,1812,74,46435.0,1819,1813.0,1.0,0.012693156732891833
2019-09-06,UR2001,1815,1827,1810,1820,44717.0,1625910120.0,1819,1,1821,48,46709.0,1818,1812.0,1.0,0.00934065934065934
2019-09-09,UR2001,1832,1840,1817,1823,43276.0,1581305040.0,1823,78,1824,59,48312.0,1827,1820.0,1.0,0.012616566099835436
2019-09-10,UR2001,1826,1835,1803,1811,56929.0,2067661280.0,1811,32,1812,14,45696.0,1816,1823.0,1.0,0.0176697956929873
2019-09-11,UR2001,1811,1820,1808,1817,25368.0,920351040.0,1816,12,1817,4,43411.0,1814,1811.0,1.0,0.006604292790313704
2019-09-12,UR2001,1818,1822,1811,1815,18217.0,661641440.0,1815,277,1816,84,41762.0,1816,1817.0,1.0,0.006060606060606061
2019-09-16,UR2001,1819,1825,1775,1790,46656.0,1678682880.0,1789,42,1790,121,37988.0,1799,1815.0,1.0,0.027932960893854747
2019-09-17,UR2001,1791,1796,1778,1781,30147.0,1076247900.0,1781,303,1782,2,35075.0,1785,1790.0,1.0,0.010106681639528355
2019-09-18,UR2001,1782,1786,1764,1785,34551.0,1227251520.0,1785,11,1786,206,32800.0,1776,1781.0,1.0,0.012324929971988795
2019-09-19,UR2001,1784,1794,1774,1778,30474.0,1087921800.0,1778,198,1779,45,34152.0,1785,1785.0,1.0,0.01124859392575928
2019-09-20,UR2001,1780,1780,1752,1760,43493.0,1532693320.0,1760,32,1761,34,35640.0,1762,1778.0,1.0,0.015909090909090907
2019-09-23,UR2001,1764,1769,1756,1763,23177.0,816757480.0,1762,36,1763,1,37239.0,1762,1760.0,1.0,0.00737379466817924
2019-09-24,UR2001,1764,1776,1759,1772,25419.0,899324220.0,1771,74,1773,110,34936.0,1769,1763.0,1.0,0.009593679458239277
2019-09-25,UR2001,1774,1775,1754,1756,21751.0,766070220.0,1755,438,1756,21,37050.0,1761,1772.0,1.0,0.011958997722095672
2019-09-26,UR2001,1757,1765,1744,1758,19875.0,698010000.0,1756,11,1758,10,35309.0,1756,1756.0,1.0,0.011945392491467578
2019-09-27,UR2001,1751,1757,1747,1749,11222.0,393218880.0,1750,1,1751,1,32891.0,1752,1758.0,1.0,0.005717552887364208
2019-09-30,UR2001,1754,1764,1749,1755,11882.0,417771120.0,1755,83,1756,124,31945.0,1758,1749.0,1.0,0.008547008547008548
2019-10-08,UR2001,1750,1764,1728,1753,19203.0,671336880.0,1752,22,1753,13,32700.0,1748,1755.0,1.0,0.02053622361665716
2019-10-09,UR2001,1754,1773,1752,1769,27604.0,974421200.0,1768,23,1769,13,36901.0,1765,1753.0,1.0,0.011871113623516111
2019-10-10,UR2001,1769,1779,1756,1758,17769.0,627956460.0,1757,120,1758,34,37194.0,1767,1769.0,1.0,0.013083048919226393
2019-10-11,UR2001,1760,1763,1748,1752,13233.0,464213640.0,1752,47,1753,130,37534.0,1754,1758.0,1.0,0.008561643835616438
2019-10-14,UR2001,1750,1753,1734,1739,15454.0,539035520.0,1738,43,1739,22,40565.0,1744,1752.0,1.0,0.010925819436457734
2019-10-15,UR2001,1730,1738,1730,1737,10433.0,361816440.0,1736,86,1737,107,41900.0,1734,1739.0,1.0,0.004605641911341394
2019-10-16,UR2001,1737,1742,1730,1730,10951.0,380437740.0,1730,77,1731,29,42348.0,1737,1737.0,1.0,0.006936416184971098
2019-10-17,UR2001,1728,1728,1711,1715,21331.0,732933160.0,1713,219,1715,46,44757.0,1718,1730.0,1.0,0.009912536443148687
2019-10-18,UR2001,1715,1725,1711,1714,11679.0,401056860.0,1714,21,1715,31,45251.0,1717,1715.0,1.0,0.008168028004667444
2019-10-21,UR2001,1715,1715,1699,1700,17486.0,596622320.0,1700,61,1701,2,47348.0,1706,1714.0,1.0,0.009411764705882352
2019-10-22,UR2001,1701,1704,1673,1683,49981.0,1682360460.0,1682,60,1683,50,56121.0,1683,1700.0,1.0,0.0184194890077243
2019-10-23,UR2001,1685,1686,1675,1679,19156.0,643641600.0,1678,254,1679,51,56772.0,1680,1683.0,1.0,0.006551518761167362
2019-10-24,UR2001,1683,1692,1678,1683,20164.0,679123520.0,1682,21,1683,19,56684.0,1684,1679.0,1.0,0.008318478906714201
2019-10-25,UR2001,1681,1687,1678,1680,16219.0,545607160.0,1679,90,1680,16,57601.0,1682,1683.0,1.0,0.005357142857142857
2019-10-28,UR2001,1682,1692,1679,1685,16175.0,545097500.0,1685,41,1686,23,55728.0,1685,1680.0,1.0,0.00771513353115727
2019-10-29,UR2001,1686,1695,1680,1686,18171.0,612726120.0,1686,3,1687,1,54550.0,1686,1685.0,1.0,0.008896797153024912
2019-10-30,UR2001,1685,1695,1682,1690,15083.0,509805400.0,1690,428,1691,4,54154.0,1690,1686.0,1.0,0.007692307692307693
2019-10-31,UR2001,1690,1697,1686,1686,14399.0,486974180.0,1686,143,1687,157,54627.0,1691,1690.0,1.0,0.006524317912218268
2019-11-01,UR2001,1686,1690,1681,1687,12310.0,414847000.0,1686,22,1687,34,53817.0,1685,1686.0,1.0,0.005334914048606995
