time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,Y1805,5686,5798,5686,5780,138862.0,8006782920.0,5780,26,5782,89,428221.0,5766,5668.0,0.7315319613780583,0.019377162629757784
2018-01-03,Y1805,5780,5792,5760,5778,106797.0,6166458780.0,5774,128,5778,329,432898.0,5774,5780.0,0.7315319613780583,0.005538248528902735
2018-01-04,Y1805,5802,5826,5784,5824,135102.0,7841320080.0,5822,17,5824,46,422595.0,5804,5778.0,0.7315319613780583,0.007211538461538462
2018-01-05,Y1805,5806,5850,5788,5824,137704.0,8011618720.0,5822,52,5824,30,415823.0,5818,5824.0,0.7315319613780583,0.010645604395604396
2018-01-08,Y1805,5808,5822,5740,5756,162791.0,9406063980.0,5754,124,5758,226,446760.0,5778,5824.0,0.7315319613780583,0.014246004169562195
2018-01-09,Y1805,5778,5794,5754,5794,116389.0,6724956420.0,5792,53,5794,108,447113.0,5778,5756.0,0.7315319613780583,0.0069036934760096655
2018-01-10,Y1805,5770,5822,5766,5798,152551.0,8841855960.0,5798,58,5800,338,446118.0,5796,5794.0,0.7315319613780583,0.009658502932045532
2018-01-11,Y1805,5816,5816,5772,5786,95510.0,5528118800.0,5786,8,5788,183,445264.0,5788,5798.0,0.7315319613780583,0.0076045627376425855
2018-01-12,Y1805,5776,5794,5722,5738,155996.0,8966650080.0,5738,3,5740,274,445025.0,5748,5786.0,0.7315319613780583,0.012547926106657371
2018-01-15,Y1805,5732,5760,5712,5740,109720.0,6291344800.0,5740,9,5742,16,441976.0,5734,5738.0,0.7315319613780583,0.008362369337979094
2018-01-16,Y1805,5750,5770,5706,5728,121831.0,6990662780.0,5726,48,5728,4,446863.0,5738,5740.0,0.7315319613780583,0.0111731843575419
2018-01-17,Y1805,5724,5764,5692,5708,158846.0,9092345040.0,5708,11,5710,425,449437.0,5724,5728.0,0.7315319613780583,0.012613875262789068
2018-01-18,Y1805,5700,5726,5684,5722,117058.0,6679329480.0,5720,86,5722,6,452091.0,5706,5708.0,0.7315319613780583,0.007340090877315624
2018-01-19,Y1805,5718,5722,5666,5678,138184.0,7870960640.0,5678,51,5680,223,459771.0,5696,5722.0,0.7315319613780583,0.009862627685804861
2018-01-22,Y1805,5680,5756,5674,5744,155157.0,8874980400.0,5742,30,5744,100,452198.0,5720,5678.0,0.7315319613780583,0.014275766016713091
2018-01-23,Y1805,5750,5782,5734,5760,159036.0,9160473600.0,5758,151,5760,158,446348.0,5760,5744.0,0.7315319613780583,0.008333333333333333
