time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2018-01-02,ZC1805,605.0,614.0,601.0,612.8,72013.0,4374069620.0,612.8,10,613.2,116,110434.0,607.4,605.4,1.2625268552902156,0.021214099216710185
2018-01-03,ZC1805,612.6,617.6,609.2,613.2,71683.0,4404203520.0,612.8,1,613.2,21,109233.0,614.4,612.8,1.2625268552902156,0.013698630136986262
2018-01-04,ZC1805,614.2,626.4,614.2,624.0,109317.0,6786399359.999999,623.8,11,624.0,9,115927.0,620.8,613.2,1.2625268552902156,0.019551282051281944
2018-01-05,ZC1805,626.6,630.8,624.8,628.2,92240.0,5792672000.0,627.8,11,628.0,2,118936.0,628.0,624.0,1.2625268552902156,0.009551098376313275
2018-01-08,ZC1805,628.0,634.0,623.2,632.6,112454.0,7075605680.000001,632.0,229,632.6,12,123009.0,629.2,628.2,1.2625268552902156,0.017072399620613268
2018-01-09,ZC1805,633.8,634.0,627.6,630.6,48087.0,3030442740.0,630.2,26,630.6,25,117565.0,630.2,632.6,1.2625268552902156,0.010149064383127144
2018-01-10,ZC1805,630.8,639.2,629.6,637.4,98554.0,6258179000.0,637.4,37,637.8,2,130816.0,635.0,630.6,1.2625268552902156,0.015061186068402923
2018-01-11,ZC1805,638.4,640.8,632.0,636.0,78013.0,4961626800.0,635.8,67,636.0,3,125388.0,636.0,637.4,1.2625268552902156,0.013836477987421313
2018-01-12,ZC1805,635.0,636.2,631.2,632.0,64650.0,4097517000.0,631.8,30,632.0,42,127731.0,633.8,636.0,1.2625268552902156,0.007911392405063292
2018-01-15,ZC1805,632.4,635.6,625.6,629.8,89923.0,5668745920.0,629.8,19,630.0,30,122919.0,630.4,632.0,1.2625268552902156,0.015878056525881232
2018-01-16,ZC1805,630.2,638.6,629.4,633.4,118042.0,7488584480.0,633.4,1,633.6,32,131163.0,634.4,629.8,1.2625268552902156,0.014524786864540647
2018-01-17,ZC1805,633.8,637.2,630.2,635.6,106956.0,6781010400.0,635.4,20,635.6,30,135584.0,634.0,633.4,1.2625268552902156,0.011013215859030836
2018-01-18,ZC1805,635.8,650.0,635.4,646.2,167408.0,10794467840.0,646.2,7,646.6,184,158700.0,644.8,635.6,1.2625268552902156,0.02259362426493349
2018-01-19,ZC1805,647.4,649.2,641.8,646.0,138170.0,8909201600.0,645.6,9,646.0,51,160018.0,644.8,646.2,1.2625268552902156,0.011455108359133269
2018-01-22,ZC1805,646.0,656.6,643.4,655.6,158088.0,10294690560.0,655.6,67,655.8,107,183595.0,651.2,646.0,1.2625268552902156,0.02013422818791953
2018-01-23,ZC1805,656.8,658.0,653.4,656.8,117520.0,7704611200.0,656.6,63,656.8,12,190973.0,655.6,655.6,1.2625268552902156,0.007003654080389804
2018-01-24,ZC1805,656.6,665.2,654.0,665.0,132390.0,8729796600.0,665.0,2,665.2,235,207557.0,659.4,656.8,1.2625268552902156,0.016842105263157964
2018-01-25,ZC1805,665.4,673.4,664.2,668.4,178198.0,11917882240.0,668.2,69,668.4,46,213953.0,668.8,665.0,1.2625268552902156,0.01376421304608009
2018-01-26,ZC1805,668.8,674.2,665.6,673.0,121305.0,8125008900.0,672.8,56,673.0,46,226201.0,669.8,668.4,1.2625268552902156,0.012778603268945057
2018-01-29,ZC1805,673.0,679.8,670.4,678.8,140370.0,9489012000.0,678.6,159,678.8,6,240197.0,676.0,673.0,1.2625268552902156,0.013847967000589243
2018-01-30,ZC1805,678.0,678.6,662.2,666.8,235306.0,15723146920.000002,666.6,55,666.8,4,219319.0,668.2,678.8,1.2625268552902156,0.024595080983803207
2018-01-31,ZC1805,667.2,670.6,659.6,664.4,163495.0,10869147600.0,664.2,68,664.4,18,215060.0,664.8,666.8,1.2625268552902156,0.016556291390728478
2018-02-01,ZC1805,663.2,667.6,661.8,666.0,107178.0,7123049880.0,666.0,31,666.4,94,223331.0,664.6,664.4,1.2625268552902156,0.008708708708708811
2018-02-02,ZC1805,667.2,673.8,657.4,660.4,225854.0,15068978880.000002,660.2,4,660.4,3,216810.0,667.2,666.0,1.2625268552902156,0.024833434282253146
2018-02-05,ZC1805,661.0,665.4,655.0,664.2,183832.0,12140265280.0,664.0,51,664.2,58,210194.0,660.4,660.4,1.2625268552902156,0.015657934357121314
2018-02-06,ZC1805,662.6,664.4,656.0,657.4,148583.0,9803506340.0,657.4,4,657.6,79,197756.0,659.8,664.2,1.2625268552902156,0.012777608761788831
2018-02-07,ZC1805,657.0,661.2,650.8,653.6,121980.0,8009206800.0,653.4,43,653.6,14,184825.0,656.6,657.4,1.2625268552902156,0.0159118727050185
2018-02-08,ZC1805,652.6,654.6,645.0,646.4,131720.0,8551262400.0,646.2,39,646.4,19,175563.0,649.2,653.6,1.2625268552902156,0.014851485148514887
2018-02-09,ZC1805,646.0,654.4,646.0,648.4,145228.0,9454342800.0,648.4,9,648.6,5,164429.0,651.0,646.4,1.2625268552902156,0.012954966070326925
2018-02-12,ZC1805,647.0,649.4,633.8,634.4,177548.0,11380826800.0,634.4,7,634.6,5,157074.0,641.0,648.4,1.2625268552902156,0.024590163934426267
2018-02-13,ZC1805,635.8,638.6,631.6,636.0,108442.0,6883898159.999999,635.8,92,636.0,8,151464.0,634.8,634.4,1.2625268552902156,0.0110062893081761
2018-02-14,ZC1805,636.8,645.6,635.2,643.2,92324.0,5921661360.0,643.2,5,643.8,3,144201.0,641.4,636.0,1.2625268552902156,0.016169154228855686
2018-02-22,ZC1805,641.2,655.8,640.8,655.0,99112.0,6444262240.000001,654.6,19,654.8,40,157405.0,650.2,643.2,1.2625268552902156,0.022900763358778626
2018-02-23,ZC1805,654.0,656.6,645.6,651.2,145014.0,9434610840.0,651.2,34,651.6,39,169006.0,650.6,655.0,1.2625268552902156,0.01689189189189189
2018-02-26,ZC1805,650.2,652.2,636.4,641.6,162485.0,10457534600.0,641.4,91,641.8,135,171295.0,643.6,651.2,1.2625268552902156,0.024625935162094867
2018-02-27,ZC1805,640.0,642.8,638.2,640.2,96715.0,6193628600.0,640.2,97,640.4,9,170354.0,640.4,641.6,1.2625268552902156,0.007185254607934878
2018-02-28,ZC1805,638.2,642.2,634.6,636.6,128952.0,8224558559.999999,636.6,120,637.0,3,174594.0,637.8,640.2,1.2625268552902156,0.011938422871504905
2018-03-01,ZC1805,634.6,638.0,626.6,632.8,141433.0,8958366220.0,632.6,52,632.8,24,181312.0,633.4,636.6,1.2625268552902156,0.018015170670037894
2018-03-02,ZC1805,632.0,634.4,629.0,632.4,91647.0,5790257459.999999,632.2,38,632.4,1,176611.0,631.8,632.8,1.2625268552902156,0.008538899430740002
2018-03-05,ZC1805,632.2,635.0,623.0,624.2,150981.0,9484626420.0,624.2,6,624.4,76,186134.0,628.2,632.4,1.2625268552902156,0.019224607497596923
2018-03-06,ZC1805,624.8,626.6,620.0,621.6,106267.0,6626810120.0,621.6,64,621.8,7,183380.0,623.6,624.2,1.2625268552902156,0.010617760617760654
2018-03-07,ZC1805,622.6,623.4,618.6,620.4,89493.0,5552145720.0,620.4,18,620.6,4,189050.0,620.4,621.6,1.2625268552902156,0.0077369439071566
2018-03-08,ZC1805,620.0,624.6,615.0,622.4,140102.0,8714344400.0,622.4,92,622.6,18,194800.0,622.0,620.4,1.2625268552902156,0.015424164524421632
2018-03-09,ZC1805,621.0,624.8,611.6,613.4,179599.0,11117178100.0,613.2,30,613.4,12,190447.0,619.0,622.4,1.2625268552902156,0.021519400065210192
2018-03-12,ZC1805,614.0,616.0,607.0,607.6,123274.0,7534506880.000001,607.4,16,607.6,16,191740.0,611.2,613.4,1.2625268552902156,0.014812376563528637
2018-03-13,ZC1805,608.0,610.4,605.2,607.4,82975.0,5041561000.0,607.4,52,607.6,54,193634.0,607.6,607.6,1.2625268552902156,0.00856108001317078
2018-03-14,ZC1805,607.2,615.4,606.2,610.0,112115.0,6836772700.0,610.0,169,610.2,42,190698.0,609.8,607.4,1.2625268552902156,0.015081967213114642
2018-03-15,ZC1805,609.6,614.2,608.0,612.4,97813.0,5980286820.0,612.2,91,612.4,4,186632.0,611.4,610.0,1.2625268552902156,0.01012410189418688
2018-03-16,ZC1805,613.4,613.6,608.6,610.0,76573.0,4678610300.0,609.8,14,610.0,5,184765.0,611.0,612.4,1.2625268552902156,0.00819672131147541
2018-03-19,ZC1805,610.2,611.6,597.8,599.6,151585.0,9146638900.0,599.2,52,599.4,1,183433.0,603.4,610.0,1.2625268552902156,0.02301534356237503
2018-03-20,ZC1805,599.0,600.2,587.8,591.4,146842.0,8710667440.0,591.4,196,591.6,10,178107.0,593.2,599.6,1.2625268552902156,0.020967196482922036
2018-03-21,ZC1805,591.6,595.4,584.6,587.4,122241.0,7217108639.999999,587.6,1,587.8,13,176021.0,590.4,591.4,1.2625268552902156,0.018386108273748647
2018-03-22,ZC1805,588.6,591.8,586.2,586.6,86453.0,5088623580.0,586.6,79,586.8,15,174743.0,588.6,587.4,1.2625268552902156,0.009546539379474785
2018-03-23,ZC1805,585.6,586.2,562.2,574.2,231481.0,13347194460.0,574.2,25,574.4,2,159439.0,576.6,586.6,1.2625268552902156,0.041797283176593515
2018-03-26,ZC1805,576.4,597.8,575.0,584.4,248349.0,14578086300.0,584.2,16,584.4,16,146435.0,587.0,574.2,1.2625268552902156,0.03901437371663237
2018-03-27,ZC1805,581.6,588.2,575.2,580.8,146306.0,8494526360.000001,580.8,138,581.0,25,147264.0,580.6,584.4,1.2625268552902156,0.022382920110192838
2018-03-28,ZC1805,582.8,582.8,571.6,575.4,117252.0,6746680080.0,575.4,43,575.6,27,142737.0,575.4,580.8,1.2625268552902156,0.019464720194647085
2018-03-29,ZC1805,574.6,577.8,570.2,577.2,88956.0,5104295280.0,577.2,29,577.6,32,138228.0,573.8,575.4,1.2625268552902156,0.013167013167013008
2018-03-30,ZC1805,578.4,582.2,575.2,579.6,77982.0,4507359600.0,579.4,71,579.6,21,133899.0,578.0,577.2,1.2625268552902156,0.012077294685990338
2018-04-02,ZC1805,577.2,584.4,563.6,571.6,185562.0,10643836320.0,571.6,11,571.8,66,136030.0,573.6,579.6,1.2625268552902156,0.036389083275017414
2018-04-03,ZC1805,569.4,570.8,562.0,564.2,105955.0,5999172100.000001,564.2,21,564.4,111,135380.0,566.2,571.6,1.2625268552902156,0.015597305919886484
2018-04-04,ZC1805,562.2,567.8,562.2,563.6,71073.0,4017045960.0,563.6,3,563.8,161,126708.0,565.2,564.2,1.2625268552902156,0.009936124911284438
2018-04-09,ZC1805,560.2,562.0,554.4,561.8,56965.0,3184343500.0,561.8,5,562.0,374,121766.0,559.0,563.6,1.2625268552902156,0.01352794588821649
2018-04-10,ZC1805,560.2,564.4,558.2,558.6,68296.0,3838235200.0,558.4,1,558.6,11,122393.0,562.0,561.8,1.2625268552902156,0.011099176512710225
2018-04-11,ZC1805,559.6,560.6,555.4,556.8,73774.0,4115113720.0,556.8,20,557.0,1,109607.0,557.8,558.6,1.2625268552902156,0.009339080459770197
2018-04-12,ZC1805,557.2,560.0,555.6,557.8,55642.0,3101485079.9999995,557.6,160,557.8,9,93067.0,557.4,556.8,1.2625268552902156,0.007888131946934345
2018-04-13,ZC1809,555.8,558.0,549.4,556.4,122714.0,6795901319.999999,556.2,5,556.4,23,127983.0,553.8,555.8,1.2670699530062652,0.01545650611071176
2018-04-16,ZC1809,559.6,578.8,558.0,570.0,261234.0,14895562680.000002,569.6,26,569.8,5,129736.0,570.2,556.4,1.2670699530062652,0.03649122807017536
2018-04-17,ZC1809,571.4,588.4,570.2,585.8,214760.0,12468965600.0,585.0,1,585.4,1,141834.0,580.6,570.0,1.2670699530062652,0.031068624103789574
2018-04-18,ZC1809,586.6,594.2,585.0,591.8,165079.0,9733057840.0,591.8,6,592.0,218,145034.0,589.6,585.8,1.2670699530062652,0.015545792497465438
2018-04-19,ZC1809,593.4,595.6,584.4,591.6,206170.0,12147536400.000002,591.4,13,591.6,2,146657.0,589.2,591.8,1.2670699530062652,0.01893171061528067
2018-04-20,ZC1809,590.2,591.6,585.6,587.6,126726.0,7454023320.0,587.2,29,587.6,3,146971.0,588.2,591.6,1.2670699530062652,0.010211027910142953
2018-04-23,ZC1809,588.0,605.8,581.4,603.6,222888.0,13212800640.0,603.4,9,603.6,55,159838.0,592.8,587.6,1.2670699530062652,0.04042412193505629
2018-04-24,ZC1809,600.0,607.6,598.6,604.8,157741.0,9524401580.0,604.8,78,605.0,112,161148.0,603.8,603.6,1.2670699530062652,0.014880952380952382
2018-04-25,ZC1809,599.6,603.0,591.0,593.6,218112.0,12995112960.0,593.6,12,593.8,1,162232.0,595.8,604.8,1.2670699530062652,0.02021563342318059
2018-04-26,ZC1809,592.2,599.6,589.2,593.8,162145.0,9618441400.0,593.6,66,593.8,54,156015.0,593.2,593.6,1.2670699530062652,0.01751431458403499
2018-04-27,ZC1809,593.0,600.6,591.6,597.6,144638.0,8620424800.0,597.6,18,597.8,3,151633.0,596.0,593.8,1.2670699530062652,0.015060240963855422
2018-05-02,ZC1809,596.2,598.2,588.0,596.6,92235.0,5469535500.0,596.4,20,596.6,112,151506.0,593.0,597.6,1.2670699530062652,0.017096882333221666
2018-05-03,ZC1809,593.6,599.0,592.2,594.4,112467.0,6694035840.000001,594.4,309,594.6,12,158716.0,595.2,596.6,1.2670699530062652,0.01144010767160154
2018-05-04,ZC1809,596.0,604.4,593.0,602.4,177181.0,10613141900.0,602.4,16,602.6,3,175451.0,599.0,594.4,1.2670699530062652,0.018924302788844584
2018-05-07,ZC1809,601.8,616.8,601.4,613.2,214755.0,13108645200.0,613.0,179,613.2,7,187828.0,610.4,602.4,1.2670699530062652,0.025114155251141513
2018-05-08,ZC1809,614.0,615.2,606.8,607.2,168497.0,10291796760.0,607.0,208,607.2,14,185586.0,610.8,613.2,1.2670699530062652,0.01383399209486181
2018-05-09,ZC1809,605.2,606.6,599.0,600.2,164465.0,9920528800.000002,600.2,26,600.4,66,175063.0,603.2,607.2,1.2670699530062652,0.01266244585138291
2018-05-10,ZC1809,601.0,612.6,600.4,611.8,154632.0,9383069760.0,611.6,27,611.8,1,182160.0,606.8,600.2,1.2670699530062652,0.019941157240928483
