time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,A2105,5800,5841,5713,5741,119935.0,6907056650.0,5740,3,5741,31,88478.0,5759,5774.0,0.7232048692267226,128
2021-01-05,A2105,5723,5798,5655,5781,182386.0,10450717800.0,5779,3,5781,15,87236.0,5730,5741.0,0.7232048692267226,143
2021-01-06,A2105,5790,5850,5755,5846,172443.0,10010316150.0,5847,1,5848,1,94177.0,5805,5781.0,0.7232048692267226,95
2021-01-07,A2105,5848,5873,5805,5832,107238.0,6257337300.0,5831,107,5833,124,89206.0,5835,5846.0,0.7232048692267226,68
2021-01-08,A2105,5832,5896,5815,5841,138818.0,8116688460.0,5840,181,5841,22,89243.0,5847,5832.0,0.7232048692267226,81
2021-01-11,A2105,5853,5987,5827,5954,196966.0,11666296180.0,5948,2,5954,2,93768.0,5923,5841.0,0.7232048692267226,160
2021-01-12,A2105,5954,5964,5829,5861,157950.0,9281142000.0,5860,2,5862,3,90417.0,5876,5954.0,0.7232048692267226,135
2021-01-13,A2105,5871,5985,5809,5840,173902.0,10232393680.0,5843,1,5844,2,90216.0,5884,5861.0,0.7232048692267226,176
2021-01-14,A2105,5850,5859,5632,5655,257711.0,14710143880.0,5654,1,5668,1,91297.0,5708,5840.0,0.7232048692267226,227
2021-01-15,A2105,5648,5800,5648,5691,138090.0,7868368200.0,5689,13,5691,2,86906.0,5698,5655.0,0.7232048692267226,152
2021-01-18,A2105,5691,5783,5636,5769,165584.0,9482995680.0,5767,1,5770,31,83881.0,5727,5691.0,0.7232048692267226,147
2021-01-19,A2105,5770,5836,5763,5802,153753.0,8917674000.0,5802,3,5805,15,90165.0,5800,5769.0,0.7232048692267226,73
2021-01-20,A2105,5802,5817,5617,5672,211502.0,12074649180.0,5672,18,5674,2,91972.0,5709,5802.0,0.7232048692267226,200
2021-01-21,A2105,5653,5815,5650,5808,198094.0,11384462180.0,5808,1,5809,1,89432.0,5747,5672.0,0.7232048692267226,165
2021-01-22,A2105,5815,5819,5713,5749,161408.0,9301943040.0,5749,1,5750,13,84428.0,5763,5808.0,0.7232048692267226,106
2021-01-25,A2105,5743,5745,5582,5600,209208.0,11832804480.0,5601,1,5604,7,92485.0,5656,5749.0,0.7232048692267226,163
2021-01-26,A2105,5600,5708,5596,5639,131206.0,7406578700.0,5638,1,5639,41,86551.0,5645,5600.0,0.7232048692267226,112
2021-01-27,A2105,5656,5699,5640,5658,129978.0,7360654140.0,5657,1,5658,44,84695.0,5663,5639.0,0.7232048692267226,59
2021-01-28,A2105,5677,5726,5583,5673,197761.0,11195250210.0,5673,2,5674,2,80182.0,5661,5658.0,0.7232048692267226,143
2021-01-29,A2105,5692,5731,5606,5717,190225.0,10780050750.0,5715,2,5718,4,84278.0,5667,5673.0,0.7232048692267226,125
2021-02-01,A2105,5711,5751,5617,5629,186877.0,10614613600.0,5626,32,5629,43,87437.0,5680,5717.0,0.7232048692267226,134
2021-02-02,A2105,5629,5646,5550,5556,165068.0,9242157320.0,5555,11,5556,1,103231.0,5599,5629.0,0.7232048692267226,96
2021-02-03,A2105,5550,5596,5457,5584,218109.0,12050522250.0,5584,53,5585,11,98809.0,5525,5556.0,0.7232048692267226,139
2021-02-04,A2105,5584,5646,5550,5643,165586.0,9256257400.0,5640,1,5643,54,88178.0,5590,5584.0,0.7232048692267226,96
2021-02-05,A2105,5643,5802,5638,5800,195169.0,11179280320.0,5799,4,5801,16,87834.0,5728,5643.0,0.7232048692267226,164
2021-02-08,A2105,5800,5803,5750,5783,121745.0,7038078450.0,5783,6,5788,11,82230.0,5781,5800.0,0.7232048692267226,53
2021-02-09,A2105,5800,5906,5750,5879,165201.0,9654346440.0,5880,1,5881,165,83356.0,5844,5783.0,0.7232048692267226,156
2021-02-10,A2105,5873,5879,5800,5829,109808.0,6410591040.0,5827,1,5828,4,72658.0,5838,5879.0,0.7232048692267226,79
2021-02-18,A2105,5806,5939,5802,5890,101699.0,5964646350.0,5889,14,5891,1,76632.0,5865,5829.0,0.7232048692267226,137
2021-02-19,A2105,5889,5932,5836,5930,112370.0,6623087800.0,5930,1,5931,7,83830.0,5894,5890.0,0.7232048692267226,96
2021-02-22,A2105,5940,5966,5816,5878,159786.0,9416188980.0,5878,3,5880,4,79351.0,5893,5930.0,0.7232048692267226,150
2021-02-23,A2105,5856,5999,5854,5937,189502.0,11207148280.0,5937,8,5938,7,84021.0,5914,5878.0,0.7232048692267226,145
2021-02-24,A2105,5937,6021,5925,5985,154646.0,9241644960.0,5975,12,5985,9,92393.0,5976,5937.0,0.7232048692267226,96
2021-02-25,A2105,5985,6028,5950,5989,122040.0,7305314400.0,5989,31,5990,42,91310.0,5986,5985.0,0.7232048692267226,78
2021-02-26,A2105,5994,6019,5852,5873,192665.0,11392281450.0,5873,5,5874,1,84475.0,5913,5989.0,0.7232048692267226,167
2021-03-01,A2105,5873,6058,5863,6038,190162.0,11392605420.0,6038,1,6039,1,97591.0,5991,5873.0,0.7232048692267226,195
2021-03-02,A2105,6038,6096,5984,6084,191163.0,11551980090.0,6084,3,6085,2,109767.0,6043,6038.0,0.7232048692267226,112
2021-03-03,A2105,6084,6281,6084,6249,253685.0,15743691100.0,6248,3,6249,1,128810.0,6206,6084.0,0.7232048692267226,197
2021-03-04,A2105,6249,6316,6207,6269,190075.0,11889191250.0,6267,11,6269,50,127207.0,6255,6249.0,0.7232048692267226,109
2021-03-05,A2105,6279,6335,6236,6293,204626.0,12860744100.0,6287,12,6293,33,130604.0,6285,6269.0,0.7232048692267226,99
2021-03-08,A2105,6300,6375,6155,6200,293458.0,18355797900.0,6200,80,6202,1,103356.0,6255,6293.0,0.7232048692267226,220
2021-03-09,A2105,6200,6210,6102,6141,155802.0,9594287160.0,6142,50,6144,1,90847.0,6158,6200.0,0.7232048692267226,108
2021-03-10,A2105,6141,6203,6070,6138,164662.0,10115186660.0,6139,7,6141,1,86762.0,6143,6141.0,0.7232048692267226,133
2021-03-11,A2105,6130,6175,6034,6130,184107.0,11230527000.0,6129,1,6133,1,83810.0,6100,6138.0,0.7232048692267226,141
2021-03-12,A2105,6133,6155,6042,6122,144397.0,8819768760.0,6120,30,6124,51,84262.0,6108,6130.0,0.7232048692267226,113
2021-03-15,A2105,6108,6122,5916,5956,205296.0,12315707040.0,5956,21,5957,51,80717.0,5999,6122.0,0.7232048692267226,206
2021-03-16,A2105,5946,6001,5872,5882,146297.0,8657856460.0,5879,1,5882,31,76945.0,5918,5956.0,0.7232048692267226,129
2021-03-17,A2105,5882,5911,5805,5831,145291.0,8486447310.0,5829,4,5832,37,83798.0,5841,5882.0,0.7232048692267226,106
2021-03-18,A2105,5817,5821,5646,5666,198810.0,11383860600.0,5665,5,5666,5,98732.0,5726,5831.0,0.7232048692267226,175
2021-03-19,A2105,5654,5772,5618,5683,229989.0,13123172340.0,5681,1,5684,12,89533.0,5706,5666.0,0.7232048692267226,154
2021-03-22,A2105,5686,5758,5665,5696,105677.0,6035213470.0,5696,14,5698,1,89955.0,5711,5683.0,0.7232048692267226,93
2021-03-23,A2105,5696,5814,5646,5787,155646.0,8951201460.0,5785,27,5787,5,85829.0,5751,5696.0,0.7232048692267226,168
2021-03-24,A2105,5770,5896,5760,5876,166727.0,9738524070.0,5874,1,5876,1,81010.0,5841,5787.0,0.7232048692267226,136
2021-03-25,A2105,5886,5896,5783,5802,156104.0,9099302160.0,5802,106,5803,22,84913.0,5829,5876.0,0.7232048692267226,113
2021-03-26,A2105,5802,5805,5535,5640,273022.0,15461235860.0,5637,1,5640,64,96565.0,5663,5802.0,0.7232048692267226,270
2021-03-29,A2105,5640,5688,5595,5671,125284.0,7064764760.0,5670,5,5671,1,94427.0,5639,5640.0,0.7232048692267226,93
2021-03-30,A2105,5669,5718,5623,5706,152420.0,8662028600.0,5705,8,5712,8,91658.0,5683,5671.0,0.7232048692267226,95
2021-03-31,A2105,5706,5775,5625,5732,213464.0,12175986560.0,5731,1,5733,17,83854.0,5704,5706.0,0.7232048692267226,150
2021-04-01,A2105,5741,6000,5730,5780,224335.0,13051810300.0,5778,3,5780,10,75372.0,5818,5732.0,0.7232048692267226,270
2021-04-02,A2105,5745,5803,5733,5766,118784.0,6846709760.0,5766,12,5769,76,69117.0,5764,5780.0,0.7232048692267226,70
2021-04-06,A2105,5746,5793,5596,5632,147851.0,8352102990.0,5630,3,5632,99,71741.0,5649,5766.0,0.7232048692267226,197
2021-04-07,A2105,5697,5699,5610,5628,96508.0,5443051200.0,5628,10,5631,3,75457.0,5640,5632.0,0.7232048692267226,89
2021-04-08,A2105,5628,5655,5564,5619,149269.0,8381454350.0,5617,178,5619,7,75573.0,5615,5628.0,0.7232048692267226,91
2021-04-09,A2105,5589,5623,5523,5560,140060.0,7819549800.0,5552,1,5557,1,92916.0,5583,5619.0,0.7232048692267226,100
2021-04-12,A2105,5560,5600,5436,5579,213655.0,11810848400.0,5576,60,5578,1,87546.0,5528,5560.0,0.7232048692267226,164
2021-04-13,A2105,5579,5770,5505,5763,234905.0,13272132500.0,5763,5,5764,10,70022.0,5650,5579.0,0.7232048692267226,265
2021-04-14,A2105,5768,5840,5705,5833,137582.0,7937105580.0,5831,7,5833,71,59791.0,5769,5763.0,0.7232048692267226,135
2021-04-15,A2105,5828,5875,5795,5866,112641.0,6574855170.0,5866,184,5870,1,57869.0,5837,5833.0,0.7232048692267226,80
2021-04-16,A2105,5880,5922,5830,5893,118106.0,6944632800.0,5891,5,5897,1,51517.0,5880,5866.0,0.7232048692267226,92
2021-04-19,A2105,5893,5929,5744,5801,147583.0,8577523960.0,5800,5,5805,17,48657.0,5812,5893.0,0.7232048692267226,185
2021-04-20,A2105,5795,5874,5678,5736,127754.0,7375238420.0,5732,3,5736,9,39412.0,5773,5801.0,0.7232048692267226,196
2021-04-21,A2105,5735,5832,5691,5712,83305.0,4792536650.0,5714,1,5715,26,34076.0,5753,5736.0,0.7232048692267226,141
2021-04-22,A2109,5756,5977,5729,5949,185349.0,10894814220.0,5949,1,5951,20,76456.0,5878,5771.0,0.7158111615011331,248
2021-04-23,A2109,5950,6029,5902,5990,163328.0,9763747840.0,5989,1,5990,14,85624.0,5978,5949.0,0.7158111615011331,127
2021-04-26,A2109,6025,6124,5938,5963,215020.0,12922702000.0,5962,37,5963,1,82301.0,6010,5990.0,0.7158111615011331,186
2021-04-27,A2109,5980,5997,5904,5928,146648.0,8735821360.0,5927,55,5928,12,82925.0,5957,5963.0,0.7158111615011331,93
2021-04-28,A2109,5950,5956,5848,5923,122528.0,7235278400.0,5921,1,5923,4,81244.0,5905,5928.0,0.7158111615011331,108
2021-04-29,A2109,5928,5972,5854,5904,156932.0,9260557320.0,5903,12,5906,1,77996.0,5901,5923.0,0.7158111615011331,118
2021-04-30,A2109,5904,5927,5802,5809,155764.0,9093502320.0,5809,11,5810,18,80098.0,5838,5904.0,0.7158111615011331,125
2021-05-06,A2109,5850,6073,5850,6053,151360.0,9024083200.0,6054,10,6055,5,84449.0,5962,5809.0,0.7158111615011331,223
2021-05-07,A2109,6055,6120,6041,6086,133213.0,8094021880.0,6086,23,6088,57,89304.0,6076,6053.0,0.7158111615011331,79
2021-05-10,A2109,6118,6197,6076,6103,196119.0,12037784220.0,6100,2,6102,35,85874.0,6138,6086.0,0.7158111615011331,121
2021-05-11,A2109,6120,6195,6076,6163,135449.0,8313859620.0,6161,17,6163,42,92760.0,6138,6103.0,0.7158111615011331,119
2021-05-12,A2109,6163,6272,6154,6266,169164.0,10530459000.0,6266,1,6267,10,106784.0,6225,6163.0,0.7158111615011331,118
2021-05-13,A2109,6263,6292,6140,6244,198616.0,12373776800.0,6244,13,6245,3,103139.0,6230,6266.0,0.7158111615011331,152
2021-05-14,A2109,6233,6246,6101,6196,214818.0,13256418780.0,6195,4,6197,49,99869.0,6171,6244.0,0.7158111615011331,145
2021-05-17,A2109,6230,6269,6160,6206,187697.0,11655983700.0,6206,13,6207,20,103318.0,6210,6196.0,0.7158111615011331,109
2021-05-18,A2109,6206,6232,6181,6192,123370.0,7651407400.0,6190,1,6192,11,103268.0,6202,6206.0,0.7158111615011331,51
2021-05-19,A2109,6192,6198,6091,6103,152693.0,9367715550.0,6103,35,6106,51,102062.0,6135,6192.0,0.7158111615011331,107
2021-05-20,A2109,6082,6086,5934,5978,197527.0,11829892030.0,5977,3,5978,39,100025.0,5989,6103.0,0.7158111615011331,152
2021-05-21,A2109,5958,5978,5880,5913,165297.0,9813682890.0,5907,8,5913,55,96217.0,5937,5978.0,0.7158111615011331,98
2021-05-24,A2109,5913,5932,5824,5864,155660.0,9154364600.0,5864,18,5866,25,96757.0,5881,5913.0,0.7158111615011331,108
2021-05-25,A2109,5834,5985,5827,5852,205046.0,12103865380.0,5850,3,5852,27,105344.0,5903,5864.0,0.7158111615011331,158
2021-05-26,A2109,5831,5848,5707,5715,188232.0,10887338880.0,5713,6,5715,4,118445.0,5784,5852.0,0.7158111615011331,141
2021-05-27,A2109,5700,5764,5651,5673,157350.0,8979964500.0,5673,27,5676,3,123202.0,5707,5715.0,0.7158111615011331,113
2021-05-28,A2109,5673,5795,5660,5701,157775.0,9040507500.0,5699,30,5700,19,120546.0,5730,5673.0,0.7158111615011331,135
2021-05-31,A2109,5670,5789,5637,5700,216990.0,12405318300.0,5700,2,5702,6,123560.0,5717,5701.0,0.7158111615011331,152
2021-06-01,A2109,5700,5797,5676,5786,167778.0,9635490540.0,5782,3,5787,51,118466.0,5743,5700.0,0.7158111615011331,121
2021-06-02,A2109,5801,5876,5791,5850,154149.0,9000760110.0,5848,1,5850,25,109250.0,5839,5786.0,0.7158111615011331,85
2021-06-03,A2109,5850,5940,5847,5882,166675.0,9817157500.0,5882,2,5883,48,101463.0,5890,5850.0,0.7158111615011331,93
2021-06-04,A2109,5882,5913,5755,5879,186823.0,10931013730.0,5878,4,5879,17,96342.0,5851,5882.0,0.7158111615011331,158
2021-06-07,A2109,5900,5945,5864,5909,147192.0,8685799920.0,5908,134,5909,5,92774.0,5901,5879.0,0.7158111615011331,81
2021-06-08,A2109,5910,5927,5781,5828,176645.0,10316068000.0,5828,46,5829,9,98693.0,5840,5909.0,0.7158111615011331,146
2021-06-09,A2109,5828,5866,5770,5783,142075.0,8257399000.0,5782,5,5783,8,106186.0,5812,5828.0,0.7158111615011331,96
2021-06-10,A2109,5752,5784,5696,5710,181076.0,10384708600.0,5709,71,5710,14,120626.0,5735,5783.0,0.7158111615011331,88
2021-06-11,A2109,5700,5739,5673,5712,158111.0,9017070330.0,5709,1,5712,6,126793.0,5703,5710.0,0.7158111615011331,66
2021-06-15,A2109,5625,5677,5504,5633,215315.0,12012423850.0,5632,1,5634,7,135141.0,5579,5712.0,0.7158111615011331,173
2021-06-16,A2109,5655,5656,5573,5594,141932.0,7952449960.0,5594,7,5595,1,140092.0,5603,5633.0,0.7158111615011331,83
2021-06-17,A2109,5600,5690,5557,5674,182516.0,10268350160.0,5673,8,5674,41,131707.0,5626,5594.0,0.7158111615011331,133
