time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,AG2102,5680,5761,5661,5705,532691.0,45640964880.0,5704,4,5705,191,254240.0,5712,5586.0,0.7380337010779814,100
2021-01-05,AG2102,5718,5790,5621,5728,1203318.0,103316883480.0,5727,40,5728,13,241784.0,5724,5705.0,0.7380337010779814,169
2021-01-06,AG2102,5743,5768,5681,5708,820975.0,70464284250.0,5707,2,5708,1,231961.0,5722,5728.0,0.7380337010779814,87
2021-01-07,AG2102,5700,5725,5551,5678,1256750.0,106302198750.0,5678,87,5679,41,220279.0,5639,5708.0,0.7380337010779814,174
2021-01-08,AG2102,5658,5683,5590,5607,835794.0,70695635490.0,5608,1,5609,6,208888.0,5639,5678.0,0.7380337010779814,93
2021-01-11,AG2102,5521,5544,5075,5123,2075594.0,164854053450.0,5123,12,5124,6,186499.0,5295,5607.0,0.7380337010779814,469
2021-01-12,AG2102,5125,5265,5051,5247,1262848.0,97820206080.0,5246,26,5247,18,170900.0,5164,5123.0,0.7380337010779814,214
2021-01-13,AG2102,5235,5282,5174,5248,853838.0,66906745680.0,5249,20,5250,51,163547.0,5224,5247.0,0.7380337010779814,108
2021-01-14,AG2102,5202,5263,5162,5200,751347.0,58841740305.0,5200,3,5202,136,155614.0,5221,5248.0,0.7380337010779814,101
2021-01-15,AG2102,5220,5355,5204,5229,889094.0,70376235570.0,5228,1,5229,12,138498.0,5277,5200.0,0.7380337010779814,151
2021-01-18,AG2102,5226,5243,5069,5202,1198025.0,92403668250.0,5199,20,5202,31,129915.0,5142,5229.0,0.7380337010779814,174
2021-01-19,AG2102,5180,5274,5165,5224,525199.0,41060057820.0,5224,20,5225,8,122159.0,5212,5202.0,0.7380337010779814,109
2021-01-20,AG2102,5234,5295,5177,5281,651221.0,51117592395.0,5281,2,5282,24,117755.0,5233,5224.0,0.7380337010779814,118
2021-01-21,AG2102,5237,5392,5182,5362,867845.0,69006695175.0,5362,3,5364,12,113698.0,5301,5281.0,0.7380337010779814,210
2021-01-22,AG2102,5337,5361,5222,5270,598429.0,47646916980.0,5270,2,5271,45,102555.0,5308,5362.0,0.7380337010779814,139
2021-01-25,AG2102,5215,5315,5160,5257,593422.0,46731982500.0,5256,10,5257,1,92874.0,5250,5270.0,0.7380337010779814,155
2021-01-26,AG2102,5286,5328,5204,5222,514078.0,40545331860.0,5222,28,5224,4,87766.0,5258,5257.0,0.7380337010779814,124
2021-01-27,AG2106,5324,5361,5262,5295,680168.0,54257001360.0,5293,34,5295,1,396940.0,5318,5293.0,0.7281337591213336,99
2021-01-28,AG2106,5246,5330,5169,5243,1117733.0,88055005740.0,5243,8,5244,74,414656.0,5252,5295.0,0.7281337591213336,161
2021-01-29,AG2106,5283,5550,5263,5479,2118281.0,172692858525.0,5478,175,5481,17,437072.0,5435,5243.0,0.7281337591213336,287
2021-02-01,AG2106,5654,5949,5522,5939,2285710.0,195668204550.0,5939,37,5940,71,516568.0,5707,5479.0,0.7281337591213336,427
2021-02-02,AG2106,6049,6085,5804,5879,2532280.0,226005990000.0,5878,4,5879,78,497535.0,5950,5939.0,0.7281337591213336,281
2021-02-03,AG2106,5700,5756,5490,5590,2379612.0,200672679960.0,5590,8,5591,57,455446.0,5622,5879.0,0.7281337591213336,266
2021-02-04,AG2106,5607,5638,5446,5517,1385000.0,115592100000.0,5518,2,5519,107,455704.0,5564,5590.0,0.7281337591213336,192
2021-02-05,AG2106,5502,5533,5385,5467,1479420.0,120964776300.0,5466,155,5467,24,454447.0,5451,5517.0,0.7281337591213336,148
2021-02-08,AG2106,5475,5613,5441,5583,1280746.0,106487626170.0,5584,5,5585,254,450260.0,5543,5467.0,0.7281337591213336,172
2021-02-09,AG2106,5608,5678,5576,5636,805495.0,68084464875.0,5635,63,5636,178,440720.0,5635,5583.0,0.7281337591213336,102
2021-02-10,AG2106,5647,5688,5533,5607,878925.0,73882435500.0,5607,2,5608,51,416119.0,5604,5636.0,0.7281337591213336,155
2021-02-18,AG2106,5610,5662,5572,5599,337866.0,28446627870.0,5598,4,5599,29,425168.0,5613,5607.0,0.7281337591213336,90
2021-02-19,AG2106,5598,5650,5480,5542,1007046.0,84153798990.0,5541,55,5542,6,443967.0,5571,5599.0,0.7281337591213336,170
2021-02-22,AG2106,5576,5789,5574,5744,1270007.0,108776099550.0,5741,13,5743,21,486383.0,5710,5542.0,0.7281337591213336,215
2021-02-23,AG2106,5732,5908,5686,5859,1244271.0,108475545780.0,5858,32,5859,7,507234.0,5812,5744.0,0.7281337591213336,222
2021-02-24,AG2106,5830,5844,5691,5753,1141322.0,98712939780.0,5752,61,5753,13,484027.0,5766,5859.0,0.7281337591213336,153
2021-02-25,AG2106,5779,5888,5673,5811,1292160.0,111972124800.0,5809,48,5811,7,498236.0,5777,5753.0,0.7281337591213336,215
2021-02-26,AG2106,5811,5848,5534,5552,1549990.0,132826393050.0,5551,63,5552,36,460106.0,5713,5811.0,0.7281337591213336,314
2021-03-01,AG2106,5510,5598,5440,5573,1463999.0,121284997155.0,5572,6,5573,69,440822.0,5523,5552.0,0.7281337591213336,158
2021-03-02,AG2106,5551,5585,5351,5414,1098347.0,90366499425.0,5413,34,5414,1,440446.0,5485,5573.0,0.7281337591213336,234
2021-03-03,AG2106,5467,5559,5442,5517,866443.0,71390570985.0,5517,12,5520,65,426427.0,5493,5414.0,0.7281337591213336,117
2021-03-04,AG2106,5500,5504,5365,5381,1259863.0,102445759845.0,5380,39,5384,7,441301.0,5421,5517.0,0.7281337591213336,139
2021-03-05,AG2106,5393,5432,5161,5187,1546761.0,123315520725.0,5187,1,5189,20,462835.0,5315,5381.0,0.7281337591213336,271
2021-03-08,AG2106,5223,5399,5149,5316,1459478.0,115021461180.0,5316,94,5317,16,440274.0,5254,5187.0,0.7281337591213336,250
2021-03-09,AG2106,5259,5312,5193,5293,1056171.0,83300206770.0,5293,208,5294,96,446461.0,5258,5316.0,0.7281337591213336,119
2021-03-10,AG2106,5351,5450,5313,5360,1087909.0,87875849475.0,5356,11,5357,9,436235.0,5385,5293.0,0.7281337591213336,137
2021-03-11,AG2106,5362,5480,5350,5455,921485.0,74819974575.0,5454,6,5455,60,438464.0,5413,5360.0,0.7281337591213336,130
2021-03-12,AG2106,5456,5468,5319,5344,951411.0,77107104495.0,5342,32,5343,8,444977.0,5403,5455.0,0.7281337591213336,149
2021-03-15,AG2106,5330,5460,5273,5400,1040568.0,83630450160.0,5400,31,5401,13,429916.0,5358,5344.0,0.7281337591213336,187
2021-03-16,AG2106,5455,5488,5411,5430,763192.0,62368050240.0,5429,47,5430,9,431900.0,5448,5400.0,0.7281337591213336,77
2021-03-17,AG2106,5411,5442,5356,5412,768902.0,62246461410.0,5411,15,5412,5,429997.0,5397,5430.0,0.7281337591213336,86
2021-03-18,AG2106,5394,5560,5378,5558,884500.0,72586492500.0,5557,23,5558,104,480425.0,5471,5412.0,0.7281337591213336,182
2021-03-19,AG2106,5470,5485,5382,5446,1014501.0,82707194025.0,5447,2,5448,27,431354.0,5435,5558.0,0.7281337591213336,103
2021-03-22,AG2106,5457,5476,5303,5311,905415.0,73270708875.0,5311,8,5312,7,449775.0,5395,5446.0,0.7281337591213336,173
2021-03-23,AG2106,5310,5368,5290,5331,663828.0,53102920860.0,5331,33,5332,1,439532.0,5333,5311.0,0.7281337591213336,78
2021-03-24,AG2106,5332,5342,5188,5237,940748.0,73956904020.0,5237,1,5238,64,450706.0,5241,5331.0,0.7281337591213336,154
2021-03-25,AG2106,5260,5276,5197,5213,650970.0,51166242000.0,5212,11,5213,15,457027.0,5240,5237.0,0.7281337591213336,79
2021-03-26,AG2106,5109,5279,5090,5262,1222123.0,95490580605.0,5262,15,5263,25,437977.0,5209,5213.0,0.7281337591213336,189
2021-03-29,AG2106,5244,5246,5172,5200,767148.0,59987137860.0,5200,26,5201,4,442211.0,5213,5262.0,0.7281337591213336,74
2021-03-30,AG2106,5193,5228,5127,5138,851847.0,66073512555.0,5138,2,5141,5,454615.0,5171,5200.0,0.7281337591213336,101
