time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,AL2102,15430,15460,15180,15430,130932.0,10016298000.0,15430,38,15435,5,115841.0,15300,15460.0,0.818278397358733,280
2021-01-05,AL2102,15470,15570,15300,15370,151010.0,11669297750.0,15375,8,15380,11,116640.0,15455,15430.0,0.818278397358733,270
2021-01-06,AL2102,15425,15490,15275,15400,133705.0,10291942375.0,15400,7,15405,11,117458.0,15395,15370.0,0.818278397358733,215
2021-01-07,AL2102,15445,15460,15160,15320,162494.0,12434853350.0,15310,1,15320,10,115837.0,15305,15400.0,0.818278397358733,300
2021-01-08,AL2102,15285,15630,15210,15340,204489.0,15766101900.0,15335,1,15340,47,111591.0,15420,15320.0,0.818278397358733,420
2021-01-11,AL2102,15385,15415,14975,15010,194965.0,14778347000.0,15010,9,15030,113,110112.0,15160,15340.0,0.818278397358733,440
2021-01-12,AL2102,15070,15080,14770,14955,157396.0,11741741600.0,14925,33,14955,9,106166.0,14920,15010.0,0.818278397358733,310
2021-01-13,AL2102,14955,14995,14715,14755,147153.0,10929789075.0,14740,2,14755,27,107083.0,14855,14955.0,0.818278397358733,280
2021-01-14,AL2102,14725,14880,14600,14795,135802.0,9995027200.0,14785,10,14795,28,103423.0,14720,14755.0,0.818278397358733,280
2021-01-15,AL2102,14830,14970,14715,14865,112849.0,8384680700.0,14860,32,14865,8,100388.0,14860,14795.0,0.818278397358733,255
2021-01-18,AL2103,14800,15045,14750,14940,157664.0,11769617600.0,14930,2,14940,3,144865.0,14930,14875.0,0.8177282942344583,295
2021-01-19,AL2103,14925,14970,14720,14745,160403.0,11889872375.0,14745,22,14755,2,147752.0,14825,14940.0,0.8177282942344583,250
2021-01-20,AL2103,14745,14865,14635,14805,159445.0,11739138125.0,14800,2,14805,21,152232.0,14725,14745.0,0.8177282942344583,230
2021-01-21,AL2103,14770,15040,14710,14975,179953.0,13397500850.0,14975,1,14980,27,164462.0,14890,14805.0,0.8177282942344583,330
2021-01-22,AL2103,14975,15155,14780,14905,201780.0,15103233000.0,14900,13,14905,1,155111.0,14970,14975.0,0.8177282942344583,375
2021-01-25,AL2103,14840,15120,14760,14945,211119.0,15791701200.0,14940,25,14950,7,159837.0,14960,14905.0,0.8177282942344583,360
2021-01-26,AL2103,14980,15030,14775,14845,157253.0,11699623200.0,14830,21,14845,4,164626.0,14880,14945.0,0.8177282942344583,255
2021-01-27,AL2103,14870,14930,14825,14885,127822.0,9506761250.0,14880,58,14885,6,169560.0,14875,14845.0,0.8177282942344583,105
2021-01-28,AL2103,14830,14910,14740,14815,208964.0,15473784200.0,14815,5,14820,55,164641.0,14810,14885.0,0.8177282942344583,170
2021-01-29,AL2103,14830,15025,14815,15005,220410.0,16453606500.0,15010,4,15015,44,164633.0,14930,14815.0,0.8177282942344583,210
2021-02-01,AL2103,15000,15465,14950,15260,247478.0,18808328000.0,15255,179,15260,9,174047.0,15200,15005.0,0.8177282942344583,515
2021-02-02,AL2103,15245,15290,14895,14945,201240.0,15188589000.0,14940,13,14945,6,165232.0,15095,15260.0,0.8177282942344583,395
2021-02-03,AL2103,14980,15070,14920,14965,142647.0,10687826475.0,14965,60,14970,1,167214.0,14985,14945.0,0.8177282942344583,150
2021-02-04,AL2103,14970,15350,14955,15280,192686.0,14620050250.0,15280,6,15290,4,168558.0,15175,14965.0,0.8177282942344583,395
2021-02-05,AL2103,15230,15600,15230,15555,200609.0,15502060475.0,15550,32,15555,11,174710.0,15455,15280.0,0.8177282942344583,370
2021-02-08,AL2103,15630,15820,15540,15780,176832.0,13859208000.0,15780,16,15785,151,171227.0,15675,15555.0,0.8177282942344583,280
2021-02-09,AL2103,15810,15960,15735,15865,165345.0,13103591250.0,15860,1,15870,71,158397.0,15850,15780.0,0.8177282942344583,225
2021-02-10,AL2103,15865,15950,15760,15900,150061.0,11899837300.0,15900,4,15905,14,151166.0,15860,15865.0,0.8177282942344583,190
2021-02-18,AL2103,16025,16560,16025,16510,112248.0,9176274000.0,16505,6,16515,1,147101.0,16350,15900.0,0.8177282942344583,535
2021-02-19,AL2103,16650,16660,16385,16485,147864.0,12220959600.0,16490,10,16495,9,133572.0,16530,16510.0,0.8177282942344583,275
2021-02-22,AL2104,16545,16965,16455,16735,323511.0,26996992950.0,16730,8,16735,29,213047.0,16690,16490.0,0.8174803475109184,510
2021-02-23,AL2104,16735,16855,16565,16690,272612.0,22776732600.0,16690,178,16695,16,209647.0,16710,16735.0,0.8174803475109184,290
2021-02-24,AL2104,16630,16820,16520,16630,235683.0,19608825600.0,16625,35,16630,16,208263.0,16640,16690.0,0.8174803475109184,300
2021-02-25,AL2104,16670,17635,16670,17480,439824.0,37890837600.0,17475,3,17480,15,225681.0,17230,16630.0,0.8174803475109184,965
2021-02-26,AL2104,17450,17695,17010,17465,472973.0,41148651000.0,17465,129,17475,9,216438.0,17400,17480.0,0.8174803475109184,685
2021-03-01,AL2104,17325,17350,16845,17020,422687.0,36108036975.0,17020,2,17025,25,194587.0,17085,17465.0,0.8174803475109184,505
2021-03-02,AL2104,17060,17155,16745,16890,272552.0,23078340600.0,16885,7,16890,23,190051.0,16935,17020.0,0.8174803475109184,410
2021-03-03,AL2104,17250,17650,17115,17640,402630.0,35059007250.0,17640,9,17645,2,206572.0,17415,16890.0,0.8174803475109184,535
2021-03-04,AL2104,17570,17870,17110,17130,436036.0,38240357200.0,17130,39,17135,1,203818.0,17540,17640.0,0.8174803475109184,760
2021-03-05,AL2104,17225,17435,17010,17245,387498.0,33382952700.0,17240,1,17245,3,198650.0,17230,17130.0,0.8174803475109184,425
2021-03-08,AL2104,17315,17545,17170,17260,272107.0,23618887600.0,17260,3,17265,10,192979.0,17360,17245.0,0.8174803475109184,375
2021-03-09,AL2104,17230,17385,16960,16990,259953.0,22349459175.0,16985,3,16990,21,185646.0,17195,17260.0,0.8174803475109184,425
2021-03-10,AL2104,17050,17385,16870,17185,245062.0,20940547900.0,17185,18,17190,4,184914.0,17090,16990.0,0.8174803475109184,515
2021-03-11,AL2104,17160,17630,17145,17530,236137.0,20490788175.0,17530,119,17560,5,192804.0,17355,17185.0,0.8174803475109184,485
2021-03-12,AL2104,17520,17570,17145,17310,217527.0,18892219950.0,17310,1,17315,16,182802.0,17370,17530.0,0.8174803475109184,425
2021-03-15,AL2104,17300,17830,17245,17650,241203.0,21141442950.0,17650,5,17660,30,179533.0,17530,17310.0,0.8174803475109184,585
2021-03-16,AL2105,17680,17955,17560,17575,404273.0,35949976525.0,17570,12,17575,2,254083.0,17785,17605.0,0.8195699025031359,395
2021-03-17,AL2105,17510,17725,17500,17710,255193.0,22482503300.0,17705,10,17710,217,259093.0,17620,17575.0,0.8195699025031359,225
2021-03-18,AL2105,17850,17930,17415,17475,352965.0,31219754250.0,17470,3,17485,83,254945.0,17690,17710.0,0.8195699025031359,515
2021-03-19,AL2105,17475,17535,17295,17415,318942.0,27763901100.0,17415,133,17420,159,232436.0,17410,17475.0,0.8195699025031359,240
2021-03-22,AL2105,17520,17725,17350,17535,335915.0,29451347625.0,17535,10,17540,15,240775.0,17535,17415.0,0.8195699025031359,375
2021-03-23,AL2105,17650,17715,16480,17085,628386.0,53915518800.0,17085,1,17095,2,224586.0,17160,17535.0,0.8195699025031359,1235
