time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,AP2105,6630,6680,6437,6461,403418.0,26331092860.0,6460,147,6461,1,293296.0,6527,6641.0,1.0919292864972872,243
2021-01-05,AP2105,6461,6488,6318,6337,414076.0,26422189560.0,6336,10,6338,23,296057.0,6381,6461.0,1.0919292864972872,170
2021-01-06,AP2105,6337,6380,6305,6339,289310.0,18350933300.0,6339,46,6340,32,293421.0,6343,6337.0,1.0919292864972872,75
2021-01-07,AP2105,6340,6416,6221,6377,494925.0,31323803250.0,6373,88,6377,60,294512.0,6329,6339.0,1.0919292864972872,195
2021-01-08,AP2105,6368,6409,6284,6330,323875.0,20566062500.0,6329,389,6330,5,279079.0,6350,6377.0,1.0919292864972872,125
2021-01-11,AP2105,6300,6305,6010,6039,426186.0,26069797620.0,6039,3,6040,3,298063.0,6117,6330.0,1.0919292864972872,295
2021-01-12,AP2105,6039,6097,6019,6040,236644.0,14335893520.0,6040,337,6041,47,288968.0,6058,6039.0,1.0919292864972872,78
2021-01-13,AP2105,6043,6128,5970,6083,379951.0,22983235990.0,6082,54,6083,43,299079.0,6049,6040.0,1.0919292864972872,158
2021-01-14,AP2105,6076,6146,5985,5992,328225.0,19880588250.0,5991,17,5992,3,311956.0,6057,6083.0,1.0919292864972872,161
2021-01-15,AP2105,5993,6087,5938,6005,387181.0,23296680770.0,6005,70,6006,59,310809.0,6017,5992.0,1.0919292864972872,149
2021-01-18,AP2105,6015,6353,6015,6254,525833.0,32638454310.0,6254,30,6255,18,295242.0,6207,6005.0,1.0919292864972872,338
2021-01-19,AP2105,6269,6295,6166,6182,306130.0,19050469900.0,6182,3,6183,2,293490.0,6223,6254.0,1.0919292864972872,129
2021-01-20,AP2105,6200,6288,6159,6185,338925.0,21060799500.0,6184,80,6185,9,309388.0,6214,6182.0,1.0919292864972872,129
2021-01-21,AP2105,6195,6265,6052,6074,462078.0,28561041180.0,6073,9,6074,1,332775.0,6181,6185.0,1.0919292864972872,213
