time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,B2102,4163,4268,4162,4192,43386.0,1827852180.0,4196,1,4198,1,27654.0,4213,4173.0,1.8452907885479364,106
2021-01-05,B2102,4210,4212,4124,4183,45160.0,1880010800.0,4164,18,4180,1,24159.0,4163,4192.0,1.8452907885479364,88
2021-01-06,B2102,4182,4256,4165,4239,50182.0,2114167660.0,4238,1,4239,6,23066.0,4213,4183.0,1.8452907885479364,91
2021-01-07,B2102,4265,4279,4200,4229,40475.0,1714521000.0,4227,3,4229,8,19413.0,4236,4239.0,1.8452907885479364,79
2021-01-08,B2102,4225,4303,4202,4286,44555.0,1889132000.0,4285,4,4286,5,21744.0,4240,4229.0,1.8452907885479364,101
2021-01-11,B2102,4295,4579,4293,4570,112392.0,5031789840.0,4570,3,4571,1,25860.0,4477,4286.0,1.8452907885479364,286
2021-01-12,B2102,4582,4585,4406,4440,89263.0,3991841360.0,4433,21,4440,5,21603.0,4472,4570.0,1.8452907885479364,179
2021-01-13,B2102,4438,4626,4402,4483,57717.0,2597842170.0,4479,138,4485,3,19745.0,4501,4440.0,1.8452907885479364,224
2021-01-14,B2102,4471,4505,4338,4390,38602.0,1700032080.0,4391,3,4392,5,16991.0,4404,4483.0,1.8452907885479364,167
2021-01-15,B2102,4386,4469,4307,4340,37269.0,1628282610.0,4338,2,4360,116,15920.0,4369,4390.0,1.8452907885479364,162
2021-01-18,B2103,4354,4405,4310,4352,56163.0,2443090500.0,4352,1,4363,1,21890.0,4350,4326.0,1.8512626033976065,95
2021-01-19,B2103,4368,4418,4302,4328,67318.0,2929006180.0,4326,5,4330,29,23976.0,4351,4352.0,1.8512626033976065,116
2021-01-20,B2103,4317,4346,4168,4199,81850.0,3476169500.0,4191,2,4199,1,24566.0,4247,4328.0,1.8512626033976065,178
2021-01-21,B2103,4214,4265,4171,4247,56175.0,2372270250.0,4247,3,4250,20,23470.0,4223,4199.0,1.8512626033976065,94
2021-01-22,B2103,4250,4279,4122,4136,59712.0,2509098240.0,4134,50,4146,1,22849.0,4202,4247.0,1.8512626033976065,157
2021-01-25,B2103,4120,4197,4013,4073,65082.0,2656647240.0,4074,1,4076,25,20383.0,4082,4136.0,1.8512626033976065,184
2021-01-26,B2103,4068,4153,4050,4129,35643.0,1466709450.0,4125,16,4130,11,21774.0,4115,4073.0,1.8512626033976065,103
2021-01-27,B2103,4177,4298,4155,4292,51783.0,2195081370.0,4287,5,4292,20,24165.0,4239,4129.0,1.8512626033976065,143
2021-01-28,B2103,4283,4309,4223,4258,47333.0,2022539090.0,4256,5,4266,1,24311.0,4273,4292.0,1.8512626033976065,86
2021-01-29,B2103,4320,4327,4200,4287,38302.0,1636261440.0,4282,1,4285,1,23908.0,4272,4258.0,1.8512626033976065,127
2021-02-01,B2103,4267,4299,4160,4254,56575.0,2402740250.0,4250,1,4254,1,18456.0,4247,4287.0,1.8512626033976065,139
2021-02-02,B2103,4239,4247,4106,4110,46704.0,1948490880.0,4110,4,4114,4,16418.0,4172,4254.0,1.8512626033976065,141
2021-02-03,B2103,4080,4101,4016,4054,54486.0,2208862440.0,4054,2,4058,6,15133.0,4054,4110.0,1.8512626033976065,85
2021-02-04,B2103,4069,4164,4055,4139,41590.0,1707269500.0,4137,5,4143,2,14002.0,4105,4054.0,1.8512626033976065,109
2021-02-05,B2103,4121,4240,4112,4218,43746.0,1831645020.0,4217,21,4219,37,12436.0,4187,4139.0,1.8512626033976065,128
2021-02-08,B2103,4218,4249,4168,4195,27902.0,1175232240.0,4193,6,4195,12,9598.0,4212,4218.0,1.8512626033976065,81
2021-02-09,B2103,4213,4365,4205,4336,31986.0,1368361080.0,4333,2,4337,1,8322.0,4278,4195.0,1.8512626033976065,160
2021-02-10,B2103,4327,4350,4261,4302,24714.0,1065173400.0,4302,1,4306,2,6086.0,4310,4336.0,1.8512626033976065,89
2021-02-18,B2103,4302,4485,4302,4433,20172.0,895636800.0,4431,62,4440,5,6456.0,4440,4302.0,1.8512626033976065,183
2021-02-19,B2103,4432,4519,4386,4488,21785.0,970521750.0,4486,18,4488,11,5863.0,4455,4433.0,1.8512626033976065,133
2021-02-22,B2103,4502,4631,4475,4592,24255.0,1108210950.0,4591,2,4592,117,4412.0,4569,4488.0,1.8512626033976065,156
2021-02-23,B2104,4448,4484,4322,4452,56531.0,2483406830.0,4448,4,4457,2,21579.0,4393,4432.0,1.9180951883578088,162
2021-02-24,B2104,4422,4453,4377,4424,49009.0,2167177980.0,4423,7,4427,5,21688.0,4422,4452.0,1.9180951883578088,76
2021-02-25,B2104,4430,4526,4410,4436,53186.0,2371031880.0,4436,1,4437,1,20419.0,4458,4424.0,1.9180951883578088,116
2021-02-26,B2104,4473,4485,4280,4310,61323.0,2673682800.0,4307,52,4310,91,17844.0,4360,4436.0,1.9180951883578088,205
2021-03-01,B2104,4310,4466,4286,4409,46158.0,2022181980.0,4403,1,4409,1,15775.0,4381,4310.0,1.9180951883578088,180
2021-03-02,B2104,4409,4450,4238,4312,43073.0,1879274990.0,4311,1,4313,6,12898.0,4363,4409.0,1.9180951883578088,212
2021-03-03,B2104,4320,4440,4320,4391,39927.0,1750000410.0,4390,12,4391,16,13532.0,4383,4312.0,1.9180951883578088,120
2021-03-04,B2104,4354,4435,4302,4386,38240.0,1666881600.0,4382,5,4386,24,13368.0,4359,4391.0,1.9180951883578088,133
2021-03-05,B2104,4399,4451,4263,4419,44338.0,1942891160.0,4411,3,4419,3,12125.0,4382,4386.0,1.9180951883578088,188
2021-03-08,B2104,4411,4570,4394,4518,40405.0,1808527800.0,4513,1,4520,2,11331.0,4476,4419.0,1.9180951883578088,176
2021-03-09,B2105,4338,4356,4261,4265,50970.0,2206491300.0,4265,2,4283,1,28639.0,4329,4359.0,1.9880601195229592,95
2021-03-10,B2105,4301,4309,4146,4178,62984.0,2672411120.0,4178,2,4183,1,27257.0,4243,4265.0,1.9880601195229592,163
2021-03-11,B2105,4170,4178,3990,4091,90047.0,3673017130.0,4091,5,4094,3,26321.0,4079,4178.0,1.9880601195229592,188
2021-03-12,B2105,4091,4163,4084,4105,54073.0,2231051980.0,4104,6,4105,67,25079.0,4126,4091.0,1.9880601195229592,79
2021-03-15,B2105,4068,4153,4061,4129,55368.0,2276178480.0,4129,1,4131,1,23945.0,4111,4105.0,1.9880601195229592,92
2021-03-16,B2105,4118,4260,4118,4163,68192.0,2847697920.0,4163,2,4164,3,25977.0,4176,4129.0,1.9880601195229592,142
2021-03-17,B2105,4143,4227,4143,4180,59636.0,2496959320.0,4177,8,4180,2,27638.0,4187,4163.0,1.9880601195229592,84
2021-03-18,B2105,4160,4166,4067,4099,73579.0,3025568480.0,4099,44,4100,1,25196.0,4112,4180.0,1.9880601195229592,99
2021-03-19,B2105,4085,4090,4003,4026,91039.0,3676154820.0,4020,47,4026,55,29975.0,4038,4099.0,1.9880601195229592,87
2021-03-22,B2105,4020,4078,4005,4037,64801.0,2617960400.0,4035,4,4037,1,31511.0,4040,4026.0,1.9880601195229592,73
2021-03-23,B2105,4060,4094,4013,4066,58507.0,2372458850.0,4066,8,4067,1,31504.0,4055,4037.0,1.9880601195229592,81
2021-03-24,B2105,4050,4167,4033,4162,79313.0,3258971170.0,4160,192,4163,16,28540.0,4109,4066.0,1.9880601195229592,134
2021-03-25,B2105,4162,4202,4147,4186,66191.0,2762150430.0,4185,13,4187,1,29256.0,4173,4162.0,1.9880601195229592,55
2021-03-26,B2105,4156,4175,4070,4080,75036.0,3097486080.0,4082,1,4089,4,27401.0,4128,4186.0,1.9880601195229592,105
2021-03-29,B2105,4108,4117,3955,3976,81561.0,3289355130.0,3973,1,3976,1,31622.0,4033,4080.0,1.9880601195229592,162
2021-03-30,B2105,3998,4016,3927,3933,71178.0,2825766600.0,3932,5,3933,3,33533.0,3970,3976.0,1.9880601195229592,89
2021-03-31,B2105,3925,3945,3837,3924,67265.0,2630734150.0,3923,28,3924,10,29349.0,3911,3933.0,1.9880601195229592,108
2021-04-01,B2105,3918,4203,3918,4134,85836.0,3495241920.0,4133,4,4134,17,20733.0,4072,3924.0,1.9880601195229592,285
2021-04-02,B2105,4125,4137,4056,4127,56538.0,2314665720.0,4127,86,4129,11,17362.0,4094,4134.0,1.9880601195229592,81
2021-04-06,B2105,4120,4158,4073,4135,28207.0,1161282190.0,4133,1,4135,17,16863.0,4117,4127.0,1.9880601195229592,85
2021-04-07,B2105,4141,4189,4105,4182,49521.0,2054626290.0,4176,6,4180,1,16603.0,4149,4135.0,1.9880601195229592,84
2021-04-08,B2105,4151,4175,4091,4105,34370.0,1416387700.0,4104,1,4105,25,15671.0,4121,4182.0,1.9880601195229592,84
2021-04-09,B2105,4090,4150,4063,4073,45389.0,1863672340.0,4065,2,4073,1,14749.0,4106,4105.0,1.9880601195229592,87
2021-04-12,B2105,4083,4088,3978,3993,43683.0,1762609050.0,3989,1,3993,10,11715.0,4035,4073.0,1.9880601195229592,110
2021-04-13,B2105,4003,4014,3921,3993,39337.0,1562072270.0,3993,2,3995,1,9863.0,3971,3993.0,1.9880601195229592,93
2021-04-14,B2105,4008,4034,3962,4008,43489.0,1738255330.0,4005,15,4008,20,7085.0,3997,3993.0,1.9880601195229592,72
2021-04-15,B2106,4046,4113,4039,4101,65254.0,2663015740.0,4093,3,4101,2,21701.0,4081,4046.0,1.9693882746040583,74
2021-04-16,B2106,4102,4193,4083,4179,58910.0,2441230400.0,4178,1,4181,7,25649.0,4144,4101.0,1.9693882746040583,110
2021-04-19,B2106,4162,4224,4149,4174,42902.0,1792016540.0,4173,2,4175,1,29874.0,4177,4179.0,1.9693882746040583,75
2021-04-20,B2106,4171,4231,4135,4212,47976.0,2005396800.0,4208,1,4211,1,30794.0,4180,4174.0,1.9693882746040583,96
2021-04-21,B2106,4215,4276,4215,4258,42598.0,1809137060.0,4259,10,4263,3,34018.0,4247,4212.0,1.9693882746040583,61
2021-04-22,B2106,4222,4341,4212,4319,47874.0,2054273340.0,4319,17,4320,1,34917.0,4291,4258.0,1.9693882746040583,129
2021-04-23,B2106,4329,4374,4305,4348,51335.0,2227425650.0,4345,4,4351,1,37213.0,4339,4319.0,1.9693882746040583,69
2021-04-26,B2106,4319,4410,4302,4327,49713.0,2158041330.0,4327,1,4330,4,38743.0,4341,4348.0,1.9693882746040583,108
2021-04-27,B2106,4342,4372,4279,4344,58584.0,2535515520.0,4343,2,4345,25,38453.0,4328,4327.0,1.9693882746040583,93
2021-04-28,B2106,4344,4359,4190,4214,69956.0,2974529120.0,4212,10,4213,10,35232.0,4252,4344.0,1.9693882746040583,169
2021-04-29,B2106,4230,4243,4176,4183,53187.0,2240768310.0,4180,3,4184,41,32691.0,4213,4214.0,1.9693882746040583,67
2021-04-30,B2106,4210,4212,4106,4132,55075.0,2287815500.0,4132,96,4133,1,27940.0,4154,4183.0,1.9693882746040583,106
2021-05-06,B2106,4182,4311,4150,4281,42921.0,1820708820.0,4281,2,4283,1,21078.0,4242,4132.0,1.9693882746040583,161
2021-05-07,B2106,4298,4424,4291,4366,54168.0,2360641440.0,4372,1,4374,25,22813.0,4358,4281.0,1.9693882746040583,133
2021-05-10,B2106,4387,4402,4308,4348,54087.0,2359815810.0,4348,7,4349,40,21353.0,4363,4366.0,1.9693882746040583,94
2021-05-11,B2106,4348,4397,4237,4304,43302.0,1857222780.0,4300,5,4304,6,17388.0,4289,4348.0,1.9693882746040583,160
2021-05-12,B2106,4330,4461,4298,4416,55372.0,2438582880.0,4415,1,4435,1,15776.0,4404,4304.0,1.9693882746040583,163
2021-05-13,B2106,4400,4490,4319,4373,50848.0,2238328960.0,4373,4,4375,2,12098.0,4402,4416.0,1.9693882746040583,171
2021-05-14,B2106,4330,4343,4215,4246,40183.0,1717823250.0,4244,1,4256,7,9486.0,4275,4373.0,1.9693882746040583,128
2021-05-17,B2106,4236,4306,4217,4266,38010.0,1621886700.0,4266,1,4269,4,9233.0,4267,4246.0,1.9693882746040583,89
2021-05-18,B2107,4326,4390,4326,4390,40011.0,1744079490.0,4386,2,4393,4,35309.0,4359,4326.0,1.9420735967316027,64
2021-05-19,B2107,4377,4407,4270,4305,49110.0,2134811700.0,4303,3,4309,23,36655.0,4347,4390.0,1.9420735967316027,137
2021-05-20,B2107,4250,4308,4206,4300,53761.0,2285917720.0,4298,10,4300,7,36193.0,4252,4305.0,1.9420735967316027,102
2021-05-21,B2107,4287,4287,4200,4200,44809.0,1898109240.0,4200,7,4202,1,36174.0,4236,4300.0,1.9420735967316027,87
2021-05-24,B2107,4189,4214,4106,4192,45878.0,1915406500.0,4191,3,4196,2,35641.0,4175,4200.0,1.9420735967316027,108
2021-05-25,B2107,4143,4239,4143,4213,36219.0,1525906470.0,4214,2,4218,1,35198.0,4213,4192.0,1.9420735967316027,96
2021-05-26,B2107,4213,4242,4156,4218,37740.0,1588476600.0,4217,19,4218,4,36997.0,4209,4213.0,1.9420735967316027,86
2021-05-27,B2107,4206,4206,4126,4127,50792.0,2118026400.0,4125,5,4128,4,33665.0,4170,4218.0,1.9420735967316027,80
2021-05-28,B2107,4177,4309,4154,4260,59718.0,2529057300.0,4260,2,4263,2,33831.0,4235,4127.0,1.9420735967316027,155
2021-05-31,B2107,4245,4269,4187,4193,50538.0,2135230500.0,4192,1,4193,2,27855.0,4225,4260.0,1.9420735967316027,82
