time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,BU2106,2540,2626,2504,2620,539195.0,13932798800.0,2618,64,2620,9,416459.0,2584,2544.0,0.512643826162141,122
2021-01-05,BU2106,2598,2618,2548,2554,614127.0,15844476600.0,2552,344,2554,294,454352.0,2580,2620.0,0.512643826162141,70
2021-01-06,BU2106,2570,2648,2556,2638,696660.0,18168892800.0,2636,71,2638,127,424451.0,2608,2554.0,0.512643826162141,92
2021-01-07,BU2106,2624,2708,2616,2696,650071.0,17278887180.0,2694,80,2696,267,410706.0,2658,2638.0,0.512643826162141,92
2021-01-08,BU2106,2686,2736,2664,2722,623199.0,16801445040.0,2722,22,2724,175,417937.0,2696,2696.0,0.512643826162141,72
2021-01-11,BU2106,2730,2752,2580,2586,889907.0,23991892720.0,2584,12,2590,1,411697.0,2696,2722.0,0.512643826162141,172
2021-01-12,BU2106,2602,2656,2540,2642,739184.0,19292702400.0,2642,70,2644,312,407760.0,2610,2586.0,0.512643826162141,116
2021-01-13,BU2106,2654,2692,2626,2688,541419.0,14412573780.0,2688,122,2690,683,406799.0,2662,2642.0,0.512643826162141,66
2021-01-14,BU2106,2680,2704,2624,2696,637690.0,17026323000.0,2694,257,2696,39,398624.0,2670,2688.0,0.512643826162141,80
2021-01-15,BU2106,2694,2746,2666,2726,662593.0,17916514720.0,2724,341,2726,14,397189.0,2704,2696.0,0.512643826162141,80
2021-01-18,BU2106,2726,2740,2660,2726,667513.0,18062901780.0,2726,18,2728,77,383473.0,2706,2726.0,0.512643826162141,80
2021-01-19,BU2106,2726,2758,2688,2728,548765.0,14926408000.0,2726,409,2728,164,384080.0,2720,2726.0,0.512643826162141,70
2021-01-20,BU2106,2734,2786,2716,2732,644763.0,17705191980.0,2730,227,2732,42,394092.0,2746,2728.0,0.512643826162141,70
2021-01-21,BU2106,2730,2750,2706,2736,464304.0,12656927040.0,2734,503,2736,443,391894.0,2726,2732.0,0.512643826162141,44
2021-01-22,BU2106,2734,2750,2662,2682,618114.0,16701440280.0,2682,15,2684,444,385146.0,2702,2736.0,0.512643826162141,88
2021-01-25,BU2106,2666,2708,2638,2680,496935.0,13297980600.0,2680,53,2682,233,385250.0,2676,2682.0,0.512643826162141,70
2021-01-26,BU2106,2680,2690,2650,2666,431320.0,11516244000.0,2666,178,2668,60,381230.0,2670,2680.0,0.512643826162141,40
2021-01-27,BU2106,2688,2750,2668,2746,537531.0,14577840720.0,2744,5,2746,6,408427.0,2712,2666.0,0.512643826162141,82
2021-01-28,BU2106,2736,2748,2714,2732,410103.0,11204013960.0,2732,231,2734,105,401924.0,2732,2746.0,0.512643826162141,34
2021-01-29,BU2106,2738,2778,2710,2736,639516.0,17535528720.0,2736,5,2738,90,405303.0,2742,2732.0,0.512643826162141,68
2021-02-01,BU2106,2748,2792,2716,2770,611651.0,16844868540.0,2768,25,2770,189,416079.0,2754,2736.0,0.512643826162141,76
2021-02-02,BU2106,2770,2816,2762,2806,565517.0,15766613960.0,2806,123,2808,1393,435080.0,2788,2770.0,0.512643826162141,54
2021-02-03,BU2106,2820,2836,2784,2800,486325.0,13656006000.0,2798,72,2800,85,416623.0,2808,2806.0,0.512643826162141,52
2021-02-04,BU2106,2802,2852,2800,2848,461861.0,13052191860.0,2848,11,2850,442,427780.0,2826,2800.0,0.512643826162141,52
2021-02-05,BU2106,2850,2872,2830,2866,342844.0,9784767760.0,2866,186,2868,508,420493.0,2854,2848.0,0.512643826162141,42
2021-02-08,BU2106,2872,2930,2858,2884,470660.0,13583247600.0,2882,77,2884,58,412699.0,2886,2866.0,0.512643826162141,72
2021-02-09,BU2106,2886,2964,2884,2938,411665.0,12037084600.0,2938,20,2940,69,396753.0,2924,2884.0,0.512643826162141,80
2021-02-10,BU2106,2928,2934,2876,2896,337602.0,9810714120.0,2894,11,2896,10,363491.0,2906,2938.0,0.512643826162141,58
2021-02-18,BU2106,3018,3050,3008,3040,249160.0,7564497600.0,3040,12,3042,128,380593.0,3036,2896.0,0.512643826162141,42
2021-02-19,BU2106,3038,3072,2950,2996,518183.0,15555853660.0,2996,48,2998,14,377229.0,3002,3040.0,0.512643826162141,122
2021-02-22,BU2106,2990,3060,2982,3048,453522.0,13687293960.0,3048,53,3050,554,390334.0,3018,2996.0,0.512643826162141,78
2021-02-23,BU2106,3042,3188,3030,3142,689869.0,21523912800.0,3142,216,3144,167,414067.0,3120,3048.0,0.512643826162141,158
2021-02-24,BU2106,3136,3178,3116,3170,518759.0,16330533320.0,3168,38,3170,163,408600.0,3148,3142.0,0.512643826162141,62
2021-02-25,BU2106,3196,3336,3190,3322,581509.0,19038604660.0,3320,3,3322,17,413255.0,3274,3170.0,0.512643826162141,146
2021-02-26,BU2106,3322,3334,3226,3248,601604.0,19672450800.0,3248,162,3250,166,384406.0,3270,3322.0,0.512643826162141,108
2021-03-01,BU2106,3234,3286,3134,3160,617568.0,19799230080.0,3160,237,3162,22,356379.0,3206,3248.0,0.512643826162141,152
2021-03-02,BU2106,3150,3164,3034,3054,536601.0,16591702920.0,3052,116,3054,11,344933.0,3092,3160.0,0.512643826162141,130
2021-03-03,BU2106,3078,3126,3026,3052,507638.0,15604792120.0,3052,8,3054,4,352898.0,3074,3054.0,0.512643826162141,100
2021-03-04,BU2106,3064,3112,3052,3078,450274.0,13886450160.0,3076,109,3078,188,350624.0,3084,3052.0,0.512643826162141,60
2021-03-05,BU2106,3076,3226,3044,3222,742343.0,23309570200.0,3218,209,3220,5,362376.0,3140,3078.0,0.512643826162141,182
2021-03-08,BU2106,3240,3370,3228,3308,561979.0,18567786160.0,3308,32,3310,104,362600.0,3304,3222.0,0.512643826162141,142
2021-03-09,BU2106,3280,3280,3156,3158,530697.0,17109671280.0,3158,47,3160,71,348774.0,3224,3308.0,0.512643826162141,124
2021-03-10,BU2106,3184,3196,3056,3082,523615.0,16378677200.0,3082,51,3084,445,337862.0,3128,3158.0,0.512643826162141,140
2021-03-11,BU2106,3100,3134,3082,3128,422830.0,13141556400.0,3128,49,3130,228,337376.0,3108,3082.0,0.512643826162141,52
2021-03-12,BU2106,3140,3162,3092,3122,401284.0,12560189200.0,3120,11,3122,559,338222.0,3130,3128.0,0.512643826162141,70
2021-03-15,BU2106,3122,3198,3104,3134,499082.0,15691138080.0,3132,27,3134,194,335569.0,3144,3122.0,0.512643826162141,94
2021-03-16,BU2106,3092,3096,3006,3022,527937.0,16007049840.0,3020,83,3022,6,356445.0,3032,3134.0,0.512643826162141,90
2021-03-17,BU2106,3022,3086,2992,3068,456688.0,13846780160.0,3068,206,3070,153,350244.0,3032,3022.0,0.512643826162141,94
2021-03-18,BU2106,3022,3058,3010,3042,389961.0,11815818300.0,3042,46,3044,21,349578.0,3030,3068.0,0.512643826162141,48
2021-03-19,BU2106,3020,3032,2786,2820,923908.0,26867244640.0,2818,18,2820,31,392716.0,2908,3042.0,0.512643826162141,246
2021-03-22,BU2106,2802,2862,2794,2850,524212.0,14866652320.0,2850,69,2852,314,399898.0,2836,2820.0,0.512643826162141,68
2021-03-23,BU2106,2854,2864,2804,2850,432216.0,12266290080.0,2850,15,2852,541,415140.0,2838,2850.0,0.512643826162141,60
2021-03-24,BU2106,2790,2836,2756,2824,666598.0,18651412040.0,2822,82,2824,19,414449.0,2798,2850.0,0.512643826162141,80
2021-03-25,BU2106,2836,2850,2784,2794,478059.0,13490824980.0,2794,179,2796,24,412943.0,2822,2824.0,0.512643826162141,66
2021-03-26,BU2106,2770,2870,2766,2840,596083.0,16797618940.0,2840,57,2842,2,393592.0,2818,2794.0,0.512643826162141,104
2021-03-29,BU2106,2848,2896,2804,2828,555005.0,15862042900.0,2828,20,2830,129,376364.0,2858,2840.0,0.512643826162141,92
2021-03-30,BU2106,2862,2894,2842,2870,461987.0,13231307680.0,2870,83,2872,128,364634.0,2864,2828.0,0.512643826162141,52
2021-03-31,BU2106,2850,2874,2824,2834,407714.0,11611694720.0,2834,1,2838,255,368318.0,2848,2870.0,0.512643826162141,50
2021-04-01,BU2106,2816,2864,2770,2862,625807.0,17647757400.0,2862,245,2864,344,379146.0,2820,2834.0,0.512643826162141,94
2021-04-02,BU2106,2862,2956,2854,2944,663321.0,19289374680.0,2942,997,2944,3,348736.0,2908,2862.0,0.512643826162141,102
2021-04-06,BU2106,2894,2918,2862,2866,451981.0,13044171660.0,2866,162,2868,26,366573.0,2886,2944.0,0.512643826162141,56
2021-04-07,BU2106,2866,2910,2830,2832,613296.0,17577063360.0,2832,22,2834,273,396299.0,2866,2866.0,0.512643826162141,80
2021-04-08,BU2106,2828,2840,2778,2788,595135.0,16699488100.0,2788,85,2790,91,444407.0,2806,2832.0,0.512643826162141,62
2021-04-09,BU2106,2788,2820,2754,2800,558572.0,15595330240.0,2800,386,2802,194,448214.0,2792,2788.0,0.512643826162141,66
2021-04-12,BU2106,2796,2818,2720,2734,773523.0,21442057560.0,2732,46,2734,23,473665.0,2772,2800.0,0.512643826162141,98
