time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,C2105,2755,2779,2741,2746,633210.0,17482928100.0,2745,216,2746,1050,1059080.0,2761,2742.0,0.6445993728278003,38
2021-01-05,C2105,2745,2778,2745,2769,472285.0,13035066000.0,2768,789,2769,89,1094574.0,2760,2746.0,0.6445993728278003,33
2021-01-06,C2105,2775,2798,2770,2786,481960.0,13403307600.0,2785,163,2786,336,1111724.0,2781,2769.0,0.6445993728278003,28
2021-01-07,C2105,2786,2811,2784,2806,510463.0,14292964000.0,2805,9,2806,44,1095080.0,2800,2786.0,0.6445993728278003,27
2021-01-08,C2105,2810,2840,2803,2836,630350.0,17782173500.0,2835,100,2836,356,1116754.0,2821,2806.0,0.6445993728278003,37
2021-01-11,C2105,2842,2911,2801,2837,1181606.0,33734851300.0,2837,17,2838,380,1073199.0,2855,2836.0,0.6445993728278003,110
2021-01-12,C2105,2840,2875,2807,2868,802689.0,22812421380.0,2867,552,2868,144,1092354.0,2842,2837.0,0.6445993728278003,68
2021-01-13,C2105,2872,2930,2866,2872,953481.0,27555600900.0,2872,265,2873,214,1084579.0,2890,2868.0,0.6445993728278003,64
2021-01-14,C2105,2877,2885,2831,2845,823129.0,23483870370.0,2845,33,2846,22,1076007.0,2853,2872.0,0.6445993728278003,54
2021-01-15,C2105,2846,2880,2842,2869,597012.0,17068573080.0,2868,16,2869,285,1080935.0,2859,2845.0,0.6445993728278003,38
2021-01-18,C2105,2875,2910,2872,2881,727775.0,21032697500.0,2880,397,2881,33,1102730.0,2890,2869.0,0.6445993728278003,38
2021-01-19,C2105,2877,2897,2852,2868,625844.0,17999273440.0,2868,3,2869,722,1091791.0,2876,2881.0,0.6445993728278003,45
2021-01-20,C2105,2868,2874,2832,2845,636369.0,18130152810.0,2845,374,2846,449,1068392.0,2849,2868.0,0.6445993728278003,42
2021-01-21,C2105,2847,2873,2840,2849,546861.0,15618350160.0,2848,599,2850,282,1061698.0,2856,2845.0,0.6445993728278003,33
2021-01-22,C2105,2845,2860,2805,2821,832591.0,23537347570.0,2821,10,2823,57,1047012.0,2827,2849.0,0.6445993728278003,55
2021-01-25,C2105,2820,2837,2752,2772,945135.0,26359815150.0,2771,344,2772,157,1004266.0,2789,2821.0,0.6445993728278003,85
2021-01-26,C2105,2772,2791,2764,2773,502124.0,13949004720.0,2772,154,2773,35,994151.0,2778,2772.0,0.6445993728278003,27
2021-01-27,C2105,2778,2796,2757,2765,666309.0,18503400930.0,2765,4,2766,814,985514.0,2777,2773.0,0.6445993728278003,39
2021-01-28,C2105,2768,2775,2725,2727,737921.0,20263310660.0,2726,371,2728,24,984379.0,2746,2765.0,0.6445993728278003,50
2021-01-29,C2105,2730,2737,2704,2714,622614.0,16935100800.0,2713,236,2714,27,995416.0,2720,2727.0,0.6445993728278003,33
2021-02-01,C2105,2714,2778,2714,2774,731015.0,20124842950.0,2773,74,2774,360,984516.0,2753,2714.0,0.6445993728278003,64
2021-02-02,C2105,2774,2775,2753,2767,373350.0,10315660500.0,2767,2,2768,168,977187.0,2763,2774.0,0.6445993728278003,22
2021-02-03,C2105,2763,2785,2743,2776,498774.0,13766162400.0,2775,55,2776,10,967756.0,2760,2767.0,0.6445993728278003,42
2021-02-04,C2105,2773,2789,2764,2784,433197.0,12025548720.0,2783,443,2784,234,956299.0,2776,2776.0,0.6445993728278003,25
2021-02-05,C2105,2779,2818,2778,2818,471733.0,13184937350.0,2817,36,2818,365,972352.0,2795,2784.0,0.6445993728278003,40
2021-02-08,C2105,2818,2829,2750,2754,810869.0,22607027720.0,2752,315,2754,228,932429.0,2788,2818.0,0.6445993728278003,79
2021-02-09,C2105,2757,2777,2754,2769,391922.0,10836643300.0,2769,47,2770,114,919000.0,2765,2754.0,0.6445993728278003,23
2021-02-10,C2105,2766,2786,2764,2767,361125.0,10013996250.0,2766,46,2768,212,889316.0,2773,2769.0,0.6445993728278003,22
2021-02-18,C2105,2782,2832,2765,2828,559446.0,15686865840.0,2827,59,2828,65,889835.0,2804,2767.0,0.6445993728278003,67
2021-02-19,C2105,2822,2836,2790,2815,616083.0,17342736450.0,2814,610,2815,180,886743.0,2815,2828.0,0.6445993728278003,46
2021-02-22,C2105,2820,2855,2776,2797,1167525.0,32830803000.0,2795,7,2797,837,833606.0,2812,2815.0,0.6445993728278003,79
2021-02-23,C2105,2797,2805,2763,2786,823365.0,22897780650.0,2786,156,2787,74,831486.0,2781,2797.0,0.6445993728278003,42
2021-02-24,C2105,2792,2815,2768,2810,672916.0,18774356400.0,2810,36,2812,346,842071.0,2790,2786.0,0.6445993728278003,47
2021-02-25,C2105,2812,2840,2802,2827,703379.0,19821220220.0,2826,122,2827,209,826248.0,2818,2810.0,0.6445993728278003,38
2021-02-26,C2105,2828,2832,2776,2777,753143.0,21088004000.0,2776,641,2777,437,792753.0,2800,2827.0,0.6445993728278003,56
2021-03-01,C2105,2783,2813,2773,2789,598965.0,16705133850.0,2789,4,2790,260,783007.0,2789,2777.0,0.6445993728278003,40
2021-03-02,C2105,2785,2797,2760,2781,561589.0,15595326530.0,2780,110,2781,1302,765142.0,2777,2789.0,0.6445993728278003,37
2021-03-03,C2105,2786,2792,2762,2763,470821.0,13069990960.0,2763,30,2764,1158,765137.0,2776,2781.0,0.6445993728278003,30
2021-03-04,C2105,2763,2769,2748,2758,512033.0,14126990470.0,2757,115,2758,235,735833.0,2759,2763.0,0.6445993728278003,21
2021-03-05,C2105,2763,2822,2758,2819,825375.0,23027962500.0,2818,40,2819,67,714488.0,2790,2758.0,0.6445993728278003,64
2021-03-08,C2105,2818,2831,2798,2824,611638.0,17211493320.0,2823,4,2825,128,685152.0,2814,2819.0,0.6445993728278003,33
2021-03-09,C2105,2820,2821,2768,2771,621703.0,17295777460.0,2770,259,2771,22,613730.0,2782,2824.0,0.6445993728278003,53
2021-03-10,C2105,2771,2776,2713,2716,797860.0,21893278400.0,2716,2,2717,30,652155.0,2744,2771.0,0.6445993728278003,63
2021-03-11,C2105,2722,2730,2701,2710,596302.0,16195562320.0,2711,1,2712,284,658841.0,2716,2716.0,0.6445993728278003,29
2021-03-12,C2105,2710,2731,2661,2717,891493.0,24061396070.0,2717,40,2718,163,656045.0,2699,2710.0,0.6445993728278003,70
2021-03-15,C2105,2717,2721,2669,2710,540420.0,14575127400.0,2710,68,2711,46,644504.0,2697,2717.0,0.6445993728278003,52
2021-03-16,C2105,2710,2726,2694,2716,436868.0,11839122800.0,2715,39,2716,155,622082.0,2710,2710.0,0.6445993728278003,32
2021-03-17,C2105,2721,2740,2696,2704,517709.0,14071330620.0,2703,1,2704,16,607797.0,2718,2716.0,0.6445993728278003,44
2021-03-18,C2105,2700,2711,2680,2695,422242.0,11379421900.0,2694,8,2695,5,603070.0,2695,2704.0,0.6445993728278003,31
2021-03-19,C2105,2695,2713,2686,2706,366892.0,9902415080.0,2705,2,2706,2,595853.0,2699,2695.0,0.6445993728278003,27
2021-03-22,C2105,2700,2735,2699,2725,468638.0,12737580840.0,2725,44,2726,20,569106.0,2718,2706.0,0.6445993728278003,36
2021-03-23,C2105,2725,2727,2713,2719,296056.0,8046802080.0,2719,41,2720,100,552622.0,2718,2725.0,0.6445993728278003,14
2021-03-24,C2105,2719,2731,2703,2709,391501.0,10640997180.0,2708,24,2709,11,549836.0,2718,2719.0,0.6445993728278003,28
2021-03-25,C2105,2712,2730,2706,2709,398488.0,10822934080.0,2709,96,2710,409,519754.0,2716,2709.0,0.6445993728278003,24
2021-03-26,C2105,2710,2724,2703,2713,354188.0,9612662320.0,2712,431,2713,161,510313.0,2714,2709.0,0.6445993728278003,21
2021-03-29,C2105,2712,2717,2636,2654,853428.0,22812130440.0,2651,89,2654,137,547185.0,2673,2713.0,0.6445993728278003,81
2021-03-30,C2105,2662,2667,2633,2637,426816.0,11310624000.0,2636,750,2637,312,552246.0,2650,2654.0,0.6445993728278003,34
2021-03-31,C2105,2630,2643,2605,2631,510109.0,13385260160.0,2630,109,2631,11,545537.0,2624,2637.0,0.6445993728278003,38
2021-04-01,C2105,2633,2706,2612,2626,590974.0,15601713600.0,2625,78,2626,55,504639.0,2640,2631.0,0.6445993728278003,94
2021-04-02,C2105,2616,2627,2593,2603,479641.0,12518630100.0,2602,97,2603,241,493278.0,2610,2626.0,0.6445993728278003,34
2021-04-06,C2105,2621,2637,2598,2631,306487.0,8023829660.0,2631,88,2632,383,460257.0,2618,2603.0,0.6445993728278003,39
2021-04-07,C2105,2646,2665,2623,2659,405437.0,10719754280.0,2658,452,2659,7,413885.0,2644,2631.0,0.6445993728278003,42
2021-04-08,C2105,2660,2713,2652,2712,512908.0,13776708880.0,2711,1,2712,24,381212.0,2686,2659.0,0.6445993728278003,61
2021-04-09,C2105,2711,2715,2686,2692,352830.0,9512296800.0,2691,14,2692,144,336305.0,2696,2712.0,0.6445993728278003,29
2021-04-12,C2105,2692,2698,2670,2674,281113.0,7536639530.0,2674,19,2675,4,315143.0,2681,2692.0,0.6445993728278003,28
2021-04-13,C2109,2624,2645,2609,2639,415753.0,10913516250.0,2638,1,2639,186,463565.0,2625,2617.0,0.6586391757514476,36
2021-04-14,C2109,2639,2656,2633,2646,364471.0,9632968530.0,2645,107,2646,130,473071.0,2643,2639.0,0.6586391757514476,23
2021-04-15,C2109,2646,2685,2646,2684,502619.0,13414901110.0,2683,133,2684,675,494973.0,2669,2646.0,0.6586391757514476,39
2021-04-16,C2109,2686,2701,2679,2699,510022.0,13719591800.0,2699,40,2700,1007,542930.0,2690,2684.0,0.6586391757514476,22
2021-04-19,C2109,2699,2722,2683,2712,522225.0,14120964000.0,2711,52,2712,1,572979.0,2704,2699.0,0.6586391757514476,39
2021-04-20,C2109,2717,2722,2670,2703,473794.0,12782962120.0,2703,9,2704,57,586805.0,2698,2712.0,0.6586391757514476,52
2021-04-21,C2109,2703,2719,2697,2717,380905.0,10322525500.0,2717,277,2718,264,605232.0,2710,2703.0,0.6586391757514476,22
2021-04-22,C2109,2718,2757,2718,2753,489047.0,13385216390.0,2753,7,2754,777,619462.0,2737,2717.0,0.6586391757514476,39
2021-04-23,C2109,2753,2774,2750,2759,437733.0,12081430800.0,2759,230,2760,221,639323.0,2760,2753.0,0.6586391757514476,24
2021-04-26,C2109,2759,2767,2722,2744,458001.0,12595027500.0,2743,123,2744,66,636535.0,2750,2759.0,0.6586391757514476,45
2021-04-27,C2109,2744,2779,2744,2764,471482.0,13012903200.0,2764,29,2765,604,639252.0,2760,2744.0,0.6586391757514476,35
2021-04-28,C2109,2764,2772,2730,2769,591904.0,16306955200.0,2769,506,2770,977,634182.0,2755,2764.0,0.6586391757514476,42
2021-04-29,C2109,2770,2774,2745,2751,415629.0,11458891530.0,2750,70,2752,191,632604.0,2757,2769.0,0.6586391757514476,29
2021-04-30,C2109,2756,2759,2717,2733,507846.0,13894666560.0,2732,1,2733,315,591569.0,2736,2751.0,0.6586391757514476,42
2021-05-06,C2109,2759,2771,2751,2763,466637.0,12879181200.0,2762,20,2763,450,584774.0,2760,2733.0,0.6586391757514476,20
2021-05-07,C2109,2762,2838,2757,2817,697127.0,19526527270.0,2816,120,2817,111,633796.0,2801,2763.0,0.6586391757514476,81
2021-05-10,C2109,2817,2850,2813,2832,680043.0,19265618190.0,2830,37,2831,12,610826.0,2833,2817.0,0.6586391757514476,37
2021-05-11,C2109,2832,2840,2811,2831,431048.0,12181416480.0,2831,825,2832,350,613324.0,2826,2832.0,0.6586391757514476,29
2021-05-12,C2109,2839,2887,2833,2872,682326.0,19500877080.0,2871,2,2873,106,639223.0,2858,2831.0,0.6586391757514476,54
2021-05-13,C2109,2870,2870,2792,2803,717965.0,20275331600.0,2802,97,2803,5,575097.0,2824,2872.0,0.6586391757514476,78
2021-05-14,C2109,2800,2808,2761,2782,530529.0,14743400910.0,2782,17,2783,175,565365.0,2779,2803.0,0.6586391757514476,47
2021-05-17,C2109,2783,2813,2760,2772,576336.0,16022140800.0,2772,88,2773,49,555651.0,2780,2782.0,0.6586391757514476,53
2021-05-18,C2109,2775,2783,2761,2774,405312.0,11227142400.0,2774,19,2775,85,559518.0,2770,2772.0,0.6586391757514476,22
2021-05-19,C2109,2770,2788,2745,2768,477745.0,13200094350.0,2767,109,2768,265,555526.0,2763,2774.0,0.6586391757514476,43
2021-05-20,C2109,2767,2772,2731,2759,530334.0,14594791680.0,2759,42,2760,179,548416.0,2752,2768.0,0.6586391757514476,41
2021-05-21,C2109,2769,2784,2756,2764,577242.0,15983830980.0,2764,652,2765,74,544727.0,2769,2759.0,0.6586391757514476,28
2021-05-24,C2109,2764,2773,2711,2737,724509.0,19887772050.0,2736,46,2738,58,523049.0,2745,2764.0,0.6586391757514476,62
2021-05-25,C2109,2735,2760,2724,2730,478360.0,13107064000.0,2730,67,2731,27,526333.0,2740,2737.0,0.6586391757514476,36
2021-05-26,C2109,2733,2740,2668,2670,747357.0,20141271150.0,2670,43,2671,331,596053.0,2695,2730.0,0.6586391757514476,72
2021-05-27,C2109,2665,2690,2655,2669,519573.0,13877794830.0,2668,276,2669,25,603841.0,2671,2670.0,0.6586391757514476,35
2021-05-28,C2109,2669,2722,2662,2682,581869.0,15629001340.0,2681,1033,2682,110,589064.0,2686,2669.0,0.6586391757514476,60
2021-05-31,C2109,2682,2710,2659,2666,562718.0,15097723940.0,2665,257,2666,17,595732.0,2683,2682.0,0.6586391757514476,51
2021-06-01,C2109,2663,2696,2657,2693,453044.0,12141579200.0,2693,27,2694,634,583709.0,2680,2666.0,0.6586391757514476,39
2021-06-02,C2109,2702,2724,2690,2715,502304.0,13597369280.0,2714,22,2715,3,554438.0,2707,2693.0,0.6586391757514476,34
2021-06-03,C2109,2715,2740,2707,2733,439278.0,11983503840.0,2732,66,2733,117,547029.0,2728,2715.0,0.6586391757514476,33
2021-06-04,C2109,2731,2734,2697,2713,503205.0,13667047800.0,2713,73,2714,16,543467.0,2716,2733.0,0.6586391757514476,37
2021-06-07,C2109,2725,2735,2699,2705,502249.0,13631037860.0,2705,184,2706,172,545309.0,2714,2713.0,0.6586391757514476,36
2021-06-08,C2109,2705,2708,2670,2689,525170.0,14116569600.0,2688,326,2689,288,555877.0,2688,2705.0,0.6586391757514476,38
2021-06-09,C2109,2689,2712,2679,2707,415042.0,11168780220.0,2706,9,2707,610,549904.0,2691,2689.0,0.6586391757514476,33
2021-06-10,C2109,2705,2735,2693,2730,531460.0,14434453600.0,2730,215,2731,181,543886.0,2716,2707.0,0.6586391757514476,42
2021-06-11,C2109,2735,2768,2721,2765,532189.0,14587300490.0,2764,57,2765,31,562564.0,2741,2730.0,0.6586391757514476,47
2021-06-15,C2109,2738,2740,2674,2682,634997.0,17087769270.0,2682,65,2683,1,517719.0,2691,2765.0,0.6586391757514476,66
2021-06-16,C2109,2682,2696,2666,2668,415274.0,11133495940.0,2668,224,2669,115,541446.0,2681,2682.0,0.6586391757514476,30
2021-06-17,C2109,2668,2689,2666,2670,368653.0,9868840810.0,2669,110,2670,7,551490.0,2677,2668.0,0.6586391757514476,23
