time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,CJ2105,10190,10195,10050,10150,18990.0,961368750.0,10150,11,10155,14,21856.0,10125,10170.0,0.9236942011744524,145
2021-01-05,CJ2105,10160,10210,10085,10145,15957.0,808620975.0,10145,28,10150,98,22073.0,10135,10150.0,0.9236942011744524,125
2021-01-06,CJ2105,10175,10195,10085,10105,12977.0,656636200.0,10100,1,10105,9,21598.0,10120,10145.0,0.9236942011744524,110
2021-01-07,CJ2105,10125,10185,10010,10180,23558.0,1190856900.0,10175,3,10180,8,23258.0,10110,10105.0,0.9236942011744524,175
2021-01-08,CJ2105,10200,10445,10160,10315,57666.0,2972682300.0,10315,5,10320,66,27708.0,10310,10180.0,0.9236942011744524,285
2021-01-11,CJ2105,10290,10425,10170,10315,39209.0,2019263500.0,10305,1,10315,1,25941.0,10300,10315.0,0.9236942011744524,255
2021-01-12,CJ2105,10340,10380,10255,10305,24132.0,1245211200.0,10310,1,10315,25,28824.0,10320,10315.0,0.9236942011744524,125
2021-01-13,CJ2105,10280,10325,10200,10295,21133.0,1084651225.0,10295,1,10300,27,27462.0,10265,10305.0,0.9236942011744524,125
2021-01-14,CJ2105,10305,10320,10170,10200,25340.0,1298675000.0,10200,1,10205,1,24698.0,10250,10295.0,0.9236942011744524,150
2021-01-15,CJ2105,10210,10285,10165,10255,21142.0,1081413300.0,10250,2,10255,13,25257.0,10230,10200.0,0.9236942011744524,120
2021-01-18,CJ2105,10275,10420,10270,10350,34431.0,1782665025.0,10345,2,10350,102,29438.0,10355,10255.0,0.9236942011744524,150
2021-01-19,CJ2105,10335,10390,10250,10255,19877.0,1024659350.0,10255,30,10260,19,25993.0,10310,10350.0,0.9236942011744524,140
2021-01-20,CJ2105,10285,10325,10235,10250,13443.0,690298050.0,10250,109,10255,13,25523.0,10270,10255.0,0.9236942011744524,90
2021-01-21,CJ2105,10240,10270,10200,10205,14350.0,734361250.0,10200,153,10210,30,24437.0,10235,10250.0,0.9236942011744524,70
2021-01-22,CJ2105,10225,10340,10190,10330,24825.0,1276625625.0,10325,5,10330,15,26402.0,10285,10205.0,0.9236942011744524,150
2021-01-25,CJ2105,10325,10330,10200,10255,17902.0,917477500.0,10255,2,10260,17,23832.0,10250,10330.0,0.9236942011744524,130
2021-01-26,CJ2105,10250,10295,10205,10250,12159.0,623148750.0,10250,5,10255,136,24085.0,10250,10255.0,0.9236942011744524,90
2021-01-27,CJ2105,10280,10370,10260,10315,22114.0,1140529550.0,10315,47,10320,5,24806.0,10315,10250.0,0.9236942011744524,110
2021-01-28,CJ2105,10295,10355,10275,10310,14262.0,735562650.0,10305,2,10310,5,24909.0,10315,10315.0,0.9236942011744524,80
2021-01-29,CJ2105,10310,10350,10245,10285,16942.0,872936550.0,10280,105,10285,19,23505.0,10305,10310.0,0.9236942011744524,105
2021-02-01,CJ2105,10260,10265,10095,10150,32035.0,1633785000.0,10135,21,10160,3,19219.0,10200,10285.0,0.9236942011744524,170
2021-02-02,CJ2105,10160,10215,10125,10200,10280.0,522995000.0,10200,21,10205,2,18092.0,10175,10150.0,0.9236942011744524,90
2021-02-03,CJ2105,10205,10250,10170,10240,12683.0,648101300.0,10240,9,10250,100,18162.0,10220,10200.0,0.9236942011744524,80
2021-02-04,CJ2105,10245,10300,10205,10255,9720.0,497907000.0,10255,4,10260,24,17983.0,10245,10240.0,0.9236942011744524,95
2021-02-05,CJ2105,10255,10290,10110,10125,16160.0,823352000.0,10125,10,10140,4,16870.0,10190,10255.0,0.9236942011744524,180
2021-02-08,CJ2105,10135,10150,10050,10135,13857.0,700124925.0,10125,3,10135,9,15887.0,10105,10125.0,0.9236942011744524,100
2021-02-09,CJ2105,10135,10150,9950,9975,9424.0,474262800.0,9980,1,9985,13,16403.0,10065,10135.0,0.9236942011744524,200
2021-02-10,CJ2105,9975,10040,9915,10010,12576.0,627856800.0,10000,5,10010,3,15249.0,9985,9975.0,0.9236942011744524,125
2021-02-18,CJ2105,10065,10095,9965,10015,7935.0,397345125.0,10010,2,10015,1,16229.0,10015,10010.0,0.9236942011744524,130
2021-02-19,CJ2105,10040,10150,10015,10125,15798.0,797799000.0,10120,3,10130,5,16303.0,10100,10015.0,0.9236942011744524,135
2021-02-22,CJ2105,10145,10400,10130,10395,23792.0,1224098400.0,10390,9,10395,10,18211.0,10290,10125.0,0.9236942011744524,270
2021-02-23,CJ2105,10365,10510,10330,10380,26808.0,1397367000.0,10375,2,10390,6,20855.0,10425,10395.0,0.9236942011744524,180
2021-02-24,CJ2105,10390,10450,10340,10365,13933.0,723471025.0,10360,3,10365,7,21345.0,10385,10380.0,0.9236942011744524,110
2021-02-25,CJ2105,10400,10475,10375,10450,22787.0,1188342050.0,10445,66,10455,29,23500.0,10430,10365.0,0.9236942011744524,100
2021-02-26,CJ2105,10390,10955,10355,10610,168651.0,9060774975.0,10600,20,10610,26,29514.0,10745,10450.0,0.9236942011744524,600
2021-03-01,CJ2105,10660,10865,10660,10805,48119.0,2594817075.0,10805,2,10810,1,31531.0,10785,10610.0,0.9236942011744524,205
2021-03-02,CJ2105,10810,10810,10505,10580,32018.0,1700956250.0,10580,2,10585,7,27022.0,10625,10805.0,0.9236942011744524,305
2021-03-03,CJ2105,10600,10690,10520,10520,22062.0,1169837550.0,10525,1,10535,1,25779.0,10605,10580.0,0.9236942011744524,170
2021-03-04,CJ2105,10510,10535,10415,10485,22705.0,1189174375.0,10480,35,10485,32,23622.0,10475,10520.0,0.9236942011744524,120
