time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,CS2105,3095,3138,3079,3089,97776.0,3043766880.0,3087,10,3089,66,117088.0,3113,3090.0,1.0419956028079864,59
2021-01-05,CS2105,3094,3142,3088,3135,120474.0,3753969840.0,3134,5,3135,58,129508.0,3116,3089.0,1.0419956028079864,54
2021-01-06,CS2105,3135,3167,3132,3150,111244.0,3501961120.0,3150,83,3152,47,134809.0,3148,3135.0,1.0419956028079864,35
2021-01-07,CS2105,3150,3182,3150,3178,126046.0,3993137280.0,3176,64,3178,39,133691.0,3168,3150.0,1.0419956028079864,32
2021-01-08,CS2105,3182,3211,3164,3208,106006.0,3383711520.0,3208,48,3209,122,142541.0,3192,3178.0,1.0419956028079864,47
2021-01-11,CS2105,3214,3310,3211,3257,217797.0,7100182200.0,3255,20,3258,114,150898.0,3260,3208.0,1.0419956028079864,99
2021-01-12,CS2105,3257,3281,3208,3273,153585.0,4983833250.0,3272,48,3275,40,152511.0,3245,3257.0,1.0419956028079864,73
2021-01-13,CS2105,3268,3348,3263,3282,169677.0,5599341000.0,3282,20,3283,5,155934.0,3300,3273.0,1.0419956028079864,85
2021-01-14,CS2105,3290,3293,3219,3251,166980.0,5425180200.0,3251,1,3253,24,147163.0,3249,3282.0,1.0419956028079864,74
2021-01-15,CS2105,3251,3278,3234,3261,126419.0,4114938450.0,3261,7,3262,8,147762.0,3255,3251.0,1.0419956028079864,44
2021-01-18,CS2105,3253,3332,3252,3284,190461.0,6283308390.0,3282,45,3285,106,162677.0,3299,3261.0,1.0419956028079864,80
2021-01-19,CS2105,3288,3323,3269,3288,175259.0,5776536640.0,3287,4,3288,212,173673.0,3296,3284.0,1.0419956028079864,54
2021-01-20,CS2105,3298,3298,3240,3264,166545.0,5436028800.0,3263,151,3265,112,170002.0,3264,3288.0,1.0419956028079864,58
2021-01-21,CS2105,3264,3286,3252,3269,128001.0,4183072680.0,3268,6,3270,48,163787.0,3268,3264.0,1.0419956028079864,34
2021-01-22,CS2105,3270,3290,3223,3248,210765.0,6847754850.0,3248,10,3249,15,163057.0,3249,3269.0,1.0419956028079864,67
2021-01-25,CS2105,3248,3272,3169,3189,224489.0,7221811130.0,3189,60,3190,2,150601.0,3217,3248.0,1.0419956028079864,103
2021-01-26,CS2105,3192,3216,3183,3203,129554.0,4147023540.0,3201,40,3204,15,158777.0,3201,3189.0,1.0419956028079864,33
2021-01-27,CS2105,3209,3229,3180,3186,170712.0,5473026720.0,3186,5,3188,37,159014.0,3206,3203.0,1.0419956028079864,49
2021-01-28,CS2105,3186,3199,3136,3137,180005.0,5698958300.0,3137,34,3138,6,147609.0,3166,3186.0,1.0419956028079864,63
2021-01-29,CS2105,3137,3150,3096,3105,166567.0,5198556070.0,3104,27,3107,12,143566.0,3121,3137.0,1.0419956028079864,54
2021-02-01,CS2105,3106,3184,3104,3178,182441.0,5748715910.0,3177,2,3178,94,132983.0,3151,3105.0,1.0419956028079864,80
2021-02-02,CS2105,3172,3175,3146,3162,97058.0,3065091640.0,3162,264,3163,6,128054.0,3158,3178.0,1.0419956028079864,29
2021-02-03,CS2105,3166,3189,3136,3176,111531.0,3521033670.0,3175,13,3177,1,131811.0,3157,3162.0,1.0419956028079864,53
2021-02-04,CS2105,3175,3211,3165,3201,114438.0,3645994680.0,3201,8,3202,12,137975.0,3186,3176.0,1.0419956028079864,46
2021-02-05,CS2105,3194,3245,3192,3244,109282.0,3511230660.0,3244,9,3245,85,141990.0,3213,3201.0,1.0419956028079864,53
2021-02-08,CS2105,3244,3250,3151,3156,178176.0,5687377920.0,3155,19,3156,2,127484.0,3192,3244.0,1.0419956028079864,99
