time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,CU2102,57750,58300,57680,58160,82919.0,24067239750.0,58130,26,58150,11,96881.0,58050,57750.0,1.2542344209829277,620
2021-01-05,CU2102,58220,58550,57710,58110,103527.0,30069417150.0,58110,2,58130,1,96490.0,58090,58160.0,1.2542344209829277,840
2021-01-06,CU2102,58160,59280,58090,59030,120470.0,35400109500.0,59030,1,59050,10,97891.0,58770,58110.0,1.2542344209829277,1190
2021-01-07,CU2102,59330,59550,58720,59380,114651.0,33925230900.0,59390,7,59400,4,95867.0,59180,59030.0,1.2542344209829277,830
2021-01-08,CU2102,59190,60680,59000,60310,145940.0,43818485000.0,60280,1,60290,3,95088.0,60050,59380.0,1.2542344209829277,1680
2021-01-11,CU2102,60060,60220,58540,58580,171238.0,50814876500.0,58570,2,58580,10,86291.0,59350,60310.0,1.2542344209829277,1680
2021-01-12,CU2103,58620,58870,57960,58710,155293.0,45314497400.0,58710,43,58730,19,110137.0,58360,58670.0,1.252310420678028,910
2021-01-13,CU2103,58780,59100,58580,58780,122271.0,35972128200.0,58780,4,58790,3,114010.0,58840,58710.0,1.252310420678028,520
2021-01-14,CU2103,58650,58970,58450,58740,106241.0,31202981700.0,58740,6,58750,4,115412.0,58740,58780.0,1.252310420678028,520
2021-01-15,CU2103,58910,59750,58650,58690,164481.0,48711048150.0,58690,21,58730,1,121920.0,59230,58740.0,1.252310420678028,1100
2021-01-18,CU2103,58730,59430,58320,59280,169802.0,49862357300.0,59280,1,59300,12,125225.0,58730,58690.0,1.252310420678028,1110
2021-01-19,CU2103,59130,59190,58670,58890,101309.0,29845631400.0,58890,2,58900,3,124070.0,58920,59280.0,1.252310420678028,520
2021-01-20,CU2103,59060,59460,58710,59120,134630.0,39783165000.0,59100,3,59120,84,124606.0,59100,58890.0,1.252310420678028,750
2021-01-21,CU2103,59000,59490,58720,59340,129082.0,38188909700.0,59320,40,59330,1,128152.0,59170,59120.0,1.252310420678028,770
2021-01-22,CU2103,59340,59630,58640,58810,143519.0,42373984750.0,58770,3,58820,18,123912.0,59050,59340.0,1.252310420678028,990
2021-01-25,CU2103,58300,59250,58170,59090,156396.0,46003883400.0,59100,9,59110,1,123697.0,58830,58810.0,1.252310420678028,1080
2021-01-26,CU2103,58940,59090,58400,58470,113778.0,33456420900.0,58470,2,58490,4,122937.0,58810,59090.0,1.252310420678028,690
2021-01-27,CU2103,58760,59140,58570,58720,94848.0,27894796800.0,58720,12,58740,1,122378.0,58820,58470.0,1.252310420678028,570
2021-01-28,CU2103,58320,58580,57620,57760,229939.0,66682310000.0,57750,7,57770,2,126308.0,58000,58720.0,1.252310420678028,960
2021-01-29,CU2103,57690,58460,57410,57550,177119.0,51320230250.0,57540,4,57580,15,122149.0,57950,57760.0,1.252310420678028,1050
2021-02-01,CU2103,57870,58350,57280,57910,163881.0,47443549500.0,57930,1,57940,2,117638.0,57900,57550.0,1.252310420678028,1070
2021-02-02,CU2103,57790,57910,57260,57300,114326.0,32931604300.0,57300,10,57330,7,117673.0,57610,57910.0,1.252310420678028,650
2021-02-03,CU2103,57170,57480,56860,57000,136494.0,38989511100.0,57000,2,57010,4,113563.0,57130,57300.0,1.252310420678028,620
2021-02-04,CU2103,57400,57950,57230,57820,118813.0,34235965950.0,57810,12,57820,17,105705.0,57630,57000.0,1.252310420678028,720
2021-02-05,CU2103,57720,58240,57540,58210,97200.0,28139400000.0,58200,16,58210,101,100615.0,57900,57820.0,1.252310420678028,700
2021-02-08,CU2103,58430,59030,58120,58790,102902.0,30145140900.0,58780,1,58800,35,93985.0,58590,58210.0,1.252310420678028,910
2021-02-09,CU2103,58790,59720,58780,59570,91536.0,27131270400.0,59560,6,59570,11,90464.0,59280,58790.0,1.252310420678028,940
2021-02-10,CU2103,59610,60830,59420,60800,117134.0,35169483500.0,60770,1,60800,126,83408.0,60050,59570.0,1.252310420678028,1410
2021-02-18,CU2103,61820,63290,61600,63210,80289.0,25130457000.0,63200,2,63230,1,80691.0,62600,60800.0,1.252310420678028,1690
2021-02-19,CU2104,63390,64470,63000,64320,199534.0,63411905200.0,64320,13,64330,7,147830.0,63560,63340.0,1.249740159315727,1470
2021-02-22,CU2104,64460,67370,64370,67370,296364.0,97918665600.0,67370,1141,0,0,151769.0,66080,64320.0,1.249740159315727,3000
2021-02-23,CU2104,66750,68790,66420,67950,467269.0,157820104750.0,67960,1,67970,26,153964.0,67550,67370.0,1.249740159315727,2370
2021-02-24,CU2104,67550,68880,66560,67910,454424.0,153799802800.0,67900,1,67920,2,153444.0,67690,67950.0,1.249740159315727,2320
2021-02-25,CU2104,68390,70740,67900,70150,403093.0,139832961700.0,70140,1,70150,13,154200.0,69380,67910.0,1.249740159315727,2840
2021-02-26,CU2104,70080,70440,67940,67950,422027.0,145915835250.0,67990,3,68000,24,140997.0,69150,70150.0,1.249740159315727,2500
2021-03-01,CU2104,67420,68110,66860,67450,334847.0,113094574250.0,67440,4,67450,60,127886.0,67550,67950.0,1.249740159315727,1250
2021-03-02,CU2104,67410,67610,65730,66780,242399.0,80827946550.0,66770,7,66780,7,120945.0,66690,67450.0,1.249740159315727,1880
2021-03-03,CU2104,67650,68400,67250,67810,195794.0,66354586600.0,67810,12,67820,4,118873.0,67780,66780.0,1.249740159315727,1150
2021-03-04,CU2104,67630,67630,66430,66460,168654.0,56583417000.0,66460,5,66470,1,115913.0,67100,67810.0,1.249740159315727,1200
2021-03-05,CU2104,65130,66400,64210,65920,295735.0,96794065500.0,65890,5,65900,1,109217.0,65460,66460.0,1.249740159315727,2190
2021-03-08,CU2104,66330,67330,65660,65770,185050.0,61473610000.0,65760,5,65770,3,105830.0,66440,65920.0,1.249740159315727,1670
2021-03-09,CU2104,66200,67460,65710,66000,175033.0,58303492300.0,66000,33,66050,4,100111.0,66620,65770.0,1.249740159315727,1750
2021-03-10,CU2105,66130,66280,65070,65400,194750.0,63965637500.0,65400,2,65410,45,131006.0,65690,66120.0,1.2474720283550813,1210
2021-03-11,CU2105,65960,67770,65410,67360,225414.0,74871260100.0,67360,41,67370,48,150597.0,66430,65400.0,1.2474720283550813,2360
2021-03-12,CU2105,67260,67470,66590,66920,190335.0,63819325500.0,66920,35,66960,46,147954.0,67060,67360.0,1.2474720283550813,880
2021-03-15,CU2105,66920,68230,66860,67520,204178.0,68920283900.0,67520,11,67540,1,157495.0,67510,66920.0,1.2474720283550813,1370
2021-03-16,CU2105,67680,67780,66690,66740,137751.0,46435862100.0,66730,1,66740,18,154268.0,67420,67520.0,1.2474720283550813,1090
2021-03-17,CU2105,66490,67110,66180,66940,146956.0,48929000200.0,66940,1,66950,1,149899.0,66590,66740.0,1.2474720283550813,930
2021-03-18,CU2105,66920,67700,66660,66920,146886.0,49294941600.0,66910,40,66920,4,149439.0,67120,66940.0,1.2474720283550813,1040
2021-03-19,CU2105,66980,67390,65510,66020,217722.0,72555856500.0,66010,8,66020,2,148049.0,66650,66920.0,1.2474720283550813,1880
2021-03-22,CU2105,66510,67440,66220,66800,181394.0,60603735400.0,66790,3,66800,5,146542.0,66820,66020.0,1.2474720283550813,1220
2021-03-23,CU2105,67020,67720,66380,67040,193756.0,64976074600.0,67030,1,67040,12,149707.0,67070,66800.0,1.2474720283550813,1340
2021-03-24,CU2105,66750,66910,66080,66480,153428.0,50999467200.0,66490,2,66500,6,150834.0,66480,67040.0,1.2474720283550813,830
2021-03-25,CU2105,66690,66980,65480,65560,191090.0,63222126500.0,65560,24,65570,6,154325.0,66170,66480.0,1.2474720283550813,1500
2021-03-26,CU2105,65210,66390,64930,66170,204962.0,67207039800.0,66170,2,66190,9,146801.0,65580,65560.0,1.2474720283550813,1460
2021-03-29,CU2105,66280,66900,66070,66340,145770.0,48439371000.0,66340,4,66350,3,145045.0,66460,66170.0,1.2474720283550813,830
2021-03-30,CU2105,66420,66620,65860,65880,128138.0,42496967700.0,65870,54,65880,12,143696.0,66330,66340.0,1.2474720283550813,760
2021-03-31,CU2105,65860,65930,65190,65600,161047.0,52831468350.0,65590,37,65600,5,142081.0,65610,65880.0,1.2474720283550813,740
2021-04-01,CU2105,65750,65890,65030,65090,134908.0,44202606200.0,65070,4,65090,2,141971.0,65530,65600.0,1.2474720283550813,860
2021-04-02,CU2105,65390,67260,65340,67090,192731.0,63745778250.0,67090,9,67110,7,128627.0,66150,65090.0,1.2474720283550813,1920
2021-04-06,CU2105,67480,67670,66850,67010,89025.0,29925753750.0,67010,1,67040,25,126446.0,67230,67090.0,1.2474720283550813,820
2021-04-07,CU2105,67010,67410,66750,66900,94176.0,31596048000.0,66890,6,66920,1,123324.0,67100,67010.0,1.2474720283550813,660
2021-04-08,CU2105,66590,67210,66310,66850,120227.0,40059636400.0,66850,11,66870,4,117460.0,66640,66900.0,1.2474720283550813,900
2021-04-09,CU2105,66860,67290,66550,66720,96815.0,32370095250.0,66700,2,66720,3,112311.0,66870,66850.0,1.2474720283550813,740
2021-04-12,CU2105,66870,66940,65650,65690,130994.0,43267318200.0,65690,16,65700,38,106706.0,66060,66720.0,1.2474720283550813,1290
