time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,EB2102,6375,6415,6233,6364,87417.0,2762814285.0,6363,10,6364,91,52965.0,6321,6356.0,0.881656691571164,182
2021-01-05,EB2102,6335,6532,6325,6411,222357.0,7147665765.0,6411,1,6412,3,46619.0,6429,6364.0,0.881656691571164,207
2021-01-06,EB2102,6430,6688,6428,6600,317611.0,10446225790.0,6596,15,6600,564,48554.0,6578,6411.0,0.881656691571164,260
2021-01-07,EB2102,6580,6730,6462,6660,255339.0,8438953950.0,6655,2,6660,30,51510.0,6610,6600.0,0.881656691571164,268
2021-01-08,EB2102,6675,6795,6536,6698,249542.0,8307253180.0,6697,3,6698,3,47439.0,6658,6660.0,0.881656691571164,259
2021-01-11,EB2102,6671,6885,6570,6679,332150.0,11120382000.0,6678,1,6679,24,43030.0,6696,6698.0,0.881656691571164,315
2021-01-12,EB2102,6721,6808,6551,6758,276817.0,9244303715.0,6755,2,6758,14,43990.0,6679,6679.0,0.881656691571164,257
2021-01-13,EB2102,6752,6997,6747,6898,255004.0,8754287320.0,6897,1,6898,2,50087.0,6866,6758.0,0.881656691571164,250
2021-01-14,EB2102,6891,6969,6652,6689,252080.0,8569459600.0,6688,2,6689,6,38138.0,6799,6898.0,0.881656691571164,317
2021-01-15,EB2102,6703,6868,6674,6790,116021.0,3925570535.0,6782,95,6789,1,43787.0,6767,6689.0,0.881656691571164,194
2021-01-18,EB2102,6790,7369,6729,6858,152123.0,5232270585.0,6855,4,6863,3,45411.0,6879,6790.0,0.881656691571164,640
2021-01-19,EB2102,6858,7200,6830,7116,204264.0,7209497880.0,7114,18,7116,82,64115.0,7059,6858.0,0.881656691571164,370
2021-01-20,EB2102,7116,7280,7061,7125,180662.0,6475829390.0,7126,2,7131,3,63147.0,7169,7116.0,0.881656691571164,219
2021-01-21,EB2102,7128,7223,6840,6900,171864.0,6016958640.0,6900,1,6902,24,58956.0,7002,7125.0,0.881656691571164,383
2021-01-22,EB2102,6900,7011,6738,6871,172454.0,5906549500.0,6870,3,6871,217,56211.0,6850,6900.0,0.881656691571164,273
2021-01-25,EB2102,6812,6963,6769,6884,101572.0,3489506060.0,6876,1,6886,18,45683.0,6871,6871.0,0.881656691571164,194
2021-01-26,EB2103,6910,7120,6894,7056,271359.0,9551836800.0,7055,13,7056,12,76141.0,7040,6916.0,0.8775773083828649,226
2021-01-27,EB2103,7089,7426,7088,7419,439618.0,16008689470.0,7419,18,7420,1,130344.0,7283,7056.0,0.8775773083828649,338
2021-01-28,EB2103,7397,7400,7071,7092,526318.0,19042185240.0,7091,56,7092,9,94441.0,7236,7419.0,0.8775773083828649,329
2021-01-29,EB2103,7120,7305,6965,7299,543476.0,19317854420.0,7298,102,7299,10,94202.0,7109,7092.0,0.8775773083828649,340
2021-02-01,EB2103,7300,7386,7225,7335,420489.0,15375180285.0,7335,3,7337,2,91824.0,7313,7299.0,0.8775773083828649,161
2021-02-02,EB2103,7364,7529,7355,7451,307506.0,11463823680.0,7451,124,7452,4,91022.0,7456,7335.0,0.8775773083828649,174
2021-02-03,EB2103,7485,7550,7308,7423,224671.0,8321813840.0,7422,1,7423,3,89176.0,7408,7451.0,0.8775773083828649,242
2021-02-04,EB2103,7450,7650,7345,7641,305399.0,11403598660.0,7640,40,7643,12,104808.0,7468,7423.0,0.8775773083828649,305
2021-02-05,EB2103,7617,7705,7582,7687,290367.0,11093471235.0,7688,1,7689,63,108070.0,7641,7641.0,0.8775773083828649,123
2021-02-08,EB2103,7716,7920,7643,7734,384181.0,14946561805.0,7731,2,7735,64,99566.0,7781,7687.0,0.8775773083828649,277
2021-02-09,EB2103,7762,7960,7687,7918,292113.0,11401170390.0,7914,1,7918,13,100073.0,7806,7734.0,0.8775773083828649,273
2021-02-10,EB2103,7911,7912,7625,7678,272661.0,10539710955.0,7679,16,7680,63,73209.0,7731,7918.0,0.8775773083828649,287
2021-02-18,EB2103,8581,8581,8410,8581,193586.0,8254507040.0,8581,8080,0,0,92230.0,8528,7678.0,0.8775773083828649,171
2021-02-19,EB2103,8780,8928,8586,8811,455570.0,19981300200.0,8811,8,8817,11,81296.0,8772,8581.0,0.8775773083828649,342
2021-02-22,EB2103,8851,9500,8780,9338,487373.0,22399663080.0,9337,19,9338,6,80170.0,9192,8811.0,0.8775773083828649,720
