time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,EG2105,4400,4506,4356,4503,239227.0,10609717450.0,4502,10,4503,14,258117.0,4435,4398.0,0.9017130008649202,150
2021-01-05,EG2105,4485,4524,4396,4421,291914.0,13031040960.0,4421,10,4422,20,244684.0,4464,4503.0,0.9017130008649202,128
2021-01-06,EG2105,4436,4491,4405,4450,256591.0,11418299500.0,4449,15,4450,8,245901.0,4450,4421.0,0.9017130008649202,86
2021-01-07,EG2105,4449,4510,4408,4438,322245.0,14349569850.0,4438,98,4440,1,243661.0,4453,4450.0,0.9017130008649202,102
2021-01-08,EG2105,4442,4494,4372,4416,323722.0,14337647380.0,4416,17,4418,19,232223.0,4429,4438.0,0.9017130008649202,122
2021-01-11,EG2105,4438,4476,4322,4429,420065.0,18533267800.0,4428,2,4429,38,214103.0,4412,4416.0,0.9017130008649202,154
2021-01-12,EG2105,4425,4543,4392,4541,575475.0,25752506250.0,4541,12,4543,149,263960.0,4475,4429.0,0.9017130008649202,151
2021-01-13,EG2105,4560,4579,4505,4542,373185.0,16950062700.0,4541,72,4542,63,256519.0,4542,4541.0,0.9017130008649202,74
2021-01-14,EG2105,4542,4567,4400,4402,396808.0,17832551520.0,4401,20,4403,14,232471.0,4494,4542.0,0.9017130008649202,167
2021-01-15,EG2105,4402,4450,4373,4434,279539.0,12344442240.0,4434,6,4435,19,227026.0,4416,4402.0,0.9017130008649202,77
2021-01-18,EG2105,4432,4456,4355,4448,333653.0,14717433830.0,4448,3,4450,103,208508.0,4411,4434.0,0.9017130008649202,101
2021-01-19,EG2105,4458,4495,4400,4429,294585.0,13117870050.0,4427,39,4429,37,204598.0,4453,4448.0,0.9017130008649202,95
2021-01-20,EG2105,4445,4511,4412,4480,349340.0,15601524400.0,4479,59,4480,39,211986.0,4466,4429.0,0.9017130008649202,99
2021-01-21,EG2105,4486,4499,4420,4442,325133.0,14523691110.0,4443,1,4444,10,207202.0,4467,4480.0,0.9017130008649202,79
2021-01-22,EG2105,4450,4458,4290,4293,417395.0,18240161500.0,4293,5,4294,1,217903.0,4370,4442.0,0.9017130008649202,168
2021-01-25,EG2105,4280,4391,4256,4369,313849.0,13577107740.0,4368,4,4369,8,197125.0,4326,4293.0,0.9017130008649202,135
2021-01-26,EG2105,4369,4369,4306,4310,221747.0,9617167390.0,4310,7,4311,2,192013.0,4337,4369.0,0.9017130008649202,63
2021-01-27,EG2105,4325,4444,4323,4433,300658.0,13183853300.0,4430,50,4433,7,207582.0,4385,4310.0,0.9017130008649202,121
2021-01-28,EG2105,4420,4497,4410,4487,281440.0,12507193600.0,4487,124,4488,39,212099.0,4444,4433.0,0.9017130008649202,87
2021-01-29,EG2105,4490,4673,4490,4659,489870.0,22455640800.0,4657,23,4660,3,233243.0,4584,4487.0,0.9017130008649202,183
2021-02-01,EG2105,4690,4737,4634,4648,343024.0,16036372000.0,4647,64,4648,2,227571.0,4675,4659.0,0.9017130008649202,103
2021-02-02,EG2105,4650,4805,4648,4761,364352.0,17292145920.0,4761,6,4762,34,234362.0,4746,4648.0,0.9017130008649202,157
2021-02-03,EG2105,4780,4800,4660,4711,348331.0,16489989540.0,4711,8,4712,89,219836.0,4734,4761.0,0.9017130008649202,140
2021-02-04,EG2105,4730,4744,4654,4709,300486.0,14101807980.0,4707,120,4709,1,212036.0,4693,4711.0,0.9017130008649202,90
2021-02-05,EG2105,4705,4736,4600,4646,385175.0,17933748000.0,4645,7,4647,22,202234.0,4656,4709.0,0.9017130008649202,136
2021-02-08,EG2105,4658,4796,4624,4705,321358.0,15119893900.0,4704,2,4705,15,197980.0,4705,4646.0,0.9017130008649202,172
2021-02-09,EG2105,4705,4714,4613,4624,269384.0,12526356000.0,4624,44,4625,73,190346.0,4650,4705.0,0.9017130008649202,101
2021-02-10,EG2105,4618,4627,4550,4560,257118.0,11763148500.0,4560,15,4561,19,169299.0,4575,4624.0,0.9017130008649202,77
2021-02-18,EG2105,4986,4986,4783,4986,280832.0,13811317760.0,4986,4938,0,0,171101.0,4918,4560.0,0.9017130008649202,203
2021-02-19,EG2105,5000,5134,4963,5060,407558.0,20557225520.0,5059,1,5060,17,183471.0,5044,4986.0,0.9017130008649202,171
2021-02-22,EG2105,5060,5497,5016,5497,516685.0,27549644200.0,5497,1104,0,0,195663.0,5332,5060.0,0.9017130008649202,481
2021-02-23,EG2105,5506,5730,5362,5416,738795.0,40884915300.0,5415,75,5416,18,194644.0,5534,5497.0,0.9017130008649202,368
