time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,FG2105,1850,1878,1826,1868,699581.0,25856513760.0,1867,374,1868,100,437861.0,1848,1859.0,1.6857992911188548,52
2021-01-05,FG2105,1862,1881,1832,1835,947935.0,35149429800.0,1835,637,1836,6,438890.0,1854,1868.0,1.6857992911188548,49
2021-01-06,FG2105,1838,1840,1795,1803,1266031.0,45906284060.0,1802,382,1803,158,466467.0,1813,1835.0,1.6857992911188548,45
2021-01-07,FG2105,1800,1807,1779,1788,961810.0,34452034200.0,1788,445,1789,1093,463028.0,1791,1803.0,1.6857992911188548,28
2021-01-08,FG2105,1788,1816,1768,1782,1178325.0,42231168000.0,1781,405,1782,88,434432.0,1792,1788.0,1.6857992911188548,48
2021-01-11,FG2105,1770,1797,1737,1793,1222955.0,43194770600.0,1793,115,1794,41,445836.0,1766,1782.0,1.6857992911188548,60
2021-01-12,FG2105,1789,1793,1752,1777,1052019.0,37304593740.0,1777,462,1778,713,442673.0,1773,1793.0,1.6857992911188548,41
2021-01-13,FG2105,1780,1781,1735,1738,947600.0,33260760000.0,1737,267,1738,318,465568.0,1755,1777.0,1.6857992911188548,46
2021-01-14,FG2105,1734,1739,1691,1693,1084016.0,37116707840.0,1692,580,1693,89,459747.0,1712,1738.0,1.6857992911188548,48
2021-01-15,FG2105,1695,1714,1683,1699,1023439.0,34755988440.0,1698,645,1699,4,436009.0,1698,1693.0,1.6857992911188548,31
2021-01-18,FG2105,1699,1744,1685,1734,1003301.0,34433290320.0,1734,284,1735,152,432535.0,1716,1699.0,1.6857992911188548,59
2021-01-19,FG2105,1738,1742,1715,1730,838734.0,28986647040.0,1730,10,1731,83,447119.0,1728,1734.0,1.6857992911188548,27
2021-01-20,FG2105,1730,1743,1720,1733,755995.0,26172546900.0,1733,391,1734,213,444852.0,1731,1730.0,1.6857992911188548,23
2021-01-21,FG2105,1739,1765,1722,1756,948765.0,33149849100.0,1755,141,1756,1238,442887.0,1747,1733.0,1.6857992911188548,43
2021-01-22,FG2105,1756,1787,1752,1777,1089326.0,38562140400.0,1777,5,1778,316,447101.0,1770,1756.0,1.6857992911188548,35
2021-01-25,FG2105,1772,1805,1746,1805,1603420.0,56921410000.0,1804,63,1805,981,497000.0,1775,1777.0,1.6857992911188548,59
2021-01-26,FG2105,1802,1808,1754,1759,1105944.0,39415844160.0,1758,1,1759,223,478191.0,1782,1805.0,1.6857992911188548,54
2021-01-27,FG2105,1759,1779,1755,1774,736545.0,26044231200.0,1774,1175,1775,48,466296.0,1768,1759.0,1.6857992911188548,24
2021-01-28,FG2105,1775,1794,1767,1790,953219.0,33972725160.0,1789,743,1790,6,490200.0,1782,1774.0,1.6857992911188548,27
2021-01-29,FG2105,1790,1795,1773,1785,789223.0,28159476640.0,1785,191,1786,6,472819.0,1784,1790.0,1.6857992911188548,22
2021-02-01,FG2105,1782,1833,1778,1804,1112475.0,40271595000.0,1804,3,1805,844,470391.0,1810,1785.0,1.6857992911188548,55
2021-02-02,FG2105,1804,1819,1765,1768,964906.0,34659423520.0,1768,118,1769,62,458138.0,1796,1804.0,1.6857992911188548,54
2021-02-03,FG2105,1768,1780,1755,1770,763181.0,27016607400.0,1770,332,1771,3,449135.0,1770,1768.0,1.6857992911188548,25
2021-02-04,FG2105,1775,1820,1763,1817,834076.0,29859920800.0,1816,189,1817,3,439851.0,1790,1770.0,1.6857992911188548,57
2021-02-05,FG2105,1817,1841,1808,1835,736962.0,26884373760.0,1834,383,1835,5,466368.0,1824,1817.0,1.6857992911188548,33
2021-02-08,FG2105,1838,1850,1822,1841,704592.0,25844434560.0,1841,265,1842,236,460070.0,1834,1835.0,1.6857992911188548,28
2021-02-09,FG2105,1839,1868,1834,1866,534480.0,19765070400.0,1866,12,1867,119,436671.0,1849,1841.0,1.6857992911188548,34
2021-02-10,FG2105,1861,1872,1840,1870,443630.0,16485290800.0,1869,284,1870,1104,391650.0,1858,1866.0,1.6857992911188548,32
2021-02-18,FG2105,1885,1931,1885,1921,365222.0,14017220360.0,1921,24,1922,499,428002.0,1919,1870.0,1.6857992911188548,46
2021-02-19,FG2105,1923,1924,1889,1911,537467.0,20498991380.0,1911,158,1912,182,437302.0,1907,1921.0,1.6857992911188548,35
2021-02-22,FG2105,1909,1977,1905,1959,848556.0,33076712880.0,1959,164,1960,10,470141.0,1949,1911.0,1.6857992911188548,72
2021-02-23,FG2105,1955,1993,1952,1969,919450.0,36189552000.0,1968,262,1969,1,465406.0,1968,1959.0,1.6857992911188548,41
2021-02-24,FG2105,1969,1992,1953,1988,764366.0,30131307720.0,1988,504,1989,174,483398.0,1971,1969.0,1.6857992911188548,39
2021-02-25,FG2105,1995,2070,1977,2059,1187990.0,48113595000.0,2058,309,2059,98,451300.0,2025,1988.0,1.6857992911188548,93
