time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,FU2105,2067,2137.0,2021,2126,1537107.0,32233133790.0,2125,94,2126,24,414765.0,2097,2060.0,0.8499396098311195,116.0
2021-01-05,FU2105,2097,2126.0,2052,2054,1840254.0,38424503520.0,2054,119,2055,49,461620.0,2088,2126.0,0.8499396098311195,74.0
2021-01-06,FU2105,2076,2142.0,2059,2127,2016325.0,42504131000.0,2127,1,2128,155,433053.0,2108,2054.0,0.8499396098311195,83.0
2021-01-07,FU2105,2115,2207.0,2110,2194,1890494.0,40834670400.0,2193,21,2194,23,469451.0,2160,2127.0,0.8499396098311195,97.0
2021-01-08,FU2105,2185,2223.0,2170,2216,1632116.0,35792303880.0,2215,42,2216,303,475245.0,2193,2194.0,0.8499396098311195,53.0
2021-01-11,FU2105,2230,2277.0,2158,2171,2223384.0,49359124800.0,2171,110,2172,10,432667.0,2220,2216.0,0.8499396098311195,119.0
2021-01-12,FU2105,2179,2223.0,2142,2215,1665810.0,36347974200.0,2215,44,2216,33,426549.0,2182,2171.0,0.8499396098311195,81.0
2021-01-13,FU2105,2236,2265.0,2211,2256,1567770.0,35118048000.0,2256,40,2257,105,441661.0,2240,2215.0,0.8499396098311195,54.0
2021-01-14,FU2105,2246,2262.0,2202,2235,1497642.0,33367463760.0,2235,103,2236,215,424460.0,2228,2256.0,0.8499396098311195,60.0
2021-01-15,FU2105,2229,2272.0,2192,2206,1707424.0,37973109760.0,2205,99,2206,15,424136.0,2224,2235.0,0.8499396098311195,80.0
2021-01-18,FU2105,2200,2212.0,2145,2181,1437732.0,31356934920.0,2181,1,2182,127,424157.0,2181,2206.0,0.8499396098311195,67.0
2021-01-19,FU2105,2181,2205.0,2176,2191,1045350.0,22903618500.0,2191,57,2192,376,412952.0,2191,2181.0,0.8499396098311195,29.0
2021-01-20,FU2105,2199,2237.0,2193,2215,1207343.0,26718500590.0,2214,12,2215,231,418181.0,2213,2191.0,0.8499396098311195,44.0
2021-01-21,FU2105,2212,2229.0,2180,2192,1173297.0,25824266970.0,2191,772,2192,24,426163.0,2201,2215.0,0.8499396098311195,49.0
2021-01-22,FU2105,2190,2197.0,2116,2119,1505300.0,32424162000.0,2119,55,2120,77,456498.0,2154,2192.0,0.8499396098311195,81.0
2021-01-25,FU2105,2096,2116.0,2074,2099,1341047.0,28094934650.0,2099,1371,2100,116,458576.0,2095,2119.0,0.8499396098311195,42.0
2021-01-26,FU2105,2093,2102.0,2063,2076,1193601.0,24862708830.0,2076,19,2077,81,474277.0,2083,2099.0,0.8499396098311195,39.0
2021-01-27,FU2105,2100,2127.0,2088,2125,1070791.0,22540150550.0,2123,390,2125,429,431057.0,2105,2076.0,0.8499396098311195,39.0
2021-01-28,FU2105,2111,2119.0,2095,2116,1000987.0,21110815830.0,2115,441,2117,506,400737.0,2109,2125.0,0.8499396098311195,24.0
2021-01-29,FU2105,2120,2163.0,2116,2155,1298374.0,27811171080.0,2154,62,2155,3,369232.0,2142,2116.0,0.8499396098311195,47.0
2021-02-01,FU2105,2165,2181.0,2125,2178,1219284.0,26312148720.0,2177,6,2178,813,378594.0,2158,2155.0,0.8499396098311195,56.0
2021-02-02,FU2105,2184,2230.0,2170,2221,1221094.0,26876278940.0,2220,422,2221,16,379893.0,2201,2178.0,0.8499396098311195,60.0
2021-02-03,FU2105,2240,2248.0,2206,2218,1093638.0,24322509120.0,2217,144,2218,20,385139.0,2224,2221.0,0.8499396098311195,42.0
2021-02-04,FU2105,2224,2255.0,2213,2246,1210664.0,26997807200.0,2246,382,2247,279,387110.0,2230,2218.0,0.8499396098311195,42.0
2021-02-05,FU2105,2252,2268.0,2225,2259,1056602.0,23741846940.0,2258,686,2259,1,377380.0,2247,2246.0,0.8499396098311195,43.0
2021-02-08,FU2105,2269,2322.0,2249,2287,1238297.0,28295086450.0,2286,28,2287,69,381196.0,2285,2259.0,0.8499396098311195,73.0
2021-02-09,FU2105,2288,2350.0,2275,2342,913858.0,21082704060.0,2342,21,2343,29,363085.0,2307,2287.0,0.8499396098311195,75.0
2021-02-10,FU2105,2336,2336.0,2057,2057,871236.0,19942592040.0,2057,4109,2074,27,305953.0,2289,2342.0,0.8499396098311195,279.0
2021-02-18,FU2105,2400,2416.0,2365,2399,642180.0,15399476400.0,2399,8,2400,218,305682.0,2398,2057.0,0.8499396098311195,51.0
2021-02-19,FU2105,2399,2414.0,2305,2342,1105608.0,26048124480.0,2342,1,2343,94,312271.0,2356,2399.0,0.8499396098311195,109.0
2021-02-22,FU2105,2340,2377.0,2333,2359,972232.0,22876618960.0,2359,4,2360,181,307547.0,2353,2342.0,0.8499396098311195,44.0
2021-02-23,FU2105,2351,2484.0,2341,2450,1323291.0,31983943470.0,2450,6,2451,41,303722.0,2417,2359.0,0.8499396098311195,143.0
2021-02-24,FU2105,2442,2445.0,2398,2429,1025388.0,24804135720.0,2428,70,2429,98,291604.0,2419,2450.0,0.8499396098311195,47.0
2021-02-25,FU2105,2450,2490.0,2429,2468,1189682.0,29254280380.0,2467,66,2468,43,293074.0,2459,2429.0,0.8499396098311195,61.0
2021-02-26,FU2105,2468,2479.0,2405,2430,1402417.0,34190926460.0,2429,59,2430,11,256988.0,2438,2468.0,0.8499396098311195,74.0
2021-03-01,FU2105,2423,2507.0,2387,2441,1390165.0,34017337550.0,2440,3,2441,103,253479.0,2447,2430.0,0.8499396098311195,120.0
2021-03-02,FU2105,2435,2437.0,2311,2326,1334515.0,31587970050.0,2326,4,2327,453,256111.0,2367,2441.0,0.8499396098311195,126.0
2021-03-03,FU2105,2350,2359.0,2291,2314,1121887.0,26117529360.0,2313,430,2314,120,256766.0,2328,2326.0,0.8499396098311195,68.0
2021-03-04,FU2105,2332,2379.0,2314,2364,1302632.0,30494615120.0,2364,117,2366,94,239609.0,2341,2314.0,0.8499396098311195,65.0
2021-03-05,FU2105,2365,2503.0,2345,2499,1675981.0,40726338300.0,2499,29,2500,143,268361.0,2430,2364.0,0.8499396098311195,158.0
2021-03-08,FU2105,2512,2624.0,2511,2624,994426.0,25526915420.0,2624,15409,0,0,282643.0,2567,2499.0,0.8499396098311195,113.0
2021-03-09,FU2105,2608,2629.0,2554,2572,1649099.0,42761137070.0,2571,95,2572,39,253610.0,2593,2624.0,0.8499396098311195,75.0
2021-03-10,FU2105,2599,2607.0,2504,2533,1566956.0,39957378000.0,2532,15,2533,46,240236.0,2550,2572.0,0.8499396098311195,103.0
2021-03-11,FU2105,2558,2569.0,2519,2556,1271409.0,32382787230.0,2556,16,2557,38,229979.0,2547,2533.0,0.8499396098311195,50.0
2021-03-12,FU2105,2566,2625.0,2542,2555,1261651.0,32525362780.0,2554,15,2555,82,235473.0,2578,2556.0,0.8499396098311195,83.0
2021-03-15,FU2105,2561,2657.0,2544,2624,1192457.0,31027731140.0,2624,151,2625,46,249415.0,2602,2555.0,0.8499396098311195,113.0
2021-03-16,FU2105,2596,2596.0,2527,2535,931926.0,23745474480.0,2535,16,2536,412,230851.0,2548,2624.0,0.8499396098311195,69.0
2021-03-17,FU2105,2535,2597.0,2512,2583,1129497.0,28847353380.0,2583,12,2584,208,231958.0,2554,2535.0,0.8499396098311195,85.0
2021-03-18,FU2105,2541,2555.0,2495,2520,1267141.0,32058667300.0,2520,267,2522,9,220224.0,2530,2583.0,0.8499396098311195,60.0
2021-03-19,FU2105,2501,2510.0,2335,2354,1899590.0,46160037000.0,2353,190,2354,31,235421.0,2430,2520.0,0.8499396098311195,175.0
2021-03-22,FU2105,2354,2421.0,2347,2406,1362443.0,32494265550.0,2406,29,2407,7,214465.0,2385,2354.0,0.8499396098311195,74.0
2021-03-23,FU2105,2405,2421.0,2374,2398,851718.0,20432714820.0,2397,79,2398,207,212100.0,2399,2406.0,0.8499396098311195,47.0
2021-03-24,FU2105,2330,2376.0,2301,2331,1288186.0,30014733800.0,2330,266,2331,117,231846.0,2330,2398.0,0.8499396098311195,75.0
2021-03-25,FU2105,2352,2384.0,2333,2347,1158334.0,27244015680.0,2346,177,2347,59,220997.0,2352,2331.0,0.8499396098311195,51.0
2021-03-26,FU2105,2322,2382.0,2297,2373,1121158.0,26279943520.0,2374,1,2375,182,205486.0,2344,2347.0,0.8499396098311195,85.0
2021-03-29,FU2105,2384,2433.0,2345,2359,1389742.0,33214833800.0,2358,28,2359,16,195160.0,2390,2373.0,0.8499396098311195,88.0
2021-03-30,FU2105,2397,2449.0,2373,2424,1285791.0,30961847280.0,2423,38,2424,19,175184.0,2408,2359.0,0.8499396098311195,76.0
2021-03-31,FU2105,2396,2422.0,2390,2408,929510.0,22364010600.0,2408,9,2410,123,161649.0,2406,2424.0,0.8499396098311195,32.0
2021-04-01,FU2105,2391,2403.0,2340,2357,1038275.0,24565586500.0,2357,32,2358,17,172769.0,2366,2408.0,0.8499396098311195,63.0
2021-04-02,FU2105,2365,2445.0,2322,2444,1073576.0,25604787600.0,2443,31,2444,4,151741.0,2385,2357.0,0.8499396098311195,123.0
2021-04-06,FU2105,2355,2371.0,2334,2352,593440.0,13957708800.0,2351,107,2352,10,146066.0,2352,2444.0,0.8499396098311195,37.0
2021-04-07,FU2105,2357,2378.0,2309,2328,706055.0,16535808100.0,2327,79,2328,84,151336.0,2342,2352.0,0.8499396098311195,69.0
2021-04-08,FU2105,2329,2337.0,2281,2294,810828.0,18657152280.0,2294,56,2295,10,150686.0,2301,2328.0,0.8499396098311195,56.0
2021-04-09,FU2105,2303,2314.0,2266,2305,702218.0,16122925280.0,2303,126,2304,1,142605.0,2296,2294.0,0.8499396098311195,48.0
2021-04-12,FU2105,2295,2330.0,2263,2284,685750.0,15758535000.0,2283,31,2284,7,139576.0,2298,2305.0,0.8499396098311195,67.0
2021-04-13,FU2105,2306,2344.0,2302,2333,583292.0,13573204840.0,2332,19,2333,71,116451.0,2327,2284.0,0.8499396098311195,42.0
2021-04-14,FU2109,2357,2423.0,2352,2420,1069045.0,25475342350.0,2419,95,2420,145,251754.0,2383,2344.0,0.8459509853822533,71.0
2021-04-15,FU2109,2420,2529.0,2419,2520,1408772.0,34951633320.0,2518,4,2519,1,306845.0,2481,2420.0,0.8459509853822533,110.0
2021-04-16,FU2109,2517,2563.0,2495,2555,1333810.0,33718716800.0,2553,136,2555,42,332585.0,2528,2520.0,0.8459509853822533,68.0
2021-04-19,FU2109,2564,2566.0,2522,2556,1172101.0,29794807420.0,2555,76,2556,217,353528.0,2542,2555.0,0.8459509853822533,44.0
2021-04-20,FU2109,2565,2589.0,2532,2561,1165996.0,29802857760.0,2561,63,2562,20,354014.0,2556,2556.0,0.8459509853822533,57.0
2021-04-21,FU2109,2560,2562.0,2492,2523,1304814.0,32907409080.0,2522,59,2523,161,347605.0,2522,2561.0,0.8459509853822533,70.0
2021-04-22,FU2109,2490,2534.0,2441,2469,1701565.0,42266874600.0,2468,91,2469,14,336907.0,2484,2523.0,0.8459509853822533,93.0
2021-04-23,FU2109,2480,2488.0,2450,2473,1087544.0,26829710480.0,2472,53,2473,61,334823.0,2467,2469.0,0.8459509853822533,38.0
2021-04-26,FU2109,2467,2507.0,2405,2421,1560804.0,38411386440.0,2420,104,2421,2,343422.0,2461,2473.0,0.8459509853822533,102.0
2021-04-27,FU2109,2401,2484.0,2399,2470,1261576.0,30769838640.0,2469,11,2470,148,338094.0,2439,2421.0,0.8459509853822533,85.0
2021-04-28,FU2109,2470,2492.0,2444,2486,1284808.0,31683365280.0,2486,4,2487,188,326666.0,2466,2470.0,0.8459509853822533,48.0
2021-04-29,FU2109,2496,2536.0,2482,2525,1033473.0,25929837570.0,2524,140,2525,8,319926.0,2509,2486.0,0.8459509853822533,54.0
2021-04-30,FU2109,2555,2563.0,2489,2537,1134275.0,28663129250.0,2537,24,2538,31,289913.0,2527,2525.0,0.8459509853822533,74.0
2021-05-06,FU2109,2550,2610.0,2548,2585,660934.0,17085143900.0,2584,27,2585,436,325871.0,2585,2537.0,0.8459509853822533,62.0
2021-05-07,FU2109,2585,2586.0,2541,2567,1118280.0,28661516400.0,2567,29,2568,236,347165.0,2563,2585.0,0.8459509853822533,45.0
2021-05-10,FU2109,2529,2594.0,2515,2546,1616579.0,41141935550.0,2545,109,2546,164,358002.0,2545,2567.0,0.8459509853822533,79.0
2021-05-11,FU2109,2545,2553.0,2453,2478,1424781.0,35462799090.0,2477,36,2478,2,351070.0,2489,2546.0,0.8459509853822533,100.0
2021-05-12,FU2109,2469,2562.0,2462,2562,1322080.0,33197428800.0,2561,9,2562,359,359103.0,2511,2478.0,0.8459509853822533,100.0
2021-05-13,FU2109,2566,2619.0,2496,2515,1671460.0,42689088400.0,2514,128,2515,15,334257.0,2554,2562.0,0.8459509853822533,123.0
2021-05-14,FU2109,2485,2502.0,2384,2412,1598816.0,39139015680.0,2411,1,2412,10,359626.0,2448,2515.0,0.8459509853822533,118.0
2021-05-17,FU2109,2431,2508.0,2430,2475,1519652.0,37596190480.0,2475,105,2477,28,335564.0,2474,2412.0,0.8459509853822533,78.0
2021-05-18,FU2109,2463,2514.0,2446,2500,1293149.0,32147684140.0,2499,66,2500,359,343853.0,2486,2475.0,0.8459509853822533,68.0
2021-05-19,FU2109,2492,2494.0,2347,2374,1887333.0,45428105310.0,2373,90,2374,27,396842.0,2407,2500.0,0.8459509853822533,147.0
2021-05-20,FU2109,2356,2365.0,2303,2346,1625050.0,37977418500.0,2345,228,2346,20,401751.0,2337,2374.0,0.8459509853822533,62.0
2021-05-21,FU2109,2330,2348.0,2278,2282,1566578.0,36234949140.0,2281,17,2282,20,432323.0,2313,2346.0,0.8459509853822533,70.0
2021-05-24,FU2109,2318,2375.0,2308,2356,1624041.0,37921357350.0,2355,301,2356,27,389487.0,2335,2282.0,0.8459509853822533,67.0
2021-05-25,FU2109,2366,2418.0,2358,2403,1264607.0,30236753370.0,2403,50,2404,67,353319.0,2391,2356.0,0.8459509853822533,60.0
2021-05-26,FU2109,2395,2426.0,2387,2414,1132137.0,27227894850.0,2413,47,2414,7,344775.0,2405,2403.0,0.8459509853822533,39.0
2021-05-27,FU2109,2385,2426.0,2368,2395,1416625.0,33999000000.0,2395,39,2396,333,336185.0,2400,2414.0,0.8459509853822533,58.0
2021-05-28,FU2109,2394,2482.0,2394,2447,1237512.0,30269543520.0,2447,106,2448,5,321345.0,2446,2395.0,0.8459509853822533,88.0
2021-05-31,FU2109,2456,2475.0,2420,2456,973283.0,23767570860.0,2455,110,2456,13,309638.0,2442,2447.0,0.8459509853822533,55.0
2021-06-01,FU2109,2476,2537.0,2463,2534,1095349.0,27416585470.0,2533,77,2534,59,330297.0,2503,2456.0,0.8459509853822533,74.0
2021-06-02,FU2109,2565,2578.0,2523,2544,976555.0,24892386950.0,2543,73,2544,59,324609.0,2549,2534.0,0.8459509853822533,55.0
2021-06-03,FU2109,2559,2630.0,2550,2613,1042625.0,27035266250.0,2613,114,2614,31,379974.0,2593,2544.0,0.8459509853822533,80.0
2021-06-04,FU2109,2588,2640.0,2566,2629,1000990.0,26005720200.0,2627,92,2629,274,410898.0,2598,2613.0,0.8459509853822533,74.0
2021-06-07,FU2109,2642,2672.0,2577,2589,1191081.0,31218233010.0,2589,1,2590,77,377578.0,2621,2629.0,0.8459509853822533,95.0
2021-06-08,FU2109,2605,2612.0,2536,2555,966112.0,24819417280.0,2554,152,2555,162,356713.0,2569,2589.0,0.8459509853822533,76.0
2021-06-09,FU2109,2552,2634.0,2547,2625,1024010.0,26583299600.0,2624,25,2625,175,405270.0,2596,2555.0,0.8459509853822533,87.0
