time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,HC2105,4505,4534,4423,4492,656420.0,29355102400.0,4491,3,4492,532,501210.0,4472,4554.0,1.954707676486718,111
2021-01-05,HC2105,4496,4534,4465,4494,493387.0,22202415000.0,4493,28,4494,11,504718.0,4500,4492.0,1.954707676486718,69
2021-01-06,HC2105,4500,4588,4460,4518,815660.0,36900458400.0,4518,8,4520,20,511840.0,4524,4494.0,1.954707676486718,128
2021-01-07,HC2105,4523,4685,4521,4657,849422.0,39039435120.0,4657,36,4658,19,574170.0,4596,4518.0,1.954707676486718,164
2021-01-08,HC2105,4645,4699,4609,4646,672941.0,31318674140.0,4646,18,4647,1,572759.0,4654,4657.0,1.954707676486718,90
2021-01-11,HC2105,4651,4658,4443,4458,1017696.0,46254283200.0,4459,23,4460,7,519842.0,4545,4646.0,1.954707676486718,215
2021-01-12,HC2105,4460,4470,4396,4462,665112.0,29484414960.0,4462,113,4464,37,513446.0,4433,4458.0,1.954707676486718,74
2021-01-13,HC2105,4460,4468,4402,4438,484655.0,21470216500.0,4438,6,4439,7,511072.0,4430,4462.0,1.954707676486718,66
2021-01-14,HC2105,4450,4457,4408,4429,441437.0,19551244730.0,4429,1,4432,32,514856.0,4429,4438.0,1.954707676486718,49
2021-01-15,HC2105,4435,4528,4435,4489,633237.0,28470335520.0,4488,6,4489,4,528323.0,4496,4429.0,1.954707676486718,93
2021-01-18,HC2105,4489,4543,4460,4503,449539.0,20197787270.0,4503,4,4504,66,527855.0,4493,4489.0,1.954707676486718,83
2021-01-19,HC2105,4503,4503,4371,4384,633022.0,28036544380.0,4383,2,4384,19,548048.0,4429,4503.0,1.954707676486718,132
2021-01-20,HC2105,4385,4434,4364,4413,503209.0,22136163910.0,4412,2,4413,50,538504.0,4399,4384.0,1.954707676486718,70
2021-01-21,HC2105,4410,4463,4344,4430,840269.0,36946627930.0,4429,44,4430,5,568644.0,4397,4413.0,1.954707676486718,119
2021-01-22,HC2105,4420,4453,4350,4362,526256.0,23139476320.0,4362,19,4363,39,583733.0,4397,4430.0,1.954707676486718,103
2021-01-25,HC2105,4351,4444,4292,4426,863360.0,37711564800.0,4426,4,4427,96,557646.0,4368,4362.0,1.954707676486718,152
2021-01-26,HC2105,4421,4477,4414,4428,628900.0,27935738000.0,4427,183,4428,2,550414.0,4442,4426.0,1.954707676486718,63
2021-01-27,HC2105,4440,4534,4424,4521,708898.0,31815342240.0,4520,107,4521,8,592235.0,4488,4428.0,1.954707676486718,110
2021-01-28,HC2105,4519,4550,4421,4423,774763.0,34748120550.0,4422,19,4423,49,537976.0,4485,4521.0,1.954707676486718,129
2021-01-29,HC2105,4421,4454,4360,4390,625079.0,27559733110.0,4388,178,4390,31,523320.0,4409,4423.0,1.954707676486718,94
