time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,I2105,990.0,1023.0,972.0,1019.5,275823.0,27554717700.0,1019.0,8,1019.5,5,432352.0,999.0,996.0,3.3695716247807,51.0
2021-01-05,I2105,1022.0,1043.5,1013.5,1039.0,330531.0,34061219550.0,1039.0,8,1039.5,7,442024.0,1030.5,1019.5,3.3695716247807,30.0
2021-01-06,I2105,1043.0,1048.5,1016.0,1033.5,311992.0,32166375200.0,1033.5,27,1034.0,7,444099.0,1031.0,1039.0,3.3695716247807,32.5
2021-01-07,I2105,1038.0,1066.0,1021.5,1062.5,332657.0,34696125100.0,1062.0,40,1062.5,106,453379.0,1043.0,1033.5,3.3695716247807,44.5
2021-01-08,I2105,1065.0,1079.0,1042.5,1067.0,349761.0,37214570400.0,1067.0,157,1067.5,7,447303.0,1064.0,1062.5,3.3695716247807,36.5
2021-01-11,I2105,1067.0,1072.5,1022.0,1046.0,442891.0,46392832250.0,1045.5,78,1046.0,58,463457.0,1047.5,1067.0,3.3695716247807,50.5
2021-01-12,I2105,1050.0,1060.0,1005.0,1049.0,451154.0,46626765900.0,1048.5,26,1049.0,8,459969.0,1033.5,1046.0,3.3695716247807,55.0
2021-01-13,I2105,1050.0,1054.0,1022.0,1034.0,409558.0,42512120400.0,1034.0,120,1034.5,1,469341.0,1038.0,1049.0,3.3695716247807,32.0
2021-01-14,I2105,1030.0,1059.5,1017.0,1055.0,396079.0,41113000200.0,1054.5,1,1055.0,188,483107.0,1038.0,1034.0,3.3695716247807,42.5
2021-01-15,I2105,1060.5,1069.0,1047.5,1053.0,355136.0,37573388800.0,1052.5,250,1053.0,6,465548.0,1058.0,1055.0,3.3695716247807,21.5
2021-01-18,I2105,1053.0,1084.5,1034.0,1075.5,364459.0,38669099900.0,1075.0,45,1075.5,95,472784.0,1061.0,1053.0,3.3695716247807,50.5
2021-01-19,I2105,1074.0,1077.0,1040.0,1046.0,350032.0,36980880800.0,1046.0,33,1046.5,92,453527.0,1056.5,1075.5,3.3695716247807,37.0
2021-01-20,I2105,1052.0,1067.0,1035.5,1059.0,311415.0,32745287250.0,1059.0,10,1060.0,60,461442.0,1051.5,1046.0,3.3695716247807,31.5
