time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,IC2101,6384.0,6489.8,6334.0,6434.2,70652,91273905759.99998,6434.2,2,6434.4,1,86961,6459.4,6348.0,2.5476869015620127,155.80000000000018
2021-01-05,IC2101,6434.4,6504.8,6417.0,6476.6,70706,91657601920.0,6476.6,9,6476.8,6,83889,6481.6,6434.2,2.5476869015620127,87.80000000000018
2021-01-06,IC2101,6487.6,6560.0,6430.0,6485.0,70480,91296972800.0,6484.0,2,6485.8,5,82836,6476.8,6476.6,2.5476869015620127,130.0
2021-01-07,IC2101,6484.8,6540.0,6435.8,6526.0,81599,105902446160.0,6525.0,1,6526.6,10,83816,6489.2,6485.0,2.5476869015620127,104.19999999999982
2021-01-08,IC2101,6525.4,6598.0,6463.2,6550.6,91128,118922040000.0,6550.6,6,6550.8,9,82709,6525.0,6526.0,2.5476869015620127,134.80000000000018
2021-01-11,IC2101,6557.0,6560.0,6394.6,6446.8,84589,108845741640.00002,6447.0,1,6447.2,5,75135,6433.8,6550.6,2.5476869015620127,165.39999999999964
2021-01-12,IC2101,6431.0,6535.0,6430.0,6521.6,69803,90883506000.0,6521.0,4,6521.6,2,62428,6510.0,6446.8,2.5476869015620127,105.0
2021-01-13,IC2101,6508.6,6533.4,6441.8,6487.2,64635,83723008200.0,6487.2,8,6487.4,1,49938,6476.6,6521.6,2.5476869015620127,91.59999999999945
2021-01-14,IC2101,6461.0,6523.0,6410.0,6446.6,51013,65874107160.0,6446.4,4,6446.6,1,25884,6456.6,6487.2,2.5476869015620127,113.0
2021-01-15,IC2102,6400.0,6406.2,6297.8,6351.0,69405,88347012600.0,6350.0,2,6351.0,5,72759,6364.6,6398.0,2.567039446641087,108.39999999999964
2021-01-18,IC2102,6354.0,6473.0,6336.4,6442.2,62595,80780099400.0,6442.0,2,6442.2,1,71784,6452.6,6351.0,2.567039446641087,136.60000000000036
2021-01-19,IC2102,6442.2,6472.0,6393.0,6410.8,60973,78135680040.0,6410.2,60,6410.8,1,68727,6407.4,6442.2,2.567039446641087,79.0
2021-01-20,IC2102,6409.6,6492.0,6396.0,6479.4,64581,83575563720.0,6479.6,2,6479.8,5,71673,6470.6,6410.8,2.567039446641087,96.0
2021-01-21,IC2102,6491.6,6604.8,6491.4,6565.4,62356,82018093920.0,6565.2,2,6565.6,1,71143,6576.6,6479.4,2.567039446641087,113.40000000000055
2021-01-22,IC2102,6565.6,6577.0,6496.8,6566.6,68617,90030993359.99998,6566.0,6,6566.6,19,72891,6560.4,6565.4,2.567039446641087,80.19999999999982
2021-01-25,IC2102,6564.0,6619.0,6507.0,6560.4,72128,94585774080.0,6560.4,1,6562.4,1,74479,6556.8,6566.6,2.567039446641087,112.0
2021-01-26,IC2102,6545.0,6547.0,6453.8,6486.0,65355,84705308400.0,6485.8,4,6486.0,1,71920,6480.4,6560.4,2.567039446641087,93.19999999999982
2021-01-27,IC2102,6491.0,6514.8,6445.2,6480.0,56438,73182025840.0,6480.0,4,6480.6,20,70536,6483.4,6486.0,2.567039446641087,69.60000000000036
2021-01-28,IC2102,6423.4,6468.0,6365.2,6394.4,65735,83904154000.0,6394.4,4,6394.8,3,75210,6382.0,6480.0,2.567039446641087,102.80000000000018
2021-01-29,IC2102,6413.4,6426.0,6211.0,6313.6,74734,93886829520.0,6313.6,1,6314.6,5,78082,6281.4,6394.4,2.567039446641087,215.0
2021-02-01,IC2102,6322.0,6369.6,6308.0,6357.8,53049,67393449600.0,6357.8,3,6358.6,15,70542,6352.0,6313.6,2.567039446641087,61.600000000000364
2021-02-02,IC2102,6371.0,6419.4,6327.2,6409.0,55135,70700713200.0,6408.8,1,6409.0,26,66958,6411.6,6357.8,2.567039446641087,92.19999999999982
2021-02-03,IC2102,6408.0,6432.4,6365.2,6379.0,54340,69392180000.0,6378.2,2,6378.4,1,64048,6385.0,6409.0,2.567039446641087,67.19999999999982
2021-02-04,IC2102,6369.0,6375.0,6240.2,6320.8,73882,93188844240.00002,6320.6,1,6322.0,8,73236,6306.6,6379.0,2.567039446641087,134.80000000000018
2021-02-05,IC2102,6330.0,6354.0,6216.0,6231.2,65447,81722359959.99998,6232.0,1,6232.4,1,62476,6243.4,6320.8,2.567039446641087,138.0
2021-02-08,IC2102,6245.2,6352.8,6214.0,6313.8,61967,78254406280.0,6313.8,4,6314.0,5,61344,6314.2,6231.2,2.567039446641087,138.80000000000018
2021-02-09,IC2102,6333.6,6460.0,6317.8,6435.8,54096,69749218560.0,6434.8,2,6436.8,1,48436,6446.8,6313.8,2.567039446641087,142.19999999999982
2021-02-10,IC2102,6451.0,6519.2,6399.2,6492.0,48016,62426561920.00001,6491.6,2,6492.0,6,35304,6500.6,6435.8,2.567039446641087,120.0
