time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,IF2101,5230.0,5298.8,5192.0,5260.0,84288,133476791040.0,5259.2,5,5262.0,14,84531,5278.6,5227.0,1.3221298263292574,106.80000000000018
2021-01-05,IF2101,5250.0,5370.8,5238.8,5359.8,88203,141751041300.0,5359.8,5,5360.6,1,85968,5357.0,5260.0,1.3221298263292574,132.0
2021-01-06,IF2101,5374.8,5443.4,5346.6,5408.4,94934,153730423560.0,5408.4,4,5408.8,2,85935,5397.8,5359.8,1.3221298263292574,96.79999999999927
2021-01-07,IF2101,5426.8,5531.8,5410.4,5530.0,104541,171808951859.99997,5530.4,1,5530.8,2,90480,5478.2,5408.4,1.3221298263292574,121.40000000000055
2021-01-08,IF2101,5546.4,5563.6,5450.0,5505.4,104492,171947855520.0,5504.8,1,5505.4,6,83635,5485.2,5530.0,1.3221298263292574,113.60000000000036
2021-01-11,IF2101,5515.0,5552.2,5407.2,5436.8,109814,179170326120.00003,5436.8,1,5437.2,17,83628,5438.6,5505.4,1.3221298263292574,145.0
2021-01-12,IF2101,5427.2,5597.0,5425.0,5596.8,100185,167337001800.0,5596.0,3,5596.8,1,71505,5567.6,5436.8,1.3221298263292574,172.0
2021-01-13,IF2101,5598.0,5641.8,5539.0,5578.6,97993,163669868459.99997,5578.0,1,5578.6,1,65093,5567.4,5596.8,1.3221298263292574,102.80000000000018
2021-01-14,IF2101,5564.6,5569.0,5466.0,5478.4,72851,119954999580.0,5478.0,3,5478.4,7,28087,5488.6,5578.6,1.3221298263292574,103.0
2021-01-15,IF2102,5493.0,5507.8,5391.2,5448.0,97600,159804384000.0,5447.2,3,5448.0,16,81606,5457.8,5479.0,1.3219850411684986,116.60000000000036
2021-01-18,IF2102,5432.0,5545.6,5411.0,5508.0,88074,145744855200.0,5508.0,1,5509.6,3,75327,5516.0,5448.0,1.3219850411684986,134.60000000000036
2021-01-19,IF2102,5524.0,5524.4,5413.4,5436.4,91256,148601270400.0,5436.4,3,5436.6,3,78425,5428.0,5508.0,1.3219850411684986,111.0
2021-01-20,IF2102,5439.0,5497.0,5428.0,5462.6,94321,154639279500.0,5462.2,2,5462.6,1,78219,5465.0,5436.4,1.3219850411684986,69.0
