time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,IH2101,3642.6,3668.6,3610.0,3643.0,38335,41988325500.0,3643.0,7,3643.2,6,38128,3651.0,3647.0,1.3158882425031722,58.59999999999991
2021-01-05,IH2101,3635.8,3684.6,3620.6,3678.0,36810,40591859400.0,3677.4,5,3678.0,2,35420,3675.8,3643.0,1.3158882425031722,64.0
2021-01-06,IH2101,3680.0,3738.0,3668.0,3734.0,40547,45257750460.0,3733.8,1,3734.0,1,36417,3720.6,3678.0,1.3158882425031722,70.0
2021-01-07,IH2101,3760.0,3818.8,3731.0,3818.4,40555,45982070100.0,3817.4,4,3819.4,1,35367,3779.4,3734.0,1.3158882425031722,87.80000000000018
2021-01-08,IH2101,3826.0,3841.6,3755.4,3790.6,41000,46496460000.0,3790.8,1,3791.6,1,36105,3780.2,3818.4,1.3158882425031722,86.19999999999982
2021-01-11,IH2101,3802.4,3855.0,3759.2,3772.4,40392,45789986880.0,3772.2,2,3775.0,1,33055,3778.8,3790.6,1.3158882425031722,95.80000000000018
2021-01-12,IH2101,3774.0,3917.4,3765.6,3917.2,40272,46968428160.0,3917.2,2,3917.6,1,31808,3887.6,3772.4,1.3158882425031722,151.80000000000018
2021-01-13,IH2101,3907.2,3938.2,3849.0,3877.2,39192,45511318080.0,3877.2,5,3877.4,4,26011,3870.8,3917.2,1.3158882425031722,89.19999999999982
2021-01-14,IH2101,3875.0,3875.0,3802.4,3813.0,28761,32942849400.0,3813.0,1,3813.2,6,14757,3818.0,3877.2,1.3158882425031722,72.59999999999991
2021-01-15,IH2102,3839.8,3875.4,3789.0,3817.0,40026,45956252160.0,3817.0,1,3818.2,15,31939,3827.2,3819.4,1.3136832666556515,86.40000000000009
2021-01-18,IH2102,3809.4,3884.6,3802.4,3852.4,37948,43891415760.00001,3852.0,2,3852.4,4,29934,3855.4,3817.0,1.3136832666556515,82.19999999999982
2021-01-19,IH2102,3866.0,3868.0,3793.0,3811.0,38764,44244454320.0,3811.0,2,3811.2,2,31965,3804.6,3852.4,1.3136832666556515,75.0
2021-01-20,IH2102,3814.0,3841.8,3786.4,3811.0,34746,39718847520.0,3811.0,2,3811.4,2,28386,3810.4,3811.0,1.3136832666556515,55.40000000000009
2021-01-21,IH2102,3834.0,3881.8,3811.2,3851.0,37766,43631059800.0,3851.0,1,3851.6,7,32356,3851.0,3811.0,1.3136832666556515,70.60000000000036
2021-01-22,IH2102,3847.0,3865.6,3821.2,3844.8,33739,38861254980.0,3844.0,4,3844.6,2,28588,3839.4,3851.0,1.3136832666556515,44.40000000000009
2021-01-25,IH2102,3845.0,3902.0,3821.6,3890.8,39066,45489231720.0,3890.6,11,3891.4,14,31459,3881.4,3844.8,1.3136832666556515,80.40000000000009
2021-01-26,IH2102,3869.4,3870.0,3801.8,3807.8,37281,42632314740.0,3807.4,1,3807.8,1,29938,3811.8,3890.8,1.3136832666556515,68.19999999999982
2021-01-27,IH2102,3823.0,3833.4,3793.2,3810.4,31475,35951374500.0,3810.2,1,3810.6,2,29995,3807.4,3807.8,1.3136832666556515,40.20000000000027
2021-01-28,IH2102,3766.0,3775.8,3721.0,3741.8,35612,39911792880.0,3741.2,3,3742.6,3,31465,3735.8,3810.4,1.3136832666556515,54.80000000000018
2021-01-29,IH2102,3760.4,3765.0,3670.2,3719.4,40184,44640405600.0,3718.8,1,3719.8,1,32700,3703.0,3741.8,1.3136832666556515,94.80000000000018
2021-02-01,IH2102,3723.2,3744.4,3703.4,3741.0,29290,32837019000.0,3740.4,2,3741.8,9,27650,3737.0,3719.4,1.3136832666556515,41.0
2021-02-02,IH2102,3750.8,3763.8,3734.2,3756.8,26968,30402105120.0,3756.4,1,3756.8,1,28228,3757.8,3741.0,1.3136832666556515,29.600000000000364
2021-02-03,IH2102,3746.8,3790.0,3738.6,3772.4,28090,31783273200.0,3772.2,3,3772.4,1,27170,3771.6,3756.8,1.3136832666556515,51.40000000000009
2021-02-04,IH2102,3761.2,3811.6,3751.0,3791.2,34740,39499380000.0,3791.2,1,3791.6,18,29859,3790.0,3772.4,1.3136832666556515,60.59999999999991
2021-02-05,IH2102,3802.0,3865.2,3802.0,3840.8,35123,40518595260.00001,3840.0,1,3841.6,1,28024,3845.4,3791.2,1.3136832666556515,63.19999999999982
2021-02-08,IH2102,3860.0,3890.8,3828.2,3868.6,32185,37415062500.0,3868.6,3,3869.6,6,24539,3875.0,3840.8,1.3136832666556515,62.600000000000364
2021-02-09,IH2102,3884.2,3942.8,3861.0,3940.0,28877,34047715620.0,3941.8,1,3942.8,5,21862,3930.2,3868.6,1.3136832666556515,81.80000000000018
2021-02-10,IH2102,3963.6,4038.2,3949.8,4020.4,27477,33140559240.0,4019.2,1,4020.4,7,19349,4020.4,3940.0,1.3136832666556515,88.39999999999964
2021-02-18,IH2102,4111.4,4115.0,3978.6,4005.0,21334,25613600400.0,4000.0,1,4005.0,11,10451,4002.0,4020.4,1.3136832666556515,136.4000000000001
2021-02-19,IH2103,3984.2,4015.6,3956.2,4002.0,37237,44724615960.0,4000.8,1,4002.2,2,47802,4003.6,3997.0,1.3163126051928655,59.40000000000009
2021-02-22,IH2103,4009.0,4012.4,3869.2,3876.0,49151,57314981100.0,3875.4,1,3877.0,1,52050,3887.0,4002.0,1.3163126051928655,143.20000000000027
