time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,J2105,2835.0,2940.0,2823.5,2929.5,244722.0,70663477500.0,2929.0,2,2930.0,15,207829.0,2887.5,2826.0,1.3455843454013727,116.5
2021-01-05,J2105,2929.0,2997.5,2926.5,2992.0,259354.0,76781751700.0,2991.5,4,2992.0,9,210064.0,2960.5,2929.5,1.3455843454013727,71.0
2021-01-06,J2105,2995.0,3036.0,2940.0,2983.0,403313.0,120469593100.0,2983.0,1,2983.5,11,211331.0,2987.0,2992.0,1.3455843454013727,96.0
2021-01-07,J2105,2980.0,3004.5,2949.0,2998.5,266496.0,79322534400.0,2998.5,11,2999.5,91,202820.0,2976.5,2983.0,1.3455843454013727,55.5
2021-01-08,J2105,2998.0,3000.5,2917.5,2922.5,358916.0,106149407000.0,2922.0,57,2922.5,17,200436.0,2957.5,2998.5,1.3455843454013727,83.0
2021-01-11,J2105,2922.5,2935.0,2820.5,2844.0,381808.0,109502534400.0,2844.0,1,2844.5,10,193617.0,2868.0,2922.5,1.3455843454013727,114.5
2021-01-12,J2105,2850.0,2850.0,2725.5,2773.0,401897.0,111425943250.0,2772.5,2,2773.0,120,176143.0,2772.5,2844.0,1.3455843454013727,124.5
2021-01-13,J2105,2775.0,2816.0,2684.0,2711.0,349384.0,95993254000.0,2712.0,1,2712.5,1,171589.0,2747.5,2773.0,1.3455843454013727,132.0
2021-01-14,J2105,2718.5,2760.0,2706.5,2744.0,219282.0,59951698800.0,2744.0,101,2745.0,6,156175.0,2734.0,2711.0,1.3455843454013727,53.5
2021-01-15,J2105,2774.0,2862.5,2770.0,2775.0,364495.0,102732915750.0,2775.0,104,2775.5,51,174918.0,2818.5,2744.0,1.3455843454013727,92.5
2021-01-18,J2105,2751.0,2825.0,2743.5,2777.5,256763.0,71457142900.0,2777.0,9,2777.5,34,162896.0,2783.0,2775.0,1.3455843454013727,81.5
2021-01-19,J2105,2777.5,2783.0,2664.5,2670.5,338105.0,91660265500.0,2670.5,20,2671.0,10,176054.0,2711.0,2777.5,1.3455843454013727,118.5
2021-01-20,J2105,2675.0,2720.0,2659.5,2713.5,281966.0,75989837000.0,2713.5,53,2715.0,242,165477.0,2695.0,2670.5,1.3455843454013727,60.5
2021-01-21,J2105,2718.0,2807.0,2702.5,2800.5,332436.0,91419900000.0,2800.5,4,2801.0,1,185101.0,2750.0,2713.5,1.3455843454013727,104.5
2021-01-22,J2105,2808.0,2820.0,2747.0,2771.0,265596.0,74008325400.0,2770.0,21,2770.5,4,172311.0,2786.5,2800.5,1.3455843454013727,73.0
2021-01-25,J2105,2760.0,2768.0,2693.5,2705.5,307999.0,83991327300.0,2705.0,3,2705.5,1,170277.0,2727.0,2771.0,1.3455843454013727,74.5
2021-01-26,J2105,2700.0,2738.5,2618.0,2619.0,294303.0,79049785800.0,2619.0,1,2619.5,38,170141.0,2686.0,2705.5,1.3455843454013727,120.5
2021-01-27,J2105,2625.0,2678.0,2614.0,2660.0,239958.0,63432897300.0,2659.0,77,2660.0,25,154214.0,2643.5,2619.0,1.3455843454013727,64.0
2021-01-28,J2105,2651.5,2655.0,2588.0,2605.0,288774.0,75557717100.0,2605.0,12,2605.5,2,169241.0,2616.5,2660.0,1.3455843454013727,67.0
2021-01-29,J2105,2595.0,2605.0,2532.0,2554.0,281734.0,72433811400.0,2554.0,4,2554.5,7,155616.0,2571.0,2605.0,1.3455843454013727,73.0
2021-02-01,J2105,2560.5,2602.0,2542.0,2550.0,231044.0,59551591000.0,2549.5,29,2550.5,46,156717.0,2577.5,2554.0,1.3455843454013727,60.0
2021-02-02,J2105,2550.0,2563.0,2468.0,2476.0,248216.0,62451145600.0,2475.5,1,2476.5,7,156000.0,2516.0,2550.0,1.3455843454013727,95.0
2021-02-03,J2105,2480.0,2534.0,2461.5,2492.0,254465.0,63450847750.0,2492.0,26,2492.5,13,161911.0,2493.5,2476.0,1.3455843454013727,72.5
2021-02-04,J2105,2502.0,2557.0,2480.0,2552.0,283415.0,71122994250.0,2551.5,19,2552.0,15,152572.0,2509.5,2492.0,1.3455843454013727,77.0
2021-02-05,J2105,2555.0,2584.0,2528.0,2551.0,245779.0,62857979250.0,2550.5,45,2551.0,23,150482.0,2557.5,2552.0,1.3455843454013727,56.0
2021-02-08,J2105,2551.5,2623.5,2546.0,2599.0,212421.0,54985175850.0,2598.0,5,2599.0,1,136293.0,2588.5,2551.0,1.3455843454013727,77.5
2021-02-09,J2105,2605.5,2654.5,2585.5,2624.5,165869.0,43540612500.0,2624.5,27,2630.0,7,129156.0,2625.0,2599.0,1.3455843454013727,69.0
2021-02-10,J2105,2624.0,2633.5,2577.0,2595.0,168340.0,43827319000.0,2593.5,1,2596.0,1,119934.0,2603.5,2624.5,1.3455843454013727,56.5
2021-02-18,J2105,2671.5,2774.0,2657.0,2762.0,196420.0,53357493000.0,2761.5,8,2762.0,22,139050.0,2716.5,2595.0,1.3455843454013727,117.0
2021-02-19,J2105,2762.0,2779.5,2679.0,2711.5,200865.0,54735712500.0,2711.5,1,2712.0,55,132647.0,2725.0,2762.0,1.3455843454013727,100.5
2021-02-22,J2105,2711.5,2734.0,2596.0,2617.0,272937.0,72696769950.0,2617.0,29,2617.5,27,154169.0,2663.5,2711.5,1.3455843454013727,138.0
2021-02-23,J2105,2617.0,2628.0,2566.0,2574.0,210327.0,54695536350.0,2574.0,9,2574.5,3,142363.0,2600.5,2617.0,1.3455843454013727,62.0
2021-02-24,J2105,2569.0,2583.5,2531.0,2578.5,221411.0,56648004350.0,2578.0,40,2579.0,15,153486.0,2558.5,2574.0,1.3455843454013727,52.5
2021-02-25,J2105,2578.0,2667.0,2565.0,2625.0,273204.0,71265263400.0,2625.0,3,2626.0,1,141614.0,2608.5,2578.5,1.3455843454013727,102.0
2021-02-26,J2105,2618.0,2621.5,2506.5,2531.5,260618.0,66692146200.0,2531.5,5,2532.0,2,152405.0,2559.0,2625.0,1.3455843454013727,115.0
2021-03-01,J2105,2516.5,2582.0,2455.0,2477.5,300333.0,75533749500.0,2478.0,1,2478.5,105,154600.0,2515.0,2531.5,1.3455843454013727,127.0
2021-03-02,J2105,2477.5,2563.5,2433.0,2550.5,287763.0,71940750000.0,2549.0,1,2550.5,19,156853.0,2500.0,2477.5,1.3455843454013727,130.5
2021-03-03,J2105,2560.0,2566.5,2504.0,2519.5,262315.0,66418158000.0,2519.0,6,2520.0,49,143947.0,2532.0,2550.5,1.3455843454013727,62.5
2021-03-04,J2105,2511.0,2517.0,2446.0,2486.5,258745.0,64104073750.0,2486.5,3,2487.0,11,146744.0,2477.5,2519.5,1.3455843454013727,71.0
2021-03-05,J2105,2450.0,2459.0,2325.5,2342.5,310026.0,73476162000.0,2342.5,1,2343.0,53,154396.0,2370.0,2486.5,1.3455843454013727,133.5
2021-03-08,J2105,2342.5,2384.0,2306.0,2338.0,262189.0,61404663800.0,2337.5,14,2338.0,35,154101.0,2342.0,2342.5,1.3455843454013727,78.0
2021-03-09,J2105,2335.0,2357.5,2265.0,2271.0,250100.0,57960675000.0,2270.5,1,2271.0,369,152575.0,2317.5,2338.0,1.3455843454013727,92.5
2021-03-10,J2105,2271.5,2326.0,2261.5,2312.5,227246.0,52266580000.0,2312.5,13,2314.0,170,145212.0,2300.0,2271.0,1.3455843454013727,64.5
2021-03-11,J2105,2325.0,2373.5,2282.5,2353.5,247214.0,57563779900.0,2353.5,47,2354.0,45,137334.0,2328.5,2312.5,1.3455843454013727,91.0
2021-03-12,J2105,2324.5,2352.0,2230.0,2244.0,275825.0,63384585000.0,2243.5,8,2244.0,1,153852.0,2298.0,2353.5,1.3455843454013727,122.0
2021-03-15,J2105,2250.0,2279.0,2204.0,2225.5,255561.0,57207329850.0,2225.5,14,2226.0,1,144130.0,2238.5,2244.0,1.3455843454013727,75.0
2021-03-16,J2105,2224.0,2286.0,2214.5,2264.0,229667.0,51686558350.0,2264.0,18,2264.5,2,143261.0,2250.5,2225.5,1.3455843454013727,71.5
2021-03-17,J2105,2258.0,2323.0,2246.0,2320.5,224847.0,51242631300.0,2322.0,1,2323.0,174,147127.0,2279.0,2264.0,1.3455843454013727,77.0
