time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,JD2105,4200,4266,4102,4127,328398.0,13789432020.0,4127,7,4129,12,144686.0,4199,4178.0,0.4965458079781373,164
2021-01-05,JD2105,4110,4155,4094,4138,179202.0,7402834620.0,4137,5,4138,12,145228.0,4131,4127.0,0.4965458079781373,61
2021-01-06,JD2105,4160,4315,4150,4299,327521.0,13746056370.0,4299,4,4300,40,147727.0,4197,4138.0,0.4965458079781373,165
2021-01-07,JD2105,4311,4395,4259,4318,464887.0,20129607100.0,4316,1,4318,42,145188.0,4330,4299.0,0.4965458079781373,136
2021-01-08,JD2105,4330,4427,4294,4402,275381.0,11959796830.0,4397,15,4402,52,148999.0,4343,4318.0,0.4965458079781373,133
2021-01-11,JD2105,4450,4555,4371,4426,457543.0,20410993230.0,4424,99,4426,2,144008.0,4461,4402.0,0.4965458079781373,184
2021-01-12,JD2105,4500,4528,4403,4491,328875.0,14667825000.0,4490,46,4491,55,145929.0,4460,4426.0,0.4965458079781373,125
2021-01-13,JD2105,4543,4608,4433,4482,456322.0,20639444060.0,4482,2,4483,13,154951.0,4523,4491.0,0.4965458079781373,175
2021-01-14,JD2105,4463,4477,4385,4449,305285.0,13542442600.0,4448,27,4449,13,152038.0,4436,4482.0,0.4965458079781373,92
2021-01-15,JD2105,4520,4668,4476,4663,436070.0,19876070600.0,4660,50,4663,2,167089.0,4558,4449.0,0.4965458079781373,192
2021-01-18,JD2105,4670,4677,4531,4551,442202.0,20328025940.0,4550,90,4552,3,170436.0,4597,4663.0,0.4965458079781373,146
2021-01-19,JD2105,4538,4548,4440,4440,336343.0,15135435000.0,4440,45,4445,1,171368.0,4500,4551.0,0.4965458079781373,108
2021-01-20,JD2105,4440,4479,4414,4469,277902.0,12366639000.0,4470,6,4471,8,170461.0,4450,4440.0,0.4965458079781373,65
2021-01-21,JD2105,4480,4519,4365,4414,413453.0,18369716790.0,4414,4,4415,37,168428.0,4443,4469.0,0.4965458079781373,154
