time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,JM2105,1622.5,1716.5,1622.0,1688.0,133630.0,13373690400.0,1688.0,7,1688.5,1,110304.0,1668.0,1629.0,1.535511352951978,94.5
2021-01-05,JM2105,1645.5,1720.5,1645.5,1709.5,161541.0,16467489540.0,1709.0,26,1709.5,32,108528.0,1699.0,1688.0,1.535511352951978,75.0
2021-01-06,JM2105,1709.5,1731.0,1673.5,1698.0,199306.0,20293336920.0,1697.5,1,1698.0,2,109442.0,1697.0,1709.5,1.535511352951978,57.5
2021-01-07,JM2105,1694.0,1734.0,1687.0,1729.5,147961.0,15136410300.0,1729.0,37,1729.5,12,108662.0,1705.0,1698.0,1.535511352951978,47.0
2021-01-08,JM2105,1730.0,1825.5,1707.0,1772.0,310841.0,32899411440.0,1772.0,8,1772.5,24,137183.0,1764.0,1729.5,1.535511352951978,118.5
2021-01-11,JM2105,1775.0,1807.5,1749.0,1781.5,278378.0,29680662360.0,1781.5,18,1782.0,33,130625.0,1777.0,1772.0,1.535511352951978,58.5
2021-01-12,JM2105,1782.5,1786.5,1715.0,1734.5,249500.0,26070255000.0,1734.5,12,1735.0,27,124721.0,1741.5,1781.5,1.535511352951978,71.5
2021-01-13,JM2105,1734.0,1751.5,1626.0,1651.5,289870.0,29444994600.0,1651.0,33,1651.5,40,118926.0,1693.0,1734.5,1.535511352951978,125.5
2021-01-14,JM2105,1651.0,1673.0,1636.0,1666.0,185458.0,18410415660.0,1667.0,1,1667.5,22,120405.0,1654.5,1651.5,1.535511352951978,37.0
2021-01-15,JM2105,1668.0,1766.5,1668.0,1727.0,299779.0,30865245840.0,1728.0,1,1728.5,18,131423.0,1716.0,1666.0,1.535511352951978,98.5
2021-01-18,JM2105,1727.0,1747.5,1700.0,1707.0,223491.0,23117909040.0,1706.5,4,1707.0,7,128887.0,1724.0,1727.0,1.535511352951978,47.5
2021-01-19,JM2105,1701.0,1713.5,1645.5,1657.5,253838.0,25571640120.0,1657.0,15,1657.5,1,120712.0,1679.0,1707.0,1.535511352951978,68.0
2021-01-20,JM2105,1657.5,1666.5,1603.0,1630.0,251016.0,24684913440.0,1629.0,6,1630.0,50,118742.0,1639.0,1657.5,1.535511352951978,63.5
2021-01-21,JM2105,1623.0,1672.0,1615.0,1653.5,194804.0,19151181240.0,1653.0,47,1653.5,8,107108.0,1638.5,1630.0,1.535511352951978,57.0
2021-01-22,JM2105,1651.0,1662.0,1601.0,1623.0,177806.0,17442768600.0,1623.0,8,1623.5,11,113676.0,1635.0,1653.5,1.535511352951978,61.0
2021-01-25,JM2105,1620.0,1645.0,1583.5,1631.5,199775.0,19424123250.0,1631.0,13,1631.5,22,113826.0,1620.5,1623.0,1.535511352951978,61.5
2021-01-26,JM2105,1635.5,1645.0,1580.0,1581.5,166449.0,16163862390.0,1580.0,332,1581.5,22,110282.0,1618.5,1631.5,1.535511352951978,65.0
2021-01-27,JM2105,1581.0,1608.5,1551.5,1601.5,191298.0,18169484040.0,1601.5,23,1602.0,37,112648.0,1583.0,1581.5,1.535511352951978,57.0
2021-01-28,JM2105,1601.5,1601.5,1557.0,1565.5,168676.0,15934821720.0,1565.0,108,1565.5,53,110370.0,1574.5,1601.5,1.535511352951978,44.5
2021-01-29,JM2105,1565.0,1567.0,1490.0,1510.0,222140.0,20399116200.0,1509.5,25,1510.0,1,117362.0,1530.5,1565.5,1.535511352951978,77.0
2021-02-01,JM2105,1509.0,1525.0,1488.5,1499.5,163221.0,14753546190.0,1499.5,42,1501.0,25,109049.0,1506.5,1510.0,1.535511352951978,36.5
2021-02-02,JM2105,1500.0,1505.5,1463.0,1465.5,145510.0,12947479800.0,1465.5,3,1466.0,7,110260.0,1483.0,1499.5,1.535511352951978,42.5
2021-02-03,JM2105,1471.0,1496.0,1438.0,1452.5,173642.0,15263131800.0,1452.5,13,1453.0,11,111527.0,1465.0,1465.5,1.535511352951978,58.0
2021-02-04,JM2105,1454.0,1510.0,1445.5,1509.5,207303.0,18364972770.0,1509.0,1,1509.5,2,117728.0,1476.5,1452.5,1.535511352951978,64.5
2021-02-05,JM2105,1511.0,1542.5,1496.0,1513.0,188270.0,17153279700.0,1513.0,4,1513.5,2,108190.0,1518.5,1509.5,1.535511352951978,46.5
2021-02-08,JM2105,1508.5,1548.0,1502.0,1528.0,135773.0,12443595450.0,1528.5,3,1529.0,7,104749.0,1527.5,1513.0,1.535511352951978,46.0
2021-02-09,JM2105,1533.5,1578.5,1527.5,1553.5,105388.0,9794760720.0,1552.5,1,1553.5,1,90580.0,1549.0,1528.0,1.535511352951978,51.0
2021-02-10,JM2105,1559.5,1560.0,1525.5,1547.0,96729.0,8969680170.0,1546.0,7,1547.0,11,88150.0,1545.5,1553.5,1.535511352951978,34.5
2021-02-18,JM2105,1570.0,1608.5,1551.0,1608.5,114215.0,10827582000.0,1608.0,1,1608.5,3,94812.0,1580.0,1547.0,1.535511352951978,57.5
2021-02-19,JM2105,1602.5,1603.5,1556.5,1567.5,111428.0,10566717240.0,1565.5,11,1567.5,18,97638.0,1580.5,1608.5,1.535511352951978,47.0
2021-02-22,JM2105,1562.5,1567.0,1487.0,1505.0,196841.0,18046382880.0,1505.5,5,1506.0,23,117367.0,1528.0,1567.5,1.535511352951978,80.0
2021-02-23,JM2105,1505.0,1506.5,1455.0,1461.5,154681.0,13707830220.0,1461.5,1,1462.5,2,113723.0,1477.0,1505.0,1.535511352951978,51.5
2021-02-24,JM2105,1460.0,1487.5,1455.5,1483.0,146683.0,12946241580.0,1483.0,47,1483.5,3,116444.0,1471.0,1461.5,1.535511352951978,32.0
2021-02-25,JM2105,1485.0,1539.0,1477.5,1527.5,181750.0,16482907500.0,1527.0,41,1527.5,4,115092.0,1511.5,1483.0,1.535511352951978,61.5
2021-02-26,JM2105,1525.0,1525.0,1451.5,1474.0,168630.0,15014815200.0,1474.5,2,1475.0,57,111522.0,1484.0,1527.5,1.535511352951978,73.5
