time,code,open,high,low,close,vol,amt,bid1,bidvol1,ask1,askvol1,oi,settlement,pre_close,price_adjust_factor,vola
2021-01-04,L2105,7725,7770,7625,7760,217612.0,8367181400.0,7755,50,7760,195,233607.0,7690,7720.0,1.4389617232311371,145
2021-01-05,L2105,7745,7825,7660,7710,255966.0,9905884200.0,7705,68,7710,10,232191.0,7740,7760.0,1.4389617232311371,165
2021-01-06,L2105,7735,7780,7630,7640,272375.0,10486437500.0,7640,280,7645,101,234267.0,7700,7710.0,1.4389617232311371,150
2021-01-07,L2105,7625,7745,7580,7590,337962.0,12943944600.0,7585,3,7590,144,253837.0,7660,7640.0,1.4389617232311371,165
2021-01-08,L2105,7580,7630,7425,7450,383681.0,14474365725.0,7450,69,7460,64,260106.0,7545,7590.0,1.4389617232311371,205
2021-01-11,L2105,7465,7590,7415,7490,399419.0,14958241550.0,7490,142,7495,67,246806.0,7490,7450.0,1.4389617232311371,175
2021-01-12,L2105,7490,7575,7395,7560,342648.0,12815035200.0,7555,109,7560,220,246551.0,7480,7490.0,1.4389617232311371,180
2021-01-13,L2105,7575,7640,7445,7635,391257.0,14750388900.0,7630,9,7635,9,251586.0,7540,7560.0,1.4389617232311371,195
2021-01-14,L2105,7620,7630,7475,7560,360175.0,13578597500.0,7560,149,7565,165,250045.0,7540,7635.0,1.4389617232311371,155
2021-01-15,L2105,7550,7640,7490,7605,360096.0,13593624000.0,7605,298,7610,134,259245.0,7550,7560.0,1.4389617232311371,150
2021-01-18,L2105,7595,7780,7555,7760,408359.0,15599313800.0,7760,8,7770,4,255064.0,7640,7605.0,1.4389617232311371,225
2021-01-19,L2105,7750,7805,7700,7740,336075.0,13022906250.0,7735,32,7740,94,254483.0,7750,7760.0,1.4389617232311371,105
2021-01-20,L2105,7750,7790,7670,7680,277619.0,10729974350.0,7680,195,7685,67,250332.0,7730,7740.0,1.4389617232311371,120
2021-01-21,L2105,7685,7815,7685,7815,299928.0,11614711800.0,7810,23,7815,16,270584.0,7745,7680.0,1.4389617232311371,130
2021-01-22,L2105,7815,7900,7705,7880,431625.0,16865746875.0,7870,211,7875,14,294298.0,7815,7815.0,1.4389617232311371,195
2021-01-25,L2105,7855,7970,7690,7740,447782.0,17474692550.0,7735,115,7740,53,268814.0,7805,7880.0,1.4389617232311371,280
